hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12	hdp.13	hdp.14	hdp.15	hdp.16	hdp.17	hdp.18	hdp.19	hdp.20	hdp.21	hdp.22	hdp.23	hdp.24	hdp.25	hdp.26	hdp.27	hdp.28	hdp.29	hdp.30	hdp.31	hdp.32	hdp.33	hdp.34	hdp.35	hdp.36	hdp.37	hdp.38	hdp.39	hdp.40	hdp.41	hdp.42	hdp.43	hdp.44	hdp.45	hdp.46	hdp.47	hdp.48
0.00714454314844149	0.00314507145546422	0.010840994685988	0.000346189941209729	0.0406964663045274	0.0374400878279875	0.00656067899202277	0.00159294983803358	0.0109228905777997	0.000211744344545007	0.0225605269996736	0.00468180049931848	0.00902078305779536	0.00132960457175165	0.0314140294717027	0.0282127431495545	0.0586921737755714	0.0205730979640703	0.00230104257691191	0.0235884712353079	0.0151725901748407	0.0030919134751479	0.00434915608659704	0.00106113542913678	0.0158710007570447	0.000568106040690324	0.184764435869573	0.00147995345642902	0.000690703982238978	0.000865188720542454	0.113753976460344	0.0106722960932145	0.0101918456711921	0.0297876396144365	0.029285543750059	0.0451413749551652	0.00686347392201297	0.00196220268530208	0.0806195095814657	0.00283742759752749	0.000987695325437159	0.00115527499029104	0.0158601965297206	0.0214427045279517	0.00216735728821463	0.0182556290808087	0.00312668949360245	0.0170632508999112
0.00828971794677137	0.00930687878971905	0.024291015345128	0.000240893422415451	0.117564134750171	0.0217950102943568	0.0242468276372553	0.00681827076065804	0.00380141037679284	0.000210783571738291	0.0287262756653652	0.00675744743662119	0.0150618773460737	0.000327397393018434	0.0265903411497306	0.0265799736400908	0.0375668057394105	0.033493851879217	0.00402376778962712	0.0142022021969724	0.0130508821541837	0.0172907375307818	0.00957548236902459	0.000637183288686093	0.0249095255923812	0.000688109207191733	0.193846046878732	0.000527746902163983	0.00124614407656307	0.000222914217607246	0.0168551207903942	0.00464435001142335	0.0144241602197891	0.0298774667126582	0.0434180653797194	0.0526027671876243	0.0115350484286597	0.00334271602634936	0.01987131252831	0.00892899795490303	0.00119701241321712	0.000292044067605348	0.0131589465124933	0.0101427696925416	0.000840746728476867	0.0348019531323643	0.01700907070343	0.0131066166314635
0.00464714809109534	0.00115811398160132	0.00459880691791166	0.000103101673990682	0.0170076990896339	0.0614676345408519	0.00438274972062575	0.00751726832308211	0.00357947287491834	0.000605212002817385	0.016626387417407	0.00100083083872657	0.00550138797102023	2.0443586394789e-05	0.0164010491812624	0.0220878728158109	0.0999085687891697	0.00950770941851255	0.00271521056531717	0.0105105065579517	0.0053814826408916	0.00736797766675934	0.00114860907584099	0.000754855744382296	0.00894029206202361	0.000281405696037966	0.0315366338277085	0.000495855159133116	0.000925529417363021	0.000257274332579706	0.00765174865307455	0.00382567055060544	0.00859425846085438	0.0186499872557289	0.00916985594654212	0.0228886663744032	0.00349617983201801	0.00131036461916487	0.0108928204455579	0.00406088806551839	0.000370556328918394	0.000383507874565242	0.00224093496327127	0.0623044568630161	0.00120214438419245	0.0366495107742775	0.010662581846579	0.00396513401982992
0.0057116767570941	0.00242441116941387	0.00874338365235847	0.000176695412591217	0.0471476425435547	0.0275497517275892	0.00838005829764584	0.001288957448802	0.00658917289144061	0.000191493250190467	0.02347109215656	0.0017812800523693	0.00527423776245566	0.000546533781355029	0.0222542142572063	0.0183008388784679	0.0599525964064933	0.0142446623323863	0.000565282385939285	0.014299641339958	0.00438631065649319	0.00545606899147159	0.00272190532281137	0.000823148248249512	0.0122402707371613	0.0002437489489413	0.0517156658171212	0.000296415437283521	0.000904399994562235	0.000255964443513465	0.00585584805592524	0.00432102353209961	0.00970068506277791	0.0186477353885861	0.0250663526771417	0.0293654652430086	0.00496385983063746	0.00119117771214807	0.00670041477999561	0.00924492951878929	0.000390816207524981	0.00032586455899564	0.00425171239956449	0.0313627298039138	0.00119562962569284	0.061333886343784	0.00481468132396228	0.00348914794242268
0.0020057773802053	0.000985301786195804	0.00299378388739321	0.000167517407296527	0.00971402852360407	0.038523803886745	0.0055612704141875	0.00105760569770069	0.00272158107484005	0.000471377598598779	0.013176397141798	0.000990126588365351	0.00224158430625888	0.000381527895359353	0.00964097609883867	0.0104865337089762	0.0969273802483463	0.00425866806581467	0.0003994816786705	0.00390361422056874	0.00510983944309292	0.00395836730384846	0.000780022959957162	0.000898930569877164	0.00585366000161718	0.000172967390161628	0.0110562401409889	0.00104518536213617	0.00116431596518152	0.00121676574283765	0.00470310745224537	0.00231387708476125	0.00812782423268387	0.00943191605256226	0.00361886280904818	0.0124726051029571	0.0040695966170905	0.000561768586424793	0.0053579953344552	0.00486274905968069	0.000295920195813301	0.00128105422266158	0.00491462120481263	0.0285294524199759	0.00318125943997079	0.0348082373420307	0.00561362407641016	0.00349764769380496
0.00236551225245839	0.000697672817931152	0.00206757920571767	0.000386676903341718	0.0111512004294767	0.0160208342290783	0.00298885739171021	0.00101104139314714	0.00218887273928892	0.000310566690378623	0.0156932114547648	0.00177125517393504	0.00132716860220459	2.3400834741205e-05	0.00932053166182415	0.0125061477081319	0.042377368592541	0.00662459913933788	0.0013810401357521	0.00433183202568825	0.00238598290726168	0.00144872003373152	0.000748734433685315	0.0007473964143468	0.00452818628948834	0.000206047858053894	0.00897100653281684	0.000379873253408068	0.000713293313153043	0.000972282640143225	0.00153430763826703	0.00339359378569797	0.0035322949411036	0.00697602503076481	0.00684708056278674	0.00977969504250118	0.0018937214845557	0.000991712884352251	0.00199398141534978	0.000767194295410069	0.000312715950098554	0.000740784246052159	0.00301409887126339	0.0173464189095792	0.00207649355124629	0.00839570411427207	0.00269117558719289	0.0054610902631098
0.00356511610061959	0.00313160766799569	0.00298812318397498	0.0030568664981662	0.0125452235782778	0.0277711497116753	0.00368544998130675	0.00210400236752758	0.00438000580685626	0.00418456485545229	0.00972655805717474	0.00184649975735652	0.00484369053987061	2.10864664700968e-05	0.00525702364174194	0.00889452965054241	0.0555948867858054	0.0060470162434064	0.00088525421071081	0.00374183188603016	0.00544602567215239	0.00529719917688596	0.00395139887726581	0.00672083603683234	0.00688684281315261	0.000712258835628902	0.0101456860283405	0.0112562581132749	0.0033373499469551	0.0224271048249633	0.0029517333161824	0.00384738405300434	0.00941143902324695	0.00882536207930951	0.0077267370207648	0.0103051830992643	0.00578632944680839	0.002217699668899	0.00429223749141738	0.00777904041863077	0.000859312778619257	0.0194764455950377	0.00391543433619537	0.0179325052822812	0.0368409593153332	0.03205575350816	0.00337598366071965	0.00616231975214725
0.00235988838994197	0.00151761419719516	0.00282220534519154	0.00332302544989628	0.00914194881075475	0.015163280412537	0.00273343992325454	0.000593295137467179	0.00105943773823678	0.00222300367849962	0.0097937488819257	0.000651037146582231	0.00283546902712346	2.67866698044929e-05	0.00600894675185453	0.00775479120926258	0.0295087376398037	0.00544631137673052	0.00220010054851961	0.00240864979871653	0.00363384296829548	0.00359305648725889	0.003392956894525	0.00519489491582431	0.00561219504674238	0.000858708638927828	0.00328531584362578	0.00763676600401757	0.00188108898763682	0.0212236896952421	0.000136053075541615	0.0029943797121316	0.00709657634856494	0.00583309045197367	0.00449158354739094	0.0066317159767806	0.00210230774024872	0.0010705116205305	0.00146030596330543	0.0018851059830076	0.0010167729750435	0.0171388392213434	0.00219958929974228	0.0212404968306313	0.0357855684383952	0.0195690289010803	0.00296149456358503	0.00329790353632156
0.00435242877572207	0.000398848608547649	0.00420213045573595	0.00120101875634644	0.012811411465736	0.0208234286478487	0.00261113921397112	0.000722207033684372	0.00336825370391245	0.000720068024711127	0.00887799477287405	0.000843547952614106	0.00213274749800141	0.00018827814472182	0.0136718574999776	0.00750052814048155	0.0532018578315794	0.0123411987684907	0.00180487017003549	0.0100075164181138	0.00375634817272773	0.00179825927066488	0.000557699789792038	0.00174667224957886	0.0110071476439271	0.000366164417658982	0.0160830374019319	0.0021329407725829	0.000442864957589041	0.00812082275036587	0.00147184690813202	0.002213644048435	0.00306833335095746	0.00745883242009117	0.00371530096879053	0.00996728697498134	0.000687751395969078	0.000447147857958212	0.00248039605621806	0.00515187647504718	0.000625431900197109	0.00613681890067235	0.00430959632850508	0.0125179202622381	0.0133696559693189	0.0134733455247001	0.00265513305700727	0.00813851194852551
0.00564819561901868	0.00760907084227778	0.00142537094647757	0.0239615929887096	0.00771951881290972	0.00784105469379535	0.00147801530534814	0.00153894784279432	0.0114593904317533	0.0153494685684861	0.00128670313097323	0.00213286330958951	0.00803741863228009	0.000383456535585276	0.00348908258683108	0.003970455977762	0.0205730330202902	0.00161998764067451	0.00292348913973746	0.00844642037746063	0.00505153979001944	0.000932660270129974	0.00848921022447917	0.0170683800442881	0.00628001423253605	0.00563301834401519	0.00408368766999916	0.0241309297195944	0.00195704607069185	0.0831468027218451	0.00145700475443657	0.00801922778158556	0.00304776310696753	0.00253129909637759	0.0148792194788621	0.00231659699200853	0.00121775530222624	0.00638134707058503	0.00228020138415764	0.00242893237408632	0.00836323589941317	0.0617788522612051	0.0096983144751168	0.00478110621828163	0.123774925380299	0.00345003110683785	0.00145071183997117	0.00196344256930485
