Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
SP107047	19	91	211	30	108	76	74	47	59	35	29	4	0	21	3
SP107050	11	127	72	12	84	127	20	54	24	0	0	0	0	4	0
SP99261	23	100	142	0	70	0	59	42	31	0	27	40	48	18	1
SP107052	19	110	47	50	59	0	7	33	27	29	23	37	21	0	0
SP99269	14	70	104	43	53	82	32	28	18	16	22	2	0	0	0
SP99271	4	20	121	0	13	34	13	61	13	0	0	12	0	0	0
SP107056	30	137	184	241	0	66	50	0	38	82	25	57	0	15	1
SP107060	28	169	107	0	117	0	56	0	9	0	26	4	72	0	4
SP99279	9	131	132	0	93	0	58	41	28	27	2	0	60	1	4
SP107063	11	44	15	70	5	87	16	29	25	0	28	0	28	0	0
SP107068	27	166	78	5	96	0	13	11	22	92	8	21	13	0	0
SP107071	22	81	136	80	0	181	98	94	45	0	4	0	16	17	2
SP107073	1	5	16	0	0	22	0	0	0	0	5	0	0	0	0
SP98896	35	233	192	0	184	48	82	10	49	63	32	0	10	33	9
SP99003	39	229	0	423	19	0	50	12	24	0	19	17	3	0	7
SP107076	29	75	174	111	65	38	654	79	24	0	225	204	0	32	20
SP107078	17	55	27	37	34	35	31	9	11	0	23	38	7	0	2
SP107080	33	109	73	0	0	111	229	25	17	0	79	32	25	35	14
SP98898	13	183	150	0	55	76	59	27	29	0	0	36	42	27	9
SP107084	20	119	136	0	80	74	45	0	25	0	22	56	36	0	18
SP107088	18	21	0	103	36	0	36	10	5	0	9	5	15	0	4
SP107091	35	101	103	0	79	57	34	54	17	131	18	0	6	12	8
SP107094	11	25	23	93	0	1	4	25	8	0	3	5	6	0	0
SP112224	26	96	73	0	63	46	35	27	19	0	37	105	20	21	5
SP107097	16	126	59	0	80	78	46	29	10	0	3	33	25	23	6
SP107101	45	219	148	36	52	300	106	115	160	0	23	1	0	10	3
SP98900	16	101	0	147	21	143	22	0	43	0	15	31	0	20	1
SP107104	10	43	29	0	34	106	47	13	57	54	0	0	1	2	8
SP107109	13	81	0	3	20	35	19	44	8	52	3	1	13	0	0
SP107111	31	206	44	0	156	80	36	0	60	0	11	15	0	28	0
SP107115	3	0	1	6	1	0	0	0	0	0	0	0	4	0	2
SP98902	18	89	127	149	133	0	138	19	59	0	67	46	0	15	3
SP107119	25	227	116	28	61	82	30	14	48	30	19	21	17	4	6
SP98904	11	20	46	0	36	0	0	107	19	0	4	0	76	0	0
SP98909	17	54	279	0	140	5	81	0	76	124	15	27	33	0	3
SP107121	40	199	147	20	71	98	58	177	82	0	35	67	0	0	5
SP107123	9	107	85	205	0	0	46	26	13	0	10	76	0	18	5
SP98907	28	152	192	0	94	116	46	60	52	0	12	131	0	15	15
SP107132	7	16	18	0	9	20	7	13	9	0	1	0	0	0	0
SP107136	28	119	90	0	138	0	132	69	101	92	29	0	36	34	5
SP107141	14	51	29	0	39	5	22	43	18	0	12	11	0	9	3
SP98913	27	36	89	136	79	58	57	22	22	95	37	40	0	9	3
SP107146	24	130	41	92	36	122	43	0	21	0	6	0	66	11	2
SP107150	16	60	67	76	42	68	35	64	47	0	0	0	0	14	4
SP98915	21	155	49	0	27	0	17	35	42	0	0	0	51	26	3
SP107152	11	153	192	0	95	22	19	14	20	0	19	36	72	9	14
SP107155	10	121	21	0	79	78	28	0	47	0	6	23	22	0	0
SP112125	6	18	56	118	9	43	35	78	26	0	2	7	0	0	0
SP98921	11	73	40	7	46	85	22	27	22	0	28	0	6	15	7
SP112130	16	97	82	0	61	29	19	69	14	20	10	45	19	13	2
SP112133	20	7	23	237	10	0	56	115	112	6	43	18	0	3	6
SP98925	18	104	39	0	0	41	30	11	17	3	26	26	26	0	2
SP112138	79	172	0	13	8	39	27	58	24	0	1	6	35	0	2
SP112141	30	0	224	310	0	0	63	81	16	0	114	6	0	0	3
SP98927	21	73	29	233	0	141	41	28	87	0	31	0	0	0	2
SP112147	24	81	61	0	75	168	43	8	5	48	9	1	0	10	7
SP112152	59	140	41	0	28	0	0	58	9	19	24	20	3	51	5
