Sample Names	MutationType	ID1	ID2	ID3	ID4	ID6	ID8	ID9	ID13	ID14	ID15	ID16	ID19	ID23	ID24
SP116536	1:Del:C:0	0.0003453475025124395	0.007129272696615479	0.0	0.0	0.0	0.0633863649520574	0.7234434579603111	0.0	0.0	0.0	0.0	0.0	0.20569555688850352	0.0
SP116536	1:Del:C:1	0.002463246252863008	4.815225434031201e-05	0.0	0.0	0.0	0.05611725934940433	0.3184267339205645	0.0	0.0	0.0	0.0	0.0	0.6229446082228279	0.0
SP116536	1:Del:C:2	3.2277165341903215e-17	2.074997288556443e-05	0.0	0.0	0.0	0.023930860072092858	0.026237678644416496	0.0	0.0	0.0	0.0	0.0	0.949810711310605	0.0
SP116536	1:Del:C:3	0.021349150062384862	0.018929619575686906	0.0	0.0	0.0	0.044556597251405136	0.11891489555757123	0.0	0.0	0.0	0.0	0.0	0.7962497375529518	0.0
SP116536	1:Del:C:4	0.01882170680410634	0.07035535231915266	0.0	0.0	0.0	0.025060314013321778	0.3331676445893712	0.0	0.0	0.0	0.0	0.0	0.552594982274048	0.0
SP116536	1:Del:C:5	0.1365743438614283	0.4052523783115544	0.0	0.0	0.0	0.02788172787281	0.0018155257624716038	0.0	0.0	0.0	0.0	0.0	0.42847602419173575	0.0
SP116536	1:Del:T:0	0.002475349072806959	0.010208879594914285	0.0	0.0	0.0	0.047619884922397576	0.19836192115963236	0.0	0.0	0.0	0.0	0.0	0.7413339652502487	0.0
SP116536	1:Del:T:1	1.2606054287222516e-17	1.0292906466033968e-17	0.0	0.0	0.0	0.029331088004173285	0.16869125166910728	0.0	0.0	0.0	0.0	0.0	0.8019776603267194	0.0
SP116536	1:Del:T:2	0.004578988534473389	0.023541002479002003	0.0	0.0	0.0	0.03239781735205923	0.4198405174327582	0.0	0.0	0.0	0.0	0.0	0.5196416742017071	0.0
SP116536	1:Del:T:3	0.011047232474354676	0.06661875032997505	0.0	0.0	0.0	0.034835176909873714	0.5449413843800229	0.0	0.0	0.0	0.0	0.0	0.3425574559057736	0.0
SP116536	1:Del:T:4	0.0254609958866135	0.1912795341109112	0.0	0.0	0.0	0.005568561543007468	0.560150530150827	0.0	0.0	0.0	0.0	0.0	0.2175403783086407	0.0
SP116536	1:Del:T:5	5.755554540448234e-18	0.9692708890341178	0.0	0.0	0.0	0.013607304923978105	0.0016168326453527746	0.0	0.0	0.0	0.0	0.0	0.015504973396551151	0.0
SP116536	1:Ins:C:0	5.298527944414464e-16	4.3262746055920294e-16	0.0	0.0	0.0	0.3260485609032966	8.660131776218202e-16	0.0	0.0	0.0	0.0	0.0	0.6739514390967016	0.0
SP116536	1:Ins:C:1	1.1737649115176464e-15	0.055083113156760496	0.0	0.0	0.0	0.5667753346396477	0.0006844006885888391	0.0	0.0	0.0	0.0	0.0	0.3774571515150017	0.0
SP116536	1:Ins:C:2	7.857946028368041e-16	0.004255710633267856	0.0	0.0	0.0	0.26711268913094605	0.08371276442178924	0.0	0.0	0.0	0.0	0.0	0.644918835813996	0.0
SP116536	1:Ins:C:3	0.1930892045083241	0.06715889171641524	0.0	0.0	0.0	0.019596776363587413	1.234787096228582e-15	0.0	0.0	0.0	0.0	0.0	0.720155127411672	0.0
SP116536	1:Ins:C:4	0.4069170381968897	0.45404415920928415	0.0	0.0	0.0	0.09305996212748066	0.0004922590288600169	0.0	0.0	0.0	0.0	0.0	0.04548658143748536	0.0
SP116536	1:Ins:C:5	0.731287952000546	0.1857041865771048	0.0	0.0	0.0	0.010855789909863202	0.002218255395025869	0.0	0.0	0.0	0.0	0.0	0.06993381611746001	0.0
SP116536	1:Ins:T:0	0.07459301172855952	0.02968965330839914	0.0	0.0	0.0	0.10849052950036984	0.41200738452775987	0.0	0.0	0.0	0.0	0.0	0.37521942093491156	0.0
SP116536	1:Ins:T:1	0.0010814942728261038	7.25280539501377e-17	0.0	0.0	0.0	0.0962733913567181	0.2787001080081847	0.0	0.0	0.0	0.0	0.0	0.623945006362271	0.0
SP116536	1:Ins:T:2	0.008214511568123826	0.018855780174829744	0.0	0.0	0.0	0.04486712424777294	0.09858619236153889	0.0	0.0	0.0	0.0	0.0	0.8294763916477346	0.0
SP116536	1:Ins:T:3	0.234353977185445	0.04092056782002823	0.0	0.0	0.0	0.04424764888063289	0.0884162525635368	0.0	0.0	0.0	0.0	0.0	0.5920615535503571	0.0
SP116536	1:Ins:T:4	0.6096903371415117	0.08738098920695536	0.0	0.0	0.0	0.022196806129428585	0.05805563405450515	0.0	0.0	0.0	0.0	0.0	0.2226762334675994	0.0
SP116536	1:Ins:T:5	0.9745282781457073	0.002344525437736873	0.0	0.0	0.0	0.01625003049448356	0.006314293584217791	0.0	0.0	0.0	0.0	0.0	0.0005628723378544123	0.0
SP116536	2:Del:R:0	0.010657878308665441	0.0017411854569698412	0.0	0.0	0.0	0.10038131289159495	0.20467264625616227	0.0	0.0	0.0	0.0	0.0	0.6825469770866074	0.0
SP116536	2:Del:R:1	0.010351606172558805	0.020719594468426434	0.0	0.0	0.0	0.06444240887951902	0.02714006401702208	0.0	0.0	0.0	0.0	0.0	0.8773463264624738	0.0
SP116536	2:Del:R:2	0.010253633342378185	0.027447868715772872	0.0	0.0	0.0	0.008502653010879964	0.02580379192029449	0.0	0.0	0.0	0.0	0.0	0.9279920530106744	0.0
SP116536	2:Del:R:3	0.03194849554239425	0.037858853730688896	0.0	0.0	0.0	0.0014950342402246235	0.007180026065137814	0.0	0.0	0.0	0.0	0.0	0.9215175904215543	0.0
SP116536	2:Del:R:4	0.013068578265162972	0.14443104469363047	0.0	0.0	0.0	0.04832851951778426	1.2948902640024116e-15	0.0	0.0	0.0	0.0	0.0	0.794171857523421	0.0
SP116536	2:Del:R:5	2.1759208290047134e-15	2.1004953653820345e-15	0.0	0.0	0.0	0.40352989785800364	3.556414406318882e-15	0.0	0.0	0.0	0.0	0.0	0.5964701021419885	0.0
SP116536	3:Del:R:0	0.0063402279877553805	0.0004234888836409278	0.0	0.0	0.0	0.40002737536387273	0.14152035542710545	0.0	0.0	0.0	0.0	0.0	0.4516885523376255	0.0
SP116536	3:Del:R:1	0.2600999190837957	0.1776851353435706	0.0	0.0	0.0	0.051588394484871576	0.2232902540878416	0.0	0.0	0.0	0.0	0.0	0.2873362969999205	0.0
SP116536	3:Del:R:2	0.16007543354374418	0.32597677754416154	0.0	0.0	0.0	0.057730245855241225	0.2654217104538633	0.0	0.0	0.0	0.0	0.0	0.19079583260298974	0.0
SP116536	3:Del:R:3	0.2797297395366113	0.20754613874902242	0.0	0.0	0.0	0.1407450004086576	0.22763039953941658	0.0	0.0	0.0	0.0	0.0	0.14434872176629218	0.0
SP116536	3:Del:R:4	3.2079860438065833e-14	2.6325991369193476e-14	0.0	0.0	0.0	0.019138755980859123	5.2432641984874975e-14	0.0	0.0	0.0	0.0	0.0	0.98086124401903	0.0
SP116536	3:Del:R:5	2.0840375120123098e-14	1.701627066971412e-14	0.0	0.0	0.0	0.42217582927391994	3.406236537760301e-14	0.0	0.0	0.0	0.0	0.0	0.577824170726008	0.0
SP116536	4:Del:R:0	0.008501432102881448	0.0007059469301500563	0.0	0.0	0.0	0.4204191141849727	0.12217282727957736	0.0	0.0	0.0	0.0	0.0	0.44820067950241843	0.0
SP116536	4:Del:R:1	0.07391667118595362	0.11882803954074897	0.0	0.0	0.0	0.09816081358415012	0.3771106007930216	0.0	0.0	0.0	0.0	0.0	0.3319838748961257	0.0
SP116536	4:Del:R:2	0.001826849985520941	0.21024391022221545	0.0	0.0	0.0	0.11361542334100468	0.5067806289245869	0.0	0.0	0.0	0.0	0.0	0.16753318752667193	0.0
SP116536	4:Del:R:3	1.2954029570368492e-14	0.019467090709103615	0.0	0.0	0.0	0.08305079858121445	0.09314377757545925	0.0	0.0	0.0	0.0	0.0	0.8043383331342098	0.0
SP116536	4:Del:R:4	2.7593015093012468e-14	2.2529835029832887e-14	0.0	0.0	0.0	0.5976658476657908	4.5099157599153305e-14	0.0	0.0	0.0	0.0	0.0	0.40233415233411407	0.0
SP116536	4:Del:R:5	0.13350258410529078	0.6650497723210802	0.0	0.0	0.0	0.021580202814033164	0.06328669211911708	0.0	0.0	0.0	0.0	0.0	0.11658074864047883	0.0
SP116536	5:Del:R:0	4.029805927015493e-05	0.00012713002625094574	0.0	0.0	0.0	0.8462729782721734	0.003726011647382234	0.0	0.0	0.0	0.0	0.0	0.14983358199492322	0.0
SP116536	5:Del:R:1	0.059727201283252054	0.6381450487834638	0.0	0.0	0.0	0.13208140520168674	0.1502141806131071	0.0	0.0	0.0	0.0	0.0	0.01983216411849035	0.0
SP116536	5:Del:R:2	0.1185862699066171	0.2552678815451718	0.0	0.0	0.0	0.35741341455420983	0.2486778152893548	0.0	0.0	0.0	0.0	0.0	0.02005461870464649	0.0
SP116536	5:Del:R:3	0.12323127431981724	0.7055386812709397	0.0	0.0	0.0	0.03920339954969625	0.03990346025594082	0.0	0.0	0.0	0.0	0.0	0.09212318460360606	0.0
SP116536	5:Del:R:4	0.014999890845268853	0.2795122661994506	0.0	0.0	0.0	0.4012253760888185	0.034967591198777875	0.0	0.0	0.0	0.0	0.0	0.26929487566768423	0.0
SP116536	5:Del:R:5	0.2812352217913554	0.13033197767899365	0.0	0.0	0.0	0.29329424004539867	0.26865601059301997	0.0	0.0	0.0	0.0	0.0	0.026482549891232384	0.0
SP116536	2:Ins:R:0	0.03963452046270337	0.022384333315584662	0.0	0.0	0.0	0.1392321431315858	0.11458861614407212	0.0	0.0	0.0	0.0	0.0	0.684160386946054	0.0
SP116536	2:Ins:R:1	0.0008271864929351827	0.01951194925088213	0.0	0.0	0.0	0.12853890251943645	0.22046325570691966	0.0	0.0	0.0	0.0	0.0	0.6306587060298264	0.0
SP116536	2:Ins:R:2	0.04646026612687118	0.14868981356417327	0.0	0.0	0.0	0.04710775689879372	0.1597199029887348	0.0	0.0	0.0	0.0	0.0	0.598022260421427	0.0
SP116536	2:Ins:R:3	0.302532533551892	0.15348599435556576	0.0	0.0	0.0	0.07697654353069636	0.2068591229388559	0.0	0.0	0.0	0.0	0.0	0.26014580562298995	0.0
SP116536	2:Ins:R:4	0.6175247822863908	0.2868060647694954	0.0	0.0	0.0	0.00259287464436253	0.006507847590605266	0.0	0.0	0.0	0.0	0.0	0.08656843070914598	0.0
SP116536	2:Ins:R:5	0.6302167342035535	0.3244045509648905	0.0	0.0	0.0	0.045212791300357436	1.8814428871346036e-16	0.0	0.0	0.0	0.0	0.0	0.00016592353119831876	0.0
SP116536	3:Ins:R:0	0.00013839205240198167	0.01788575648002219	0.0	0.0	0.0	0.22256227005621348	0.11513359462787477	0.0	0.0	0.0	0.0	0.0	0.6442799867834875	0.0
