Samples	ID1	ID2	ID3	ID4	ID6	ID8	ID9	ID13	ID14	ID15	ID16	ID19	ID23	ID24
SP116512	43	26	0	208	0	0	109	0	0	0	0	0	0	0
SP116465	21	52	0	119	0	0	0	0	0	0	0	0	0	0
SP116496	64	46	0	0	0	186	101	0	0	0	0	0	155	0
SP116525	29	36	0	0	0	49	68	0	0	0	0	0	72	0
SP116481	14	5	0	0	0	0	22	0	0	0	0	0	0	0
SP116586	5	0	0	0	15	0	31	0	0	24	0	0	0	0
SP116528	250	0	0	0	0	0	0	0	0	0	0	0	125	0
SP116589	94	51	0	0	0	110	140	0	0	0	0	0	0	0
SP116406	16	28	0	0	0	19	54	0	0	0	0	0	0	0
SP116484	4	5	21	0	0	0	13	0	0	0	0	0	0	0
SP116453	17	12	30	0	0	0	40	0	0	0	0	0	0	0
SP116469	27	0	0	0	0	167	94	0	0	0	0	0	80	64
SP116578	0	0	0	0	117	376	0	0	0	0	0	0	226	0
SP116531	56	0	0	0	0	0	42	0	0	0	0	0	0	0
SP116593	6	6	0	0	0	0	50	0	0	0	0	0	0	0
SP116487	9	0	0	0	10	0	11	0	0	0	0	0	0	0
SP116456	0	0	0	0	0	0	15	0	15	0	0	0	19	0
SP116472	61	59	0	0	58	0	61	0	0	0	0	0	0	0
SP116518	191	161	0	0	0	0	215	0	0	0	0	0	0	0
SP116412	30	25	0	0	0	0	48	0	0	0	0	0	0	0
SP116534	14	16	0	0	16	15	28	0	0	0	0	0	0	0
SP116596	38	0	0	0	0	148	212	0	0	0	0	0	0	0
SP116490	39	51	0	0	0	0	67	0	0	0	0	0	0	0
SP116459	46	36	0	0	0	35	84	0	0	0	0	0	0	0
SP116475	42	23	0	0	0	0	48	0	0	0	0	0	0	0
SP116520	28	36	49	0	0	34	105	0	0	0	0	0	0	0
SP116431	69	33	0	0	0	39	143	0	0	0	0	0	0	0
SP116582	136	57	0	0	0	85	115	0	0	0	0	0	0	0
SP116599	54	54	0	0	0	0	51	0	0	0	0	0	0	0
SP116478	32	35	0	0	0	0	102	0	0	0	0	0	0	0
SP116462	40	19	43	0	0	0	0	0	0	0	0	0	0	0
SP116523	60	29	0	0	0	0	38	0	0	0	0	0	0	0
SP116434	8	0	0	0	0	11	0	0	0	8	0	0	0	0
SP122725	82	46	0	54	0	43	70	0	0	0	0	0	0	0
SP122476	28	23	0	0	0	70	158	0	0	0	0	0	0	0
SP122372	0	0	0	0	0	154	84	49	0	0	0	0	0	0
SP122489	42	25	0	0	0	0	65	0	0	0	0	0	49	0
SP122560	58	24	0	0	0	43	58	0	0	0	0	0	0	0
SP122590	19	24	39	0	0	36	75	0	0	0	0	0	0	0
SP122714	24	13	0	0	0	32	79	0	0	0	0	0	0	0
SP121870	65	54	0	0	0	0	51	0	0	0	0	0	56	0
SP123010	125	0	0	0	0	0	0	0	0	0	0	0	153	0
SP121865	28	32	0	0	0	41	55	0	0	0	0	0	58	0
SP122676	174	50	0	0	0	0	147	0	0	0	0	0	0	0
SP122412	36	0	0	0	0	55	42	0	0	55	0	0	0	0
SP122392	177	86	0	0	246	0	251	0	0	0	0	0	0	0
SP122634	39	25	0	0	0	45	61	0	0	0	0	0	47	0
SP122702	46	30	0	0	0	0	103	0	0	0	0	0	97	0
SP121828	40	0	0	0	0	44	90	35	0	0	0	0	0	0
SP121783	0	0	0	0	0	84	95	0	0	63	0	0	0	0
SP121774	61	47	0	0	0	99	242	0	0	0	0	0	0	0
SP121790	21	23	0	0	0	38	107	0	0	42	0	0	0	0
SP121859	40	26	0	0	0	0	103	0	0	0	0	0	61	0
SP121808	18	0	0	0	0	23	0	0	0	0	0	0	91	0
SP121781	73	78	0	0	0	107	296	0	0	0	0	0	0	0
SP121763	21	0	0	0	0	65	75	0	0	0	0	0	0	0
SP121811	22	0	0	0	44	56	79	0	0	0	0	0	0	0
SP121852	44	29	0	0	0	74	108	0	0	0	0	0	0	0
SP122361	131	201	0	120	0	0	237	0	0	0	0	0	0	0
SP121837	0	0	0	0	0	69	85	0	0	0	0	0	0	0
SP121824	0	0	0	0	0	37	37	0	0	0	0	0	43	0
SP121841	8	20	28	0	0	16	44	0	0	0	0	0	0	0
SP121831	45	30	0	0	0	50	95	0	0	0	0	0	0	0
SP121761	73	28	65	0	0	56	162	0	0	0	0	0	0	0
SP121816	27	24	84	0	0	40	93	0	0	0	0	0	0	0
SP121861	0	0	0	0	0	0	0	0	5	0	0	0	11	0
SP121847	38	19	0	0	0	48	81	0	0	59	0	0	0	0
DRUP01010001T	88	44	0	119	0	138	169	0	0	0	0	0	0	0
CPCT02010424T	141	0	0	0	0	233	196	81	0	0	0	0	0	0
CPCT02010349T	16	0	0	32	0	37	40	19	0	0	0	0	0	0
CPCT02020325T	73	23	0	0	0	46	0	0	0	0	0	138	61	0
CPCT02030246T	49	30	0	0	0	63	0	0	0	0	0	102	116	0
CPCT02070010T	106	37	0	0	0	0	58	0	0	0	0	96	0	0
CPCT02010370T	14	29	0	0	0	76	84	0	0	0	0	50	0	0
CPCT02010369T	176	74	0	0	0	259	0	0	0	0	0	177	280	0
CPCT02070013T	103	78	0	0	0	321	106	0	0	0	0	124	163	0
CPCT02060018T	74	0	0	0	0	0	0	0	0	0	0	107	98	0
CPCT02060022T	73	27	0	0	0	49	0	0	0	0	0	84	91	0
CPCT02070009T	123	54	0	0	0	110	103	0	0	0	0	191	0	0
CPCT02010398T	41	54	0	0	0	298	0	0	0	0	0	186	112	0
CPCT02010408T	74	0	71	0	0	81	0	0	0	0	0	158	0	0
CPCT02030246TII	79	37	0	0	0	47	85	0	0	0	0	50	87	0
CPCT02010386T	189	87	0	0	0	91	151	0	0	0	0	97	0	0
CPCT02020309T	153	48	0	0	0	110	0	0	0	0	0	266	0	0
CPCT02080045T	102	127	0	0	0	538	164	0	0	0	0	0	329	0
CPCT02020398T	44	33	0	40	0	73	0	0	0	0	0	76	0	0
CPCT02010392T	0	0	0	0	0	100	0	0	0	0	0	164	0	0
CPCT02090003T	112	20	0	0	0	58	42	0	0	0	0	130	0	0
CPCT02060274T	141	86	0	0	0	79	0	0	0	0	0	101	133	0
CPCT02020650T	94	0	0	0	0	247	0	0	0	0	0	139	250	0
CPCT02080181T	64	20	0	45	0	50	65	0	0	59	0	80	0	0
DRUP01340015T	0	0	0	0	0	0	0	0	258	0	162	240	0	0
CPCT02070436T	180	239	0	0	1685	376	319	0	0	0	0	0	0	0
CPCT02050225TII	93	42	0	0	0	0	0	0	0	0	0	142	105	0
DRUP01070031T	239	0	0	0	0	0	0	0	0	0	0	136	0	0
CPCT02070278T	53	0	0	0	0	51	0	0	0	0	0	120	0	0
CPCT02010732T	155	42	0	0	0	115	0	0	0	0	0	188	0	0
CPCT02060181T	49	55	0	0	0	52	0	0	0	0	0	110	82	0
CPCT02080175T	105	32	0	0	0	108	0	0	0	0	0	149	121	0
CPCT02020903T	31	37	0	62	46	0	55	0	0	0	0	84	0	0
CPCT02070441T	134	40	0	0	0	0	0	0	0	0	0	83	96	0
CPCT02080181TII	81	0	0	0	0	0	175	0	133	0	0	148	0	0
CPCT02070290T	98	41	0	0	0	81	76	0	0	81	0	129	0	0
DRUP01090011T	100	0	0	0	0	89	0	0	0	0	0	216	0	0
CPCT02080297T	63	42	0	0	0	73	168	0	0	0	0	0	0	0
CPCT02010680T	32	21	66	0	0	59	0	0	0	0	0	125	0	0
CPCT02090064T	85	38	0	0	0	0	0	0	0	0	0	47	90	0
CPCT02020937T	162	40	0	0	0	0	0	0	0	0	0	137	0	0
CPCT02090065T	122	50	0	0	0	77	82	0	0	0	0	98	0	0
CPCT02060191T	128	96	0	0	0	307	0	0	0	0	0	130	247	0
CPCT02060192T	0	0	0	0	0	116	0	0	0	0	0	195	0	0
CPCT02011090T	38	0	0	44	0	0	45	0	0	0	0	56	0	0
CPCT02070463T	58	20	0	0	71	73	0	0	0	0	0	50	67	0
CPCT02011094T	22	0	0	0	0	0	32	0	0	0	0	47	0	61
CPCT02030458T	39	0	0	0	0	97	0	0	0	0	0	142	0	0
CPCT02060282T	48	14	0	0	0	0	0	0	0	0	0	39	45	0
DRUP01090012T	205	0	0	0	0	0	0	0	0	0	0	230	0	0
CPCT02090042T	66	0	63	0	0	72	0	0	0	0	0	109	0	0
CPCT02340078T	16	0	0	0	0	37	0	0	0	0	0	100	0	0
WIDE01010040T	59	53	0	0	0	447	0	0	0	0	0	0	333	0
CPCT02020683T	83	0	0	0	0	706	0	0	0	0	0	278	303	0
CPCT02020691T	130	91	0	0	0	188	0	0	0	0	0	243	172	0
DRUP01010077T	145	0	0	0	0	84	71	0	0	0	0	129	0	0
DRUP01050021T	716	1060	0	0	0	837	0	732	0	0	0	485	0	0
CPCT02080206T	29	10	0	0	0	36	0	0	0	0	0	88	32	0
CPCT02060292T	141	0	0	0	0	313	0	0	0	0	0	0	189	0
CPCT02060290T	22	17	0	0	0	33	50	0	0	0	0	44	0	0
CPCT02090044T	82	0	0	0	0	230	0	520	0	0	0	217	258	0
WIDE01010138T	111	0	0	0	0	181	0	0	0	0	0	176	0	0
CPCT02130062T	73	51	0	0	0	115	95	0	0	0	0	153	0	0
WIDE01010160T	165	100	0	0	0	130	95	0	0	0	0	101	0	0
CPCT02020706T	0	0	0	0	0	74	0	0	0	0	0	135	0	0
CPCT02070313T	48	36	0	0	0	50	0	0	0	0	0	116	52	0
WIDE01010187T	80	0	0	0	0	377	182	0	0	0	0	0	256	0
WIDE01010169T	447	205	0	0	0	0	348	0	0	0	0	0	0	0
CPCT02100161T	499	202	0	0	0	671	454	0	0	0	0	0	0	0
CPCT02070317T	145	77	0	0	0	0	82	0	0	0	0	114	0	0
WIDE01010239T	213	45	0	0	0	0	0	0	0	0	0	151	0	0
WIDE01010233T	245	156	0	0	0	0	101	0	0	0	0	134	0	0
CPCT02070322T	43	0	0	0	0	68	0	0	0	0	0	140	64	0
WIDE01010262T	0	96	0	0	0	372	0	0	0	0	0	0	343	0
WIDE01010267T	207	116	0	0	0	0	117	0	0	0	0	107	0	0
WIDE01010293T	0	0	0	0	0	0	0	0	0	0	0	48	0	29
WIDE01010167T	27	0	70	0	0	52	0	0	0	0	0	65	0	0
CPCT02060211T	56	95	0	0	0	100	123	0	0	0	0	225	0	0
DRUP01080012T	0	130	0	0	0	751	0	0	0	0	0	650	297	0
WIDE01010356T	50	28	0	0	128	84	0	0	0	0	0	107	116	0
WIDE01010374T	34	31	0	0	0	223	61	0	0	0	0	0	0	0
WIDE01010393T	147	153	0	0	0	447	421	0	0	203	0	0	0	0
CPCT02090036T	321	204	0	0	0	0	0	0	0	0	0	143	0	0
CPCT02340018TII	65	82	0	0	178	372	212	0	0	0	0	341	0	0
CPCT02340088T	48	44	61	62	0	74	0	0	0	0	0	105	0	0
WIDE01010452T	222	0	0	0	0	0	0	0	0	0	0	0	189	0
CPCT02080227T	92	0	0	0	0	142	0	0	0	0	0	232	0	0
CPCT02060230T	343	0	0	0	0	0	0	0	0	0	0	172	0	0
CPCT02020750T	13	0	36	0	0	46	0	0	0	0	0	84	0	0
CPCT02060241T	38	46	0	38	0	53	0	0	0	0	0	100	0	0
CPCT02060245T	48	56	0	0	0	62	80	0	0	0	0	151	0	0
CPCT02070319T	42	21	0	0	0	97	54	0	0	69	0	153	0	0
CPCT02010856T	80	40	0	279	0	76	0	0	0	0	0	87	0	0
CPCT02090052T	71	103	0	0	0	0	203	0	0	0	0	117	0	0
CPCT02090053T	35	53	0	0	0	52	45	0	0	0	0	102	0	0
CPCT02070357T	351	399	0	0	0	572	931	0	0	0	0	0	0	0
CPCT02090057T	0	0	33	31	0	49	38	0	0	0	0	51	0	0
CPCT02270035T	124	32	0	0	0	61	56	0	0	0	0	128	0	0
CPCT02060254T	134	145	0	0	0	0	163	0	0	0	0	101	0	0
CPCT02070365T	49	38	0	0	0	52	50	0	0	0	0	70	0	0
CPCT02060258T	38	0	45	0	0	43	0	0	0	0	0	88	0	0
CPCT02080247T	113	53	0	0	0	143	0	0	0	0	0	271	0	0
CPCT02020794T	156	57	0	305	0	134	148	0	0	0	0	165	0	0
CPCT02020790T	46	0	0	0	0	59	56	0	0	77	0	96	0	0
CPCT02060253T	36	0	0	0	0	54	55	0	0	0	0	88	0	54
CPCT02020775T	73	35	0	0	0	0	0	0	0	0	0	93	99	0
CPCT02030513T	110	0	0	0	0	116	109	0	0	0	0	190	0	0
CPCT02380051T	29	34	0	0	0	50	0	0	0	0	0	109	0	0
CPCT02080248T	60	52	0	0	0	87	0	0	0	0	0	149	0	0
CPCT02070371T	0	59	0	0	0	163	55	0	0	0	0	118	0	0
CPCT02070366T	26	0	0	0	0	71	34	0	0	0	0	115	0	0
CPCT02050392T	34	25	0	0	0	91	0	0	0	0	0	143	67	0
CPCT02130147T	337	96	0	0	0	618	0	0	0	0	0	0	352	0
CPCT02020812T	94	39	0	0	0	48	0	0	0	0	0	95	0	0
CPCT02020820T	72	0	0	0	0	151	0	0	0	0	0	190	0	0
DRUP01090014T	266	153	0	0	0	0	131	0	0	0	0	145	0	0
CPCT02060240T	151	44	0	0	0	113	0	0	0	0	0	134	127	0
DRUP01060024T	416	82	0	0	0	421	0	0	0	0	0	183	0	0
CPCT02020848T	0	0	0	42	0	68	42	36	0	0	0	87	0	0
CPCT02010648T	0	61	0	0	0	174	112	0	0	0	0	134	0	0
CPCT02060130T	63	38	0	0	0	78	0	0	0	0	0	99	87	64
CPCT02010649T	315	0	0	0	0	0	0	0	0	0	0	265	0	0
CPCT02060127T	151	34	0	0	0	0	76	0	0	0	0	134	0	0
CPCT02340106T	70	0	0	0	0	94	66	0	0	0	0	170	0	0
CPCT02150034T	250	104	0	0	0	144	116	0	0	0	0	97	171	0
CPCT02030415T	0	0	0	0	0	496	414	233	0	0	0	562	0	0
CPCT02060235T	51	0	62	0	0	45	0	0	0	0	0	58	0	51
CPCT02010625T	164	0	0	0	0	76	0	0	0	0	0	150	0	0
CPCT02060275T	97	71	0	0	0	57	0	0	0	0	0	124	0	0
CPCT02340026T	23	30	0	0	0	42	0	0	0	0	0	141	96	0
CPCT02090063T	87	27	0	0	0	93	0	0	0	0	0	0	99	0
CPCT02010549T	26	32	0	0	0	117	0	0	0	0	0	259	0	0
CPCT02060066T	35	17	0	31	0	61	36	0	0	0	0	55	0	0
CPCT02020450T	38	0	0	0	0	32	42	0	0	0	0	30	0	0
CPCT02010406TII	0	22	0	0	0	62	0	0	0	0	0	57	95	0
CPCT02050167T	69	36	0	40	0	51	58	0	0	0	0	46	0	0
CPCT02110036T	0	17	0	0	0	74	46	0	0	0	0	107	0	0
CPCT02010599T	70	67	0	0	0	0	59	0	0	0	0	91	0	0
CPCT02010595T	82	51	0	0	0	0	0	0	0	0	0	0	91	0
CPCT02100091T	0	0	0	0	347	423	284	0	0	0	0	0	608	0
CPCT02060104T	0	0	0	0	0	23	0	0	0	0	0	38	51	0
CPCT02010600T	255	0	0	0	0	0	0	0	0	0	0	180	0	0
CPCT02110040T	328	147	0	0	0	0	418	0	0	0	0	368	0	0
CPCT02340018T	62	86	0	0	276	351	203	0	0	0	0	234	0	0
CPCT02050225T	115	45	0	0	0	0	0	0	0	0	0	129	113	0
CPCT02040141T	72	0	0	0	0	136	0	0	0	0	0	249	0	0
CPCT02340020T	42	51	0	0	0	81	42	0	0	0	0	128	0	0
CPCT02080139T	0	0	0	0	0	61	0	0	0	0	0	128	0	0
CPCT02060061T	269	351	0	0	0	0	185	0	0	0	0	0	0	0
CPCT02070051T	64	0	0	0	0	163	0	0	0	0	0	121	0	0
CPCT02010408TII	68	0	69	55	0	75	0	0	0	0	0	101	0	0
CPCT02010429T	57	0	0	0	0	61	0	0	0	0	0	71	68	0
CPCT02020438T	50	42	0	84	87	90	132	0	0	0	0	64	0	0
CPCT02040072T	56	45	79	0	0	71	121	0	0	0	0	75	0	0
CPCT02020428T	331	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02010494T	63	31	0	120	0	61	83	0	0	0	0	68	0	0
CPCT02070095T	112	50	0	0	0	70	124	0	0	0	0	73	0	0
DRUP01070006T	14	0	0	0	0	22	0	0	0	0	0	61	0	0
DRUP01070005T	132	60	0	0	0	93	148	0	0	0	0	130	0	0
CPCT02020465T	12	0	0	0	0	46	69	0	0	0	0	53	0	0
CPCT02030325T	138	38	0	0	0	0	83	0	0	0	0	85	89	0
CPCT02090011T	103	91	100	0	69	0	0	0	0	0	0	117	0	0
CPCT02060071T	260	53	0	0	0	210	0	0	0	0	0	133	0	0
DRUP01070010T	137	0	0	0	0	72	85	0	0	0	0	121	0	0
CPCT02070111T	0	0	48	0	0	50	0	0	0	0	0	86	0	0
CPCT02070098T	159	90	0	0	0	0	140	0	0	0	0	0	0	0
CPCT02090012T	81	73	0	178	0	0	217	0	0	0	0	0	0	0
DRUP01090001T	147	51	0	0	0	0	66	0	0	0	0	81	0	0
CPCT02070108T	26	34	0	0	0	80	100	0	0	0	0	83	0	0
CPCT02010548T	62	0	0	0	0	41	48	0	0	0	0	76	0	0
CPCT02090014T	262	85	0	0	0	0	159	0	0	0	0	0	0	0
CPCT02010559T	149	0	0	0	0	98	0	0	0	0	0	142	0	0
CPCT02080102T	169	107	0	0	0	132	129	0	0	0	0	152	0	0
CPCT02030422T	35	0	39	0	0	57	0	0	0	0	0	104	0	0
CPCT02070249T	154	0	0	0	0	506	0	0	0	0	0	0	467	0
DRUP01070029T	118	38	0	0	0	86	0	0	0	0	0	184	0	0
CPCT02070247T	0	0	0	0	0	95	0	0	0	0	0	168	0	0
DRUP01010053T	108	21	0	0	0	58	0	0	0	0	0	116	89	0
DRUP01100003T	0	0	0	0	0	943	0	0	0	0	0	919	626	0
CPCT02070257T	249	109	0	0	0	0	0	0	0	0	0	186	120	0
CPCT02340046T	0	0	0	0	0	99	0	0	0	0	0	191	0	0
DRUP01080008T	147	97	0	0	0	281	0	0	0	0	0	577	0	0
DRUP01340002T	0	27	0	0	0	69	0	0	0	0	0	149	91	0
CPCT02010715T	34	0	0	0	0	109	0	0	0	0	0	242	0	0
WIDE01010465T	106	0	0	71	0	0	0	0	0	0	0	108	0	0
WIDE01010487T	37	23	0	49	0	68	67	0	0	0	0	90	0	0
WIDE01010492T	43	62	0	0	0	0	134	0	0	0	0	115	0	0
WIDE01010497T	24	0	34	0	0	89	0	0	0	0	0	75	57	0
WIDE01010521T	378	193	0	0	0	318	320	0	0	0	0	0	0	0
WIDE01010519T	74	0	0	0	0	406	0	0	0	0	0	0	316	0
WIDE01010527T	0	0	0	0	0	17	26	0	0	0	0	35	0	0
WIDE01010517T	0	29	0	0	0	72	136	0	0	0	0	66	0	0
WIDE01010699T	83	0	0	0	0	98	68	0	0	0	0	0	0	0
WIDE01010713T	490	177	0	0	0	211	0	0	0	0	0	0	0	0
