Samples	ID1	ID2	ID3	ID4	ID6	ID8	ID9	ID13	ID14	ID15	ID16	ID19	ID23	ID24
SP116536	19	13	0	0	0	14	19	0	0	0	0	0	35	0
SP116539	0	3	0	0	5	0	0	0	0	0	0	0	15	0
SP116542	6	0	0	0	0	0	0	0	0	0	0	0	24	0
SP116545	0	6	0	0	0	0	23	0	0	0	0	0	0	0
SP116548	10	5	0	0	0	0	0	0	0	0	0	0	25	0
SP116550	1	0	0	0	0	0	2	0	0	0	0	0	0	3
SP116553	19	0	0	0	0	0	16	0	0	0	0	0	0	0
SP116557	0	0	0	0	4	0	0	0	0	0	0	2	3	0
SP116559	8	4	0	0	0	0	12	0	0	0	0	0	16	0
SP116562	22	0	0	0	0	15	0	9	0	0	0	0	0	0
SP116564	8	8	0	0	0	0	0	0	0	13	0	0	0	17
SP116571	4	9	0	0	0	0	0	0	0	0	0	0	13	0
SP116393	0	0	0	0	2	0	0	0	0	0	0	0	0	0
SP116442	0	0	0	0	0	0	4	0	0	0	0	0	0	0
SP116446	0	0	0	0	0	0	0	0	0	0	0	0	10	0
SP116419	0	17	0	0	0	0	90	24	0	0	0	0	0	0
SP116383	83	118	0	0	0	181	121	0	0	0	0	0	0	0
SP116385	87	23	0	0	0	58	58	0	0	0	0	0	0	0
SP116440	52	24	68	0	0	0	0	35	0	0	0	0	0	0
SP116450	132	57	0	0	0	148	107	0	0	0	0	0	0	0
SP116493	43	0	0	0	0	0	40	0	0	0	0	0	0	0
SP116391	23	22	0	0	0	0	29	0	0	0	0	0	0	0
SP116401	15	0	0	0	0	21	0	0	0	0	0	0	30	0
SP116409	47	16	0	44	0	0	37	0	0	0	0	0	0	0
SP116416	0	6	0	0	0	0	25	0	0	0	0	0	0	0
SP116424	4	0	0	9	0	6	9	6	0	0	0	0	0	0
SP116515	0	12	0	0	0	32	50	0	0	0	0	0	0	0
SP116499	17	37	0	0	26	0	78	0	0	0	0	0	0	0
SP116505	165	65	0	0	0	0	48	0	0	0	0	0	0	0
SP116509	28	44	0	0	0	37	73	0	0	0	0	0	0	0
SP116437	10	0	19	0	0	0	21	15	0	0	0	0	0	0
