cancertype	sig	Gender	p.value	odds_ratio	p.adj
Biliary	C_ID19	Female	0.133069977376094	2.02026074393521	0.689434029027634
Biliary	C_ID5	Female	0.343781105140299	0.584229780453583	0.831433127385083
Biliary	ID_N	Female	0.390229057517209	1.50080804067479	0.83367116833222
Bladder	C_ID1	Female	0.50980858128075	0.74579590942542	0.863065497508137
Bladder	C_ID19	Female	0.66107144489985	0.805635234120043	0.863065497508137
Bladder	C_ID3	Female	0.493228099432038	0.698712456426076	0.863065497508137
Bladder	ID_N	Female	0.646511380197521	0.790381932711032	0.863065497508137
Bone.SoftTissue	C_ID1	Female	0.252096205722342	0.69890174221894	0.82551219046425
Bone.SoftTissue	C_ID19	Female	0.676806064659977	1.16333561954796	0.871503699699148
Bone.SoftTissue	C_ID4	Female	0.497764865490098	1.40428524356967	0.863065497508137
Bone.SoftTissue	C_ID9	Female	0.266996292293019	1.37259052397132	0.82551219046425
Bone.SoftTissue	ID_B	Female	0.0703814769214052	0.531025881791579	0.689434029027634
Bone.SoftTissue	ID_N	Female	0.27471311704447	1.53339777555667	0.82551219046425
CNS	C_ID1	Female	0.511075405950891	1.17093615338684	0.863065497508137
CNS	C_ID10	Female	0.630120744159271	0.819094877132137	0.863065497508137
CNS	C_ID19	Female	0.767149258515491	1.10233457996624	0.912810510132356
CNS	C_ID2	Female	0.0755235763452977	2.31936182788185	0.689434029027634
CNS	C_ID4	Female	0.826247464663013	0.949378550539976	0.936876171646361
CNS	C_ID5	Female	0.500126894074981	1.41393771862336	0.863065497508137
CNS	C_ID9	Female	0.564581494648128	0.852276440574064	0.863065497508137
CNS	ID_A	Female	0.510605135030286	0.705195213699935	0.863065497508137
CNS	ID_B	Female	0.367935183228812	0.613078683079382	0.831433127385083
CNS	ID_D	Female	0.44460148965328	0.709190891380633	0.863065497508137
CNS	ID_N	Female	0.689900357895171	0.875909517615503	0.876359914083055
Colon	C_ID1	Female	0.766992581343509	1.06782716294781	0.912810510132356
Colon	C_ID14	Female	0.920664915667375	1.03404783407983	0.972387663738576
Colon	C_ID18	Female	0.877075564945529	1.08296369820383	0.936876171646361
Colon	C_ID19	Female	0.281025426541021	0.781142436106012	0.82551219046425
Colon	C_ID2	Female	0.146427825650744	0.636587649638136	0.689434029027634
Colon	C_ID7	Female	0.838406206681569	0.855193485414018	0.936876171646361
Colon	ID_A	Female	0.109051384776108	0.527163852615347	0.689434029027634
Colon	ID_N	Female	0.245998151183368	1.43293546078286	0.82551219046425
Esophagus	C_ID1	Female	0.00409990437729873	3.22282681374888	0.187632705905601
Esophagus	C_ID14	Female	0.606452454125407	1.25382884884297	0.863065497508137
Esophagus	C_ID19	Female	0.630586285157324	1.22136120098253	0.863065497508137
Esophagus	C_ID2	Female	0.33543230933371	0.535131224047242	0.831433127385083
Esophagus	C_ID5	Female	0.630586285157324	1.22136120098253	0.863065497508137
Esophagus	ID_N	Female	0.217387804613155	0.480350022074457	0.82551219046425
Head	C_ID19	Female	0.0797627103217908	2.37595189094849	0.689434029027634
Head	C_ID5	Female	0.235134298411267	0.50321444727453	0.82551219046425
Head	ID_B	Female	0.237228079336741	1.84776965457126	0.82551219046425
Head	ID_N	Female	0.371491397342271	0.60295244347598	0.831433127385083
Kidney	C_ID1	Female	0.134040021272604	0.60013522735527	0.689434029027634
Kidney	C_ID19	Female	0.298372544552273	0.583828821356584	0.831433127385083
Kidney	C_ID4	Female	0.581539490513156	1.25782720293781	0.863065497508137
Kidney	C_ID5	Female	1	1.03387619150674	1
