cancertype	sig	Gender	p.value	odds_ratio	p.adj
Liver	C_ID3	Female	0.0691295750246238	0.637182372875605	0.689434029027634
Liver	C_ID5	Female	0.023995483033655	0.573259039537162	0.451115081032713
Liver	C_ID8	Female	0.00798437046406813	0.270665346691066	0.187632705905601
Liver	C_ID9	Female	0.61523915372729	1.33402615134227	0.863065497508137
Liver	ID_B	Female	0.094290568054975	1.50612609378294	0.689434029027634
Lung	C_ID1	Female	0.610049737581012	1.16851173134946	0.863065497508137
Lung	C_ID19	Female	0.51017516131393	1.19570336849286	0.863065497508137
Lung	C_ID3	Female	0.00281135498423806	0.397050596572556	0.187632705905601
Lung	C_ID5	Female	0.388595830158031	1.55352427730225	0.83367116833222
Lung	C_ID9	Female	0.874156219281355	1.09484982566732	0.936876171646361
Lung	ID_B	Female	0.607523204861397	1.24512044947327	0.863065497508137
Lung	ID_N	Female	0.562751791948456	0.824779111785415	0.863065497508137
Lymphoid	C_ID1	Female	0.0370510924253743	1.8941689032524	0.580467114664197
Lymphoid	C_ID2	Female	0.458507771308714	0.727085218432324	0.863065497508137
Lymphoid	C_ID5	Female	1	1.04973944351004	1
Lymphoid	C_ID9	Female	0.127822839014168	1.59963702218891	0.689434029027634
Lymphoid	ID_N	Female	0.718063164569744	1.20643732771962	0.890308023368971
Myeloid	C_ID1	Female	0.637077147527254	0.722902475292088	0.863065497508137
Myeloid	C_ID9	Female	0.328742310242566	0.577378436852331	0.831433127385083
Other	C_ID1	Female	0.871532422183086	1.1070461941951	0.936876171646361
Other	C_ID19	Female	0.0079197376281683	0.424345752577453	0.187632705905601
Other	C_ID3	Female	0.651409377460877	0.753251838544302	0.863065497508137
Other	C_ID4	Female	0.659938319970955	1.25721402373184	0.863065497508137
Other	C_ID5	Female	0.266702726065325	0.561018776785422	0.82551219046425
Other	C_ID9	Female	0.846438692991156	1.14781148799108	0.936876171646361
Other	ID_B	Female	0.719823508255764	0.837021648649028	0.890308023368971
Other	ID_N	Female	0.348694622061562	1.36756598754102	0.831433127385083
Pancreas	C_ID1	Female	1	1.00697476830707	1
Pancreas	C_ID10	Female	0.850987713461625	0.874336639106086	0.936876171646361
Pancreas	C_ID19	Female	0.734400488000406	0.878694305655846	0.896540855481015
Pancreas	C_ID4	Female	0.863757958374014	1.11283987073959	0.936876171646361
Pancreas	C_ID5	Female	0.574441105410319	0.824175642564801	0.863065497508137
Pancreas	C_ID6	Female	1	0.976681438537669	1
Pancreas	C_ID9	Female	0.601725526614713	1.15938388712288	0.863065497508137
Pancreas	ID_B	Female	0.360036922887737	0.719058302138559	0.831433127385083
Pancreas	ID_N	Female	0.836270940264214	1.05922374950497	0.936876171646361
Skin	C_ID1	Female	0.138094019750899	1.48104732962125	0.689434029027634
Skin	C_ID13	Female	0.0970435555710257	0.623331849548772	0.689434029027634
Skin	C_ID19	Female	0.139188197442656	1.48382200963099	0.689434029027634
Skin	C_ID8	Female	0.349942905872178	0.671962952762743	0.831433127385083
Skin	C_ID9	Female	0.33959255376214	1.47007645723898	0.831433127385083
Skin	ID_B	Female	0.443854836925748	1.29170257866098	0.863065497508137
Skin	ID_N	Female	0.177071458130733	1.50814816575158	0.792605574489949
Stomach	C_ID1	Female	0.189639985145875	1.98525360040255	0.802376665973796
Stomach	C_ID2	Female	1	1.01954131783174	1
Stomach	C_ID5	Female	0.146688091282475	0.285096100346663	0.689434029027634
Stomach	ID_N	Female	0.582413831827484	0.679555204847049	0.863065497508137
Thymus	C_ID1	Female	0.196326205504227	0.388613506933247	0.802376665973796
Biliary	InsDel19b	Female	0.133069977376094	2.02026074393521	0.765152369912543
Biliary	InsDel1a	Female	0.824100937452876	1.13727602674493	0.997799635393051
Biliary	InsDel5a	Female	0.221131765677777	0.518988544656163	0.839422434576162
Biliary	InsDel_N_beta	Female	0.390229057517209	1.50080804067479	0.944765086620612
Bladder	InsDel19b	Female	0.502959339417172	0.692725032814135	0.995316810447997
Bladder	InsDel1a	Female	0.824856009792112	0.851361680460711	0.997799635393051
Bladder	InsDel_N_beta	Female	0.646511380197521	0.790381932711032	0.995316810447997
Bone.SoftTissue	InsDel19b	Female	0.889343153285111	1.07659802592796	0.997799635393051
Bone.SoftTissue	InsDel1a	Female	0.409809468609867	0.794281386808552	0.966730028515585
Bone.SoftTissue	InsDel4	Female	0.497764865490098	1.40428524356967	0.995316810447997
Bone.SoftTissue	InsDel9	Female	0.266996292293019	1.37259052397132	0.879878231134594
Bone.SoftTissue	InsDel_B	Female	0.0703814769214052	0.531025881791579	0.744000592711197
Bone.SoftTissue	InsDel_N_beta	Female	0.187085213400089	1.70090084009565	0.780525094068632
CNS	InsDel10	Female	0.630120744159271	0.819094877132137	0.995316810447997
CNS	InsDel19b	Female	1	0.998950108344961	1
CNS	InsDel1a	Female	0.913519245929117	1.03535355231298	1
CNS	InsDel1c	Female	0.301493880642794	1.45774089403741	0.900736628993074
CNS	InsDel4	Female	0.826247464663013	0.949378550539976	0.997799635393051
CNS	InsDel9	Female	0.564581494648128	0.852276440574064	0.995316810447997
CNS	InsDel_B	Female	0.367935183228812	0.613078683079382	0.923708339337539
CNS	InsDel_D	Female	0.44460148965328	0.709190891380633	0.967738358683678
CNS	InsDel_N_beta	Female	0.888748282514609	0.933230017639413	0.997799635393051
Colon	InsDel14	Female	0.920664915667375	1.03404783407983	1
Colon	InsDel18	Female	0.877075564945529	1.08296369820383	0.997799635393051
Colon	InsDel19b	Female	0.190527506643327	0.7423101754118	0.780525094068632
Colon	InsDel1a	Female	0.626056371536728	1.10280725617814	0.995316810447997
Colon	InsDel2a	Female	0.109051384776108	0.527163852615347	0.765152369912543
Colon	InsDel7	Female	0.838406206681569	0.855193485414018	0.997799635393051
Colon	InsDel_A_alpha	Female	0.0698456105240939	0.471846781855324	0.744000592711197
Colon	InsDel_N_beta	Female	0.195131273517158	1.52633852222875	0.780525094068632
Esophagus	InsDel14	Female	0.606452454125407	1.25382884884297	0.995316810447997
Esophagus	InsDel19b	Female	0.794654902688309	1.19707829350396	0.997799635393051
Esophagus	InsDel1a	Female	0.00133630120645587	3.84549582695721	0.0614698554969702
Esophagus	InsDel2a	Female	0.303509081508536	0.453266823745936	0.900736628993074
Esophagus	InsDel5a	Female	1	1.06731017927794	1
Esophagus	InsDel_N_beta	Female	0.144146728573683	0.451798407580626	0.780088178163461
Head	InsDel19b	Female	0.0797627103217908	2.37595189094849	0.744000592711197
Head	InsDel1a	Female	0.657994050273593	1.26975463370625	0.995316810447997
Head	InsDel5a	Female	0.235134298411267	0.50321444727453	0.839422434576162
Head	InsDel_B	Female	0.237228079336741	1.84776965457126	0.839422434576162
Head	InsDel_N_beta	Female	0.371491397342271	0.60295244347598	0.923708339337539
Kidney	InsDel19b	Female	0.298372544552273	0.583828821356584	0.900736628993074
Kidney	InsDel1a	Female	0.13163883659196	0.568797970663849	0.765152369912543
Kidney	InsDel4	Female	0.581539490513156	1.25782720293781	0.995316810447997
Kidney	InsDel5a	Female	0.26778902686705	0.664250877427568	0.879878231134594
Liver	InsDel1a	Female	1	1.03669384395501	1
Liver	InsDel1c	Female	0.889064513817736	0.950568869891571	0.997799635393051
Liver	InsDel3b	Female	0.0913083090428636	0.653511921412859	0.744000592711197
Liver	InsDel5a	Female	0.00385330359155569	0.48080075295598	0.118167976807708
Liver	InsDel5b	Female	1	1.05202469792314	1
Liver	InsDel8	Female	0.00798437046406813	0.270665346691066	0.183640520673567
Liver	InsDel9	Female	0.61523915372729	1.33402615134227	0.995316810447997
Liver	InsDel_B	Female	0.094290568054975	1.50612609378294	0.744000592711197
Lung	InsDel19b	Female	0.59388057923439	1.18838132870469	0.995316810447997
Lung	InsDel1a	Female	0.452312493732589	1.23182490445609	0.967738358683678
Lung	InsDel1c	Female	1	0.918718624991361	1
Lung	InsDel3b	Female	0.00075131111450304	0.367028213250231	0.0614698554969702
Lung	InsDel9	Female	0.874156219281355	1.09484982566732	0.997799635393051
Lung	InsDel_B	Female	0.607523204861397	1.24512044947327	0.995316810447997
Lung	InsDel_N_beta	Female	0.466503790795471	0.784298828962988	0.975417017117803
Lymphoid	InsDel1a	Female	0.840496126542468	1.09221261424539	0.997799635393051
Lymphoid	InsDel1c	Female	0.01056037920811	2.63052373514104	0.194310977429223
Lymphoid	InsDel5a	Female	1	0.925240258791531	1
Lymphoid	InsDel9	Female	0.127822839014168	1.59963702218891	0.765152369912543
Lymphoid	InsDel_N_beta	Female	0.724901985430724	1.1658383841768	0.997799635393051
Myeloid	InsDel1a	Female	0.60960398069094	0.695857133745228	0.995316810447997
Myeloid	InsDel9	Female	0.328742310242566	0.577378436852331	0.923708339337539
Other	InsDel19b	Female	0.0128249613101494	0.448406880788594	0.196649406755625
Other	InsDel1a	Female	0.877313522179666	0.927902365666385	0.997799635393051
Other	InsDel4	Female	0.659938319970955	1.25721402373184	0.995316810447997
Other	InsDel9	Female	0.846438692991156	1.14781148799108	0.997799635393051
Other	InsDel_B	Female	0.719823508255764	0.837021648649028	0.997799635393051
Other	InsDel_N_beta	Female	0.433141456599037	1.30174121161204	0.967738358683678
Pancreas	InsDel10	Female	0.850987713461625	0.874336639106086	0.997799635393051
Pancreas	InsDel19b	Female	0.863433754187614	0.925332601310224	0.997799635393051
Pancreas	InsDel1a	Female	0.750051425678478	0.922586089251779	0.997799635393051
Pancreas	InsDel1c	Female	0.607958595346604	1.16793407587681	0.995316810447997
Pancreas	InsDel4	Female	0.863757958374014	1.11283987073959	0.997799635393051
Pancreas	InsDel5a	Female	0.525314006026836	0.794340978801389	0.995316810447997
Pancreas	InsDel6	Female	1	0.976681438537669	1
Pancreas	InsDel9	Female	0.601725526614713	1.15938388712288	0.995316810447997
Pancreas	InsDel_B	Female	0.360036922887737	0.719058302138559	0.923708339337539
Pancreas	InsDel_N_beta	Female	0.836525507138017	1.05022093464666	0.997799635393051
Skin	InsDel13	Female	0.0970435555710257	0.623331849548772	0.744000592711197
Skin	InsDel19b	Female	0.175489840382838	1.42783814040654	0.780525094068632
Skin	InsDel1a	Female	0.171178439777637	1.42109078450039	0.780525094068632
Skin	InsDel1c	Female	0.842013883992078	1.13924465480846	0.997799635393051
Skin	InsDel8	Female	0.349942905872178	0.671962952762743	0.923708339337539
Skin	InsDel9	Female	0.33959255376214	1.47007645723898	0.923708339337539
Skin	InsDel_B	Female	0.443854836925748	1.29170257866098	0.967738358683678
Skin	InsDel_N_beta	Female	0.167764359524002	1.54746091568663	0.780525094068632
Stomach	InsDel_N_beta	Female	1	1.14401577168192	1
