Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
DRUP01010078T	6.61E+00	9.86E+00	4.66E+00	1.22E+01	7.92E+00	8.59E+00	1.16E+01
WIDE01010075T	2.60E+02	2.54E+02	7.31E+01	2.61E+01	2.55E+02	5.01E+00	2.63E+00
CPCT02020680T	4.27E+02	2.40E+02	1.17E+02	1.49E+01	4.70E+02	2.14E+01	4.23E+00
WIDE01010127T	3.32E+00	1.34E+01	8.54E+00	9.14E+00	2.17E+01	7.46E+00	9.45E+00
DRUP01030013T	5.97E+02	4.04E+02	2.82E+02	5.43E+01	8.01E+02	2.15E+01	6.80E+00
DRUP01230004T	2.96E+03	3.51E+03	1.80E+02	2.01E+02	1.98E+03	1.73E+02	2.77E+01
DRUP01230001T	3.82E+02	4.12E+02	2.49E+02	5.88E+01	7.59E+02	3.42E+01	2.58E+01
WIDE01010139T	1.29E+01	1.41E+01	1.29E+01	1.31E+01	2.90E+01	6.79E+00	1.17E+01
CPCT02130049T	4.24E+01	5.08E+01	2.23E+01	1.63E+01	3.64E+01	7.02E+00	3.73E+00
CPCT02050443T	8.88E+02	9.45E+02	8.05E+01	7.86E+01	6.32E+02	7.30E+01	1.20E+01
DRUP01340016T	1.95E+03	1.28E+03	3.62E+02	9.71E+01	1.63E+03	1.16E+02	1.22E+01
CPCT02140091TII	5.26E+01	9.35E+01	2.69E+01	9.66E+00	1.04E+02	6.37E+00	2.70E+00
DRUP01070026TII	8.72E+02	5.77E+02	2.96E+02	6.81E+01	1.07E+03	6.36E+01	1.48E+01
CPCT02270029T	9.38E+00	1.59E+01	1.03E+01	1.11E+01	2.38E+01	7.45E+00	1.04E+01
CPCT02010780T	4.67E+00	5.52E+00	5.31E+00	1.04E+01	8.05E+00	6.14E+00	9.32E+00
CPCT02270026T	2.72E+01	3.30E+01	2.93E+01	2.31E+01	4.11E+01	6.70E+00	9.34E+00
CPCT02020986T	1.16E+03	1.34E+03	3.83E+01	6.96E+01	6.97E+02	6.46E+01	9.26E+00
CPCT02020704T	4.88E+02	3.32E+02	1.13E+02	6.05E+01	5.96E+02	3.42E+01	7.41E+00
DRUP01080031T	7.10E+02	4.55E+02	1.74E+02	5.55E+01	8.42E+02	3.33E+01	4.48E+00
DRUP01070080T	1.58E+03	1.84E+03	4.42E+01	2.95E+02	9.39E+02	6.24E+01	2.00E+01
CPCT02050358T	3.17E+01	4.50E+01	1.24E+01	1.07E+01	3.85E+01	4.40E+00	1.60E+00
DRUP01050049T	8.07E+02	7.63E+02	9.71E+01	6.02E+01	6.13E+02	6.14E+01	1.00E+01
DRUP01330020T	2.08E+03	1.88E+03	0.00E+00	4.60E+02	1.17E+03	7.07E+01	2.87E+01
DRUP01070085T	9.89E+02	5.12E+02	3.27E+02	9.09E+01	1.05E+03	5.27E+01	5.55E+00
DRUP01050048T	1.07E+03	7.16E+02	4.51E+02	6.01E+01	1.64E+03	6.20E+01	1.32E+01
DRUP01020053T	3.21E+03	3.70E+03	2.64E+02	2.30E+02	2.26E+03	2.07E+02	3.43E+01
DRUP01040016T	1.79E+03	1.28E+03	3.97E+02	1.26E+02	1.49E+03	8.22E+01	1.31E+01
DRUP01010142T	5.62E+02	5.07E+02	2.32E+02	4.31E+01	8.77E+02	2.06E+01	5.06E+00
CPCT02010786T	1.21E+03	8.13E+02	2.37E+02	8.18E+01	9.17E+02	4.97E+01	6.81E+00
DRUP01010148T	1.11E+03	7.05E+02	3.39E+02	6.58E+01	1.47E+03	7.73E+01	3.00E+01
WIDE01010451T	8.01E+01	1.20E+02	6.78E+01	1.56E+01	1.61E+02	1.26E+01	1.32E+00
DRUP01070042T	3.98E+02	4.51E+02	1.69E+02	4.09E+01	6.44E+02	1.88E+01	9.93E+00
CPCT02450014T	2.36E+03	6.51E+02	7.84E+03	4.09E+03	9.69E+03	3.50E+01	2.47E+01
DRUP01030018T	3.41E+03	3.96E+03	1.91E+02	2.11E+02	2.27E+03	1.83E+02	3.19E+01
DRUP01080014T	2.44E+02	1.55E+02	7.92E+01	1.73E+01	2.55E+02	1.05E+01	2.30E+00
CPCT02180068T	5.47E+01	6.25E+01	3.87E+01	3.88E+01	4.14E+01	5.46E+00	1.98E+00
CPCT02010870T	5.69E+00	1.54E+01	9.31E+00	1.24E+01	1.58E+01	4.98E+00	5.88E+00
CPCT02010847T	5.63E+00	4.28E+00	2.77E+00	6.96E+00	6.51E-01	1.00E+01	1.04E+01
DRUP01050028T	7.90E+02	4.98E+02	1.06E+02	3.56E+01	5.09E+02	3.59E+01	3.96E+00
WIDE01010606T	1.41E+03	1.45E+03	8.82E+02	4.20E+02	8.32E+02	1.22E+02	4.80E-01
CPCT02010867T	4.57E+00	7.42E-01	6.67E+00	1.41E+01	3.36E+00	1.71E+01	2.17E+01
DRUP01010047TII	1.66E+03	1.65E+03	6.96E+01	8.06E+01	8.68E+02	7.48E+01	8.40E+00
WIDE01010460T	2.08E+03	1.76E+03	1.38E+02	1.30E+02	1.34E+03	1.40E+02	1.63E+01
CPCT02010882T	2.81E+03	3.21E+03	2.33E+02	2.18E+02	1.51E+03	1.64E+02	2.19E+01
CPCT02310017T	5.32E+01	6.70E+01	2.84E+01	1.79E+01	5.12E+01	5.90E+00	1.76E+00
CPCT02050380T	5.04E+01	6.60E+01	2.57E+01	1.47E+01	4.46E+01	5.32E+00	2.61E+00
