Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
SP111062	310	284	0	95	0	2	52	7	183	8	48	25	14	39
SP111006	496	569	9	0	0	578	381	44	175	0	149	72	0	76
SP110846	159	71	0	62	0	0	48	36	125	0	60	30	45	39
SP111086	442	158	130	97	0	694	84	167	111	0	49	40	138	33
SP111096	416	285	0	52	0	30	0	85	106	1	3	37	40	22
SP111021	0	0	0	0	0	0	0	0	0	0	2	0	0	0
SP111058	510	346	85	0	0	823	0	318	0	9	52	68	100	25
SP111092	988	201	0	56	0	41	0	112	37	30	289	618	129	6
SP111076	804	449	224	79	0	44	80	16	99	0	1	35	15	52
SP111098	367	333	0	0	0	93	133	72	85	22	84	34	19	33
SP111039	6	0	0	0	0	1	91	23	44	5	16	1	11	55
SP111052	4	8	0	10	0	17	0	9	31	3	0	8	19	11
SP111166	521	695	442	0	0	173	0	130	138	0	32	47	66	34
SP111014	28	32	0	60	0	4	23	62	16	0	32	9	0	4
SP111066	761	485	122	0	0	341	103	389	0	6	89	17	24	33
SP111094	349	172	0	0	178	230	0	165	339	0	103	34	116	31
SP111015	149	56	0	51	0	52	80	77	6	0	65	35	0	32
SP110853	211	183	58	189	0	132	0	157	133	3	115	99	49	68
SP111051	246	201	0	0	0	5	110	25	11	11	128	81	0	23
SP110855	496	79	0	0	0	194	291	120	204	3	0	75	19	57
SP111004	375	583	0	56	0	19	127	42	230	0	37	18	61	38
SP111078	128	84	0	33	0	4	0	54	61	0	17	3	9	25
SP110863	168	154	0	0	0	68	141	165	92	0	0	18	97	27
SP111013	252	79	0	6	0	39	329	40	50	0	6	17	2	24
SP111042	11	12	0	1	0	4	0	9	15	0	36	1	0	0
SP111040	44	164	0	0	0	61	65	34	32	0	85	52	27	20
SP111031	1668	538	0	64	0	130	536	96	140	3	38	6	0	40
SP23496	251	268	0	31	0	73	37	84	120	2	63	32	38	22
SP111030	27	0	0	61	0	13	254	55	63	0	12	24	6	27
SP111019	50	47	0	2	0	29	0	130	83	2	64	21	28	15
SP111026	398	241	248	0	0	160	56	228	94	3	0	25	75	24
SP110860	720	244	0	148	0	107	297	182	69	0	8	31	72	37
SP110851	300	472	0	121	0	56	215	59	215	0	38	45	41	36
SP111059	396	284	0	66	0	41	194	28	135	1	28	92	58	92
SP111170	738	569	343	0	0	93	0	110	99	0	154	91	84	21
SP111054	310	504	0	246	0	33	0	218	29	0	92	77	0	55
SP111033	820	603	0	84	0	41	0	58	66	0	98	84	0	15
SP111113	1282	336	182	0	0	253	0	440	179	5	106	91	97	36
SP110865	537	555	0	119	0	257	0	259	79	23	353	629	104	137
SP111061	382	167	0	0	0	87	251	50	155	0	12	12	0	41
SP111101	863	671	113	52	0	26	88	263	7	0	25	32	23	0
SP110859	269	359	105	0	0	57	369	28	30	0	31	0	35	76
SP111168	85	112	8	0	0	21	0	22	93	14	114	26	0	29
SP111067	139	246	0	0	3	18	0	32	151	8	60	29	32	19
SP111036	539	356	100	9	0	16	0	17	94	0	47	5	55	31
SP111116	795	522	376	0	0	77	176	58	131	0	15	17	0	31
SP111099	441	197	0	0	0	203	297	31	187	0	50	11	26	31
SP23502	712	243	0	0	0	423	0	363	192	3	145	68	49	76
SP111069	305	529	0	0	0	431	403	93	0	0	0	40	0	67
SP111043	775	408	0	0	0	191	752	182	51	0	0	181	52	0
SP111024	653	207	0	151	0	79	308	126	2	5	20	68	40	10
SP111011	344	105	0	0	105	160	0	204	410	5	3	31	17	38
SP111082	502	229	244	0	0	287	406	67	0	0	74	7	0	11
