MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
1:Del:C:0	1.36E-03	1.32E-03	1.41E-03	1.03E-03	2.55E-03	4.01E-03	5.37E-03	1.25E-03	5.26E-03	5.59E-03	6.22E-03	7.30E-03	4.54E-03	5.03E-03	4.78E-03	1.30E-03	3.12E-03	5.64E-03	4.03E-03	8.01E-03
1:Del:C:1	9.78E-04	1.03E-03	8.32E-04	9.59E-04	2.41E-03	4.50E-03	5.35E-03	1.63E-03	4.69E-03	9.09E-03	5.80E-03	3.03E-03	2.63E-03	5.06E-03	2.73E-03	9.05E-04	7.56E-03	5.10E-03	2.49E-03	2.36E-03
1:Del:C:2	4.15E-04	5.31E-04	1.13E-03	1.07E-03	2.30E-03	3.19E-03	3.46E-03	1.43E-03	3.84E-03	4.44E-03	4.12E-03	3.21E-03	3.74E-03	5.15E-03	2.86E-03	3.33E-03	4.54E-03	1.74E-03	2.93E-03	1.62E-03
1:Del:C:3	3.91E-04	3.60E-04	7.62E-04	4.08E-04	1.22E-03	1.69E-03	1.67E-03	1.29E-03	2.52E-03	2.07E-03	1.45E-03	3.55E-03	8.31E-04	1.92E-03	2.72E-03	9.28E-04	4.14E-03	1.10E-03	2.01E-03	3.79E-04
1:Del:C:4	1.82E-04	9.58E-05	1.59E-03	2.47E-04	1.02E-03	1.29E-03	2.12E-03	8.09E-04	1.41E-03	1.52E-03	1.65E-03	4.87E-04	5.96E-04	1.60E-03	2.68E-03	3.99E-04	2.55E-03	2.95E-03	1.36E-03	2.36E-04
1:Del:C:5	1.05E-03	4.08E-04	1.03E-03	5.77E-04	1.39E-03	1.88E-03	7.24E-04	1.13E-03	1.10E-03	7.73E-04	6.46E-04	9.50E-04	7.73E-04	4.31E-04	1.52E-03	5.61E-04	1.03E-03	1.28E-03	1.18E-03	1.30E-03
1:Del:T:0	1.26E-03	9.67E-04	1.02E-03	1.57E-03	2.59E-03	2.91E-03	4.20E-03	1.80E-03	4.72E-03	2.77E-03	5.55E-03	5.16E-03	7.50E-03	6.33E-03	5.90E-03	1.66E-03	3.09E-03	4.52E-03	2.97E-03	7.54E-04
1:Del:T:1	7.28E-04	5.40E-04	9.36E-04	1.25E-03	1.66E-03	2.97E-03	3.87E-03	1.86E-03	4.38E-03	1.95E-03	4.54E-03	4.88E-03	5.17E-03	5.07E-03	4.28E-03	2.12E-03	2.94E-03	2.13E-03	3.03E-03	7.00E-04
1:Del:T:2	1.04E-03	1.21E-03	1.22E-03	9.86E-04	3.00E-03	3.76E-03	3.45E-03	1.12E-03	3.50E-03	5.01E-03	3.57E-03	9.36E-03	3.30E-03	2.42E-03	2.21E-03	8.82E-04	4.52E-03	2.95E-03	2.00E-03	3.20E-03
1:Del:T:3	1.08E-03	7.51E-04	1.86E-03	8.72E-04	1.42E-03	2.59E-03	2.58E-03	1.22E-03	2.17E-03	4.14E-03	4.75E-03	3.82E-03	3.37E-03	3.45E-03	2.99E-03	8.34E-04	2.36E-03	6.12E-03	2.01E-03	3.77E-03
