Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
SP85623	4.17E-01	3.83E-01	1.86E-01	2.65E-01	1.47E-01	7.49E-01	9.95E-01	7.19E-01	3.39E-01	6.51E-01	7.49E-01	3.94E-01	1.06E+00	9.48E-01	6.49E-01	1.53E-01	3.34E-01	6.59E-01
SP85491	1.61E-01	1.79E-01	1.04E-01	0.00E+00	1.80E-01	5.29E-01	1.96E+00	9.66E-01	3.25E-01	1.72E+00	1.40E+00	1.47E+00	2.29E+00	1.49E+00	1.45E+00	3.43E-01	1.30E-01	1.03E+00
SP87582	1.96E-01	1.99E-01	2.97E-01	1.96E-01	5.44E-01	1.35E+00	7.23E-01	7.85E-01	7.12E-01	4.57E-01	9.46E-01	5.68E-01	8.09E-01	7.93E-01	1.09E+00	5.56E-01	8.73E-01	1.07E+00
SP89090	2.97E-01	1.82E-01	3.34E-01	2.91E-01	5.72E-01	1.07E+00	5.48E-01	1.55E+00	1.07E+00	9.11E-01	1.13E+00	7.70E-01	1.30E+00	9.77E-01	1.26E+00	4.64E-01	2.81E-02	1.05E+00
SP85511	6.85E-01	5.46E-01	4.05E-01	5.38E-01	1.02E+00	2.00E+00	1.90E+00	1.60E+00	1.59E+00	1.51E+00	1.08E+00	3.12E+00	1.36E+00	8.36E-01	2.23E+00	1.52E+00	4.96E-01	2.20E+00
SP85952	1.16E-01	7.29E-02	2.05E-01	0.00E+00	3.60E-01	9.89E-01	9.33E-01	1.45E+00	7.09E-01	9.75E-01	9.38E-01	9.66E-01	2.16E-01	5.25E-01	1.11E+00	3.48E-01	2.15E-01	1.36E+00
SP85840	3.52E-01	3.86E-01	1.49E-01	0.00E+00	3.88E-01	5.06E-01	1.10E+00	1.08E+00	3.50E-01	1.79E+00	9.52E-01	1.27E+00	1.08E+00	8.95E-01	1.35E+00	6.08E-02	8.89E-01	5.66E-01
SP87675	5.14E-01	3.99E-01	6.09E-01	0.00E+00	8.14E-01	3.40E-01	4.64E-01	7.62E-01	4.59E-01	1.15E+00	5.73E-01	9.55E-01	5.31E-01	7.64E-01	4.63E-01	1.52E-01	5.94E-01	5.11E-01
SP85836	4.46E-01	3.56E-01	3.50E-01	2.94E-01	8.70E-01	9.61E-01	1.69E+00	3.35E+00	7.83E-01	2.03E+00	1.13E+00	2.56E+00	3.19E+00	1.66E+00	2.41E+00	7.67E-01	5.56E-01	1.55E+00
SP120767	4.10E-01	4.62E-01	6.00E-02	5.87E-01	6.11E-01	9.82E-01	1.99E+00	1.54E+00	6.90E-01	1.98E+00	1.43E+00	1.04E+00	1.72E+00	1.21E+00	1.61E+00	6.47E-01	4.07E-01	1.20E+00
SP105708	6.87E-01	7.09E-01	4.05E-01	0.00E+00	5.17E-01	8.59E-01	1.05E+00	7.63E-01	6.12E-01	1.44E+00	1.45E+00	1.03E+00	1.09E+00	1.63E+00	1.41E+00	3.18E-01	5.72E-01	8.15E-01
SP85818	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.00E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.00E-02	0.00E+00
SP105922	7.44E-02	2.34E-01	4.22E-02	0.00E+00	2.23E-02	4.20E-01	1.02E+00	1.53E+00	1.62E-01	8.78E-01	7.75E-01	4.08E-01	6.56E-01	1.35E+00	1.28E+00	1.56E-01	1.10E-01	4.32E-01
SP86118	7.30E-01	7.84E-01	1.37E-01	0.00E+00	5.91E-01	7.17E-01	1.29E+00	8.33E-01	4.42E-01	1.07E+00	1.62E+00	1.87E+00	8.90E-01	1.70E+00	1.25E+00	5.63E-01	3.40E-01	7.11E-01
SP86306	8.62E-01	6.40E-01	8.80E-01	0.00E+00	2.15E+00	3.30E+00	1.17E+00	1.32E+00	3.07E+00	9.45E-01	1.82E+00	1.48E+00	1.02E+00	2.15E+00	1.87E+00	1.37E+00	2.23E-02	2.60E+00
SP87099	1.21E+00	8.94E-01	4.67E-01	2.71E-01	6.97E-01	1.93E+00	1.39E+00	6.25E-01	7.40E-01	9.79E-01	1.15E+00	8.59E-01	6.57E-01	2.09E+00	1.59E+00	4.77E-01	4.73E-01	8.40E-01
SP87434	4.75E-01	3.63E-01	5.74E-01	0.00E+00	4.99E-01	4.06E-01	3.55E-01	4.93E-01	4.11E-01	1.47E+00	1.01E+00	1.52E+00	1.10E+00	4.88E-01	7.64E-01	4.44E-01	6.29E-01	1.18E+00
SP85864	2.38E-01	2.36E-01	2.41E-01	1.78E-01	3.88E-01	2.51E-01	7.79E-02	1.96E-01	4.35E-01	1.65E-01	1.88E-01	1.32E-01	2.02E-01	1.13E-01	1.51E-01	1.52E-01	5.00E-01	3.36E-01
SP105807	4.96E-01	2.47E-01	4.32E-01	0.00E+00	5.52E-01	9.05E-01	9.35E-01	1.51E+00	1.07E+00	8.64E-01	1.83E+00	1.33E+00	1.58E+00	9.91E-01	8.48E-01	5.28E-01	2.20E-01	1.80E+00
SP89291	2.68E-01	2.00E-01	5.51E-01	0.00E+00	4.01E-01	5.29E-01	8.87E-01	6.78E-01	3.95E-01	4.92E-01	6.26E-01	2.69E-01	4.44E-01	1.24E+00	4.30E-01	1.78E-01	4.04E-01	5.81E-01
SP88050	8.89E-02	1.36E-01	3.60E-01	0.00E+00	5.54E-01	7.79E-01	5.91E-01	2.68E-01	7.66E-01	4.21E-01	9.06E-01	3.25E-01	1.41E-01	8.33E-01	1.51E-01	3.60E-01	5.28E-01	4.11E-01
SP88593	2.93E-01	2.50E-01	3.97E-01	1.48E-01	2.41E-01	3.97E-01	2.93E-01	8.22E-01	1.91E-01	1.94E+00	5.92E-01	7.02E-01	5.11E-01	9.22E-01	1.34E+00	2.12E-01	9.87E-01	6.95E-01
SP88158	6.67E-02	8.33E-02	2.14E-01	2.00E-02	1.52E-01	4.63E-01	3.62E-01	4.18E-01	2.94E-01	3.66E-01	4.53E-01	2.45E-01	1.46E-01	8.24E-01	6.13E-01	2.81E-02	2.15E-01	1.11E-01
SP87534	6.19E-01	3.92E-01	1.07E+00	5.34E-01	2.39E+00	3.86E+00	2.01E+00	1.55E+00	3.09E+00	1.86E+00	1.82E+00	1.15E+00	1.66E+00	1.28E+00	2.00E+00	1.69E+00	7.58E-01	3.13E+00
SP88776	5.34E-02	1.07E-01	2.42E-01	0.00E+00	4.10E-01	9.60E-01	9.84E-01	2.19E+00	7.67E-01	1.28E+00	1.28E+00	1.59E+00	1.16E+00	1.13E+00	1.42E+00	5.00E-01	1.96E-01	1.73E+00
SP85725	2.31E-01	1.70E-01	6.53E-01	0.00E+00	6.43E-01	9.63E-01	1.27E+00	1.11E+00	5.72E-01	1.11E+00	7.47E-01	9.75E-01	2.20E+00	3.51E-01	5.90E-01	2.70E-01	2.00E-02	1.83E+00
SP86660	5.11E-01	2.30E-01	7.18E-01	2.56E-01	1.13E+00	2.04E+00	1.33E+00	1.80E+00	1.88E+00	1.98E+00	1.10E+00	8.98E-01	1.39E+00	1.55E+00	1.90E+00	6.66E-01	9.69E-01	2.04E+00
SP87903	2.81E-02	0.00E+00	4.36E-01	2.00E-02	2.02E-01	3.75E-01	7.92E-01	6.42E-01	3.73E-01	8.82E-01	5.69E-01	9.19E-01	1.10E+00	5.90E-01	1.11E+00	2.46E-01	2.07E-01	5.21E-01
SP88098	1.57E-01	1.58E-01	8.55E-01	0.00E+00	1.09E+00	3.44E+00	2.66E+00	1.57E+00	2.14E+00	5.03E-01	2.02E+00	7.26E-01	1.15E+00	1.41E+00	1.18E+00	6.80E-01	1.65E-01	1.23E+00
SP85487	1.43E+00	8.05E-01	2.37E+00	3.28E-01	4.40E+00	3.44E+00	2.10E+00	1.14E+00	4.45E+00	1.90E+00	1.45E+00	2.45E+00	1.20E+00	1.22E+00	1.83E+00	6.40E-01	5.62E-01	3.51E+00
SP105759	6.87E-01	4.53E-01	1.27E-01	2.50E-01	2.93E-01	5.59E-01	6.76E-01	6.13E-01	4.08E-01	1.16E+00	9.34E-01	1.01E+00	4.19E-01	5.68E-01	1.10E+00	5.22E-01	4.14E-01	6.79E-01
SP86775	0.00E+00	0.00E+00	0.00E+00	2.21E-01	7.00E-02	5.37E-02	2.56E-01	3.03E-01	7.00E-02	4.89E-01	1.10E-01	6.17E-01	4.93E-01	9.98E-02	3.17E-01	1.25E-01	4.14E-01	1.02E-01
SP88322	2.95E-01	2.46E-01	7.46E-01	0.00E+00	8.83E-01	1.19E+00	7.72E-01	1.43E+00	1.30E+00	7.50E-01	1.24E+00	8.92E-01	9.25E-01	1.47E+00	1.47E+00	2.51E-01	0.00E+00	1.42E+00
SP85582	4.06E-01	2.35E-01	5.66E-01	0.00E+00	6.59E-01	6.27E-01	8.75E-01	1.15E+00	6.54E-01	1.45E+00	4.18E-01	1.08E+00	1.22E+00	7.03E-01	1.42E+00	4.02E-01	8.96E-01	8.28E-01
SP87446	7.17E-01	5.77E-01	1.45E+00	2.10E-01	2.38E+00	2.79E+00	1.06E+00	1.43E+00	3.35E+00	1.19E+00	2.18E+00	1.60E+00	7.71E-01	1.63E+00	1.62E+00	6.57E-01	8.82E-01	2.04E+00
