MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
1:Del:C:0	3.84E-04	3.25E-03	1.21E-03	2.67E-03	1.24E-02	1.57E-02	2.59E-03	5.17E-03	6.10E-03	3.84E-03	5.12E-03	5.85E-03	1.49E-03	3.35E-03	3.98E-03	6.61E-03	2.61E-03	3.59E-03	4.53E-03	8.25E-03
1:Del:C:1	2.97E-04	1.92E-03	9.12E-04	8.36E-04	4.39E-03	7.65E-03	3.81E-04	5.49E-03	6.92E-03	1.79E-03	3.13E-03	7.11E-03	8.98E-04	2.78E-03	2.45E-03	4.33E-03	9.50E-04	3.85E-03	1.93E-03	3.41E-03
1:Del:C:2	3.48E-04	1.47E-03	2.09E-04	1.12E-04	2.59E-03	4.71E-03	7.63E-04	3.71E-03	5.77E-03	9.12E-04	1.95E-03	4.07E-03	1.05E-03	1.51E-03	1.64E-03	2.48E-03	8.31E-04	7.12E-04	2.61E-03	2.77E-03
1:Del:C:3	2.84E-04	7.50E-04	2.45E-04	3.22E-04	1.57E-03	2.52E-03	4.58E-04	1.55E-03	2.52E-03	6.15E-04	1.08E-03	1.52E-03	2.28E-04	1.64E-03	1.67E-03	2.11E-03	8.42E-04	8.97E-04	9.52E-04	1.68E-03
1:Del:C:4	2.12E-04	1.54E-04	6.45E-05	4.54E-04	1.52E-03	1.66E-03	1.54E-04	1.33E-03	2.78E-03	4.79E-04	8.43E-04	1.44E-03	5.00E-04	6.69E-04	1.02E-03	2.61E-03	1.58E-04	5.76E-04	1.15E-03	1.31E-03
1:Del:C:5	1.87E-05	4.70E-05	3.42E-04	6.73E-04	6.31E-04	2.08E-03	1.32E-04	1.71E-03	2.34E-03	1.36E-03	1.61E-03	9.78E-04	1.72E-04	1.15E-03	9.75E-04	2.05E-03	3.15E-04	4.39E-04	1.34E-03	7.69E-04
1:Del:T:0	7.23E-04	2.66E-03	7.12E-04	1.31E-03	3.30E-03	6.32E-03	7.28E-04	6.27E-03	8.54E-03	4.12E-03	4.82E-03	4.51E-03	5.93E-04	4.16E-03	4.65E-03	5.74E-03	1.16E-03	3.85E-03	3.60E-03	3.24E-03
1:Del:T:1	7.08E-05	3.08E-03	1.46E-04	1.95E-05	1.10E-03	7.95E-04	5.06E-04	4.46E-03	4.13E-03	8.34E-03	8.51E-04	1.09E-03	9.65E-04	7.64E-04	1.37E-03	1.46E-03	5.50E-04	1.27E-03	2.23E-04	1.87E-03
1:Del:T:2	2.78E-04	2.00E-03	3.42E-04	8.50E-04	6.81E-03	4.21E-03	1.22E-03	5.92E-03	6.61E-03	2.08E-03	1.89E-03	3.66E-03	7.88E-04	1.99E-03	3.62E-03	3.95E-03	9.72E-04	1.72E-03	4.04E-03	2.56E-03
1:Del:T:3	4.83E-04	1.86E-03	5.39E-04	1.42E-03	8.17E-03	4.47E-03	1.56E-03	6.10E-03	3.18E-03	2.52E-03	1.94E-03	4.64E-03	1.60E-03	3.79E-03	3.30E-03	2.20E-03	8.71E-04	3.58E-03	3.93E-03	1.66E-03
1:Del:T:4	6.60E-04	6.03E-04	1.64E-04	1.62E-03	5.43E-03	7.12E-03	1.14E-03	1.45E-03	2.57E-03	1.78E-03	6.67E-04	2.95E-03	1.11E-03	2.23E-03	2.85E-03	2.68E-03	5.44E-04	7.39E-04	3.61E-03	5.65E-03
1:Del:T:5	1.46E-03	2.03E-03	3.00E-04	8.65E-03	3.99E-03	6.48E-03	2.34E-03	3.80E-03	2.65E-03	1.25E-03	2.35E-03	3.17E-03	3.87E-03	5.80E-03	5.46E-03	4.99E-03	1.11E-03	2.06E-03	4.22E-03	2.14E-03
1:Ins:C:0	2.82E-05	2.27E-04	2.54E-05	2.64E-04	4.60E-05	3.15E-04	3.87E-04	9.99E-04	1.64E-03	8.52E-04	7.01E-04	2.05E-04	9.92E-08	1.87E-03	6.71E-04	1.08E-03	7.70E-03	4.81E-04	1.17E-03	3.72E-04
1:Ins:C:1	1.44E-04	4.05E-04	1.52E-04	1.28E-04	5.48E-04	1.73E-03	1.41E-04	1.06E-03	3.58E-04	2.48E-04	1.02E-03	1.78E-03	3.05E-04	1.22E-03	1.75E-03	1.21E-03	2.19E-03	8.92E-04	1.57E-03	4.42E-04
1:Ins:C:2	2.17E-05	3.64E-04	1.44E-04	0.00E+00	3.80E-04	8.59E-04	1.68E-04	2.08E-03	1.49E-03	1.53E-04	8.41E-04	1.95E-03	5.69E-05	1.13E-03	1.00E-03	2.50E-03	9.39E-04	1.89E-04	9.40E-04	8.19E-04
1:Ins:C:3	1.98E-04	1.59E-04	2.33E-04	2.06E-07	3.35E-04	1.46E-03	4.70E-05	1.40E-03	9.29E-04	1.47E-04	1.29E-03	7.74E-04	1.83E-04	8.78E-04	2.06E-03	9.23E-04	1.04E-03	7.80E-04	2.18E-03	2.66E-04
1:Ins:C:4	3.36E-06	8.87E-05	5.81E-05	8.16E-05	9.96E-04	6.22E-04	2.45E-05	1.29E-03	4.14E-04	0.00E+00	1.27E-03	1.18E-03	8.53E-05	1.24E-03	2.93E-03	1.96E-03	1.03E-03	5.73E-04	1.46E-03	2.71E-04
1:Ins:C:5	1.32E-03	1.49E-04	1.31E-04	3.75E-04	1.55E-03	2.68E-03	9.40E-05	4.02E-03	1.01E-03	1.18E-04	1.77E-03	2.04E-03	3.93E-04	7.40E-03	9.52E-03	3.66E-03	1.61E-03	1.14E-03	2.41E-03	1.61E-03
1:Ins:T:0	5.60E-04	2.70E-04	3.78E-04	7.88E-04	8.54E-04	1.73E-03	1.73E-04	2.27E-03	2.06E-04	3.15E-03	4.09E-03	7.58E-03	4.82E-04	5.41E-03	3.23E-03	2.21E-03	5.11E-03	2.09E-04	2.93E-03	9.04E-04
1:Ins:T:1	1.03E-03	2.77E-04	3.89E-04	4.20E-47	6.01E-04	4.05E-03	1.65E-04	2.95E-03	3.60E-03	7.53E-04	2.63E-03	4.67E-03	7.35E-04	3.51E-03	2.02E-03	6.94E-03	2.64E-03	2.26E-03	3.89E-03	1.51E-03
1:Ins:T:2	1.90E-04	5.17E-04	3.42E-04	1.84E-04	8.26E-04	2.91E-03	1.04E-04	2.24E-03	1.74E-03	1.16E-03	1.24E-03	2.57E-03	0.00E+00	2.80E-03	2.44E-03	7.78E-03	1.46E-03	9.16E-05	2.19E-03	9.66E-04
1:Ins:T:3	3.90E-04	6.29E-05	4.05E-04	2.87E-04	7.11E-04	1.08E-03	1.12E-04	1.93E-03	1.06E-03	1.42E-03	1.34E-03	3.15E-03	2.11E-04	2.14E-03	1.79E-03	4.02E-03	7.57E-04	1.54E-03	1.83E-03	1.28E-03
1:Ins:T:4	5.86E-04	9.99E-05	2.01E-05	4.48E-04	5.81E-04	2.14E-03	2.74E-04	1.09E-03	1.01E-03	7.98E-04	7.59E-04	1.52E-03	2.10E-04	1.60E-03	4.08E-03	1.46E-03	7.27E-04	6.32E-04	1.10E-03	7.36E-04
1:Ins:T:5	4.25E-03	1.62E-03	7.10E-04	9.56E-03	2.64E-03	2.25E-03	2.13E-03	2.20E-03	3.81E-03	2.85E-03	5.49E-03	1.05E-02	5.62E-03	1.78E-02	8.53E-03	4.33E-03	3.69E-03	4.40E-03	5.06E-03	4.25E-03
2:Del:R:0	6.45E-04	1.60E-03	6.27E-04	1.96E-04	8.08E-04	2.55E-03	4.06E-04	4.80E-03	3.34E-03	6.10E-04	1.66E-03	3.43E-03	2.84E-03	2.01E-03	2.63E-03	3.81E-03	1.15E-03	1.70E-03	2.14E-03	1.17E-03
2:Del:R:1	3.84E-04	1.30E-03	2.37E-04	5.40E-04	5.13E-04	2.18E-03	3.57E-04	2.94E-03	2.22E-03	1.02E-03	8.95E-04	2.62E-03	3.89E-03	1.92E-03	1.46E-03	3.26E-03	1.01E-03	2.75E-03	1.56E-03	1.07E-03
2:Del:R:2	5.24E-05	3.84E-04	2.67E-04	4.52E-04	5.28E-04	1.08E-03	1.26E-04	9.51E-04	4.87E-04	5.47E-04	1.00E-03	1.87E-03	1.55E-03	7.50E-04	9.15E-04	5.69E-04	1.37E-04	6.14E-04	4.72E-04	3.39E-04
2:Del:R:3	6.06E-05	3.04E-05	2.34E-04	8.91E-06	2.52E-04	1.26E-03	1.58E-04	7.62E-04	4.66E-04	5.76E-05	9.09E-04	1.24E-03	9.54E-04	9.67E-04	1.80E-03	7.99E-04	4.27E-04	4.84E-04	9.78E-04	3.41E-04
2:Del:R:4	9.27E-05	2.06E-05	9.96E-05	6.08E-05	2.16E-04	7.21E-04	4.41E-05	2.80E-04	3.27E-04	5.59E-05	1.12E-03	8.37E-04	4.56E-04	7.70E-04	1.87E-03	5.32E-04	2.30E-04	4.46E-04	9.69E-04	3.83E-04
2:Del:R:5	1.88E-08	1.90E-05	2.18E-04	6.50E-05	3.06E-04	3.26E-03	5.30E-05	1.71E-03	2.86E-03	1.53E-09	5.79E-03	4.12E-03	4.85E-05	2.53E-03	6.49E-03	3.71E-03	2.65E-03	9.62E-05	2.35E-03	2.92E-03
3:Del:R:0	2.31E-04	1.58E-03	1.26E-04	2.95E-04	5.41E-05	1.46E-03	2.40E-04	3.17E-03	1.46E-03	3.15E-04	9.15E-04	1.15E-03	3.59E-04	1.03E-03	1.32E-03	1.09E-03	1.76E-04	8.59E-04	7.77E-04	3.23E-04
3:Del:R:1	4.80E-04	3.87E-04	3.48E-04	6.82E-04	4.56E-04	2.91E-03	2.28E-04	1.75E-03	1.25E-03	7.57E-04	6.21E-04	4.11E-03	5.86E-04	3.14E-03	9.45E-04	2.05E-03	2.23E-04	4.66E-03	1.48E-03	1.07E-03
3:Del:R:2	3.49E-05	1.91E-05	8.05E-11	3.71E-04	2.55E-04	1.09E-03	9.45E-05	6.35E-04	1.36E-04	2.94E-04	8.96E-04	1.14E-03	9.76E-10	1.53E-03	4.19E-04	5.28E-04	1.00E-08	2.16E-03	4.96E-04	1.57E-04
3:Del:R:3	3.89E-05	3.53E-05	1.08E-05	5.83E-05	1.23E-04	4.21E-04	3.49E-05	1.30E-04	1.18E-04	3.92E-06	1.55E-04	4.48E-04	8.05E-05	4.06E-04	3.53E-04	2.61E-04	2.90E-04	4.40E-04	1.71E-04	6.81E-04
3:Del:R:4	3.76E-09	1.76E-09	1.01E-09	3.42E-06	8.86E-05	2.37E-04	2.39E-05	1.89E-08	2.98E-08	2.23E-05	2.00E-08	1.69E-05	3.70E-09	4.55E-04	1.83E-05	3.33E-08	1.50E-08	7.46E-08	5.94E-08	1.15E-03
3:Del:R:5	2.94E-09	1.34E-08	7.03E-08	9.73E-06	8.49E-05	2.51E-04	0.00E+00	1.22E-07	4.33E-08	2.32E-05	1.36E-07	2.80E-07	3.45E-08	5.35E-04	5.50E-05	3.67E-05	2.38E-08	4.46E-05	9.94E-08	1.45E-03
