Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP135192	0	0	0	0	2	0	0
SP135335	6	0	8	1	36	1	4
SP135278	4	1	0	0	14	0	5
SP135287	56928	0	7351	0	0	0	0
SP135345	62	7	9	0	172	14	19
SP85122	87831	2447	10043	119	0	0	0
SP84384	93787	2786	2604	0	2461	0	0
SP135184	0	0	0	0	5	0	2
SP135226	18	0	101	4	101	0	5
SP135436	302	64	557	0	282	31	70
SP135262	4	4	28	0	77	15	5
SP135431	217	0	1004	0	236	134	41
SP135425	104	10	262	0	351	67	46
SP135222	34	30	259	0	119	11	19
SP135230	85	26	65	0	114	10	10
SP135205	34	9	15	0	39	0	2
SP135180	0	0	0	0	5	0	0
SP135213	91	5	45	9	103	4	95
SP135217	0	0	0	0	0	0	1
SP135405	95	22	300	0	287	14	90
SP135238	5	0	0	0	3	0	0
SP135270	100	14	265	33	201	11	241
SP135411	67	16	61	0	129	1	10
SP135188	20	0	21	7	95	43	14
SP135194	87	0	137	8	117	4	14
SP135186	54	0	116	0	214	15	34
SP135420	242	26	90	2	346	29	42
SP135258	4	5	39	0	14	0	8
SP135234	149	11	516	2	327	71	70
SP135293	0	0	0	1	0	0	4
SP135393	79	11	149	2	170	161	25
SP135299	13	8	284	1	336	136	39
SP135415	11	5	42	1	118	6	15
SP135310	0	0	0	0	1	0	0
SP135323	13	0	0	0	112	0	22
SP135390	0	0	13	0	24	3	5
SP135209	6	0	13	6	39	12	0
SP135240	0	9	407	0	219	14	45
SP135182	1146	72	916	0	524	77	93
SP85251	0	28	149	0	222	0	17
SP84408	15	6	59	13	159	20	9
SP84491	398	93	1269	138	746	369	234
SP84743	240	58	33	93	0	2699	61
SP83967	106	2	94	0	241	6	32
SP105253	161	79	1068	30	363	296	85
SP84998	291	14	350	13	230	0	17
SP84062	1	16	22	22	126	5	19
SP84982	51783	0	894	0	0	243	56
SP84790	153	34	203	0	486	306	37
SP105673	152	16	30	32	229	13	905
SP85339	375	0	966	37	185	53	38
SP84719	342	62	155	0	237	29	36
SP105425	494	26	736	24	212	92	39
SP84056	26	74	551	39	298	66	274
SP105261	112	5	133	21	170	31	60
SP85379	372	18	828	60	297	235	61
SP105086	302	70	292	25	679	15	190
SP84392	91649	2072	7949	0	442	14	49
SP105018	76	18	94	0	0	247	4272
SP84858	632	7	457	66	414	80	273
SP84086	0	177	191	0	202	0	69
SP105213	311	0	313	0	277	28	69
SP105577	252	10	202	32	222	15	80
SP85431	0	28	178	4	267	0	46
SP84962	7	0	370	0	255	18	62
SP105006	276	25	160	57	341	22	102
SP84439	82304	2196	5029	0	5255	1095	0
SP105159	142	22	128	0	350	1	30
SP85230	34	0	0	42	222	4	745
SP84922	1026	15	252	45	579	312	97
SP85130	531	0	462	32	445	49	59
SP104984	143	21	275	24	216	30	38
SP85222	47	4	112	12	118	7	12
SP105375	0	196	1138	0	429	1259	65
SP85287	11	53	606	16	294	19	50
CPCT02060042T	0	41	0	74	91	0	11
CPCT02130027T	5	5	124	451	64	20	29
CPCT02290024T	655	12	1151	534	269	77	56
CPCT02230080T	450	23	676	412	80	115	41
CPCT02070282T	424	32	520	309	336	152	24
CPCT02060201T	160	12	786	557	0	78	74
CPCT02010752T	59	0	56	482	24	49	71
CPCT02130046T	278	0	447	443	70	200	35
CPCT02190033T	337	180	870	706	88	142	74
WIDE01010213T	535	33	226	533	123	193	571
CPCT02440010T	288	52	590	842	185	663	73
WIDE01010272T	289	39	235	196	102	17	26
DRUP01070085T	68411	2050	14467	5657	0	516	0
CPCT02380045T	0	164	967	430	255	121	44
CPCT02150013T	83	25	81	470	110	49	47
CPCT02010769T	163	55	249	383	146	251	110
CPCT02450014T	22581	243228	0	751	0	926	0
CPCT02130122T	0	171	428	357	200	0	74
CPCT02230107T	918	59	394	407	143	99	9
DRUP01090017T	301	111	643	842	274	1147	78
CPCT02020781T	402	4	311	705	325	33	607
CPCT02310016T	268	0	188	410	179	156	0
CPCT02300050T	705	22	308	617	336	308	154
CPCT02020808T	563	63	489	378	16	39	433
CPCT02050414T	282	94	1243	456	314	42	106
CPCT02230042T	0	80	0	187	59	0	6
CPCT02040170T	0	56	0	268	83	380	29
CPCT02330059T	676	116	866	897	346	221	109
CPCT02330063T	592	49	716	613	410	64	74
CPCT02020512T	110	47	493	123	162	27	24
CPCT02110031T	177	48	221	311	357	60	71
CPCT02030347T	160372	578	1284	4746	0	234	104
CPCT02050179T	843	71	1076	709	232	56	96
CPCT02010591T	122	76	109	343	250	116	34
CPCT02170007T	466	0	0	692	345	50	120
CPCT02210025T	88	25	256	926	0	754	63
CPCT02030376T	312	0	120	346	200	51	109
CPCT02050110T	247	26	897	401	341	261	129
CPCT02030318T	732	104	925	477	375	63	109
CPCT02100056T	324	0	0	177	121	60	66
CPCT02030326T	220	0	622	279	221	176	97
CPCT02120007T	437	96	285	533	93	562	51
WIDE01010573T	344	38	453	366	817	69	250
WIDE01010693T	222	26	323	211	170	135	28
