MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	1.13E-03	6.14E-04	3.45E-03	7.13E-04	4.56E-03
1:Del:C:1	1.10E-03	5.73E-04	1.19E-03	5.15E-04	2.19E-03
1:Del:C:2	3.49E-04	4.26E-04	6.06E-04	3.00E-04	8.08E-04
1:Del:C:3	1.91E-04	1.97E-04	4.15E-04	2.13E-04	4.92E-04
1:Del:C:4	2.02E-04	1.53E-04	2.61E-04	1.50E-04	4.35E-04
1:Del:C:5	2.32E-04	1.86E-04	3.18E-04	1.59E-04	5.50E-04
1:Del:T:0	1.16E-03	5.31E-04	1.26E-03	4.61E-04	1.86E-03
1:Del:T:1	2.30E-03	3.15E-04	2.30E-03	6.55E-04	3.15E-03
1:Del:T:2	6.05E-04	3.61E-04	1.23E-03	3.69E-04	1.45E-03
1:Del:T:3	4.63E-04	3.80E-04	1.47E-03	3.89E-04	1.89E-03
1:Del:T:4	2.43E-04	4.42E-04	1.44E-03	1.78E-04	1.59E-03
1:Del:T:5	1.16E-03	5.61E-03	5.74E-03	1.57E-04	1.18E-02
1:Ins:C:0	1.49E-04	1.70E-04	3.95E-04	3.44E-04	2.85E-04
1:Ins:C:1	9.75E-05	1.34E-04	2.43E-04	1.61E-04	1.46E-04
1:Ins:C:2	1.06E-04	7.85E-05	2.17E-04	9.53E-05	1.20E-04
1:Ins:C:3	6.86E-05	1.21E-04	1.63E-04	1.03E-04	7.03E-05
1:Ins:C:4	3.58E-05	9.57E-05	1.25E-04	8.25E-05	1.18E-04
1:Ins:C:5	6.95E-05	2.17E-04	2.41E-04	1.81E-04	3.95E-04
1:Ins:T:0	2.49E-04	2.95E-04	4.18E-04	3.25E-04	7.55E-04
1:Ins:T:1	2.92E-04	4.59E-04	7.60E-04	3.36E-04	4.17E-04
1:Ins:T:2	2.66E-04	1.95E-04	3.49E-04	2.27E-04	3.91E-04
1:Ins:T:3	1.84E-04	1.67E-04	2.21E-04	1.64E-04	3.18E-04
1:Ins:T:4	9.58E-05	1.44E-04	1.51E-04	1.08E-04	2.26E-04
1:Ins:T:5	7.97E-04	2.94E-03	2.17E-03	2.22E-03	7.57E-03
2:Del:R:0	4.16E-04	3.89E-04	9.50E-04	3.32E-04	4.41E-04
2:Del:R:1	3.88E-04	4.66E-04	1.36E-03	3.92E-04	6.42E-04
2:Del:R:2	1.36E-04	1.15E-04	2.90E-04	1.61E-04	3.07E-04
2:Del:R:3	4.78E-05	1.05E-04	2.21E-04	1.20E-04	1.47E-04
2:Del:R:4	1.60E-05	9.14E-05	1.27E-04	9.67E-05	7.44E-05
2:Del:R:5	1.03E-05	2.22E-04	3.16E-04	1.99E-04	1.84E-04
3:Del:R:0	1.49E-04	1.65E-04	2.50E-04	1.66E-04	1.90E-04
3:Del:R:1	1.69E-04	2.13E-04	7.41E-04	2.74E-04	4.03E-04
3:Del:R:2	3.30E-05	1.01E-04	1.84E-04	5.11E-05	2.11E-04
3:Del:R:3	2.05E-05	4.04E-05	7.72E-05	3.80E-05	5.44E-05
3:Del:R:4	6.93E-06	4.55E-10	1.08E-04	1.43E-09	1.18E-04
3:Del:R:5	1.23E-08	3.24E-06	1.26E-04	1.80E-05	1.20E-04
4:Del:R:0	1.80E-04	1.64E-04	2.97E-04	1.58E-04	1.37E-04
4:Del:R:1	1.12E-04	3.06E-04	9.25E-04	3.30E-04	4.03E-04
4:Del:R:2	1.18E-05	1.19E-04	3.10E-04	1.37E-04	1.36E-04
4:Del:R:3	2.51E-05	4.91E-05	1.95E-04	5.15E-05	1.13E-04
4:Del:R:4	1.42E-05	3.73E-05	1.18E-04	2.52E-05	9.01E-05
4:Del:R:5	1.16E-06	3.41E-05	5.24E-05	3.22E-05	1.95E-05
5:Del:R:0	9.11E-04	3.75E-04	5.22E-04	1.54E-03	1.93E-03
5:Del:R:1	2.51E-04	1.90E-04	4.89E-04	2.24E-04	6.29E-04
5:Del:R:2	3.41E-05	6.82E-05	1.30E-04	9.31E-05	9.30E-05
5:Del:R:3	2.56E-05	4.34E-05	3.67E-05	4.43E-05	5.68E-05
5:Del:R:4	1.23E-06	1.32E-05	2.28E-05	1.59E-05	9.38E-06
5:Del:R:5	9.30E-06	3.61E-06	2.20E-06	8.64E-06	4.28E-06
2:Ins:R:0	1.69E-04	2.52E-04	4.81E-04	2.62E-04	1.91E-04
