Samples	ID83A	ID83B	ID83C
SP53460	2.08E+00	8.25E-01	2.01E+00
SP50827	3.12E+00	1.55E+00	2.77E+00
SP50263	1.24E+00	1.08E+00	1.45E+00
SP50317	1.56E+00	1.21E+00	1.68E+00
SP54113	2.93E+00	1.85E+00	2.85E+00
SP50406	2.86E-01	1.53E-01	3.03E-01
SP51824	2.09E+00	9.16E-01	2.12E+00
SP55387	7.29E-01	1.77E-01	7.09E-01
SP52779	2.30E+00	9.60E-01	2.35E+00
SP55235	3.29E+00	1.58E+00	3.16E+00
SP50713	1.34E+00	4.58E-01	1.28E+00
SP50611	2.45E+00	1.14E+00	2.34E+00
SP50485	8.30E-01	4.04E-01	8.95E-01
SP51037	7.84E-01	8.03E-01	1.11E+00
SP55142	4.74E+00	2.83E+00	4.82E+00
SP53387	2.32E+00	9.67E-01	2.30E+00
SP54745	2.39E+00	1.50E+00	2.49E+00
SP52284	1.11E+00	1.07E+00	1.40E+00
SP53618	2.35E+00	1.15E+00	2.36E+00
SP52232	1.50E+00	5.65E-01	1.44E+00
SP50412	7.58E-01	3.73E-01	7.75E-01
SP50321	1.78E+00	4.57E-01	1.74E+00
SP53548	8.86E-01	6.07E-01	1.04E+00
SP55004	1.71E-01	3.43E-02	1.76E-01
SP56079	1.72E+00	8.93E-01	1.62E+00
SP56168	1.55E+00	8.05E-01	1.65E+00
SP54363	2.49E+00	1.33E+00	2.62E+00
SP53810	2.09E+00	2.09E+00	0.00E+00
SP50518	1.07E+00	7.29E-01	1.38E+00
SP56303	1.53E+00	1.03E+00	1.89E+00
SP55711	1.22E+00	5.94E-01	1.26E+00
SP55509	2.28E+00	1.27E+00	2.12E+00
SP55309	5.30E-01	3.00E-01	5.50E-01
SP52607	7.44E-01	2.19E-01	7.56E-01
SP52667	1.99E+00	8.76E-01	2.03E+00
SP51446	1.30E+00	5.73E-01	1.34E+00
SP50592	9.94E-01	6.15E-01	1.07E+00
SP53073	1.96E+00	9.27E-01	1.91E+00
SP56638	2.45E+00	1.14E+00	2.49E+00
SP56537	2.19E+00	1.92E+00	2.47E+00
SP57586	2.42E+00	1.46E+00	2.56E+00
SP56541	2.33E+00	1.08E+00	2.36E+00
SP56553	3.37E+00	2.23E+00	3.60E+00
SP56771	1.78E+00	1.43E+00	2.22E+00
SP57941	3.04E+00	1.68E+00	2.85E+00
SP57818	3.04E+00	1.38E+00	2.97E+00
SP56460	2.27E+00	1.52E+00	2.57E+00
SP56474	1.47E+00	1.57E+00	1.81E+00
SP56704	2.44E+00	1.79E+00	2.51E+00
SP56533	2.42E+00	1.56E+00	2.31E+00
SP56730	2.93E+00	1.74E+00	2.83E+00
SP59245	3.15E+00	1.49E+00	3.09E+00
SP57024	2.06E+00	1.09E+00	2.09E+00
