Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
SP29914	2.94E+00	3.89E+00	3.12E+00	2.14E+00	1.94E+00	6.47E-01	2.53E+00	9.74E-01
SP31046	7.04E-01	1.19E+00	4.84E-01	8.94E-01	5.34E-01	2.83E-01	5.76E-01	7.94E-01
SP31334	1.51E+00	3.61E+00	1.91E+00	2.44E+00	6.06E+00	5.94E-01	1.31E+00	1.02E+00
SP30011	9.77E-01	2.11E+00	1.70E+00	2.39E+00	2.37E+00	0.00E+00	1.55E+00	1.23E+00
SP31174	1.31E+00	2.02E+00	1.15E+00	1.41E+00	1.69E+00	2.88E-01	1.08E+00	9.92E-01
SP32662	1.94E+00	2.61E+00	1.49E+00	1.68E+00	2.00E+00	4.81E-01	1.66E+00	1.17E+00
SP31126	1.95E+00	4.01E+00	3.33E+00	3.96E+00	6.75E+00	6.80E-01	2.81E+00	1.89E+00
SP32958	1.33E+00	2.16E+00	1.34E+00	1.43E+00	1.79E+00	4.28E-01	1.13E+00	1.07E+00
SP31422	1.91E+00	3.47E+00	1.61E+00	2.29E+00	5.20E+00	5.66E-01	1.75E+00	1.05E+00
SP33496	2.81E+00	5.22E+00	2.70E+00	2.18E+00	7.31E+00	5.48E-01	1.96E+00	1.02E+00
SP34005	7.75E-01	1.44E+00	1.16E+00	1.19E+00	1.20E+00	2.95E-01	7.85E-01	7.33E-01
SP30113	8.65E+00	4.83E+00	1.08E+01	3.13E+00	6.18E+00	2.84E-01	5.78E+00	8.89E-01
SP31030	2.47E+00	3.53E+00	1.19E+00	1.75E+00	3.11E+00	4.45E-01	1.25E+00	2.62E+00
SP33544	2.10E+00	4.14E+00	3.31E+00	3.45E+00	7.67E+00	5.28E-01	2.13E+00	8.05E-01
SP33688	2.32E+00	5.59E+00	2.22E-01	8.46E+00	1.03E+01	4.50E-01	1.16E+00	2.95E-01
SP30907	1.91E+00	3.41E+00	3.24E+00	2.68E+00	8.28E+00	3.29E-01	1.36E+00	9.38E-01
SP30185	4.18E-01	8.47E-01	7.26E-01	7.04E-01	1.18E+00	0.00E+00	2.94E-01	6.13E-01
SP33837	6.48E-01	1.31E+00	1.13E+00	9.56E-01	1.23E+00	0.00E+00	8.85E-01	1.06E+00
SP31790	1.38E+00	1.98E+00	1.02E+00	1.42E+00	1.56E+00	4.40E-01	1.06E+00	1.37E+00
SP30143	9.73E-01	1.75E+00	9.59E-01	1.10E+00	1.53E+00	7.18E-02	8.01E-01	1.07E+00
SP30071	2.23E+00	4.45E+00	3.65E+00	1.74E+00	7.69E+00	0.00E+00	1.66E+00	1.41E+00
SP30493	5.10E-01	1.19E+00	8.13E-01	9.62E-01	1.17E+00	3.03E-01	6.97E-01	9.38E-01
SP32014	1.51E+00	2.15E+00	6.88E-01	1.28E+00	1.19E+00	0.00E+00	7.27E-01	1.16E+00
SP30332	5.33E+00	4.02E+00	6.79E+00	1.95E+00	4.04E+00	6.42E-01	4.07E+00	1.87E+00
SP31814	1.16E+00	1.75E+00	1.12E+00	1.64E+00	1.63E+00	3.62E-01	6.81E-01	7.77E-01
SP29987	2.86E+00	8.20E+00	3.86E+00	3.54E+00	1.39E+01	8.29E-01	2.17E+00	1.81E+00
SP30083	1.06E+00	1.69E+00	7.39E-01	1.12E+00	1.93E+00	3.22E-01	9.60E-01	7.08E-01
SP32742	1.24E+00	2.33E+00	1.40E+00	1.69E+00	2.03E+00	5.74E-01	1.31E+00	1.48E+00
