Samples	ID83A	ID83B	ID83C
SP77443	55	593	70
SP72118	154	494	15
SP76891	163	384	0
SP125732	7617	64	62
SP125716	130	572	62
SP125746	44084	3373	0
SP125797	324	393	23
SP76057	78	477	18
SP69565	366	495	627
SP75202	82	246	44
SP110736	196	331	6
SP107774	7	535	0
SP110779	113	469	46
SP107805	102	372	58
SP110789	80	205	884
SP71846	155	420	56
SP70122	164	459	0
SP71404	479	799	3
SP76955	39	498	0
SP107781	109	143	68
SP70202	43	225	591
SP70677	26	124	60
SP70082	41	141	34
SP70288	355	480	0
SP70266	41	315	45
SP107956	227	578	38
SP70956	116	220	44
SP108017	82	187	20
SP71536	62	249	48
SP70756	162	259	42
SP76675	155	612	603
SP71480	107	462	0
SP70313	96	230	65
SP73319	57	271	40
SP107813	191	422	20
SP77339	54	417	13
SP76017	127	220	42
SP76915	157	227	103
SP71974	339	857	893
SP70178	212	583	21
SP107920	127	361	35
SP110798	61	349	7
SP107952	110	474	49
SP70465	32	312	68
SP70780	190	488	5
SP110803	41	145	195
SP107915	96	322	13
SP71132	219	613	0
SP71552	124	518	76
SP69573	57	228	24
SP75681	40	427	9
SP107874	165	645	3
SP110816	46	236	26
SP77203	840	301	1279
SP76515	91	423	52
SP110770	232	347	35
SP69812	63	171	30
SP76136	250	556	252
SP70106	79	151	437
SP108059	85	255	44
SP108020	122	348	63
SP76867	169	350	24
SP108088	126	323	45
SP71734	111	322	23
SP76001	39	185	40
SP108033	144	377	21
SP110822	161	435	59
SP69762	156	270	37
SP107945	125	430	39
SP107770	70	263	49
SP73263	174	430	0
SP77131	118	612	0
SP75322	737	965	61
SP70046	26	262	15
SP70932	80	422	22
SP71758	7	167	156
SP71228	418	547	84
SP76353	55	172	30
SP69587	30	178	0
SP69898	373	909	0
SP75977	71	250	29
SP70226	66	319	14
SP108068	138	333	62
SP107784	121	1200	0
SP110824	53	319	7
SP76843	164	667	0
SP71456	157	444	98
SP108065	196	271	18
SP70860	255	353	52
SP71084	101	346	11
SP72262	47	251	73
SP69705	183	253	54
SP107786	199	666	164
SP71576	69	243	20
SP108123	72	243	36
SP74896	74	358	22
SP71950	85	501	6
SP108049	29	185	47
SP116965	190	674	1488
SP77930	25	179	32
SP125807	147	730	0
SP125696	150	398	67
SP125725	195	421	82
