MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	1.86E-05	2.06E-04	3.00E-03	4.09E-04	1.78E-03	3.85E-03	1.45E-03	3.33E-03
1:Del:C:1	7.82E-06	7.30E-05	1.61E-03	2.97E-04	4.52E-04	1.07E-03	5.74E-04	2.60E-03
1:Del:C:2	8.63E-06	4.90E-05	9.81E-04	1.39E-04	2.63E-04	5.61E-04	2.70E-04	1.43E-03
1:Del:C:3	8.78E-06	7.10E-05	4.96E-04	1.38E-04	1.93E-04	6.51E-04	7.88E-06	8.79E-04
1:Del:C:4	8.37E-06	1.26E-04	5.48E-04	1.47E-04	1.50E-04	4.93E-04	3.08E-05	6.95E-04
1:Del:C:5	3.60E-05	6.97E-04	9.35E-04	3.00E-04	1.03E-04	4.68E-04	3.52E-04	7.91E-04
1:Del:T:0	1.13E-05	8.66E-05	1.64E-03	4.63E-04	4.78E-04	1.95E-03	7.69E-04	4.54E-03
1:Del:T:1	1.15E-05	4.65E-05	7.96E-04	2.13E-04	3.56E-04	7.20E-04	2.02E-04	1.57E-03
1:Del:T:2	1.79E-05	6.81E-05	6.60E-04	1.77E-04	2.93E-04	9.02E-04	1.36E-04	1.32E-03
1:Del:T:3	2.95E-05	1.04E-04	1.32E-03	1.77E-04	5.24E-04	1.32E-03	4.73E-04	1.37E-03
1:Del:T:4	4.80E-05	2.74E-04	1.74E-03	2.57E-04	4.38E-04	1.44E-03	4.14E-04	2.04E-03
1:Del:T:5	5.78E-04	7.67E-03	2.79E-03	3.00E-03	9.81E-04	3.19E-03	2.00E-03	5.89E-03
1:Ins:C:0	7.09E-05	9.29E-05	3.77E-04	3.17E-05	7.08E-05	6.44E-04	2.60E-04	2.07E-03
1:Ins:C:1	1.43E-05	1.77E-05	5.89E-04	3.39E-05	1.35E-04	2.72E-04	2.04E-04	1.02E-03
1:Ins:C:2	1.44E-05	4.41E-06	4.31E-04	5.43E-05	8.15E-05	2.81E-04	1.40E-04	8.60E-04
1:Ins:C:3	1.97E-05	1.22E-05	1.57E-04	5.94E-05	7.00E-05	1.68E-04	1.44E-04	3.90E-04
1:Ins:C:4	8.52E-05	9.62E-05	2.93E-04	2.31E-05	5.54E-05	1.34E-04	1.10E-04	1.11E-03
1:Ins:C:5	7.47E-04	8.18E-04	2.77E-03	7.38E-05	5.10E-05	1.44E-04	2.79E-04	9.20E-03
1:Ins:T:0	2.14E-04	1.54E-04	4.60E-04	2.08E-05	1.68E-04	9.24E-04	3.75E-04	3.01E-03
1:Ins:T:1	5.70E-05	1.23E-06	1.47E-03	1.61E-04	2.41E-04	6.64E-04	3.90E-04	2.90E-03
1:Ins:T:2	5.03E-05	9.15E-05	4.93E-04	4.30E-05	1.25E-04	3.16E-04	1.77E-04	1.14E-03
1:Ins:T:3	8.37E-05	5.65E-05	3.44E-04	8.10E-05	1.33E-04	3.17E-04	1.37E-04	8.24E-04
1:Ins:T:4	5.39E-04	1.99E-05	1.15E-04	1.38E-05	1.07E-04	2.91E-04	1.35E-04	5.89E-05
1:Ins:T:5	2.22E-03	8.63E-03	1.71E-02	8.02E-04	6.40E-04	3.54E-03	1.69E-04	1.61E-02
2:Del:R:0	4.96E-06	6.20E-05	7.17E-04	3.14E-04	3.26E-04	4.72E-04	3.55E-04	1.47E-03
2:Del:R:1	9.58E-06	1.71E-04	9.47E-04	1.70E-03	3.24E-04	1.99E-04	2.10E-04	1.17E-03
2:Del:R:2	4.43E-06	6.17E-05	3.10E-04	4.12E-04	1.48E-04	2.99E-04	2.35E-04	6.43E-04
2:Del:R:3	7.58E-06	9.54E-05	3.06E-04	2.15E-04	8.50E-05	1.37E-04	2.28E-04	5.79E-04
