MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	7.63E-04	6.13E-05	1.13E-03	2.06E-03	4.39E-04	7.65E-04	1.20E-03
1:Del:C:1	1.01E-03	5.46E-05	1.52E-03	1.24E-03	3.32E-04	6.83E-04	8.96E-04
1:Del:C:2	5.29E-04	3.98E-05	7.55E-04	6.49E-04	2.01E-04	4.19E-04	5.26E-04
1:Del:C:3	4.25E-04	4.28E-05	6.02E-04	5.71E-04	3.21E-04	3.38E-04	2.12E-04
1:Del:C:4	1.47E-04	5.47E-05	2.69E-04	4.05E-04	2.73E-04	1.03E-04	3.57E-04
1:Del:C:5	3.26E-05	1.08E-04	2.40E-04	4.47E-04	1.79E-04	1.69E-04	2.21E-04
1:Del:T:0	1.58E-03	7.63E-05	2.09E-03	1.44E-03	4.24E-04	9.19E-04	9.31E-04
1:Del:T:1	1.08E-03	5.94E-05	1.09E-03	1.32E-03	3.63E-04	5.88E-04	5.16E-04
1:Del:T:2	1.10E-03	5.60E-05	1.59E-03	1.72E-03	4.27E-04	6.67E-04	6.35E-04
1:Del:T:3	9.59E-04	6.97E-05	1.52E-03	1.53E-03	3.18E-04	3.48E-05	4.69E-04
1:Del:T:4	5.96E-04	9.91E-05	9.97E-04	1.08E-03	3.75E-04	1.02E-04	5.83E-04
1:Del:T:5	1.04E-03	1.31E-03	7.28E-04	1.74E-03	5.40E-04	5.50E-04	1.65E-08
1:Ins:C:0	1.23E-04	2.85E-05	7.95E-04	3.83E-03	3.10E-05	1.91E-03	3.67E-04
1:Ins:C:1	2.65E-04	1.73E-05	2.72E-04	1.31E-03	1.12E-04	5.96E-04	3.09E-04
1:Ins:C:2	3.01E-04	1.30E-05	2.66E-04	5.19E-04	4.53E-05	2.22E-04	1.26E-04
1:Ins:C:3	1.20E-04	1.65E-05	1.69E-04	4.26E-04	1.42E-04	2.28E-04	7.13E-05
1:Ins:C:4	4.39E-05	2.67E-05	5.72E-05	3.67E-04	1.28E-04	1.90E-04	1.36E-04
1:Ins:C:5	1.38E-04	7.65E-05	1.86E-04	1.11E-03	3.16E-04	4.63E-04	3.36E-04
1:Ins:T:0	3.29E-04	3.65E-05	4.15E-04	2.76E-03	2.82E-04	1.08E-03	5.66E-04
1:Ins:T:1	8.64E-04	3.45E-05	7.53E-04	1.67E-03	2.76E-04	5.76E-04	1.26E-03
1:Ins:T:2	1.23E-03	5.81E-05	9.52E-04	1.27E-03	3.49E-04	4.18E-04	2.07E-04
