MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	5.83E-05	4.39E-04	1.87E-04	6.69E-04
1:Del:C:1	1.61E-06	2.40E-04	2.03E-04	2.92E-04
1:Del:C:2	2.15E-05	8.75E-05	1.72E-04	7.98E-05
1:Del:C:3	2.44E-05	6.28E-05	8.44E-05	7.81E-05
1:Del:C:4	4.95E-05	3.48E-06	6.95E-05	8.69E-06
1:Del:C:5	1.59E-04	3.65E-05	6.01E-05	3.64E-05
1:Del:T:0	2.06E-05	4.87E-04	1.22E-04	9.85E-04
1:Del:T:1	2.57E-05	3.16E-04	1.02E-04	6.06E-04
1:Del:T:2	2.09E-05	3.00E-04	8.32E-05	5.93E-04
1:Del:T:3	5.35E-05	2.08E-04	8.31E-05	3.57E-04
1:Del:T:4	1.11E-04	1.51E-04	6.51E-05	2.42E-04
1:Del:T:5	2.74E-03	7.83E-04	5.02E-04	5.47E-04
1:Ins:C:0	3.82E-05	7.78E-04	6.04E-05	2.36E-03
1:Ins:C:1	3.01E-06	7.08E-05	3.48E-05	1.22E-04
1:Ins:C:2	4.23E-06	6.33E-05	2.99E-05	1.14E-04
1:Ins:C:3	7.82E-06	7.71E-05	3.15E-05	1.41E-04
1:Ins:C:4	1.89E-05	4.52E-05	3.26E-05	7.94E-05
1:Ins:C:5	1.04E-04	2.31E-04	4.18E-05	7.17E-05
1:Ins:T:0	2.74E-05	9.62E-05	5.08E-05	1.36E-04
1:Ins:T:1	5.45E-06	1.80E-04	8.12E-05	2.97E-04
1:Ins:T:2	1.89E-05	1.22E-04	9.22E-05	1.66E-04
1:Ins:T:3	2.60E-05	9.14E-05	6.63E-05	1.10E-04
1:Ins:T:4	3.19E-05	8.53E-05	4.04E-05	6.48E-05
1:Ins:T:5	2.94E-03	6.37E-03	3.01E-04	1.27E-03
2:Del:R:0	5.20E-05	5.55E-04	5.00E-05	1.63E-03
2:Del:R:1	1.47E-04	1.39E-03	8.54E-05	4.07E-03
2:Del:R:2	4.14E-05	3.79E-04	4.68E-05	1.03E-03
2:Del:R:3	5.07E-05	1.53E-04	3.64E-05	3.72E-04
2:Del:R:4	3.12E-05	7.71E-05	2.36E-05	1.70E-04
2:Del:R:5	8.04E-05	8.52E-05	3.55E-05	1.00E-04
3:Del:R:0	1.00E-05	1.78E-04	1.98E-05	2.88E-04
3:Del:R:1	4.01E-05	1.63E-04	2.73E-05	3.63E-04
3:Del:R:2	2.11E-05	3.66E-05	1.12E-05	7.23E-05
3:Del:R:3	9.84E-06	1.70E-05	6.07E-06	1.76E-05
3:Del:R:4	4.89E-06	1.22E-05	4.23E-06	2.01E-05
3:Del:R:5	6.22E-06	1.32E-05	3.39E-06	1.45E-05
4:Del:R:0	5.94E-06	1.60E-04	1.94E-05	2.58E-04
4:Del:R:1	4.66E-05	2.95E-04	2.52E-05	8.16E-04
4:Del:R:2	1.48E-05	8.95E-05	1.10E-05	2.50E-04
4:Del:R:3	1.05E-05	4.53E-05	6.50E-06	1.14E-04
4:Del:R:4	6.14E-06	2.31E-05	4.96E-06	7.39E-05
4:Del:R:5	6.43E-06	1.42E-05	1.18E-07	2.62E-05
5:Del:R:0	1.22E-05	1.51E-03	8.53E-05	2.46E-03
5:Del:R:1	1.35E-05	1.11E-04	2.02E-05	2.73E-04
5:Del:R:2	6.71E-06	2.81E-05	8.44E-06	5.75E-05
5:Del:R:3	2.81E-06	1.12E-05	5.32E-06	2.13E-05
5:Del:R:4	1.81E-06	7.09E-06	2.47E-06	1.93E-05
5:Del:R:5	2.41E-06	3.30E-06	8.86E-07	6.04E-06
2:Ins:R:0	2.67E-05	1.33E-04	4.43E-05	2.89E-04
2:Ins:R:1	4.27E-06	1.80E-04	2.94E-05	2.90E-04
2:Ins:R:2	8.38E-06	9.86E-05	1.58E-05	1.93E-04
2:Ins:R:3	1.20E-05	3.77E-05	1.59E-05	6.31E-05
2:Ins:R:4	2.89E-05	5.65E-05	1.26E-05	2.85E-05
2:Ins:R:5	1.71E-04	3.79E-04	3.21E-05	6.32E-05
3:Ins:R:0	6.50E-06	7.26E-05	1.95E-05	1.43E-04
