MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	1.00E-03	3.96E-03	4.05E-03	5.12E-03	5.18E-03	5.85E-03	4.43E-03
1:Del:C:1	7.12E-04	2.11E-03	2.87E-03	3.51E-03	3.91E-03	4.60E-03	3.63E-03
1:Del:C:2	9.61E-04	1.38E-03	2.59E-03	3.31E-03	3.35E-03	5.91E-03	6.28E-03
1:Del:C:3	3.54E-04	1.01E-03	1.57E-03	3.31E-03	1.80E-03	1.99E-03	2.18E-03
1:Del:C:4	1.70E-04	5.42E-04	1.01E-03	1.19E-03	9.33E-04	9.11E-04	1.42E-03
1:Del:C:5	5.24E-04	7.79E-04	1.07E-03	7.34E-04	4.38E-04	6.04E-04	1.57E-03
1:Del:T:0	5.25E-04	2.71E-03	4.64E-03	4.53E-03	3.97E-03	4.57E-03	5.71E-03
1:Del:T:1	6.59E-04	2.23E-03	2.50E-03	4.10E-03	3.83E-03	3.78E-03	2.06E-03
1:Del:T:2	7.42E-04	1.63E-03	3.08E-03	3.27E-03	3.22E-03	2.98E-03	3.53E-03
1:Del:T:3	8.45E-04	1.62E-03	4.65E-03	3.99E-03	2.73E-03	4.69E-03	5.34E-03
1:Del:T:4	7.53E-04	2.05E-03	4.43E-03	2.92E-03	3.75E-03	2.11E-03	4.78E-03
1:Del:T:5	5.14E-03	4.96E-03	7.42E-03	3.41E-03	4.19E-03	2.62E-03	4.65E-03
1:Ins:C:0	3.67E-04	8.72E-04	1.03E-03	2.04E-04	6.92E-04	5.52E-04	1.11E-03
1:Ins:C:1	1.99E-04	5.98E-04	1.68E-03	1.10E-03	9.26E-04	9.09E-04	1.65E-03
1:Ins:C:2	2.97E-04	7.25E-04	1.43E-03	7.92E-04	1.04E-03	8.60E-04	1.64E-03
1:Ins:C:3	9.46E-05	1.65E-04	4.65E-04	3.69E-04	5.30E-04	3.07E-04	7.45E-04
1:Ins:C:4	2.79E-04	3.99E-04	5.77E-04	2.87E-04	2.40E-04	3.34E-04	3.36E-04
1:Ins:C:5	1.22E-03	1.95E-03	3.60E-03	5.73E-04	1.98E-03	9.85E-04	2.20E-03
1:Ins:T:0	3.87E-04	1.05E-03	1.72E-03	1.10E-03	1.72E-03	9.05E-04	1.92E-03
1:Ins:T:1	4.53E-04	1.53E-03	3.01E-03	4.53E-03	3.37E-03	3.49E-03	3.18E-03
1:Ins:T:2	3.60E-04	1.09E-03	1.34E-03	1.74E-03	1.59E-03	1.47E-03	1.66E-03
1:Ins:T:3	4.17E-04	3.57E-04	2.39E-03	9.60E-04	9.87E-04	1.54E-03	3.13E-03
1:Ins:T:4	4.71E-04	5.80E-04	8.10E-04	8.44E-04	5.79E-04	7.39E-04	4.98E-04
1:Ins:T:5	6.29E-03	1.07E-02	7.88E-03	4.42E-03	8.99E-03	4.77E-03	2.68E-03
2:Del:R:0	5.27E-04	9.52E-04	1.62E-03	1.28E-03	1.30E-03	1.02E-03	2.30E-03
2:Del:R:1	5.11E-04	1.30E-03	1.71E-03	1.45E-03	2.03E-03	2.09E-03	1.91E-03
2:Del:R:2	2.66E-04	4.71E-04	8.47E-04	1.10E-03	7.30E-04	6.44E-04	1.90E-04
2:Del:R:3	2.78E-04	3.15E-04	6.45E-04	2.33E-04	5.56E-04	4.02E-04	7.14E-04
2:Del:R:4	1.66E-04	3.64E-04	3.23E-07	9.93E-08	1.20E-07	1.14E-04	1.68E-04
2:Del:R:5	2.88E-04	3.30E-04	7.29E-05	7.85E-08	8.94E-08	3.86E-05	2.24E-07
3:Del:R:0	2.83E-04	7.49E-04	6.30E-04	1.15E-03	1.31E-03	1.20E-03	1.15E-03
3:Del:R:1	4.17E-04	1.11E-03	2.04E-03	8.10E-04	1.75E-03	2.15E-03	3.05E-03
3:Del:R:2	9.21E-05	5.89E-04	8.53E-04	4.87E-04	1.07E-03	7.30E-04	1.26E-03
3:Del:R:3	5.22E-09	6.65E-05	1.06E-04	1.37E-04	1.25E-04	1.18E-04	1.78E-04
3:Del:R:4	1.20E-05	9.96E-05	1.46E-04	7.07E-05	1.69E-04	2.71E-04	4.39E-04
3:Del:R:5	1.12E-05	1.14E-04	1.50E-05	4.69E-05	1.58E-07	6.87E-05	8.40E-05
4:Del:R:0	1.86E-04	4.23E-04	6.95E-04	6.75E-04	9.12E-04	5.27E-04	7.67E-04
4:Del:R:1	2.28E-04	1.07E-03	1.23E-03	2.66E-03	1.69E-03	2.29E-03	1.89E-03
4:Del:R:2	2.44E-04	4.02E-04	9.31E-04	1.01E-03	1.02E-03	8.93E-04	8.88E-04
4:Del:R:3	1.22E-04	1.60E-04	4.39E-04	1.12E-04	5.13E-04	3.90E-04	5.36E-04
4:Del:R:4	2.76E-05	3.39E-04	3.15E-04	2.79E-04	2.86E-04	4.23E-04	6.30E-04
4:Del:R:5	2.25E-08	5.60E-05	2.74E-04	2.25E-04	2.95E-04	1.88E-04	4.02E-04
5:Del:R:0	1.23E-03	3.09E-03	3.05E-03	4.28E-03	4.29E-03	3.27E-03	4.82E-03
5:Del:R:1	6.30E-04	1.14E-03	9.04E-04	4.02E-04	9.69E-04	4.38E-04	9.49E-04
5:Del:R:2	1.05E-04	2.00E-04	5.46E-04	1.43E-04	5.90E-04	3.04E-04	4.53E-04
5:Del:R:3	9.12E-05	2.37E-04	1.12E-04	3.52E-05	1.60E-04	2.36E-04	2.32E-04
5:Del:R:4	1.14E-08	8.18E-08	1.06E-07	7.35E-08	1.02E-07	1.10E-07	1.16E-07
5:Del:R:5	1.14E-08	8.18E-08	1.06E-07	7.35E-08	1.02E-07	1.10E-07	1.16E-07
2:Ins:R:0	5.92E-04	1.50E-03	1.41E-03	1.15E-03	9.47E-04	1.36E-03	8.37E-04
2:Ins:R:1	2.93E-04	6.50E-04	1.73E-03	1.51E-03	1.15E-03	7.01E-04	1.07E-03
2:Ins:R:2	8.51E-05	1.07E-04	4.13E-04	2.11E-04	3.19E-04	2.54E-04	3.57E-04
2:Ins:R:3	7.64E-05	2.11E-04	1.22E-07	2.24E-07	1.12E-07	7.91E-05	6.75E-05
2:Ins:R:4	1.67E-04	1.98E-04	1.05E-04	5.26E-05	4.96E-05	1.20E-07	9.91E-05
2:Ins:R:5	9.52E-04	1.24E-03	3.26E-03	9.53E-04	1.16E-03	7.45E-04	2.55E-03
3:Ins:R:0	4.21E-04	7.77E-04	1.73E-03	8.72E-04	1.17E-03	1.53E-03	1.75E-03
3:Ins:R:1	1.21E-04	1.68E-04	3.55E-04	2.32E-04	2.72E-04	5.67E-04	4.57E-04
3:Ins:R:2	4.57E-09	6.70E-05	2.37E-04	2.29E-04	2.50E-04	1.78E-04	2.24E-04
3:Ins:R:3	1.70E-05	1.02E-04	1.18E-04	5.75E-05	1.02E-04	1.19E-04	2.43E-04
3:Ins:R:4	1.19E-05	1.41E-04	1.67E-04	1.25E-04	1.69E-04	2.20E-04	1.06E-04
3:Ins:R:5	1.40E-04	2.00E-04	5.55E-04	5.15E-04	3.90E-04	2.28E-04	6.02E-04
4:Ins:R:0	4.15E-04	7.94E-04	5.84E-04	6.16E-04	6.18E-04	6.11E-04	8.18E-04
4:Ins:R:1	4.67E-05	3.51E-04	7.95E-04	1.20E-03	8.67E-04	7.41E-04	9.71E-04
4:Ins:R:2	7.37E-09	8.86E-05	1.35E-04	5.22E-05	9.06E-05	1.09E-04	1.93E-04
4:Ins:R:3	8.02E-05	1.42E-04	2.12E-04	1.25E-04	1.48E-04	1.93E-04	3.99E-04
4:Ins:R:4	8.77E-09	3.95E-05	2.24E-04	2.28E-04	2.57E-04	3.05E-04	2.09E-04
4:Ins:R:5	1.74E-04	8.69E-05	2.32E-04	4.76E-05	1.13E-04	1.15E-04	1.10E-04
5:Ins:R:0	2.00E-03	5.43E-03	1.64E-03	9.00E-04	5.43E-04	2.66E-03	2.29E-03
5:Ins:R:1	4.18E-04	6.27E-04	2.63E-03	1.90E-03	2.49E-03	2.83E-03	3.97E-03
5:Ins:R:2	1.33E-04	1.91E-04	2.54E-04	3.29E-04	4.04E-04	2.46E-04	5.48E-04
5:Ins:R:3	5.24E-09	6.97E-05	2.20E-04	4.38E-04	2.79E-04	1.55E-04	2.93E-04
5:Ins:R:4	1.81E-05	1.06E-04	1.24E-07	3.12E-05	1.60E-07	8.80E-05	5.23E-05
5:Ins:R:5	1.14E-08	8.18E-08	1.06E-07	7.35E-08	1.02E-07	1.10E-07	1.16E-07
2:Del:M:1	8.13E-04	1.97E-03	1.74E-03	1.94E-03	1.31E-03	2.28E-03	3.00E-03
3:Del:M:1	2.30E-04	7.98E-04	1.47E-03	1.36E-03	7.82E-04	8.30E-04	1.08E-03
3:Del:M:2	4.34E-04	8.69E-04	1.67E-03	1.50E-03	1.37E-03	1.73E-03	1.96E-03
4:Del:M:1	1.24E-04	5.33E-04	7.52E-04	8.42E-04	7.65E-04	8.44E-04	6.36E-04
4:Del:M:2	4.84E-05	1.17E-03	2.48E-03	1.97E-03	2.43E-03	1.72E-03	2.36E-03
4:Del:M:3	2.38E-04	1.75E-03	1.28E-03	1.41E-03	1.65E-03	2.21E-03	1.37E-03
5:Del:M:1	9.28E-04	1.41E-03	2.84E-03	1.29E-03	2.22E-03	3.25E-03	4.46E-03
5:Del:M:2	7.53E-04	1.14E-03	1.83E-03	1.42E-03	1.82E-03	2.51E-03	1.51E-03
5:Del:M:3	7.67E-04	1.21E-03	2.34E-03	7.87E-04	2.54E-03	2.17E-03	3.26E-03
5:Del:M:4	5.68E-04	6.10E-04	1.14E-03	8.21E-04	8.27E-04	1.09E-03	9.61E-04
5:Del:M:5	6.56E-04	7.80E-04	1.30E-03	9.49E-04	1.01E-03	1.62E-03	1.67E-03
