MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	0.07666263	0.00253259	0.16499031	0.00220924	0.21438439	0.01880165	0.01689322	0.01310633	0.02113409	0.02750021
1:Del:C:1	0.21881528	0.00003598	0.07950658	0.00129461	0.09122397	0.01872940	0.00980896	0.00830275	0.00557558	0.00846995
1:Del:C:2	0.20305101	0.00073139	0.06788977	0.00010307	0.02400776	0.00153402	0.00153773	0.00711974	0.00347678	0.00032574
1:Del:C:3	0.07241344	0.00470400	0.01316801	0.00081839	0.02336943	0.01287260	0.00028270	0.00368953	0.00143690	0.00929794
1:Del:C:4	0.05497166	0.01157117	0.00453730	0.00003694	0.00797316	0.00739094	0.00076454	0.00392535	0.00031184	0.00363326
1:Del:C:5	0.02928319	0.03481793	0.00166224	0.00259618	0.00215014	0.00242224	0.00256484	0.00566758	0.00080540	0.00646131
1:Del:T:0	0.04032333	0.00075700	0.01995226	0.00650795	0.08718715	0.06106924	0.01753006	0.00812444	0.00910341	0.03483779
1:Del:T:1	0.03016804	0.00083983	0.03884482	0.00314939	0.05418188	0.04979951	0.00298657	0.00351067	0.01009962	0.01985264
1:Del:T:2	0.01896399	0.00263736	0.01460202	0.00347630	0.06911750	0.04826291	0.00848741	0.01133194	0.00738904	0.03376599
1:Del:T:3	0.02600647	0.01363988	0.01248270	0.00680974	0.09548372	0.02270175	0.00903606	0.01075844	0.00383159	0.02239744
1:Del:T:4	0.01835518	0.03924814	0.00029542	0.00572195	0.06923161	0.01723600	0.00172473	0.01029326	0.00353560	0.00646936
1:Del:T:5	0.00025706	0.69919654	0.03673576	0.02535342	0.00763735	0.01407215	0.00490893	0.07295158	0.04289432	0.00431143
1:Ins:C:0	0.00428822	0.00064797	0.00054824	0.00017394	0.01071078	0.00070186	0.00000000	0.00413261	0.00042839	0.19029922
1:Ins:C:1	0.00353129	0.00019004	0.00382713	0.00007170	0.00455166	0.01185677	0.00349432	0.00027318	0.00184124	0.03536595
1:Ins:C:2	0.00294687	0.00009917	0.00685493	0.00064312	0.00254124	0.00779508	0.00201326	0.00010653	0.00128360	0.00889827
1:Ins:C:3	0.00854723	0.00055908	0.00540444	0.00042188	0.00102606	0.00381747	0.00430495	0.00054240	0.00006578	0.00947978
1:Ins:C:4	0.00814289	0.00212672	0.00316002	0.00100208	0.00090575	0.00487142	0.00598590	0.00009331	0.00013171	0.00544688
1:Ins:C:5	0.00793323	0.01210862	0.00280199	0.02561417	0.00244522	0.01109622	0.00913119	0.00001849	0.00001073	0.02763360
1:Ins:T:0	0.00823773	0.00126394	0.04757624	0.00419594	0.01005668	0.01088869	0.00963408	0.00492301	0.00259824	0.07204608
1:Ins:T:1	0.01828425	0.00001463	0.12429824	0.00377370	0.00711540	0.03006481	0.01201219	0.00209597	0.00729904	0.03347301
1:Ins:T:2	0.01957733	0.00272272	0.14945713	0.00021414	0.00425918	0.00194958	0.00015934	0.00075229	0.00069917	0.02126083
1:Ins:T:3	0.02182546	0.00164767	0.05456944	0.00423427	0.00820133	0.00582669	0.00425534	0.00215863	0.00480056	0.01049401
1:Ins:T:4	0.00822981	0.00255275	0.01158234	0.01612169	0.00494283	0.00580289	0.00045507	0.00180303	0.00125784	0.00022003
1:Ins:T:5	0.01913645	0.09677985	0.05045027	0.79416208	0.02778831	0.02601718	0.00146707	0.02182421	0.00849891	0.02436982
2:Del:R:0	0.00224708	0.00110443	0.01619708	0.00105140	0.01704585	0.02502965	0.00413914	0.00954700	0.04944548	0.00647761
2:Del:R:1	0.01394627	0.00108093	0.01318955	0.00253908	0.00441650	0.00574857	0.00001259	0.00791905	0.13708117	0.00674868
2:Del:R:2	0.01767138	0.00108553	0.00139714	0.00009188	0.00265527	0.00293463	0.00118545	0.00214580	0.04076862	0.00457402
2:Del:R:3	0.01107332	0.00704398	0.00019850	0.00000000	0.00196962	0.00125547	0.00238842	0.00027041	0.01090998	0.00451110
