Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
SP117655	1.71E+01	2.00E+01	1.22E+01	1.17E+01	0.00E+00	1.34E+00	1.64E+01	2.17E+01	8.89E+00	2.31E+00	2.19E+00	1.36E+01	5.50E+00	2.08E+00	2.16E+00	2.84E+00	1.74E+01	5.74E+00
SP117556	6.22E+00	7.08E+00	1.06E+01	9.95E+00	3.56E-01	9.13E-01	2.58E+00	9.49E+00	1.62E+00	1.27E+00	1.43E+00	5.37E+00	1.74E+00	1.91E+00	7.46E-01	1.78E+00	3.49E+00	5.99E+00
SP117627	2.62E+00	3.72E+00	5.56E+00	6.24E+00	1.86E-01	7.84E-01	3.45E+00	5.93E+00	1.12E+00	1.75E+00	1.11E+00	2.13E+00	1.40E+00	1.47E+00	4.25E-01	2.19E+00	4.78E+00	4.01E+00
SP117775	1.04E+01	1.12E+01	7.43E+00	8.29E+00	6.99E-01	1.24E+00	7.85E+00	1.15E+01	3.56E+00	2.93E+00	2.08E+00	8.14E+00	2.78E+00	2.11E+00	8.74E-01	3.21E+00	7.69E+00	4.03E+00
SP117332	7.28E-01	1.10E+00	8.87E-01	1.82E+00	1.98E-01	5.75E-01	1.19E+00	1.70E+00	1.07E+00	1.12E+00	7.19E-01	7.49E-01	1.06E+00	1.04E+00	2.35E-01	1.34E+00	1.63E+00	1.85E+00
SP117712	1.41E+00	2.57E+00	5.04E+00	5.10E+00	1.63E-01	1.01E+00	3.22E+00	4.16E+00	4.54E+00	3.26E+00	1.02E+00	1.73E+00	4.94E+00	4.93E+00	4.07E-01	3.06E+00	2.83E+00	3.17E+00
SP117017	9.52E-01	1.62E+00	5.29E+00	5.38E+00	3.38E-01	6.10E-01	1.71E+00	3.81E+00	1.96E+00	1.55E+00	1.07E+00	1.19E+00	8.92E-01	1.11E+00	0.00E+00	1.93E+00	2.81E+00	3.00E+00
SP117031	8.29E+00	1.00E+01	1.23E+01	1.15E+01	0.00E+00	1.06E+00	2.51E+00	1.13E+01	1.57E+00	1.80E+00	6.44E-01	8.25E+00	2.76E+00	2.59E+00	1.63E+00	2.25E+00	4.41E+00	5.69E+00
SP117759	1.88E+01	2.22E+01	1.44E+01	1.34E+01	3.06E-01	1.00E+00	1.07E+01	2.20E+01	3.34E+00	1.42E+00	1.84E+00	1.39E+01	4.26E+00	2.70E+00	1.60E+00	4.30E+00	1.41E+01	8.57E+00
SP117621	5.30E+00	6.69E+00	9.32E+00	9.88E+00	3.43E-01	8.50E-01	4.54E+00	1.02E+01	3.46E+00	2.65E+00	1.94E+00	5.80E+00	3.13E+00	3.62E+00	1.14E+00	2.67E+00	5.55E+00	6.27E+00
SP117425	4.29E+00	4.42E+00	4.42E+00	5.80E+00	1.70E-01	9.33E-01	5.85E+00	8.19E+00	2.30E+00	1.89E+00	2.21E+00	4.45E+00	3.92E+00	2.25E+00	1.96E+00	3.24E+00	6.42E+00	3.97E+00
SP117930	1.17E+01	1.49E+01	2.42E+01	2.00E+01	0.00E+00	1.31E+00	3.06E+00	2.27E+01	3.96E+00	2.07E+00	2.23E+00	9.65E+00	4.38E+00	2.99E+00	9.16E-01	2.06E+00	4.52E+00	7.26E+00
SP99287	2.87E-01	7.77E-01	2.07E+00	1.91E+00	0.00E+00	5.42E-01	1.70E+00	1.45E+00	2.10E+00	9.56E-01	4.16E-01	5.01E-01	1.19E+00	1.77E+00	8.91E-02	6.96E-01	2.14E+00	1.52E+00
SP99293	7.82E-01	1.29E+00	1.79E+00	2.26E+00	3.46E-01	6.53E-01	2.46E+00	2.39E+00	4.06E+00	2.52E+00	1.23E+00	1.25E+00	2.32E+00	3.83E+00	1.81E-01	1.40E+00	2.72E+00	2.83E+00
