Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
SP116536	14	9	4	0	11	28	0	0	9	0	0	0	8	0	16	1
SP116539	0	0	0	0	3	14	3	0	3	0	0	0	0	0	0	0
SP116542	3	0	3	0	2	10	0	0	1	0	0	2	9	0	0	0
SP116545	1	0	14	0	5	7	0	1	0	0	0	1	0	0	0	0
SP116548	6	0	3	0	3	11	1	0	6	3	0	3	4	0	0	0
SP116550	1	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0
SP116553	10	2	6	0	1	1	0	2	0	0	0	0	6	7	0	0
SP116557	0	0	0	1	0	3	3	0	0	0	0	0	1	1	0	0
SP116559	5	0	8	0	3	12	0	1	4	1	0	1	5	0	0	0
SP116562	16	8	2	2	0	0	0	0	5	0	0	2	7	0	4	0
SP116564	4	1	0	0	7	2	4	4	2	0	0	6	5	6	5	0
SP116571	2	1	3	0	7	4	1	1	2	0	0	3	2	0	0	0
SP116393	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
SP116442	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0
SP116446	1	0	0	0	1	3	0	4	0	0	0	1	0	0	0	0
SP116419	2	3	27	0	9	13	1	0	18	0	11	0	16	3	28	0
SP116383	50	115	42	3	99	28	45	0	21	0	10	22	54	0	0	14
SP116385	52	21	13	0	13	7	11	1	5	0	5	11	36	40	1	10
SP116440	27	12	0	0	13	12	5	0	17	0	44	2	38	0	9	0
SP116450	91	106	34	3	41	14	0	0	23	0	48	16	35	19	14	0
SP116493	25	0	12	0	2	16	2	0	3	0	10	3	5	3	0	2
SP116391	13	0	0	0	16	9	0	0	1	0	2	0	0	3	30	0
SP116401	11	17	6	1	2	11	0	0	5	0	0	6	4	0	2	1
SP116409	35	9	14	0	12	3	2	0	7	0	0	16	33	0	5	8
SP116416	1	0	6	0	3	11	3	0	1	0	1	2	0	0	0	3
SP116424	2	3	4	0	1	1	2	0	6	0	0	4	8	2	1	0
SP116515	0	16	21	0	9	14	12	8	9	0	0	1	4	0	0	0
SP116499	11	8	52	6	37	0	17	0	8	0	0	2	0	8	7	2
SP116505	136	2	24	2	62	0	4	0	1	0	12	1	6	18	8	2
SP116509	13	15	36	2	35	22	16	0	7	16	0	4	7	5	0	4
SP116437	6	6	10	0	3	15	0	0	10	0	0	0	5	3	7	0
SP116512	29	17	78	0	18	0	6	0	5	0	0	183	35	0	15	0
SP116465	4	0	2	0	37	0	7	0	1	0	0	44	81	13	0	3
SP116496	45	130	40	0	36	114	46	0	18	0	0	21	39	0	50	13
SP116525	20	38	42	0	32	58	2	0	9	0	0	5	22	21	5	0
SP116481	9	0	5	1	4	0	2	0	0	0	0	0	0	0	20	0
SP116586	3	4	21	0	4	12	8	0	3	0	11	2	6	0	0	1
SP116528	156	23	17	0	15	34	3	2	6	74	0	11	0	31	0	3
SP116589	69	65	86	7	40	0	41	0	13	0	56	6	9	0	3	0
SP116406	9	11	36	0	23	0	0	0	0	0	0	8	10	20	0	0
SP116484	2	0	14	2	4	0	0	0	1	0	7	2	1	0	10	0
SP116453	10	8	22	1	7	11	0	0	2	0	13	5	7	10	0	3
SP116469	21	139	69	0	9	46	36	0	23	0	45	29	9	0	0	6
SP116578	18	313	30	0	19	77	122	0	25	0	60	30	25	0	0	0
SP116531	33	0	17	0	5	5	2	0	6	0	21	6	3	0	0	0
SP116593	3	0	33	1	4	3	0	0	6	1	3	0	3	5	0	0
SP116487	3	1	1	0	1	0	4	0	0	9	0	3	0	0	8	0
SP116456	2	0	3	0	2	13	0	0	4	0	0	1	4	0	6	14
SP116472	40	13	20	3	51	4	31	0	3	0	1	5	20	16	19	13
SP116518	102	8	101	4	130	33	7	0	6	96	0	12	17	38	12	1
SP116412	24	5	35	0	25	0	0	1	6	0	0	4	2	0	0	1
SP116534	10	9	9	0	14	13	14	0	5	0	0	0	7	0	6	2
SP116596	20	68	69	0	7	27	19	0	34	0	45	17	13	0	69	10
SP116490	23	0	38	0	42	0	16	0	7	6	0	3	7	15	0	0
SP116459	30	18	37	1	29	22	7	0	3	3	0	12	16	1	20	2
SP116475	32	1	28	1	20	2	1	0	4	0	10	0	11	0	2	1
SP116520	20	14	73	0	33	20	9	0	12	0	15	5	7	0	43	1
SP116431	51	21	96	3	26	3	2	1	14	0	29	18	5	0	6	9
SP116582	101	40	44	0	47	43	33	0	6	0	3	5	8	26	26	11
SP116599	37	0	18	0	50	20	0	3	7	3	0	6	0	7	7	1
SP116478	21	0	66	2	31	0	3	0	1	4	0	3	3	8	21	6
SP116462	27	4	3	0	14	9	2	0	2	0	3	4	6	4	24	0
SP116523	39	10	10	0	22	2	4	0	2	6	13	0	0	0	18	1
SP116434	6	8	0	0	1	2	0	0	1	0	1	1	0	7	0	0
SP122725	60	26	31	0	42	26	15	3	4	25	0	32	17	2	12	0
SP122476	11	16	61	6	13	15	27	1	23	16	24	7	3	0	56	0
SP122372	0	125	49	0	0	35	6	0	33	0	8	15	7	9	0	0
SP122489	30	5	39	1	21	44	5	0	8	0	0	8	6	0	5	9
SP122560	39	16	13	1	17	0	8	0	0	0	2	3	0	27	47	10
SP122590	13	20	53	0	20	9	4	0	5	0	16	7	7	8	30	1
SP122714	11	13	34	1	7	18	7	4	2	12	0	5	20	10	0	4
SP121870	40	0	27	1	49	43	8	0	9	26	0	9	11	1	0	2
SP123010	65	26	20	1	14	34	6	0	1	4	30	14	47	10	5	1
SP121865	18	31	38	3	28	33	4	0	12	0	22	9	8	8	0	0
SP122676	122	7	76	4	36	0	15	0	16	23	15	10	6	5	33	3
SP122412	15	22	17	4	4	23	16	0	4	23	21	8	15	16	0	0
SP122392	122	56	114	3	64	55	150	0	14	0	20	34	74	47	1	6
