MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	2.67E-03	4.94E-04	3.40E-03	2.13E-03	5.87E-04	4.06E-03	6.09E-04	2.53E-03
1:Del:C:1	5.57E-04	2.92E-04	9.00E-04	1.42E-03	4.94E-04	2.31E-03	3.69E-04	9.67E-04
1:Del:C:2	2.95E-04	1.47E-04	3.96E-04	8.99E-04	2.79E-04	1.25E-03	2.35E-04	6.30E-04
1:Del:C:3	2.85E-04	1.59E-04	4.49E-04	5.81E-04	1.00E-04	8.66E-04	1.37E-04	3.00E-04
1:Del:C:4	7.70E-04	1.19E-04	1.37E-03	4.47E-04	1.61E-04	1.67E-03	8.27E-05	1.44E-04
1:Del:C:5	1.59E-03	1.62E-04	2.39E-03	2.14E-04	1.91E-04	1.60E-03	1.47E-04	4.47E-04
1:Del:T:0	6.15E-04	1.13E-04	5.77E-04	6.99E-04	7.80E-04	1.51E-03	4.08E-04	1.11E-03
1:Del:T:1	4.41E-04	1.97E-04	4.81E-04	6.72E-04	5.87E-04	1.31E-03	3.11E-04	1.14E-03
1:Del:T:2	7.60E-04	1.66E-04	7.65E-04	6.77E-04	4.36E-04	1.28E-03	3.03E-04	1.02E-03
1:Del:T:3	8.09E-04	1.94E-04	7.48E-04	8.94E-04	4.76E-04	2.23E-03	3.67E-04	1.09E-03
1:Del:T:4	9.56E-04	1.99E-04	9.32E-04	8.58E-04	2.93E-04	3.88E-03	2.68E-04	6.53E-04
1:Del:T:5	7.51E-03	6.02E-04	1.17E-02	3.73E-04	2.35E-04	8.37E-03	8.23E-04	2.39E-03
1:Ins:C:0	2.12E-04	1.11E-04	3.88E-04	9.11E-05	0.00E+00	3.37E-04	3.66E-04	3.76E-03
1:Ins:C:1	2.25E-05	6.86E-05	2.81E-05	1.88E-04	3.05E-04	3.33E-04	9.42E-05	4.96E-04
1:Ins:C:2	3.90E-05	8.47E-05	7.10E-05	1.30E-04	1.76E-04	2.64E-04	1.21E-04	8.33E-05
1:Ins:C:3	5.08E-05	6.14E-05	7.90E-05	1.16E-04	1.97E-04	2.48E-04	6.13E-05	2.50E-04
1:Ins:C:4	1.08E-04	1.02E-04	2.40E-04	8.57E-05	2.00E-04	3.92E-04	5.87E-05	2.41E-04
1:Ins:C:5	6.71E-04	3.04E-04	4.06E-04	1.48E-04	3.86E-04	8.94E-04	9.57E-05	8.21E-04
1:Ins:T:0	2.82E-04	1.43E-04	2.78E-04	2.23E-04	4.22E-04	6.49E-04	2.13E-04	8.32E-04
1:Ins:T:1	1.48E-04	2.34E-04	2.54E-04	5.04E-04	4.61E-04	1.56E-03	2.08E-04	6.98E-04
1:Ins:T:2	2.50E-04	2.02E-04	4.07E-04	3.23E-04	3.35E-04	8.97E-04	1.20E-04	5.13E-04
1:Ins:T:3	1.53E-04	1.81E-04	2.82E-04	2.85E-04	1.36E-04	6.97E-04	1.69E-04	5.31E-04
1:Ins:T:4	1.66E-04	2.20E-04	3.34E-04	3.04E-04	2.64E-04	7.37E-04	9.70E-05	5.12E-04
1:Ins:T:5	4.68E-03	2.40E-03	4.15E-03	3.43E-03	7.51E-03	1.43E-02	1.52E-03	8.84E-03
2:Del:R:0	4.04E-04	1.12E-04	2.02E-04	4.51E-04	3.45E-04	1.16E-03	1.49E-04	8.02E-04
2:Del:R:1	4.57E-04	3.22E-04	4.21E-04	9.26E-04	4.19E-04	2.48E-03	2.89E-04	1.28E-03
2:Del:R:2	1.45E-04	1.07E-04	2.36E-04	2.02E-04	2.40E-04	5.98E-04	9.48E-05	4.13E-04
2:Del:R:3	5.91E-04	7.60E-05	9.58E-04	1.27E-04	1.46E-04	8.55E-04	5.88E-05	3.03E-04
