Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,1.0,1.0,NO,N/A,552100.0%,37.02%,92.93%,30.54%,86.39,0.1612,0.6142,0.063,0.351,0.923,0.592
3,1.0,0.99,NO,N/A,107900.0%,30.91%,77.45%,25.14%,67.41,0.1362,0.4463,0.045,0.252,0.945,0.719
4,1.0,0.99,NO,N/A,81800.0%,26.72%,69.97%,20.5%,61.85,0.1129,0.5592,0.026,0.195,0.968,0.788
5,0.95,0.86,NO,N/A,50300.0%,23.85%,57.05%,16.89%,44.28,0.0968,0.3838,0.016,0.094,0.98,0.872
6,0.89,0.46,YES,9.34e-04,44600.0%,21.24%,57.29%,14.29%,42.47,0.0922,0.3769,0.013,0.092,0.984,0.875
7*,0.89,0.55,YES,3.80e-01,42500.0%,20.1%,57.15%,13.16%,42.78,0.0867,0.3761,0.012,0.092,0.986,0.876
8,0.89,0.56,YES,Most Stab Sigs,39100.0%,19.79%,56.99%,12.72%,42.95,0.0832,0.3705,0.011,0.092,0.986,0.876
9,0.77,-0.1,NO,N/A,35300.0%,19.17%,56.9%,12.64%,42.71,0.0816,0.3685,0.011,0.091,0.987,0.878
10,0.64,-0.35,NO,N/A,34600.0%,19.04%,57.04%,12.42%,42.39,0.0809,0.3643,0.01,0.089,0.987,0.88
11,0.55,-0.38,NO,N/A,32400.0%,18.95%,56.38%,12.31%,42.38,0.0805,0.3717,0.01,0.09,0.987,0.878
12,0.48,-0.34,NO,N/A,30900.0%,18.56%,55.54%,11.86%,42.17,0.0792,0.3729,0.01,0.088,0.988,0.881
13,0.42,-0.32,NO,N/A,28300.0%,18.35%,54.59%,11.69%,41.13,0.078,0.3761,0.009,0.085,0.989,0.885
14,0.37,-0.25,NO,N/A,41500.0%,17.8%,53.06%,11.44%,40.01,0.0752,0.3723,0.009,0.081,0.989,0.89
15,0.33,-0.41,NO,N/A,30600.0%,17.7%,54.05%,11.18%,40.9,0.0753,0.3576,0.009,0.082,0.989,0.891
16,0.31,-0.38,NO,N/A,32300.0%,17.49%,53.61%,11.17%,40.28,0.0737,0.3676,0.008,0.081,0.99,0.891
17,0.29,-0.35,NO,N/A,26700.0%,17.44%,49.41%,10.87%,37.17,0.0725,0.3435,0.008,0.071,0.99,0.904
18,0.25,-0.36,NO,N/A,39700.0%,17.15%,49.47%,10.89%,37.04,0.0719,0.3494,0.008,0.07,0.99,0.906
19,0.23,-0.38,NO,N/A,34000.0%,16.91%,49.33%,10.44%,36.71,0.0708,0.345,0.007,0.069,0.991,0.906
20,0.22,-0.34,NO,N/A,33000.0%,16.22%,46.78%,10.04%,35.01,0.0702,0.3297,0.007,0.062,0.992,0.915
