Samples	ID83A	ID83B	ID83C
SP117655	2.72E+00	5.61E+00	4.48E+00
SP117556	1.82E+00	2.37E+00	1.37E+00
SP117627	1.18E+00	1.86E+00	1.57E+00
SP117775	2.11E+00	3.16E+00	2.92E+00
SP117332	5.28E-01	1.13E+00	1.08E+00
SP117712	8.09E-01	2.09E+00	1.97E+00
SP117017	7.40E-01	1.58E+00	1.50E+00
SP117031	2.35E+00	2.41E+00	1.49E+00
SP117759	3.23E+00	3.79E+00	2.39E+00
SP117621	1.64E+00	2.88E+00	2.45E+00
SP117425	1.51E+00	2.51E+00	2.35E+00
SP117930	3.38E+00	3.67E+00	2.18E+00
SP99287	3.80E-01	1.11E+00	1.08E+00
SP99293	6.04E-01	1.53E+00	1.52E+00
SP99289	8.31E-01	2.35E+00	2.26E+00
SP99297	1.34E-01	5.24E-01	5.03E-01
SP99301	2.48E+00	2.53E+00	4.15E-01
SP99305	5.97E-01	1.42E+00	1.37E+00
SP99309	1.12E+00	2.10E+00	1.76E+00
SP99313	5.02E-01	1.58E+00	1.51E+00
SP99317	0.00E+00	5.68E-01	5.68E-01
SP99321	8.59E-01	1.18E+00	1.07E+00
SP99325	4.82E+01	5.34E+01	6.03E+00
SP99329	5.13E-01	7.84E-01	9.35E-01
SP99333	6.56E-01	1.24E+00	1.13E+00
SP99337	9.61E-01	1.61E+00	1.48E+00
SP99341	8.62E-01	1.38E+00	1.28E+00
SP99345	1.07E-01	5.24E-01	5.24E-01
SP99113	2.29E-01	1.80E-01	2.69E-01
SP99185	4.96E-01	1.60E+00	1.51E+00
SP99209	8.57E-01	2.16E+00	2.08E+00
SP99213	1.35E+00	1.71E+00	1.45E+00
SP99221	5.51E-02	3.79E-01	3.81E-01
SP99225	5.52E-01	1.18E+00	1.15E+00
SP99241	1.06E+00	2.35E+00	2.41E+00
CPCT02020318T	1.32E+00	1.95E+00	1.45E+00
CPCT02010377T	1.13E+00	2.26E+00	1.93E+00
CPCT02060017T	1.51E+00	2.27E+00	2.05E+00
CPCT02060166T	1.81E+00	2.71E+00	2.26E+00
DRUP01080024T	7.22E-01	2.46E+00	2.38E+00
CPCT02300029T	2.73E+00	3.64E+00	2.71E+00
CPCT02130024T	1.43E+00	2.23E+00	2.12E+00
CPCT02370015T	7.11E-01	1.63E+00	1.57E+00
CPCT02080291T	1.06E+00	1.36E+00	1.03E+00
CPCT02330082T	7.70E-01	1.40E+00	1.24E+00
CPCT02130035T	1.97E+00	2.87E+00	2.16E+00
CPCT02020667T	8.38E-01	1.68E+00	1.57E+00
CPCT02190030T	1.21E+00	2.45E+00	2.33E+00
CPCT02070304T	1.75E+00	2.78E+00	2.39E+00
CPCT02230093T	2.09E+00	3.24E+00	2.60E+00
CPCT02170024T	1.07E+00	2.53E+00	2.56E+00
CPCT02050342T	1.78E+00	2.81E+00	2.60E+00
CPCT02130064T	1.08E+00	2.38E+00	2.33E+00
CPCT02130063T	3.31E+00	4.30E+00	3.45E+00
CPCT02080208T	7.13E-01	1.68E+00	1.65E+00
CPCT02130066T	2.99E+00	4.05E+00	2.68E+00
CPCT02130067T	1.91E+00	3.13E+00	2.90E+00
CPCT02100172T	7.37E-01	1.59E+00	1.47E+00
CPCT02130084T	1.33E+00	2.31E+00	1.96E+00
CPCT02060220T	1.26E+00	2.42E+00	2.36E+00
CPCT02100169T	3.22E+00	3.66E+00	2.65E+00
CPCT02080218T	3.41E+00	4.09E+00	2.79E+00
CPCT02050332T	9.92E-01	1.68E+00	1.53E+00
DRUP01080031T	2.89E+01	3.22E+01	6.34E+00
CPCT02040245T	2.88E+00	3.46E+00	1.96E+00
DRUP01050048T	4.39E+01	4.76E+01	8.94E+00
DRUP01010142T	2.50E+01	2.76E+01	4.35E+00
CPCT02080224T	1.03E+00	2.19E+00	2.12E+00
CPCT02260021T	8.49E-01	2.11E+00	2.01E+00
CPCT02020762T	6.14E-01	1.93E+00	1.77E+00
CPCT02130116T	1.02E+00	1.69E+00	1.42E+00
CPCT02050342TII	1.60E+00	2.58E+00	2.09E+00
CPCT02130138T	1.48E+00	2.58E+00	2.48E+00
CPCT02130139T	1.84E+00	3.09E+00	2.65E+00
CPCT02230115T	1.50E+00	2.41E+00	2.04E+00
CPCT02010902T	1.47E+00	2.39E+00	2.07E+00
CPCT02290056T	1.01E+00	2.91E+00	2.83E+00
CPCT02130152T	6.90E-01	1.29E+00	1.28E+00
DRUP01170003T	4.18E-01	1.40E+00	1.38E+00
DRUP01010095T	1.83E+00	1.96E+00	1.24E+00
DRUP01030024T	1.98E+00	3.00E+00	2.59E+00
CPCT02040292T	1.35E+00	3.13E+00	3.06E+00
DRUP01050035T	3.41E+00	4.16E+00	3.49E+00
CPCT02020577T	9.08E-01	2.34E+00	2.27E+00
CPCT02050263T	1.99E+00	2.58E+00	1.69E+00
DRUP01010108T	6.92E+00	7.63E+00	4.30E+00
DRUP01010109T	1.09E+00	1.60E+00	1.47E+00
DRUP01010113T	8.92E-01	2.39E+00	2.38E+00
CPCT02120059T	3.13E+00	3.76E+00	2.64E+00
CPCT02170010T	7.90E-01	2.03E+00	2.04E+00
CPCT02030398T	1.77E+00	2.36E+00	1.87E+00
CPCT02050250T	1.76E+00	2.09E+00	1.34E+00
CPCT02050076TII	2.66E+00	2.81E+00	1.84E+00
CPCT02050182T	9.07E-01	1.75E+00	1.77E+00
CPCT02070187T	1.46E+00	2.03E+00	1.47E+00
CPCT02030373T	3.73E+00	4.67E+00	3.36E+00
CPCT02020589T	1.03E+00	2.18E+00	2.13E+00
CPCT02040154T	1.43E+00	2.13E+00	1.94E+00
CPCT02050091T	7.60E-01	1.64E+00	1.50E+00
CPCT02020406T	8.72E-01	1.87E+00	1.77E+00
CPCT02020405T	1.92E+00	2.64E+00	2.12E+00
CPCT02070052T	1.65E+00	2.45E+00	1.72E+00
CPCT02060063T	1.67E+00	3.57E+00	3.39E+00
CPCT02230004T	1.69E+00	2.51E+00	2.09E+00
CPCT02300006T	1.54E+00	2.08E+00	1.57E+00
CPCT02080066T	1.02E+00	2.05E+00	1.65E+00
CPCT02010492T	5.84E-01	9.10E-01	9.63E-01
CPCT02020460T	5.25E-01	1.55E+00	1.45E+00
DRUP01010019T	2.35E+00	3.12E+00	2.42E+00
CPCT02050133T	2.69E+00	2.61E+00	1.70E+00
CPCT02050144T	5.39E+00	6.60E+00	3.65E+00
CPCT02050286T	2.06E+00	4.47E+00	4.31E+00
CPCT02130006T	2.16E+00	2.88E+00	2.18E+00
CPCT02130003T	1.00E+00	1.56E+00	1.43E+00
CPCT02340039T	2.04E+00	2.90E+00	2.12E+00
CPCT02230075T	1.29E+00	1.66E+00	1.30E+00
CPCT02080169T	1.47E+00	1.97E+00	1.91E+00
CPCT02150005T	8.43E-01	2.14E+00	2.21E+00
WIDE01010522T	7.60E-01	1.47E+00	1.62E+00
WIDE01010696T	6.90E-01	1.90E+00	1.76E+00
