MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
1:Del:C:0	8.59E-05	1.00E-03	4.71E-04	1.29E-03	2.07E-03	7.80E-04	1.06E-03	2.76E-04	7.19E-03	6.37E-03	3.76E-04
1:Del:C:1	4.07E-06	4.40E-04	6.04E-04	6.63E-04	8.38E-04	4.95E-04	6.15E-04	1.35E-04	1.17E-03	1.58E-03	1.21E-04
1:Del:C:2	4.56E-05	1.82E-04	5.41E-04	4.87E-04	4.28E-04	3.68E-04	1.05E-04	1.41E-04	5.56E-04	6.70E-04	2.16E-04
1:Del:C:3	4.01E-05	2.05E-04	2.59E-04	3.13E-04	3.41E-04	2.51E-04	2.71E-04	1.46E-04	3.84E-04	7.04E-04	2.82E-04
1:Del:C:4	4.85E-05	2.04E-04	2.50E-04	1.85E-04	3.61E-04	2.39E-04	1.38E-04	9.95E-05	3.33E-04	6.61E-04	2.18E-04
1:Del:C:5	1.13E-04	2.59E-04	1.85E-04	1.02E-04	2.24E-04	1.69E-04	3.22E-04	1.93E-09	1.84E-04	9.48E-04	3.10E-04
1:Del:T:0	6.30E-05	3.53E-04	2.10E-04	5.93E-04	9.34E-04	4.16E-04	7.27E-04	9.19E-04	1.34E-03	1.46E-03	2.53E-04
1:Del:T:1	6.30E-05	9.89E-05	2.86E-04	8.55E-04	5.70E-04	3.13E-04	6.34E-04	1.07E-03	6.91E-04	1.48E-03	1.63E-04
1:Del:T:2	6.97E-05	4.01E-04	2.72E-04	6.41E-04	5.36E-04	2.23E-04	4.07E-04	1.05E-03	9.05E-04	1.22E-03	2.33E-04
1:Del:T:3	1.03E-04	5.05E-04	3.38E-04	1.01E-03	4.34E-04	4.04E-04	1.40E-04	1.13E-03	4.37E-04	7.45E-04	3.75E-04
1:Del:T:4	1.19E-04	3.73E-04	2.03E-04	3.51E-04	5.66E-04	3.51E-04	1.82E-04	7.83E-04	1.08E-03	1.07E-03	2.44E-04
1:Del:T:5	1.76E-03	1.45E-03	9.00E-04	6.96E-04	3.19E-03	8.15E-04	6.59E-04	6.43E-04	3.35E-03	5.63E-03	1.67E-03
