De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-ID83A, Signature ID1 (8.58%) & Signature ID2 (91.42%), 16.55,  4.88, 0.528, 1.00, 1.00
Signature 83-ID83B, Signature ID1 (53.40%) & Signature ID2 (19.62%) & Signature ID20 (26.98%), 45.22,  23.56, 0.463, 0.97, 0.97
Signature 83-ID83C, Signature ID1 (61.12%) & Signature ID2 (38.88%), 8.98,  2.39, 0.204, 1.00, 1.00
Signature 83-ID83D, Signature ID1 (33.86%) & Signature ID2 (24.38%) & Signature ID19 (41.76%), 53.15,  20.43, 0.455, 0.98, 0.98
Signature 83-ID83E, Signature ID1 (15.98%) & Signature ID4 (15.08%) & Signature ID5 (30.08%) & Signature ID9 (18.58%) & Signature ID21 (20.28%), 29.54,  23.40, 0.139, 0.97, 0.96
Signature 83-ID83F, Signature ID2 (25.18%) & Signature ID14 (74.82%), 25.43,  11.59, 0.191, 0.99, 0.99
Signature 83-ID83G, Signature ID6 (69.68%) & Signature ID8 (20.80%) & Signature ID25 (9.52%), 19.03,  11.19, 0.052, 0.99, 0.99
