Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
SP97749	0	37	26	4	19	79	35	97	1	0	0	11	7	20	16	0	6	0	5
SP49235	13	78	31	42	24	0	0	63	29	60	0	8	19	1	0	27	9	0	23
SP50177	1	64	0	113	13	51	67	16	0	0	94	16	9	23	0	10	3	0	21
SP97775	47	172	20	0	106	0	3	73	0	263	113	102	22	22	0	0	13	40	10
SP97685	8	26	0	25	110	83	82	0	32	35	28	32	9	7	0	10	2	12	0
SP97747	8	22	95	0	43	176	54	23	0	0	24	19	14	4	63	31	9	0	0
SP97771	17	98	65	95	65	0	125	59	0	15	22	16	8	4	0	54	5	28	0
SP97681	38	67	103	0	39	0	13	169	33	26	80	41	23	0	0	29	2	7	25
SP98082	21	118	45	0	19	0	142	36	27	18	45	10	36	0	45	51	9	19	0
SP49334	5	70	25	68	30	84	33	44	0	0	35	14	12	41	0	0	2	6	15
SP49124	31	102	18	0	516	0	41	64	13	18	118	3	171	14	0	129	12	25	5
SP115501	33	221	0	17	0	0	35	1	115	64	18	9	26	21	0	0	7	13	0
SP98305	45	319	62	153	15	62	63	35	165	30	2	61	45	39	0	27	4	34	0
SP49247	34	119	93	102	34	47	92	90	104	38	0	16	31	49	0	22	1	31	0
SP49328	19	120	113	8	43	0	78	0	21	11	0	0	16	77	0	9	6	14	33
SP98092	18	5	14	33	22	255	73	20	0	0	0	6	30	36	0	0	13	2	24
SP120755	2	7	0	0	8	0	47	17	0	18	16	0	5	0	0	0	2	0	17
SP49417	30	131	18	50	33	0	49	60	34	67	61	24	40	2	2	0	2	1	70
SP49175	10	334	10	186	14	0	0	0	10	0	6	5	6	0	4	20	1	0	36
SP49223	3	79	2	0	19	51	0	0	0	0	17	1	42	15	55	0	0	1	0
SP49187	17	42	107	42	40	36	12	6	0	15	10	28	0	18	0	1	3	0	40
SP49157	13	53	175	105	18	104	58	29	10	0	0	14	19	15	68	4	2	23	0
SP49379	10	227	83	10	25	0	0	16	0	0	132	16	15	40	0	32	2	31	12
SP49541	48	188	83	0	28	0	0	26	0	123	19	21	78	60	67	36	5	10	42
