"","signature","ID","cosine","euclidean"
"1","InsDel1a","Biliary..DRUP01010095T",0.965583063995812,0.0336946479977612
"2","InsDel1b","Colon..SP80615",0.954103501423701,0.0353825787377722
"3","InsDel1c","Lymphoid..SP116676",0.946135720425923,0.0349802417351873
"4","InsDel2a","Esophagus..CPCT02330132T",0.984089811526385,0.0242380542691642
"5","InsDel2b","Uterus..SP93227",0.963570582002969,0.0342982716896074
"6","InsDel2c","Breast..CPCT02330076T",0.951844891569619,0.0523478115842496
"7","InsDel3a","Lung..SP57538",0.893019587432259,0.0425970384732852
"8","InsDel3b","Lung..DRUP01040010T",0.98624805163706,0.0182188301174461
"9","InsDel4a","CNS..SP48189",0.933092380717051,0.056189302019168
"10","InsDel4b","CNS..SP28659",0.880799254002028,0.0592824507143727
"11","InsDel5a","Kidney..SP97194",0.972120725921391,0.0211756548676377
"12","InsDel5b","Liver..SP112290",0.949248086160671,0.0328559100123915
"13","InsDel6","Ovary..SP67609",0.992849550701893,0.0287108508627035
"14","InsDel7","Uterus..SP93540",0.988882432506936,0.0206704756649663
"15","InsDel8","Breast..SP9816",0.980706481171322,0.0659149062455136
"16","InsDel9","Bone.SoftTissue..SP116520",0.837408761813233,0.0648187193512806
"17","InsDel11","Pancreas..SP77956",0.993797740041466,0.0213522614753874
"18","InsDel13","Skin..SP124439",0.985686998843089,0.0395360940472399
"19","InsDel_D","Colon..CPCT02050104T",0.992898287361738,0.0347293242612055
"20","InsDel18","Head..CPCT02070053T",0.994357147332486,0.0202609774685342
"21","InsDel19a","Breast..CPCT02380034T",0.898058905740079,0.0525462614954654
"22","InsDel19b","Other..CPCT02050192T",0.978119192036625,0.0445040318593043
"23","InsDel19c","Bone.SoftTissue..CPCT02340026T",0.805215027866111,0.0972626622609227
"24","InsDel_Aα","Lung..CPCT02010609T",0.725003777171965,0.100697464471408
"25","InsDel_Aβ","Breast..SP2293",0.944728428297673,0.100456986228078
"26","InsDel_B","Liver..CPCT02020413T",0.960909445907157,0.0370536965220795
"27","InsDel14","Colon..CPCT02190017T",0.96236777356595,0.0412037397118821
"28","InsDel_F","Other..CPCT02340010T",0.991816243850662,0.0373813703817848
"29","InsDel_J","Colon..CPCT02170035T",0.981033221205799,0.0552102496038239
"30","InsDel_O","CNS..CPCT02100101T",0.964264784494147,0.0372518926549404
"31","InsDel1d","Esophagus..SP110851",0.925190046261235,0.034151267073783
"32","InsDel_E","Uterus..DRUP01340014T",0.950365371964818,0.0734516261057979
"33","InsDel_G","Other..DRUP01030015T",0.86610979036297,0.077279551977383
"34","InsDel_Kβ","Uterus..SP93227",0.898470394155759,0.0706748722153646
"35","InsDel15","Lung..SP57538",0.627526712104875,0.0933769235293912
"36","InsDel16","Bladder..CPCT02010963TII",0.406892043271436,0.180468390253166
"37","InsDel_N","Colon..CPCT02120042T",0.996625929896128,0.0241525729499173
