"","signature","max_cosine_id","max_cosine","cosmicID","cosine_v_cosmic","euclidean.x","jinID","cosine_v_jin","euclidean.y"
"1","C_ID1","ID1",0.998997225097456,"ID1",0.998997225097456,0.135525787238422,"jinID1",0.998577618923022,0.186039763963678
"2","C_ID2","jinID2",0.998910219060755,"ID2",0.997328276273132,0.0700282636589477,"jinID2",0.998910219060755,0.056157432559582
"3","C_ID11","jinID11a",0.998558317961486,"ID11",0.964904999195456,0.110899476915999,"jinID11a",0.998558317961486,0.0229483641579186
"4","C_ID3","ID3",0.992673228911433,"ID3",0.992673228911433,0.0531135205913797,"jinID3",0.952591757171972,0.154191668511349
"5","ID_K","jinID26",0.991819220357599,"ID18",0.644066095919791,0.410647299879534,"jinID26",0.991819220357599,0.0817156248535339
"6","C_ID23","ID23",0.988733344616106,"ID23",0.988733344616106,0.0480755261209117,"jinID5",0.728734139833822,0.21746553632283
"7","C_ID8","ID8",0.988112916431121,"ID8",0.988112916431121,0.0664620278280749,"jinID8",0.963649979548626,0.212034603839663
"8","ID_F","jinID4",0.986852391871934,"ID4",0.928441806867565,0.134013567188951,"jinID4",0.986852391871934,0.0950948897587795
"9","C_ID13","ID13",0.983749624781301,"ID13",0.983749624781301,0.165288814016058,"jinID13",0.983749624640517,0.165288813540125
"10","C_ID6","ID6",0.976897023687361,"ID6",0.976897023687361,0.0895721994635395,"jinID6",0.944114063095185,0.173588978889299
"11","C_ID18","ID18",0.974862688197093,"ID18",0.974862688197093,0.0789691375787016,"jinID18",0.87862623225877,0.16924723590464
"12","C_ID14","ID14",0.973511853414605,"ID14",0.973511853414605,0.142072823275738,"jinID14",0.948565990115294,0.219190535099143
"13","C_ID12","jinID12",0.953603991343096,"ID12",0.945036842321925,0.102602018767714,"jinID12",0.953603991343096,0.112257001937314
"14","ID_D","jinID14",0.95340938295695,"ID14",0.927074459637739,0.195592628091821,"jinID14",0.95340938295695,0.178025980804763
"15","C_ID7","ID7",0.93815090525605,"ID7",0.93815090525605,0.120328063732709,"jinID7",0.783775824268254,0.215540133988764
"16","ID_G","jinID11b",0.936729598831414,"ID11",0.88020473693788,0.200975670391903,"jinID11b",0.936729598831414,0.125805162415043
"17","C_ID19","ID19",0.934723603524427,"ID19",0.934723603524427,0.132846275639829,"jinID23",0.862587672187798,0.183958671184922
"18","ID_I","jinID25",0.928952639557499,"ID23",0.561603738247129,0.337402167086945,"jinID25",0.928952639557499,0.129889964816386
"19","C_ID5","ID5",0.926476648368845,"ID5",0.926476648368845,0.088517057679341,"jinID5",0.917914289436428,0.111280766833285
"20","C_ID9","ID9",0.913322434810178,"ID9",0.913322434810178,0.193324376609975,"jinID18",0.819087694975377,0.231016905993987
"21","C_ID17","ID17",0.913211851199624,"ID17",0.913211851199624,0.119522966730624,"jinID17",0.819535100081141,0.186671882731864
"22","C_ID4","ID4",0.906070052788977,"ID4",0.906070052788977,0.147049995154945,"jinID24",0.821115681470324,0.221539774490112
"23","ID_A","jinID3",0.904943855918706,"ID9",0.852675372057394,0.212338007240795,"jinID3",0.904943855918706,0.328939459667415
"24","ID_L","jinID20",0.873733294725778,"ID20",0.582177857741232,0.42827774348978,"jinID20",0.873733294725778,0.243912974981508
"25","ID_E","jinID25",0.82825441248977,"ID16",0.744733593573247,0.325218851325249,"jinID25",0.82825441248977,0.176451881542392
"26","C_ID10","ID10",0.803094126780228,"ID10",0.803094126780228,0.304598947090453,"jinID10",0.801233984886824,0.298143014153578
"27","ID_J","ID12",0.789015627345021,"ID12",0.789015627345021,0.280895170950151,"jinID12",0.738823103119357,0.304527655678249
"28","ID_C","ID23",0.787883368615443,"ID23",0.787883368615443,0.322432994828363,"jinID18",0.56558230473009,0.412518425032512
"29","ID_B","ID5",0.775301890061746,"ID5",0.775301890061746,0.215128790961559,"jinID18",0.686327526872365,0.229110478633026
"30","ID_M","jinID25",0.70844045336847,"ID9",0.671229038197409,0.313087259844134,"jinID25",0.70844045336847,0.370147215993985
"31","ID_O","ID20",0.684017022927988,"ID20",0.684017022927988,0.358189344313921,"jinID21",0.593628320289162,0.339497304585667
"32","ID_H","ID8",0.678544293115708,"ID8",0.678544293115708,0.293077157309955,"jinID22",0.631018398372205,0.321013936831261
"33","ID_N","ID12",0.581724094356316,"ID12",0.581724094356316,0.330079950534809,"jinID12",0.530291968519896,0.366557144372041
