"","type89","exemplar","type83","type476","tmp","cosmicID","cosine_v_cosmic","jinID","cosine_v_jin","KohID","cosine_v_koh","cosine_v_exemplar83","exemplar83","cosine_v_exemplar89","exemplar89","cosine_v_exemplar476","exemplar476","cosine_koh_v_exemplar_koh","exemplar_koh"
"1","InsDel1a","Biliary::DRUP01010095T","C_ID1","InsDel1a_476","H,S","ID1",0.998997225097456,"jinID1",0.998577618923022,"InD1",0.982523066590155,0.99953249459654,"CNS::SP78729",0.980247231981804,"Biliary::DRUP01010095T",0.965583063752088,"Biliary::DRUP01010095T",0.956997499985148,"Biliary::DRUP01010095T"
"2","InsDel1b","Colon::SP21400","C_ID1","InsDel1b_476","H,S","ID1",0.998997225097456,"jinID1",0.998577618923022,"InD15",0.961293866458291,0.99953249459654,"CNS::SP78729",0.987184801324652,"Colon::SP21400",0.954103501423701,"Colon::SP80615",0.966054134118615,"Colon::SP16886"
"3","InsDel1c","Liver::SP49229","C_ID1","InsDel1c_476","H,S","ID1",0.998997225097456,"jinID1",0.998577618923022,"InD14",0.93647989440547,0.99953249459654,"CNS::SP78729",0.923032940882415,"Prostate::SP112907",0.946135719652285,"Lymphoid::SP116676",0.920010076702045,"Liver::SP49229"
"4","InsDel1d","Stomach::SP135182","C_ID1","InsDel1d_476","H ","ID1",0.998997225097456,"jinID1",0.998577618923022,"InD21",0.909292168067431,0.99953249459654,"CNS::SP78729",0.983675304020195,"Lymphoid::SP59448",0.925190047811303,"Esophagus::SP110851",0.953217231358167,"Colon::SP96126"
"5","InsDel1e","Bone.SoftTissue::CPCT02020428T","C_ID1","","","ID1",0.998997225097456,"jinID1",0.998577618923022,"InD1",0.790700211174209,0.99953249459654,"CNS::SP78729",0.99675737544784,"Bone.SoftTissue::CPCT02020428T",NA,NA,0.956997499985148,"Biliary::DRUP01010095T"
"6","InsDel2a","Esophagus::CPCT02010569T","C_ID2","InsDel2a_476","H,S","ID2",0.997328276273132,"jinID2",0.998910219060755,"InD2b",0.905687533553426,0.998782402648261,"Breast::CPCT02200005T",0.990263031835388,"Esophagus::CPCT02010569T",0.984089812279242,"Esophagus::CPCT02330132T",0.947009370644604,"Skin::WIDE01010381T"
"7","InsDel2b","Colon::SP96118","C_ID2","InsDel2b_476","H,S","ID2",0.997328276273132,"jinID2",0.998910219060755,"InD16a",0.795099579296297,0.998782402648261,"Breast::CPCT02200005T",0.933667457882777,"Colon::SP96118",0.963570582002969,"Uterus::SP93227",0.95368451117216,"Uterus::SP93227"
"8","InsDel2c","Breast::CPCT02330076T","C_ID2","InsDel2c_476","H,S","ID2",0.997328276273132,"jinID2",0.998910219060755,"InD2b",0.838226645430286,0.998782402648261,"Breast::CPCT02200005T",0.979438082042213,"Lymphoid::CPCT02120032T",0.951844891569619,"Breast::CPCT02330076T",0.947009370644604,"Skin::WIDE01010381T"
"9","InsDel3a","Lung::CPCT02011046T","C_ID3","InsDel3a_476","H,S","ID3",0.992673228911433,"jinID3",0.952591757171972,"InD3a",0.913569151804241,0.994081030993053,"Lung::SP54113",0.955553526939092,"Lung::SP58101",0.893019587432259,"Lung::SP57538",0.957708233433206,"Lung::CPCT02020872T"
"10","InsDel3b","Other::CPCT02020815T","C_ID3","InsDel3b_476","H,S","ID3",0.992673228911433,"jinID3",0.952591757171972,"InD3b",0.953522795429812,0.994081030993053,"Lung::SP54113",0.992284649786582,"Lung::SP56079",0.986248050759346,"Lung::DRUP01040010T",0.970100585037336,"Lung::CPCT02010867T"
"11","InsDel4a","CNS::CPCT02100089T","C_ID4","InsDel4a_476","H,S","ID4",0.906070052788977,"jinID24",0.821115681470324,"InD4a",0.966662811632486,0.969209064510236,"CNS::SP23925",0.982162017308068,"CNS::SP23925",0.933092381562497,"CNS::SP48189",0.978429398753506,"CNS::SP48189"
"12","InsDel4b","Breast::SP8564","C_ID4","InsDel4b_476","H,S","ID4",0.906070052788977,"jinID24",0.821115681470324,"InD4b",0.833276816384228,0.969209064510236,"CNS::SP23925",0.934012903408357,"Ovary::SP101536",0.880799254002028,"CNS::SP28659",0.903504068315276,"Breast::SP117710"
"13","InsDel5a","Kidney::SP39298","C_ID5","InsDel5a_476","H,S","ID5",0.926476648368845,"jinID5",0.917914289436428,"InD29",0.935886957829521,0.993619508750451,"Kidney::SP102755",0.989382343252623,"Kidney::SP39298",0.972120725921391,"Kidney::SP97194",0.955846149773534,"Kidney::SP102795"
"14","InsDel5b","Liver::SP50151","C_ID5","InsDel5b_476","H,S","ID5",0.926476648368845,"jinID5",0.917914289436428,"InD29",0.864194088370001,0.993619508750451,"Kidney::SP102755",0.978773666030853,"Liver::SP112290",0.949248085417723,"Liver::SP112290",0.955846149773534,"Kidney::SP102795"
"15","InsDel6","Ovary::SP62616","C_ID6","InsDel6_476","H,S","ID6",0.976897023687361,"jinID6",0.944114063095185,"InD6",0.974701292029618,0.985915157030253,"Ovary::SP102035",0.993735864660899,"Ovary::SP62616",0.992849550804921,"Ovary::SP67609",0.973099321757497,"Ovary::SP62616"
"16","InsDel7","Uterus::SP94741","C_ID7","InsDel7_476","H,S","ID7",0.93815090525605,"jinID7",0.783775824268254,"InD7",0.952304857203525,0.588778420305084,"Lymphoid::SP115085",0.991109179818513,"Uterus::SP94741",0.988882432392946,"Uterus::SP93540",0.991802585916902,"Colon::SP21017"
"17","InsDel8","Breast::SP116365","C_ID8","InsDel8_476","H,S","ID8",0.988112916431121,"jinID8",0.963649979548626,"InD8",0.943597731896528,0.970493117892895,"Breast::SP116365",0.959781921115764,"Breast::SP116365",0.980706481370536,"Breast::SP9816",0.96954203148116,"Bladder::CPCT02070336T"
"18","InsDel9","Uterus::SP90629","C_ID9","InsDel9_476","H,S","ID9",0.913322434810178,"jinID18",0.819087694975377,"InD9b",0.919687678194686,0.950816361809823,"Pancreas::SP102617",0.924833526036329,"Pancreas::SP102617",0.837408762918428,"Bone.SoftTissue::SP116520",0.911745858901143,"Bone.SoftTissue::SP121761"
"19","InsDel10","Other::SP109957","C_ID10","","","ID10",0.803094126780228,"jinID10",0.801233984886824,"InD29",0.861164194905442,0.934719326892033,"Other::SP109957",0.859358364302864,"Other::SP109957",NA,NA,0.955846149773534,"Kidney::SP102795"
"20","InsDel11","Pancreas::SP77956","C_ID11","InsDel11_476","H,S","ID11",0.964904999195456,"jinID11a",0.998558317961486,"InD10",0.409897869591836,0.999770604768324,"Pancreas::SP77956",0.999997101252786,"Pancreas::SP77956",0.993797740041466,"Pancreas::SP77956",0.797738431994018,"Bone.SoftTissue::CPCT02080181TII"
"21","InsDel12","Prostate::SP112985","C_ID12","InsDel12_476","H","ID12",0.945036842321925,"jinID12",0.953603991343096,"InD9c",0.307126793660807,0.957867403003547,"Prostate::SP112959",0.981915246549224,"Prostate::SP112985",0.973035023664278,"Prostate::SP112947",0.90534433110726,"CNS::SP29331"
"22","InsDel13","Skin::SP124439","C_ID13","InsDel13_476","H,S","ID13",0.983749624781301,"jinID13",0.983749624640517,"InD13",0.98989655845458,0.983879088998685,"Skin::SP124319",0.987525935953568,"Skin::SP124439",0.985686998843089,"Skin::SP124439",0.989141237028082,"Skin::SP124439"
"23","InsDel14","Colon::CPCT02040258T","C_ID14","InsDel14_476","H,S","ID14",0.973511853414605,"jinID14",0.948565990115294,"InD12",0.980296456398047,0.978966211440442,"Colon::SP81137",0.992422611199075,"Colon::CPCT02340014T",0.96236777356595,"Colon::CPCT02190017T",0.985997843632141,"Colon::CPCT02050104T"
"24","InsDel15","WES::TCGA-EW-A2FV-01A-11D-A17D-09","C_ID15","","From WES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","InsDel16","WES::TCGA-13-0889-01A-01W-0420-08","C_ID16","","From WES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
