"signature","ID","cosine","euclidean"
"InD1","InsDel1a",0.982523066590155,0.0362708143490619
"InD2a","InsDel2a",0.896559794891762,0.105310387494756
"InD2b","InsDel2a",0.905687533553426,0.0751037382214235
"InD3a","InsDel3b",0.933033123230472,0.0824880585743654
"InD3b","InsDel3b",0.953522795429812,0.0650582478755707
"InD4a","InsDel4a",0.966662811632486,0.100965567884077
"InD4b","InsDel4b",0.833276816384228,0.109935612543657
"InD5","InsDel23",0.869519173409521,0.148161507552832
"InD6","InsDel6",0.974701292029618,0.0899809836530905
"InD7","InsDel7",0.952304857203525,0.0610558928299577
"InD8","InsDel8",0.943597731896528,0.136304049596423
"InD9a","InsDel_Aβ",0.965491583140524,0.0748342734162772
"InD9b","InsDel9",0.919687678194686,0.0745484566126328
"InD9c","InsDel9",0.831438147764697,0.106881434845719
"InD10","InsDel19a",0.744076371059497,0.123535345884758
"InD11","InsDel1c",0.93647989440547,0.075513638687411
"InD12","InsDel_D",0.980296456398047,0.103349788285362
"InD13","InsDel13",0.98989655845458,0.0691557052667845
"InD14","InsDel1c",0.936361991827998,0.075302921339299
"InD15","InsDel1b",0.961293866458291,0.0593678148045097
"InD16a","InsDel1d",0.810132525587268,0.115627341375533
"InD16b","InsDel1d",0.90725098182601,0.0689848030686982
"InD18","InsDel18",0.997866554953489,0.0269368234072756
"InD19","InsDel_O",0.898563200736889,0.10280927038623
"InD20","InsDel_Kβ",0.894385543396946,0.101351309560144
"InD21","InsDel1d",0.909292168067431,0.0648518835829563
"InD23","InsDel10",0.861164194905442,0.205101368222749
"InD24","InsDel5a",0.342092275782434,0.333784332838058
"InD26","InsDel_L",0.969213303775498,0.271928707452681
"InD27","InsDel2a",0.618470877841896,0.188026886513406
"InD28","InsDel7",0.750296681361483,0.158018126871885
"InD28m","InsDel19a",0.699993811699239,0.202207702317406
"InD29","InsDel5a",0.935886957829521,0.058653805811621
"InD30","InsDel_L",0.918895419058376,0.251165902850191
"InD31","InsDel5b",0.664007462967528,0.141990572982564
"InD32","InsDel5b",0.857078277218268,0.14605466829606
"InD33","InsDel1d",0.675487392530495,0.155174468160531
