"signature"	"ID"	"cosine"
"1"	"InsDel1a"	"Biliary..DRUP01010095T"	0.980247231981804
"2"	"InsDel1b"	"Colon..SP21400"	0.987184801324652
"3"	"InsDel1c"	"Liver..SP49229"	0.923032940882415
"4"	"InsDel1d"	"Lymphoid..SP59448"	0.983675304020195
"5"	"InsDel1e"	"Bone.SoftTissue..CPCT02020428T"	0.99675737544784
"6"	"InsDel2a"	"Esophagus..CPCT02010569T"	0.990263031835388
"7"	"InsDel2b"	"Colon..SP96118"	0.933667457882777
"8"	"InsDel2c"	"Lymphoid..CPCT02120032T"	0.979438082042213
"9"	"InsDel3a"	"Lung..SP57735"	0.955553526939092
"10"	"InsDel3b"	"Other..CPCT02020815T"	0.992284649786582
"11"	"InsDel4a"	"CNS..CPCT02100089T"	0.982162017308068
"12"	"InsDel4b"	"Breast..SP8564"	0.934012903408357
"13"	"InsDel5a"	"Kidney..SP39298"	0.989382343252623
"14"	"InsDel5b"	"Liver..SP112290"	0.978773666030853
"15"	"InsDel6"	"Ovary..SP62616"	0.993735864660899
"16"	"InsDel7"	"Uterus..SP94741"	0.991109179818513
"17"	"InsDel8"	"Breast..SP116365"	0.959781921115764
"18"	"InsDel9"	"Pancreas..SP102617"	0.924833526036329
"19"	"InsDel10"	"Other..SP109957"	0.859358364302864
"20"	"InsDel11"	"Pancreas..SP77956"	0.999997101252786
"21"	"InsDel12"	"Prostate..SP112947"	0.935818891244631
"22"	"InsDel13"	"Skin..SP124439"	0.987525935953568
"23"	"InsDel_D"	"Colon..CPCT02340014T"	0.992422611199075
"24"	"InsDel17"	"Other..CPCT02250003T"	0.999098612037334
"25"	"InsDel18"	"Head..CPCT02070053T"	0.990826011212309
"26"	"InsDel19a"	"Bone.SoftTissue..CPCT02010408T"	0.956199772930876
"27"	"InsDel19b"	"Skin..CPCT02340081T"	0.99171174719966
"28"	"InsDel19c"	"Other..CPCT02010697T"	0.841388768467176
"29"	"InsDel23"	"Kidney..SP102957"	0.960618679596976
"30"	"InsDel_A_alpha"	"Breast..SP2293"	0.857618041212665
"31"	"InsDel_A_beta"	"Breast..SP2293"	0.928962481361076
"32"	"InsDel_B"	"Liver..CPCT02020413T"	0.985553780843009
"33"	"InsDel_C"	"Breast..CPCT02010772T"	0.969795187946341
"34"	"InsDel14"	"Colon..CPCT02040258T"	0.975318022177494
"35"	"InsDel_E"	"Uterus..DRUP01340014T"	0.960943721195381
"36"	"InsDel_F"	"Head..DRUP01030028T"	0.986810513388783
"37"	"InsDel_G"	"Other..DRUP01030015T"	0.928329826661787
"38"	"InsDel_H"	"Bone.SoftTissue..CPCT02010648T"	0.850413851972058
"39"	"InsDel_I"	"CNS..SP107439"	0.995254467621926
"40"	"InsDel_J"	"Colon..DRUP01230004T"	0.998585593823146
"41"	"InsDel_K_alpha"	"Prostate..SP112817"	0.984695082908958
"42"	"InsDel_K_beta"	"Colon..SP17905"	0.837689830645915
"43"	"InsDel_L"	"Pancreas..SP70106"	0.66987386568394
"44"	"InsDel_M"	"Prostate..SP112777"	0.99790446163642
"45"	"InsDel_O"	"CNS..DRUP01050003T"	0.957282138940814
"46"	"InsDel_N"	"Colon..DRUP01230004T"	0.998585593823146
"47"	"InsDel15"	"WES..TCGA.EW.A2FV.01A.11D.A17D.09"	0.997152554254248
"48"	"InsDel16"	"WES..TCGA.13.0889.01A.01W.0420.08"	1
