type89	type83	type476	exemplar
InsDel1a	C_ID1	InsDel1a_476	Biliary::DRUP01010095T
InsDel1b	C_ID1	InsDel1b_476	Colon::SP21400
InsDel1c	C_ID1	InsDel1c_476	Liver::SP49229
InsDel1d	C_ID1	InsDel1d_476	Lymphoid::SP59448
InsDel1e	C_ID1		Bone.SoftTissue::CPCT02020428T
InsDel2a	C_ID2	InsDel2a_476	Esophagus::CPCT02010569T
InsDel2b	C_ID2	InsDel2b_476	Colon::SP96118
InsDel2c	C_ID2	InsDel2c_476	Breast::CPCT02330076T
InsDel3a	C_ID3	InsDel3a_476	Lung::SP57735
InsDel3b	C_ID3	InsDel3b_476	Other::CPCT02020815T
InsDel4a	C_ID4	InsDel4a_476	CNS::CPCT02100089T
InsDel4b	C_ID4	InsDel4b_476	Breast::SP8564
InsDel5a	C_ID5	InsDel5a_476	Kidney::SP39298
InsDel5b	C_ID5	InsDel5b_476	Liver::SP112290
InsDel6	C_ID6	InsDel6_476	Ovary::SP62616
InsDel7	C_ID7	InsDel7_476	Uterus::SP94741
InsDel8	C_ID8	InsDel8_476	Breast::SP116365
InsDel9	C_ID9	InsDel9_476	Uterus::SP90629
InsDel10	C_ID10		Other::SP109957
InsDel11	C_ID11	InsDel11_476	Pancreas::SP77956
InsDel12	C_ID12		Prostate::SP112985
InsDel13	C_ID13	InsDel13_476	Skin::SP124439
InsDel14	C_ID14	InsDel14_476	Colon::CPCT02340014T
InsDel15	C_ID15		TCGA-EW-A2FV-01A-11D-A17D-09
InsDel16	C_ID16		TCGA-13-0889-01A-01W-0420-08
InsDel17	C_ID17		Other::CPCT02250003T
InsDel18	C_ID18	InsDel18_476	Head::CPCT02070053T
InsDel19a	C_ID19	InsDel19a_476	Bone.SoftTissue::CPCT02020325T
InsDel19b	C_ID19	InsDel19b_476	Skin::CPCT02340081T
InsDel19c	C_ID19	InsDel19c_476	Skin::CPCT02060041T
InsDel23	C_ID23		Kidney::SP102957
InsDel_Aα	ID_A	InsDel_Aα_476	Other::CPCT02330041T
InsDel_Aβ	ID_A	InsDel_Aβ_476	Breast::SP2293
InsDel_B	ID_B	InsDel_B_476	Liver::CPCT02020413T
InsDel_C	ID_C		Breast::CPCT02010772T
InsDel_D	ID_D	InsDel_D_476	Colon::CPCT02040258T
InsDel_E	ID_E	InsDel_E_476	Uterus::DRUP01340014T
InsDel_F	ID_F	InsDel_F_476	Skin::SP103894
InsDel_G	ID_G	InsDel_G_476	Other::DRUP01030015T
InsDel_H	ID_H	InsDel_H_476	Bone.SoftTissue::CPCT02010648T
InsDel_I	ID_I		CNS::SP107439
InsDel_J	ID_J	InsDel_J_476	Breast::DRUP01010037T
InsDel_Kα	ID_K		Prostate::SP112817
InsDel_Kβ	ID_K	InsDel_Kβ_476	Colon::SP17905
InsDel_L	ID_L		Pancreas::SP70106
InsDel_M	ID_M		Prostate::SP112777
InsDel_J	ID_N	InsDel_N_476	Stomach::CPCT02030347T
InsDel_O	ID_O	InsDel_O_476	CNS::CPCT02100101T
