Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP79435	10	0.851	8.196	81.96%	1.834	52.943%	0.83863	0.833
SP79288	9	0.729	8.924	99.156%	2.273	68.534%	1.21251	0.697
SP79447	8	0.77	9.112	113.9%	1.901	67.21%	1.17262	0.756
SP79403	4	0.539	5.762	144.05%	1.685	84.25%	2.10493	0.505
SP79377	12	0.797	10.623	88.525%	2.57	60.575%	1.09254	0.772
SP79327	2	0.741	1.911	95.55%	0.952	67.317%	1.38387	0.733
SP79324	3	0.81	3.222	107.4%	1.097	63.335%	0.93827	0.806
SP79359	5	0.717	5.301	106.02%	1.565	69.989%	1.39645	0.695
SP79330	4	0.666	4.278	106.95%	1.493	74.65%	1.35299	0.645
SP79391	28	0.617	28.383	101.368%	6.308	80.112%	1.47574	0.527
SP79399	6	0.635	7.032	117.2%	2.082	84.997%	2.35225	0.606
SP79243	1	0.803	1.425	142.5%	0.744	74.4%	1.24646	0.813
SP79192	3	0.949	1.256	41.867%	0.573	33.082%	0.2684	0.947
SP79395	34	0.841	26.896	79.106%	4.533	54.18%	0.677	0.796
SP79195	8	0.795	9.669	120.863%	2.087	65.997%	1.09242	0.793
SP79318	7	0.685	10.279	146.843%	2.595	78.242%	1.41889	0.694
SP79282	19	0.817	17.542	92.326%	3.21	57.653%	1.03471	0.783
SP79261	2	0.158	3.726	186.3%	1.45	102.53%	5.61739	0.111
SP79228	9	0.62	9.059	100.656%	3.236	78.485%	1.79665	0.589
SP79431	11	0.826	10.664	96.945%	2.33	56.511%	1.28552	0.807
SP79172	12	0.653	13.298	110.817%	2.836	75.795%	1.63404	0.587
SP79234	32	0.949	16.718	52.244%	2.908	32.512%	0.38819	0.941
SP79345	6	0.678	6.732	112.2%	1.802	73.566%	2.36607	0.646
SP79342	10	0.801	9.915	99.15%	2.294	61.31%	1.35511	0.781
SP79415	21	0.76	20.386	97.076%	3.742	65.14%	0.91352	0.705
SP79407	18	0.944	10.482	58.233%	2.47	33.007%	0.53942	0.94
SP79374	3	0.649	3.616	120.533%	1.32	76.21%	1.58821	0.632
SP79291	4	0.949	2.0	50.0%	1.316	41.616%	2.86195	0.948
SP79336	38	0.945	21.663	57.008%	3.57	34.039%	0.40747	0.936
SP79380	12	0.883	10.967	91.392%	2.338	52.279%	0.88893	0.879
SP79455	27	0.91	18.834	69.756%	3.289	41.438%	0.75015	0.895
SP79181	7	0.551	9.107	130.1%	2.503	83.433%	1.71037	0.505
SP79207	8	0.958	3.947	49.338%	1.291	28.868%	0.80866	0.956
SP79190	15	0.753	15.638	104.253%	2.886	66.209%	0.96884	0.705
SP79303	7	0.819	7.24	103.429%	1.753	58.433%	0.97811	0.806
SP79258	6	0.596	7.361	122.683%	2.275	80.433%	1.47628	0.564
SP79249	12	0.818	12.055	100.458%	2.851	60.784%	0.79709	0.807
