Samples	ID83A	ID83B
CPCT02080206T	1.40E+00	1.41E+00
CPCT02060292T	1.92E+00	1.92E+00
CPCT02060290T	1.31E+00	1.31E+00
CPCT02090044T	3.68E+00	3.68E+00
WIDE01010138T	2.00E+00	2.00E+00
CPCT02130062T	2.20E+00	2.20E+00
WIDE01010160T	1.90E+00	1.90E+00
CPCT02020706T	1.32E+00	1.32E+00
CPCT02070313T	1.66E+00	1.66E+00
WIDE01010187T	1.94E+00	1.94E+00
WIDE01010169T	2.91E+00	2.91E+00
CPCT02100161T	4.06E+00	4.06E+00
CPCT02070317T	1.65E+00	1.65E+00
WIDE01010239T	1.61E+00	1.61E+00
WIDE01010233T	2.05E+00	2.05E+00
CPCT02070322T	1.87E+00	1.87E+00
WIDE01010262T	2.06E+00	2.06E+00
WIDE01010267T	1.95E+00	1.95E+00
WIDE01010293T	9.97E-01	9.96E-01
WIDE01010167T	1.38E+00	1.38E+00
CPCT02060211T	2.75E+00	2.75E+00
DRUP01080012T	3.47E+00	3.47E+00
WIDE01010356T	1.94E+00	1.94E+00
WIDE01010374T	1.15E+00	1.15E+00
WIDE01010393T	3.67E+00	3.67E+00
CPCT02090036T	1.86E+00	1.86E+00
CPCT02340018TII	2.70E+00	2.70E+00
CPCT02340088T	2.28E+00	2.28E+00
WIDE01010452T	1.72E+00	1.72E+00
CPCT02080227T	2.18E+00	2.18E+00
CPCT02060230T	2.15E+00	2.15E+00
CPCT02020750T	1.41E+00	1.41E+00
CPCT02060241T	1.57E+00	1.57E+00
CPCT02060245T	2.43E+00	2.43E+00
CPCT02070319T	1.82E+00	1.82E+00
CPCT02010856T	3.65E+00	3.65E+00
CPCT02090052T	2.48E+00	2.48E+00
CPCT02090053T	1.66E+00	1.66E+00
CPCT02070357T	5.37E+00	5.37E+00
CPCT02090057T	1.18E+00	1.18E+00
CPCT02270035T	1.56E+00	1.56E+00
CPCT02060254T	2.00E+00	2.00E+00
CPCT02070365T	1.53E+00	1.53E+00
CPCT02060258T	1.28E+00	1.28E+00
CPCT02080247T	2.81E+00	2.81E+00
CPCT02020794T	4.20E+00	4.20E+00
CPCT02020790T	1.81E+00	1.81E+00
CPCT02060253T	1.70E+00	1.70E+00
CPCT02020775T	1.70E+00	1.70E+00
CPCT02030513T	2.09E+00	2.09E+00
CPCT02380051T	1.39E+00	1.39E+00
CPCT02080248T	1.77E+00	1.77E+00
CPCT02070371T	1.54E+00	1.54E+00
CPCT02070366T	1.53E+00	1.53E+00
CPCT02050392T	2.10E+00	2.10E+00
CPCT02130147T	3.10E+00	3.10E+00
CPCT02020812T	1.58E+00	1.58E+00
CPCT02020820T	1.80E+00	1.80E+00
DRUP01090014T	2.08E+00	2.08E+00
CPCT02060240T	1.92E+00	1.92E+00
DRUP01060024T	2.87E+00	2.87E+00
CPCT02020848T	8.18E-01	8.18E-01
CPCT02010648T	2.11E+00	2.11E+00
CPCT02060130T	2.00E+00	2.01E+00
CPCT02010649T	2.37E+00	2.37E+00
CPCT02060127T	1.68E+00	1.68E+00
CPCT02340106T	2.33E+00	2.33E+00
CPCT02150034T	2.82E+00	2.82E+00
CPCT02030415T	4.34E+00	4.34E+00
CPCT02060235T	1.72E+00	1.72E+00
CPCT02010625T	1.84E+00	1.84E+00
CPCT02060275T	1.40E+00	1.40E+00
CPCT02340026T	2.38E+00	2.38E+00
CPCT02090063T	1.46E+00	1.46E+00
CPCT02010549T	2.32E+00	2.32E+00
CPCT02060066T	1.42E+00	1.42E+00
CPCT02020450T	9.59E-01	9.57E-01
CPCT02010406TII	1.49E+00	1.49E+00
CPCT02050167T	1.54E+00	1.54E+00
CPCT02110036T	1.66E+00	1.66E+00
CPCT02010599T	1.50E+00	1.50E+00
CPCT02010595T	1.01E+00	1.01E+00
CPCT02100091T	2.67E+00	2.67E+00
CPCT02060104T	7.06E-01	7.06E-01
CPCT02010600T	1.82E+00	1.82E+00
CPCT02110040T	3.82E+00	3.82E+00
CPCT02340018T	2.82E+00	2.82E+00
CPCT02050225T	1.86E+00	1.86E+00
CPCT02040141T	2.21E+00	2.21E+00
