MutationType	ID83A	ID83B
1:Del:C:0	5.05E-05	2.94E-05
1:Del:C:1	4.50E-05	3.39E-05
1:Del:C:2	4.44E-05	3.51E-05
1:Del:C:3	2.98E-05	4.98E-05
1:Del:C:4	2.45E-05	7.66E-05
1:Del:C:5	2.25E-05	1.19E-04
1:Del:T:0	4.28E-05	3.55E-05
1:Del:T:1	3.87E-05	2.77E-05
1:Del:T:2	3.72E-05	4.32E-05
1:Del:T:3	3.79E-05	7.83E-05
1:Del:T:4	3.56E-05	1.36E-04
1:Del:T:5	3.43E-08	4.55E-04
1:Ins:C:0	1.91E-05	1.90E-05
1:Ins:C:1	1.39E-05	1.38E-05
1:Ins:C:2	1.32E-05	1.32E-05
1:Ins:C:3	9.19E-06	2.99E-05
1:Ins:C:4	9.68E-06	4.53E-05
1:Ins:C:5	2.18E-05	8.06E-05
1:Ins:T:0	1.89E-05	1.66E-05
1:Ins:T:1	3.53E-05	1.34E-05
1:Ins:T:2	2.66E-05	5.94E-05
1:Ins:T:3	2.37E-05	4.78E-05
1:Ins:T:4	1.89E-05	4.18E-05
1:Ins:T:5	1.16E-04	4.75E-04
2:Del:R:0	2.16E-05	1.16E-05
2:Del:R:1	2.63E-05	4.11E-05
2:Del:R:2	1.42E-05	2.83E-05
2:Del:R:3	1.04E-05	3.41E-05
2:Del:R:4	6.57E-06	2.85E-05
2:Del:R:5	8.74E-06	3.95E-05
3:Del:R:0	1.63E-05	9.51E-06
3:Del:R:1	2.19E-05	3.22E-05
3:Del:R:2	7.93E-06	2.14E-05
3:Del:R:3	6.26E-06	1.00E-05
3:Del:R:4	3.44E-06	1.25E-05
3:Del:R:5	2.81E-06	1.29E-05
4:Del:R:0	1.34E-05	5.57E-06
4:Del:R:1	1.85E-05	2.23E-05
4:Del:R:2	8.78E-06	1.81E-05
4:Del:R:3	5.58E-06	1.09E-05
4:Del:R:4	3.86E-06	3.80E-06
4:Del:R:5	2.49E-06	4.93E-06
5:Del:R:0	4.77E-05	1.77E-05
5:Del:R:1	1.00E-05	1.37E-05
5:Del:R:2	4.75E-06	7.85E-06
5:Del:R:3	2.63E-06	8.54E-06
5:Del:R:4	1.49E-06	2.76E-06
5:Del:R:5	1.13E-06	2.20E-11
2:Ins:R:0	1.63E-05	1.22E-05
2:Ins:R:1	1.40E-05	1.44E-05
2:Ins:R:2	1.01E-05	1.44E-05
2:Ins:R:3	7.56E-06	1.41E-05
2:Ins:R:4	7.48E-06	3.80E-05
2:Ins:R:5	1.87E-05	8.99E-05
3:Ins:R:0	7.83E-06	1.17E-05
3:Ins:R:1	1.23E-05	2.30E-06
3:Ins:R:2	5.36E-06	1.73E-06
3:Ins:R:3	1.94E-06	1.67E-06
3:Ins:R:4	2.24E-06	9.41E-06
3:Ins:R:5	4.71E-06	2.09E-05
4:Ins:R:0	9.77E-06	7.13E-06
4:Ins:R:1	1.23E-05	8.96E-06
4:Ins:R:2	3.38E-06	2.68E-11
4:Ins:R:3	2.46E-06	2.89E-06
4:Ins:R:4	3.28E-06	1.21E-05
4:Ins:R:5	4.32E-06	3.92E-06
5:Ins:R:0	2.06E-05	5.76E-06
5:Ins:R:1	2.75E-05	6.23E-06
5:Ins:R:2	5.48E-06	5.82E-06
5:Ins:R:3	2.94E-06	4.85E-11
5:Ins:R:4	3.19E-06	4.14E-11
5:Ins:R:5	1.93E-06	8.06E-07
2:Del:M:1	2.19E-05	3.04E-05
3:Del:M:1	1.23E-05	8.30E-06
3:Del:M:2	1.69E-05	2.26E-05
4:Del:M:1	1.48E-05	1.08E-05
4:Del:M:2	1.27E-05	1.43E-05
4:Del:M:3	1.60E-05	2.29E-05
5:Del:M:1	3.68E-05	1.12E-05
5:Del:M:2	3.71E-05	1.23E-05
5:Del:M:3	3.01E-05	9.39E-06
5:Del:M:4	1.78E-05	6.66E-06
5:Del:M:5	1.84E-05	1.37E-05
