Samples	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID14	ID17	ID19
SP109953	315	79	0	0	0	0	0	0	0	0
SP107650	272	79	0	0	0	0	0	0	0	0
SP13206	146	212	0	0	0	0	0	0	0	0
SP13078	288	132	0	0	0	0	0	0	0	0
SP107607	153	64	98	0	0	0	0	0	0	0
SP109941	138	72	0	0	0	0	0	0	0	0
SP109801	189	206	0	0	0	0	0	0	0	0
SP13072	120	0	0	0	128	0	63	0	0	0
SP107595	320	154	0	0	0	238	0	0	0	0
SP107640	224	77	0	0	0	0	0	0	0	0
SP13084	326	91	0	0	0	0	0	0	0	0
SP107603	152	45	81	0	0	0	0	0	0	0
SP109957	270	82	194	0	0	0	0	0	0	0
SP114020	436	216	0	0	0	0	0	0	0	0
SP96540	104	51	0	0	73	0	0	0	0	0
SP114032	260	49	0	0	0	0	0	0	0	0
SP107624	64	19	0	0	54	0	28	0	0	0
SP107575	108	96	0	0	110	0	0	0	0	0
SP13242	143	63	0	64	0	0	0	0	0	0
SP114016	312	0	0	0	0	0	0	0	0	0
CPCT02070011T	794	0	0	1690	0	0	0	0	0	0
CPCT02020317T	49	0	62	49	0	0	49	0	0	98
CPCT02010352T	13	0	19	0	0	0	29	0	0	47
CPCT02010362T	16	13	36	0	0	0	27	0	0	50
CPCT02010366T	0	0	0	0	0	0	18	0	0	33
CPCT02010383T	0	0	0	0	0	0	36	0	0	111
CPCT02050049T	30	0	36	0	54	0	40	0	0	62
CPCT02020350T	51	0	0	0	95	0	77	0	0	59
CPCT02060023T	325	0	0	0	329	0	253	0	0	0
CPCT02080030T	209	0	1977	0	0	0	287	0	0	400
CPCT02060010T	184	286	374	0	0	0	191	0	0	0
CPCT02040037T	355	140	0	0	0	0	0	1360	0	311
CPCT02070018T	181	0	0	0	278	0	278	0	0	0
CPCT02080041T	56	0	124	0	397	0	334	0	0	0
CPCT02070029T	170	543	0	242	0	0	0	0	0	0
CPCT02060033T	159	124	0	127	0	0	125	0	0	215
CPCT02020399T	638	834	0	0	601	0	0	0	0	0
