MutationType	ID83A	ID83B	ID83C
1:Del:C:0	0.05652166370302439	0.03374677188694477	0.007474400377832353
1:Del:C:1	0.03160772936418652	0.02371461531613022	0.001740181351196952
1:Del:C:2	0.01418973988853395	0.010708342837169767	0.0017101301305228844
1:Del:C:3	0.008225524346344174	0.005627329194685444	0.004379285126924514
1:Del:C:4	0.0046207480947487055	0.002656524739577435	0.009249128717929125
1:Del:C:5	0.0016157316870521754	0.0011280841280768073	0.03121348509564996
1:Del:T:0	0.04176428239792585	0.023036411264911294	0.001968007747782394
1:Del:T:1	0.2320529192686081	0.005231778363813646	0.0014642140760770417
1:Del:T:2	0.027544585335999728	0.015043742824345827	0.0027683423017151655
1:Del:T:3	0.0432095729932189	0.012615389851853252	0.00940734239295125
1:Del:T:4	0.021723582055419684	0.008985026483424008	0.029931767471134664
1:Del:T:5	0.012335821407217921	0.003200808363458427	0.5237130093574524
1:Ins:C:0	0.018368878681212664	0.009884876222349704	0.0018580658658174799
1:Ins:C:1	0.0052089313231408595	0.005632776495185681	0.0007128904727869667
1:Ins:C:2	0.002662922020535916	0.0036188781158125495	0.0001781865283192019
1:Ins:C:3	0.0016095777723239735	0.00389273606648203	0.0005741676306934096
1:Ins:C:4	0.0008082261379695411	0.0032696576200958918	0.0023904792696703226
1:Ins:C:5	0.003404756319941953	0.01668972191255307	0.01477143376134336
1:Ins:T:0	0.029739438109099865	0.011670546662062407	0.0019507654733024538
1:Ins:T:1	0.014383943006396293	0.020511530835647135	0.0009651769764604978
1:Ins:T:2	0.01106877761427313	0.009897279100259766	0.004230484939180315
1:Ins:T:3	0.011399434991180896	0.006706132221734151	0.003092864395584911
1:Ins:T:4	0.008957362808287144	0.006797730713151396	0.004177575886715203
1:Ins:T:5	0.042947376146912575	0.17429793732240795	0.18505500689148902
2:Del:R:0	0.014437040006741881	0.019729847381822766	0.005432933646952734
2:Del:R:1	0.008446737521444448	0.055630932689527984	0.023770275492588037
2:Del:R:2	0.0029651317367097364	0.014817103882087394	0.006121178414905444
2:Del:R:3	0.0007664549610126414	0.006111818809295073	0.004754960082937032
2:Del:R:4	0.00016283707357672483	0.0019509883545106277	0.0038398053986020385
2:Del:R:5	0.0001758280068656859	0.004402136470889673	0.012197111845016479
3:Del:R:0	0.005108760399743915	0.005211347010917962	0.0004125452863081591
3:Del:R:1	0.0028859312599524858	0.02537538387812674	0.012504601760301739
3:Del:R:2	0.0003375584230889217	0.006398012427962385	0.004344627313548699
3:Del:R:3	9.385794522131618e-05	0.0018478919702829444	0.0012704321171622722
3:Del:R:4	0.0001950060723356728	0.0006868919438602461	0.0005869165214244277
3:Del:R:5	0.0002235868927800766	0.0005828510512947105	0.0007351183088030667
4:Del:R:0	0.004640667736530304	0.0039041384332813324	0.00013893949025259645
4:Del:R:1	0.0009969917649868877	0.013732225133571774	0.006118210088461637
4:Del:R:2	0.00025824258025750166	0.004259249153546989	0.0017503106105141342
4:Del:R:3	0.0002138835473851941	0.0019558027206221596	0.0007705619330226909
4:Del:R:4	7.043884970130421e-05	0.000749113932979526	0.0004300667771167355
4:Del:R:5	3.693568541052627e-05	0.000322166684268268	0.0005455637341947295
5:Del:R:0	0.06081111840903759	0.04160736436024308	9.589282548404299e-05
5:Del:R:1	0.0045492556039243934	0.00725527670700103	0.0009676065397798084
5:Del:R:2	0.00030901127895049284	0.002005220645805821	0.0003202008404696244
5:Del:R:3	3.8814191037772615e-05	0.00045384724631730933	0.0002947333604970481
5:Del:R:4	1.3299866948588423e-05	0.0001507886528361624	0.00019164948011166416
5:Del:R:5	2.3079137325794362e-05	7.309651194744581e-05	6.65581208278354e-05
2:Ins:R:0	0.012836465677246452	0.016125152868917213	0.0020701650495175273
2:Ins:R:1	0.004601688387338072	0.00746462827140931	0.00037789349170452624
2:Ins:R:2	0.0021791519061662257	0.0033166069153230636	0.0006418836620287039
2:Ins:R:3	0.0010781851099454798	0.001972667124919045	0.0009746657701907679
2:Ins:R:4	0.0005130414561608632	0.002756515095806611	0.0034453042480163277
2:Ins:R:5	0.0028894942984607043	0.025273735525552184	0.019995665568858387
3:Ins:R:0	0.003175504921237007	0.00751510861555289	0.000285772419405248
3:Ins:R:1	0.0040037954389117655	0.004537452488439158	0.00011323367035402043
3:Ins:R:2	0.0005778526709764264	0.0008462617899931502	0.00019719455320228008
3:Ins:R:3	4.3139421491389386e-05	0.0004080108446757613	0.00010338320975619375
3:Ins:R:4	2.9085547478189255e-05	0.00018493712899726234	0.0002607963749323972
3:Ins:R:5	0.00024379063775995747	0.001487908721937856	0.0018171594745945185
4:Ins:R:0	0.013799481661990284	0.01692384030597168	0.0011901035238770419
4:Ins:R:1	0.004474843773059547	0.006002407071646303	0.00012157665877793989
4:Ins:R:2	0.00028575369836516987	0.0010164972913480597	0.00013544414069656342
4:Ins:R:3	6.330704769879958e-05	0.0007065817141463171	0.00022367520727129887
4:Ins:R:4	0.00017695896510758758	0.0008989616978416493	0.0004444348446850199
4:Ins:R:5	7.324171751861286e-05	0.0013019759881513337	0.0007573669723933563
5:Ins:R:0	0.024216914399702427	0.09701227560493862	0.0015293490639810869
5:Ins:R:1	0.01875197108834982	0.014461049251258374	0.0006727501898421906
5:Ins:R:2	0.00037214784180832793	0.0011257997287731315	4.637025695039654e-05
5:Ins:R:3	0.00021068711870611878	0.0003948619248650509	4.686713117532548e-05
5:Ins:R:4	6.406527655599348e-05	0.0001990752960263409	9.844865684044635e-05
5:Ins:R:5	6.485562956236813e-05	0.00021506877340035757	2.490284626146533e-05
2:Del:M:1	0.00962817361112684	0.04233901684172452	0.01643921150433016
3:Del:M:1	0.0037037028395570815	0.0042810986912809315	0.0005170983470452483
3:Del:M:2	0.0027947342349216343	0.013884796306956559	0.0058955821301788095
4:Del:M:1	0.0031634688191115854	0.005261613000184298	0.00096516889432678
4:Del:M:2	0.0020627470791805534	0.006395750695373863	0.0018856910726753994
4:Del:M:3	0.001321467882662546	0.00994662833865732	0.003881468388135545
5:Del:M:1	0.05173729851841927	0.02387899475172162	0.0010543066586251371
5:Del:M:2	0.03136188292875886	0.016621542517095803	0.00010000063082214499
5:Del:M:3	0.015842488948255778	0.011299900263547897	0.00025163033115859434
5:Del:M:4	0.007959301765076816	0.006139920935966075	0.00015271067826517994
5:Del:M:5	0.021967350486665965	0.010025247684679925	0.0006455495275440626
