Samples	ID83A	ID83B	ID83C	ID83D	ID83E
SP116788	6	0	2	0	8
SP116789	2	0	1	0	3
SP116919	0	0	0	0	1
SP109002	6	9	0	38	0
SP109001	1	2	3	2	3
SP109006	25	17	0	19	4
SP108998	61	59	0	18	0
SP127706	8	23	84	40	0
SP108999	34	30	26	21	0
SP109007	0	36	0	0	40
SP109003	9	0	0	35	8
SP116868	0	23	11	21	0
SP116794	5	0	10	0	0
SP116791	4	0	9	0	0
SP116866	2	10	11	25	0
SP116815	6	0	0	41	0
SP116853	2	23	4	3	10
SP116901	7	0	17	0	0
SP116830	9	2	81	0	0
SP116802	0	0	0	8	7
SP116885	24	4	0	62	0
SP116834	8	0	0	6	17
SP116913	0	0	25	0	0
SP116799	0	0	21	14	0
SP116920	0	0	0	17	1
SP116835	19	0	0	3	66
SP116852	7	11	3	0	17
SP116902	6	5	20	0	0
SP116871	0	0	0	0	10
SP116820	19	0	15	17	0
SP116889	0	27	33	0	3
SP116923	16	0	37	5	4
SP116829	11	0	63	0	0
SP116872	0	0	0	0	8
SP116904	0	0	0	1	4
SP116806	19	11	22	0	0
SP116857	11	0	54	16	0
SP116888	0	6	20	0	1
SP116818	2	0	0	20	0
SP116837	2	0	30	41	0
SP116905	0	0	0	0	4
SP116804	23	11	22	3	0
SP116819	8	2	2	19	0
SP116856	2	0	38	11	0
SP116839	11	11	22	34	0
SP116925	7	0	0	6	15
SP116878	0	0	1	0	21
SP116893	0	23	22	0	7
SP116876	0	0	0	0	1
SP116927	15	0	0	0	28
SP116909	12	0	16	0	0
SP116795	2	0	1	4	0
SP116826	22	7	19	0	0
SP116891	5	0	10	0	16
SP116860	7	2	27	0	0
SP116848	3	0	30	0	23
SP116910	35	0	31	6	0
SP116797	2	9	0	0	0
SP116862	14	0	30	22	0
SP116823	12	6	17	0	0
SP116897	1	0	3	0	11
SP116846	0	0	0	0	19
SP116784	0	0	0	1	0
SP116896	0	0	3	0	11
SP116824	11	10	14	0	0
SP116881	0	0	0	0	9
SP116812	5	0	0	38	0
SP116915	13	0	49	0	16
SP116786	12	0	0	54	0
SP116851	1	0	1	13	0
CPCT02220038T	1083	0	6	127	57
CPCT02290013T	252	594	0	0	0
