MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
1:Del:C:0	0.0009219973991275765	5.979419685900211e-05	0.02542534801410511	0.012030407579214288	0.04252606714144349	0.014989649236667901	0.0057407694462996515	0.007968074944801647	0.011383932150204404	0.5000755301117897	0.015354474834166467	0.006828033293131739
1:Del:C:1	0.00026534674405411353	0.002002430479769828	0.01298197942043771	0.003825487102731132	0.024660299131646753	0.024207318613771348	0.00039221818646183236	0.011195818647684064	0.00985035952355247	0.10588721282780171	0.15405617286916823	0.0050031775332172405
1:Del:C:2	0.0011282496313287994	7.094691034581046e-05	0.0036930819024564698	0.009358899330254643	0.0016734306009311695	0.010070791835314594	0.005803904916683677	0.0010466060880571604	0.0002698645237614983	0.01712009614566341	0.14794477229588665	0.0016779258663882502
1:Del:C:3	0.004891672779340297	0.0010232520536192168	0.005347905512426223	0.0035814265126828102	0.00047061706665033396	0.006090215692129277	0.0017429498115272724	0.0016713701122353087	0.0013568775673411437	0.01162340383452829	0.05929398435924668	0.0014455773144436534
1:Del:C:4	0.008464555781101809	0.0002444838236169744	0.015732443857414184	0.002499266361410264	0.001584918537118938	0.0004087825620081276	0.00022488204958790448	0.00041116725682513786	0.0005971175092417979	0.008731591863033827	0.028286188385100105	0.0017380135983694346
1:Del:C:5	0.02615909460687362	0.0031933540708387652	0.06390779490022397	0.0003408292539825197	0.0002957699788748869	0.0001291046384812944	0.0010899770335163338	0.0030820665834471583	0.0002295797877741279	0.003041964749440922	0.016745154578238726	0.0020981186495919245
1:Del:T:0	0.0007268432098499033	0.00491529832885135	0.037559474017471076	0.008749025149736554	0.02068412275053561	0.12554981011897326	0.011596514738630503	0.01166012033005245	0.012266348601697246	0.028348668795078993	0.04787563799880445	0.03278677498921752
1:Del:T:1	0.0012704555940581486	0.0015446593331580516	0.01994502592337085	0.0015065607784345047	0.01217980234650895	0.10584153055679053	0.0067705388723697975	0.010667520444167166	0.006038423811739904	0.007962808543306893	0.04173495177688892	0.022115756426937878
1:Del:T:2	0.004546183454804123	0.00046735191035622846	0.045863349015126	0.01534812943194993	0.006657270179421176	0.07105748165398836	0.001043535341595998	0.010427983796689659	0.004238452689314727	0.0244227117538685	0.037788285268470646	0.007289126788818976
1:Del:T:3	0.01683180528692901	0.0012658171453222167	0.05706375651061535	0.017710771634010598	0.010327805813140002	0.03387249867897481	0.00046574758869610377	0.004903239301056601	0.005807019259955268	0.0387901930231601	0.03039496189216152	0.0027521781822815684
1:Del:T:4	0.04607363693416119	0.0015429185705579584	0.04881890048272908	0.018846602039411665	4.047738038934767e-05	0.022443447676487267	0.00017602676118258387	0.0008045447163749486	0.0056273407707340085	0.017626103088114176	0.02878109387587756	0.005948735465062782
1:Del:T:5	0.779316759109497	0.007765440776172738	0.27418132227379827	0.009427903846437196	0.004792277190683762	0.011118728821638007	0.0017029997739882673	0.005138862375169992	0.009981497980770655	0.0028358313790297985	0.0051633967063389715	0.00700041725882329
1:Ins:C:0	0.0001617350024785935	2.679248609638307e-09	9.440404613592079e-07	4.3689932165960064e-05	2.4276399517297876e-07	9.67306414079161e-09	1.0777755843349723e-09	4.203895392974451e-47	3.078913374920944e-07	4.3372121538709505e-09	2.9242188296955575e-08	0.30551459670066833
1:Ins:C:1	6.892429408196677e-05	0.0005324157902578009	0.002199111343234108	0.000670588250322908	0.0011305259249638766	0.008758786887046881	0.001923958239485728	0.011707969689741731	0.005935903641220648	0.0013520211658033076	0.005029834735905752	0.05182249419391155
1:Ins:C:2	0.00011789046288868121	0.0003768103709262505	0.0027971405359676284	0.00017644573637880966	0.0007451864127642694	0.008933573957765475	0.0008264306190017124	0.011138641012948938	0.0004863936676701996	0.0006693609908052168	0.003981256185797974	0.011510576615110039
1:Ins:C:3	0.0006509714125422761	0.001286557623097906	0.0006606731661122466	0.0	6.708315850119107e-06	0.004852379740332253	0.005025818643625826	0.006253453604876995	3.4982882789336146e-06	0.00017506127289379947	0.004031420121900737	0.011306056855246424
1:Ins:C:4	0.0017572857363848016	0.0015329126839787933	0.0029706978428293953	3.6889899456582496e-06	9.705710322577944e-05	0.0024552046202734345	0.0034382621943223057	0.006374057488865219	0.000605576220095827	0.0008387049138036673	0.007079222470056265	0.009398600873537362
1:Ins:C:5	0.012950938856229187	0.032157746516168116	0.005103050217876444	0.0	1.2647666153497995e-06	0.008490092495921999	0.004285954359474999	0.012846774240024388	0.0018022132474834506	0.0001364413606643211	0.0054576112311042375	0.02448506934568286
1:Ins:T:0	0.00031921217567287385	0.006009798629675061	0.005373832391342148	0.0035493753000628205	0.003588685787353825	0.0021028149654557637	0.011154586342163384	0.026992248450405897	0.0002388674402027391	0.003044259879461608	0.02089762001298368	0.0947312568128109
1:Ins:T:1	9.193148798658513e-08	0.007468312000855804	0.00593066967165214	0.0014119739556917922	0.002505770926509285	0.015138877302815672	0.008081895139766856	0.053799334578216076	0.017633045637048782	0.010639782453654333	0.0523746468196623	0.017575722094625233
1:Ins:T:2	0.0014367569307796658	0.00415236058877781	0.006901898659561994	0.00019439400879491585	0.0002950735405465824	0.012898944250773639	0.004315600517438725	0.022473072670400142	7.131944643333554e-05	0.00485523618375737	0.045263037807308136	0.018660703450441362
1:Ins:T:3	0.0007055366330314428	0.00750268476549536	0.005251129590324127	0.001598974965600064	0.0005109138824082038	0.006710724738659337	0.0024064499638188864	0.021820010077208282	0.005057473347696941	0.004935111249706097	0.02464840725479007	0.0038427179091377185
1:Ins:T:4	0.0014014749015768756	0.01650851873680949	0.0024526237039390253	0.0025773974496405574	0.00015620526251495904	0.0023350108902377544	0.00038334809825755654	0.009113597585819661	0.0024821172007796124	0.009268592412117868	0.008373696786584332	0.0007919412477349397
1:Ins:T:5	0.04130491256946699	0.8198435175418853	0.09793336358882161	0.019161026561632752	0.014488466904149741	0.02996533470187888	0.020757300277629533	0.1204533243969772	0.0025789849771882243	0.06058958030771464	0.06273911163210869	0.02789984816982739
2:Del:R:0	0.0011547292673276387	0.0008848354256074129	0.004272018472547761	0.006240028659813106	0.0047769785023410805	0.05049277726560831	0.014006113982759416	0.007192411629512207	0.05479226242750883	0.007690271874671453	0.005960376042639837	0.013062681818846613
2:Del:R:1	0.0013457178242970258	0.004856703038094565	0.0062891817992203865	0.0013795886823936598	0.012726803165860475	0.02489040103973821	0.0017282741781673395	0.003929775517899543	0.1413442263007164	0.01255434921302367	0.009801906879802117	0.013133223502954934
2:Del:R:2	0.0014117647414968815	0.0018441817146958783	0.004468944821855985	0.0011847136781580048	0.0020269529633515047	0.003446825162609457	0.0026887083378096576	0.001625535289262515	0.03414781581610441	0.004355908599600298	0.012575908661310677	0.0020907964374418954
2:Del:R:3	0.007092000353150069	3.945311000279617e-06	0.005953935694269603	0.00058431619861949	0.0	0.00018194435455370694	0.0020662364579038693	0.004222126421882422	0.008467029589228332	0.0014160901989089326	0.00529034022038104	0.002946220262674615
2:Del:R:4	0.002753747259012016	8.02391913066458e-05	0.010299660248501824	9.492119416336209e-05	7.16015211537524e-06	0.00024341862503206356	0.0004814952966626151	0.0017716933551128022	0.0029223758331499996	0.0005190083595516626	0.0020185687474349834	0.001808626310012187
2:Del:R:5	0.007625206153943509	0.0	0.03407948099072201	5.397506764630577e-06	0.00011749442095673857	0.0027610780628054953	0.0010603356602155146	0.009525763749264655	0.0011786227301126928	0.0001132519631256912	0.0027176778607856276	0.00040579285257990704
3:Del:R:0	0.00031653535917939733	0.0001525218615461199	0.002186154853237333	0.005074060757178814	0.006534753639825795	0.040319081523921343	0.003601823722128756	0.01050025126663968	0.0011779617958018206	0.0007386583372135647	0.0023629010354488857	0.0033773576323801536
3:Del:R:1	0.0012707118905382231	0.0067694959533400835	0.01443563520326279	0.0060303709236904975	0.0012460856312827672	0.01425389331066981	0.002140174025626038	0.006569243976555299	0.10318631017580629	0.008166323684527015	0.006491273658302816	0.009839557398663601
3:Del:R:2	0.0008570928330300376	0.001493086175614735	0.0028037627489175066	5.6207146371889394e-05	0.0006666988294091425	0.0016665109574023518	0.0017877625443361467	0.004862759172574442	0.024538075891323386	0.0021897361971787177	0.0015818799583939835	0.00039140917144322887
3:Del:R:3	0.0002532599715141259	0.0002734724982201442	0.0017904098038343363	2.6980295488101546e-05	8.102340714231105e-05	0.0003379096791059055	0.0013848729769051714	0.002834331983467564	0.00433515761513263	0.0003865958962887817	0.0005197526343590652	0.0003204487955918012
3:Del:R:4	0.0001824027278507856	5.144245371639045e-05	0.0013422033495589859	2.6051100352049162e-05	9.23300046906661e-06	0.00028416656954505015	8.433022958342918e-06	0.0014678816465652745	0.0028630662345676683	4.295504875699407e-05	0.0009621911784051917	0.00034027449788482045
3:Del:R:5	0.0003190060354836533	0.0003650488397215668	0.0029545927386789117	2.4771836015133884e-05	1.3209321891736182e-05	0.0004406167656270554	1.6400704043917358e-06	0.0009998038639605512	0.0010866224100027466	0.0007168541337614443	0.0007502693438163988	3.968339224229567e-05
4:Del:R:0	6.272712784266332e-05	4.494689495345483e-05	0.0009721206151812111	0.00561787580838427	0.0044380844159604745	0.03408075460232794	0.0007703310917804629	0.011532030162634328	0.003758523741271347	0.001237005226716974	0.0006196932538659894	0.004211005988327088
4:Del:R:1	0.0007210430341365281	0.0032283710740739478	0.008427389408234376	0.0048244226875249294	0.0024377816649212036	0.001254033179138787	0.0019050254053945537	0.009946885078825289	0.0981859333999455	0.00832903383723533	0.0053208482370973795	0.004340805152933172
4:Del:R:2	0.0004368562964555167	0.0007230137680744519	0.0032795443859140504	0.0003509017598139508	0.00037517302636842943	0.0004265126484634485	0.00456546797300689	0.0033546037824817177	0.026890552944969386	0.0017171303568102303	0.0014794514303139294	0.00212437163388131
4:Del:R:3	0.00033702098444337024	0.00041780200223001885	0.0033361670351587237	2.4315892533195436e-05	0.00010293718517132788	0.0009058377986821142	0.0003595991903421236	0.006006433626753278	0.010452172991354019	0.00031085142196388913	0.002200747074348328	0.0004886389703824534
4:Del:R:4	0.00012743384269015223	4.9942961367719363e-05	0.0010942553632867203	7.032704020762281e-05	3.129020526102977e-05	0.00012279974738490295	3.387072356417775e-06	0.0024828683107625694	0.0033502304174180607	0.00012201472589367767	0.0005273426360599842	8.286364325613249e-05
4:Del:R:5	0.00036535772573643044	0.00010028135732227383	0.001387651382610784	3.843257045900827e-05	0.00012126437825372704	0.00018168275557400192	0.00033144451046609904	0.0002799006231725798	0.001364019383036066	0.0004078525015720658	0.00026323634592699817	2.2239454556256532e-05
5:Del:R:0	0.0	0.0002600071498454781	0.003785730781964958	0.013466169754392467	0.24857483968138694	0.08091313779354095	0.17739425629377364	2.8025969286496343e-46	0.0027375362609745935	0.00011425146250985562	0.003386210146563826	1.2611686178923353e-46
5:Del:R:1	8.213195325424749e-05	0.0016914219988393598	0.008947315552959481	0.009620908433571457	0.00023339756928180577	0.003880319979507476	0.005958615397103131	0.0258815317414701	0.026176301846280694	0.00045182797789038886	0.00471558124864714	0.0007142104665399529
5:Del:R:2	0.00014199329206121547	0.00021312874734576325	0.0023335145724013274	0.0004251175889294245	0.0006015115646005142	0.000349804847392079	0.0002677421949192649	0.0053412805681000465	0.006174782023299486	0.00017885402256069937	0.0013020453952003663	0.00021029757353971946
