rowname	InD1	InD2a	InD2b	InD3a	InD3b	InD4a	InD4b	InD5	InD6	InD7	InD8	InD9a	InD9b	InD9c	InD10	InD11	InD12	InD13	InD14	InD15	InD16a	InD16b	InD18	InD19	InD20	InD21	InD23	InD24	InD26	InD27	InD28	InD28m	InD29	InD30	InD31	InD32	InD33
[Del(C):R1]A	0.00360352092384077	0.00166530802427415	0.00435634038965976	0.0191180514478326	0.0392307967256478	0.00803612912850247	0.0198789337601498	0.0052416260435449	0.00517194225641557	0.00149687915846795	0.00584260008051604	0.160880158835092	0.0323895888418078	0.0550947081838137	0.0297492657986495	0.000494076079669249	0.012314068857319	0.0190402882081956	0.00581338267085419	0.00096667886149256	0.000700351912599587	0.000336760722025919	8.18951240186745E-05	0.00551366616764524	0.00216229539569355	0.000801931547035677	0.00194443479345315	0.00105768583829226	0.00356874480348393	0.00235107702765826	0.000909216440952818	1.92752201573384E-22	0.0316808362355088	0.00249937626957766	0.0117105403600371	0.00696594427239453	7.99869216754904E-106
[Del(C):R1]T	0.00247143956906771	0.00463961712854502	0.0254882451883063	0.00638703311070243	0.025811754706262	0.00512092101534365	0.0214601650266606	0.00925677836438182	0.0215454122654078	0.00116023584305103	0.00480450956285164	0.176707465269398	0.072283237731091	0.0940431603571313	0.00516566843068357	0.0012965909480878	0.0131983134775887	0.0291248506057378	0.00659229282970283	0.00331837026748317	0.000982131123386233	2.15930692977103E-34	1.28252402402861E-05	0.00704028370982274	0.0105757655697322	0.00175504236401446	0.00128882262825618	0.00464972813271219	0.00422154476936484	0.00282153613235893	0.00177050605584285	4.69977288660636E-48	0.0311413701924837	0.0052375607931155	0.0181636933274694	0.0185758513930625	0.087181986398613
[Del(C):R2]A	0.00313221970672077	0.000979463749067052	0.00420996552018981	0.124373046213379	0.0976494635911867	0.00573747754009263	0.00510151834030205	0.0297626340367482	0.00679717870069856	0.000536145997817181	0.0168140685738128	0.0227268176579924	0.0330688917992387	0.0183626701542849	0.0160710635800785	0.00898895646151189	0.00190270567347893	0.0112570607133194	0.00684468393295273	0.00523797329176184	0.000626607928862431	0.00269913843169267	0.00115919942578717	0.000526661457884133	0.0136084447207055	0.000856758461071237	0.00603336498550023	0.00663381394296034	0.00780698312910486	0.00831941240608664	0.0108250865657691	0.00479341685810294	0.0156277880990143	0.00236194131330277	0.0137553344552792	0.0123839009287338	0.00487985307598626
[Del(C):R2]T	0.000239053972329906	0.00359823203539672	0.0102036630266956	0.0615723761963968	0.0569023041617878	0.00261727998015836	0.0200862797443276	0.0306975964416022	0.011440325330068	0.000294006464469305	0.0196866076064045	0.0344614823298341	0.0448094808596604	0.0408626264950345	0.0118773052038513	0.00832001606682872	0.00506158785010595	0.0200870388961138	0.00616401529639548	0.00137944581069381	0.00014629920659569	0.000815255389943319	0.00144349376841235	0.000237997531716258	0.00255947443558526	0.00171729357640063	0.00158552298985964	0.00635082773028411	0.00467376150751155	0.00469783047785809	0.00796634850950196	0.00311028347893868	0.0310881621445112	0.00418018247128491	0.0161819045080818	0.0147058823528453	0.0283514470518277
[Del(C):R3]A	0.000402753617983623	0.000254527833400873	0.00290449456621262	0.102255565015974	0.0786354646997992	0.00181691130021142	0.00369527346362074	0.00535838220255732	0.00458981647517611	0.000694648669934323	0.00729406951972978	0.015521574392398	0.0112356887190022	0.00543533631086353	0.00946615840833155	0.00278126179174974	0.00285899298729766	0.00654240291859171	0.00436340590684066	0.000729850295335189	0.000642321640303214	0.00133252363148811	4.75526888184107E-06	0.000142472131319694	0.00387963247401127	0.00138681368066445	0.00321060477213308	0.00681557351973182	0.00454502655738812	0.00385000050863614	0.002098225072406	0.00054946195454632	0.00657651675312158	0.000935278713056275	0.00885539320234875	0.00464396284828691	0.00163051778682732
[Del(C):R3]T	0.000896110629518812	0.000435956451142896	0.00136182265698518	0.0486141926149434	0.0290656060413516	0.00101823723790822	0.00639305565879861	0.00514813495700946	0.00277305943321217	0.000947340491493076	0.00872367438058196	0.0128715797832114	0.0140552718540814	0.00833747104017901	0.00342584068936715	0.00422117785424391	0.000762998978624683	0.00682839188920251	0.00431324173262375	0.0006633096612137	0.000603502064032359	0.000750305061754255	1.61268159194296E-05	0.00044900596307638	0.00165223959306364	0.00190166851594205	0.00332528946670198	0.00417746128855545	0.0107203249825012	0.0031161167254933	0.00223943825237065	0.00131823946982396	0.0106147112986502	0.000910773658605521	0.0059545398053825	0.00619195046438807	0.00357805007751892
[Del(C):R(4,5)]A	0.001316054967962	0.00313031351249168	0.00674460670471279	0.0846372944348558	0.042108075244148	0.00325277051970142	0.00162649537129463	0.00756140043923743	0.00391319093029664	0.00959287078708088	0.0102501195670589	0.00669585261558854	0.0165152688679206	0.00243413824285702	0.00433597753701532	0.00547417789391209	0.00153854841685379	0.00471170727048937	0.0111040710590467	0.00122292805077323	0.00525341450309248	0.00526284099759158	0.000382499020111009	0.00144123291186414	0.00436179211467101	0.0102481374429009	0.00978685021760335	0.0142260678660036	0.00579791934176696	0.00379777948737584	0.00341389651956578	0.00522534326324186	0.0118329659208686	0.00112233445566768	0.00332858953669319	0.00773993808047046	0.00465817789593987
[Del(C):R(4,5)]T	0.00116699193860759	0.00248572069282849	0.00593987857479027	0.0465464786909204	0.0188852023792349	0.00126076003269786	0.00392665590229877	0.00551220553612658	0.0027732515479524	0.00916386667453516	0.00753239179254922	0.00541331597823986	0.0114566647000564	0.00542861995476895	0.00155085169356513	0.00332303456702972	0.000951921711018652	0.00420306362029002	0.00709223313653696	0.000703648239455842	0.00369387033404666	0.00306188790403607	0.00103110895498217	0.00119373411439548	0.00107245224289752	0.0070714697972104	0.00693759131522883	0.00990266457070475	0.00308176878540379	0.00202736999790413	0.00356551142158251	8.46699586507584E-94	0.00677817879143907	0.00187055742611303	0.00434920252526883	0.00696594427243994	0.00347105846499424
[Del(C):R(1,5)]G	0.00192821528934113	0.000387282781808671	0.00369494322234633	0.0578497220871064	0.0262466986213611	0.00636730494382593	0.0275438654287314	0.00311647989392022	0.00268239429489677	0.00368600995969632	0.00457304853212772	0.0213161501731415	0.0107571482329526	0.00676989100885126	0.00796553400221278	0.00655655773953209	0.00125762382656518	0.0103937910377216	0.00434177821789949	0.00071548608557528	0.00154648605273822	0.000890349321302731	0.000587094174852796	0.000426542504529034	0.00169466216707212	0.0031979673673605	0.00241240167903921	0.0123746722450908	0.00926164222255483	0.00076665279954337	0.00194235322507817	3.08604083814199E-112	0.0120479177662947	0.00168350168350172	0.111549708126305	0.00154798761607654	0.000572478462355763
Del(C):R(6,9)	0.00554305568509527	0.0161867527453688	0.022319158412587	0.0310334569234844	0.0123906449159828	0.00761171192194345	0.00026463204599271	0.00515409122673718	0.00245140867247377	0.0428517548533553	0.00173845479319769	0.00771019707140203	0.00857429849639086	0.0134279912348818	0.00371322120253871	0.00980721361404526	0.004665579698978	0.00292129796711556	0.00354247521213378	0.0015156295579545	0.0242154581959203	0.0155930116471418	0.00174397878775011	0.00947410018882832	0.00102250613469728	0.0196301472558962	0.00602305639023006	0.0115621682988576	0.00671748312748124	0.0133063341974524	0.0200759488644758	0.0127894809151279	0.00357500319628111	0.000187055742611062	0.00825750588114521	0.0077399380805167	0.031373414454943
