rowname	C_ID1	C_ID2	C_ID3	C_ID4	C_ID5	C_ID6	C_ID7	C_ID8	C_ID9	C_ID10	C_ID11	C_ID12	C_ID13	C_ID14	C_ID17	C_ID18	C_ID19	C_ID23	ID_A	ID_B	ID_C	ID_D	ID_E	ID_F	ID_G	ID_H	ID_I	ID_J	ID_K	ID_L	ID_M	ID_N	ID_O	C_ID16	C_ID15	ID_P
DEL:repeats:4:2	0.000578854	0.000119945	4.27E-05	0.018601117	0.000605736	0.000871656	0.003141454	0.000346043	0.003053835	0.000737841	4.66E-06	0.002339028	3.80E-05	0.000347314	0.000477197	0.000974677	0.004546708	5.51E-05	0.001744255	3.98E-06	0.003368404	0.00143144	0.001767968	0.005575423	0.000577719	0.00048246	0.003744816	0.008869675	0.000257757	0.001785069	0.000103631	0.041623611	0.000440946	0	0	0.000262256
DEL:repeats:4:3	0.000722329	0.00021277	4.03E-05	0.00696608	0.000379546	0.000102435	0.001437344	0.0001372	0.000758371	0.000919517	9.32E-07	0.028994588	4.49E-05	2.62E-05	0.000263575	0.001302243	0.003073447	5.69E-05	0.000490261	8.589E-05	0.002292038	0.000822734	0.000932093	0.002653253	0.000202648	0.000698561	0.000108883	0.002791338	0.000332165	0.004191409	0.002972034	0.003527645	0.000210446	0	0	0.000369093
DEL:repeats:4:4	0.000187766	6.20E-05	2.19E-05	0.00321461	0.000133806	5.92E-05	0.000807679	9.27E-05	0.000500652	0.000243249	2.73E-06	0.035090145	3.21E-05	0.000425685	0.000550089	0.000516107	0.000553848	7.43E-05	0.000360284	0.00030824	0.000571266	0.000250393	0.000364159	0.001027227	0.00013151	0.000566845	0.000358289	0.002962296	0.000156038	0.001478046	8.43E-05	0.003952375	0.000224358	0	0	6.32E-05
DEL:repeats:4:5+	0.00018489	9.52E-05	8.52E-06	0.001403442	3.72E-05	5.70E-05	0.000882142	0.000103261	0.001115869	0.000263602	4.66E-07	0.012510326	4.18E-05	3.26E-05	3.02E-07	0.000768321	0.000989707	3.62E-05	0.000381192	0.00014428	0.001294688	0.000335599	0.000339455	0.000402784	0.00042236	0.000251042	0.000260574	0.00514126	0.000208141	0.002309898	0.000112138	0.005306466	0.000210816	0	0	0.000183017
DEL:repeats:5+:0	0.002473354	9.10E-05	0.004888272	0.002618549	0.052931524	0.068645178	0.000389277	0.208309146	0.02017556	0.044177718	0.001199395	0.015459663	0.047151372	0.013333234	0.050470436	0.01422176	0.065252374	0.015171409	0.006147978	0.123167271	0.006068865	0.007992648	0.003769409	0.021014125	0.004060435	0.148369579	0.000212181	0.001117881	0.000520016	0.018408391	0.004575215	0.001243185	0.000156355	0	0.000274236	0.002470655
DEL:repeats:5+:1	0.002639013	0.000161091	0.000193786	0.009445058	0.001265003	0.007192334	0.004967616	0.002166362	0.002622331	0.006753214	0.000503464	0.001506449	0.001843724	0.003081281	0.00257312	0.001424313	0.021451052	0.000541548	0.002181218	0.00099667	0.003991427	0.002757193	0.00368843	0.008453629	0.003325235	0.047176149	0.000204736	0.001466483	0.000264375	0.001717885	0.000134565	0.005739417	0.000197497	0	0	0.001629499
DEL:repeats:5+:2	0.000476828	9.45E-05	5.34E-05	0.001489841	3.52E-05	0.000207294	0.002495065	0.000310885	0.001117841	0.000848129	9.32E-07	0.004644142	8.35E-05	0.000933264	1.36E-06	0.00073678	0.003092181	0.000508695	0.000762438	0.00014735	0.000807493	0.000990656	0.000876788	0.001562449	0.00036562	0.004652679	8.93E-05	0.001412247	0.000144382	0.000359037	0.000146166	0.001099973	0.000235309	0	0	0.000264483
DEL:repeats:5+:3	0.000119415	5.52E-05	1.84E-05	0.001031934	3.70E-05	0.000106363	0.000639046	7.88E-05	0.00254417	0.000281928	1.13E-06	0.000811191	2.49E-05	0.000566499	1.81E-06	0.00023865	0.001358452	2.12E-05	0.000291718	0.00039543	0.000419479	0.000443688	9.09E-05	0.000423704	0.00010488	0.000694783	0.000766831	0.001938965	8.57E-05	0.000700374	4.56E-05	0.002496897	7.84E-06	0	0	0.000187337
DEL:repeats:5+:4	6.67E-05	6.83E-05	2.01E-05	0.000284593	1.49E-05	4.42E-05	0.000283242	6.30E-05	0.000428687	8.31E-05	1.46E-05	0.000198417	1.56E-05	8.46E-07	8.30E-07	0.000227778	0.000485272	1.46E-05	0.00021091	7.186E-05	0.000922925	0.000122838	0.00033293	0.000237804	0.000166679	0.000628869	7.17E-05	0.001240962	6.55E-05	0.00064222	4.95E-05	0.002060052	2.29E-06	0	0	4.12E-05
DEL:repeats:5+:5+	8.84E-05	3.45E-05	1.88E-05	0.000248277	8.06E-06	2.71E-05	3.75E-05	7.57E-05	0.000521706	0.00017815	3.99E-07	0.000867824	1.57E-05	1.13E-06	5.28E-07	0.000267715	6.90E-05	1.53E-05	0.000124624	9.79E-06	0.000289841	0.000175793	0.000240774	0.000167066	0.000279301	0.000869635	0.000116328	0.000740257	2.47E-05	0.000620548	0.000195661	0.000517897	1.55E-06	0	0	3.03E-05
INS:repeats:2:0	0.003906818	0.001075152	0.006164233	0.000308557	0.005649118	0.002272025	0.000572497	0.00155748	0.005190723	0.00488483	0.000235061	0.005633495	0.008846365	0.017475484	0.018203053	0.002788236	0.042439862	0.001747156	0.010984445	0.00233124	0.014232468	0.02397829	0.126813544	0.005197345	0.006649234	0.005214754	0.027761337	0.011635066	0.001152165	0.002953202	0.011086157	0.00343217	0.006314502	0	0	0.002453354
INS:repeats:2:1	0.001387179	8.89E-05	0.003108943	0.000608671	0.017057069	0.000337826	0.000601311	0.001593717	0.004876108	0.01975322	1.26E-06	0.006293241	0.003770398	0.002122644	0.057277584	0.004522192	0.009825663	0.002439299	0.006859703	0.00620371	0.003668264	0.002580188	0.008235882	0.003458437	0.006635241	0.005609853	0.000228933	0.000921371	0.000393472	0.003234941	0.000126058	0.00037483	0.002319276	0	0	0.001636968
INS:repeats:2:2	0.001164165	0.000190545	0.001206157	0.000357097	0.006601816	0.000559922	0.000811556	0.000733245	0.002228569	0.008579989	0.000250434	0.002087175	0.002000109	0.001309474	0.036779624	0.003777069	0.005928362	0.000821119	0.002356168	0.00225867	0.001310162	0.001090328	0.001107297	0.000605382	0.001035977	0.003697186	0.000154483	0.001605753	0.000628991	0.002802942	0.000263717	0.000720239	0.002840878	0	0	0.00131514
INS:repeats:2:3	0.000554511	0.000406611	0.000892305	0.000468811	0.001153352	0.000210808	0.003765801	0.000245726	0.000954618	0.003148532	0.000256357	0.000345131	0.000948252	0.000663758	0.009548918	0.000808096	0.001657934	0.000361068	0.001756845	0.0004424	0.002018181	0.001827479	0.001670387	0.000924431	0.000692805	0.001003031	0.0001945	0.002946221	0.002682853	0.005032292	0.000193341	0.001505667	0.02108149	0	0	0.000805352
INS:repeats:2:4	0.0032025	0.000726421	0.000324017	0.00032485	0.000145256	0.000243799	0.010861446	0.000118295	0.001256277	0.003855746	0.000496742	0.000690861	0.000335696	0.000413844	0.001711012	0.001558655	0.001809952	0.000957619	0.001052329	8.6E-07	0.003536236	0.002033106	0.001738797	0.000530951	0.000737753	0.001343836	0.000492298	0.008156127	0.004604762	0.016389985	0.000178647	0.002242347	0.062336236	0	0	0.003110363
INS:repeats:2:5+	0.024640101	0.006181972	6.69E-05	0.000833483	1.41E-05	0.00054117	0.004045552	0.00102905	0.005239732	0.006799181	0.000599498	0.022102632	0.004047814	0.003904741	0.003216627	0.004475474	0.016435915	0.000182494	0.005138669	0.00014623	0.008194077	0.004560547	0.002941516	0.00239612	0.002841266	0.003549081	0.002245587	0.016281422	0.001516344	0.032165923	0.001819723	0.012352237	0.200939535	0	0	0.02224613
INS:repeats:3:0	0.001636031	0.000132396	0.000464596	0.000414031	0.003404445	0.001659497	3.43E-05	0.000219669	0.00074795	0.002638433	1.46E-06	0.002953201	0.000264332	0.008329324	0.013447082	0.001065853	0.018514155	0.000798121	0.003404859	0.00136344	0.004622699	0.009344112	0.029978848	0.001281926	0.001874534	0.000980398	0.000162859	0.002105937	0.000240255	0.002108347	0.236014892	0.000479535	0.002447734	0	0	0.000823455
INS:repeats:3:1	0.000782976	2.13E-05	0.000450261	0.000451747	0.005469849	0.000468306	0.000142553	0.001486192	0.007210723	0.023486669	0.00024877	0.004826168	0.004420304	0.002250773	0.083328278	0.002960254	0.002435125	0.001596455	0.002575455	0.00343646	0.001827222	0.003123852	0.00377636	0.000494747	0.001448361	0.003959273	0.000871991	0.000410401	0.000221309	0.002939477	0.000133792	7.50E-06	0.000499403	0	0	0.001846345
INS:repeats:3:2	0.000127284	3.82E-05	0.000114324	0.000279479	0.001197014	0.000527255	0.000172336	0.000140375	0.000503328	0.00468262	0.000262413	0.000504371	0.000623063	0.00057552	0.013829805	0.000681935	0.002639735	0.000305747	0.000612058	0.00073871	0.000844024	0.001350424	0.001067698	0.000255466	0.000455447	0.000349688	8.19E-05	0.000384161	0.000194502	0.001100588	0.000123738	2.45E-05	0.005270632	0	0	0.000258754
