rowname	InsDel1a	InsDel1b	InsDel1c	InsDel1d	InsDel2a	InsDel2b	InsDel2c	InsDel3a	InsDel3b	InsDel4a	InsDel4b	InsDel5a	InsDel5b	InsDel6	InsDel7	InsDel8	InsDel9	InsDel11	InsDel12	InsDel13	InsDel14	InsDel15	InsDel16	InsDel17	InsDel18	InsDel19a	InsDel19b	InsDel19c	InsDel_A_alpha	InsDel_A_beta	InsDel_B	InsDel_D	InsDel_E	InsDel_F	InsDel_G	InsDel_H	InsDel_J	InsDel_K_beta	InsDel_N	InsDel_O
A[Del(C):R6]A	0.0000997775	0.00036173	0.000362261	0.000492132	0.0004403	0.00115979	0.00057592	0.00162023	0.003004824	0.00018549	0.00072385	0.00020281	0.001073428	0.000297695	0.004565568	0.000302922	0.001215631	0.00017846	0.001003411	0.00028551	0.0001113	0.002331002	0	2.81969755465008E-05	0.000123591	0.000401081	0.000223028	0.00055819	0.000162969	0.001536081	0.00031969	0.00034356	0.000585861	0.00008119	0.000838848	0.000312548	0.00160986	0.000718644	0.001658625	0.000238509
A[Del(C):R6]G	0.00002241125	0.00002364	1.84100368633812E-05	3.5285909616847E-05	0.0000716925	0.00009419	0.00009607	0.00013326	0.000562936	0.00005522	0.00003843	0.0000849	0.000144303	0.00004458765625	0.001081207	0.000161631	0.000139165	0.00000385	0.000524019	0.000040555	0.00004072	0.000274236	0	1.80329494774133E-06	3.05707931374889E-05	6.78884630505797E-05	0.00001103125	0.00011082	0.000103824	0.000312758	0.000087195	0.0000086525	6.8248745456932E-05	0	0.000258311	0.000464347	0.000384085	0.000140348	0.000455364	4.04579218388737E-05
A[Del(C):R6]T	0.000185393	0.00007937	0.000208589	0.000319743	0.0000115325	0.00059235	0.00043236	0.00123458	0.001291516	0.000247138	0.00009815	0.00017841	0.000762587	0.000155647	0.002175096	0.000173843	0.000513191	0.00006676	0.000418607	0.00014404	0.00008743	0.001919649	0	6.17491906347789E-06	8.34399177822768E-05	0.000134846	0.000038725	0.00031267	0.000212546	0.000180432	0.00014411	0.00025036	7.68030603432694E-05	0.00021425	0.000320928	0.000423433	0.000690535	0.000317168	0.000673834	0.000112856
A[Del(C):R7]A	0.000149388	0.00017032	9.39372783175456E-05	0.000189546	0.0004988	0.00153747	0.00023984	0.00016303	0.000704195	0.000192948	0.00022614	0.00003038	0.000200821	0.00008830140625	0.005473498	0.000138695	0.000360595	0.00023822	0.00047483	0.00013691	0.00037115	0	0	5.13665833599046E-06	5.7259922863169E-05	0.000253149	0.000106911	0.00013387	7.14730533136068E-05	0.000602798	0.00012978	0.00000294	0.000482671	0.00010884	0.00049452	0.000257621	0.002251865	0.000638187	0.001861017	0.000248694
A[Del(C):R7]G	0.00002260375	0.00000647	4.57685517297947E-05	1.8616969879403E-05	0.0000322675	0.00010628	0.00020578	0.00001924	0.000114725	0.000038245	0.00001158	0.00000002	2.15576310231851E-05	0.00002673734375	0.001148732	3.40045980087141E-05	2.51093603191683E-05	0.00001245	0.000219426	0.00002674	0.00001286	0	0	5.95633785769107E-06	9.51739879621028E-06	1.72979881590914E-05	0.000006933125	0.00006433	6.34384377272688E-05	5.99812556398931E-05	0.000027155	0.00002609	0.000124853	0	0.000459547	0.000114446	0.00053387	7.07433031764991E-05	0.0003872	5.07844663890862E-05
A[Del(C):R7]T	0.000024911875	0.00010726	0.000100955	0.000169811	0.000119783	0.00051694	0.00008897	0.00010118	0.000506481	0.000107938	0.00004346	0.00004054	0.0001247	0.00004223078125	0.000866462	3.57079027934549E-05	8.57304667055991E-05	0.00001367	0.000698058	0.00002718	0.00001034	0	0	1.89619196020073E-05	0.000114203	4.25888142100655E-05	0.000025189375	0.0000441	0.000212254	0.000207375	0.00008327	0.000085435	0.000616696	0.0001753	0.000147377	0.00019857	0.00031579	0.000389548	0.000304401	7.47838862548766E-05
A[Del(C):R8]A	0.000322089	0.00010946	9.88680723192164E-05	0.000326151	0.000663345	0.0005858	0.00000559	0.00003253	0.000156808	0.000327405	0.00004437	0.00000656	2.47336316023824E-05	0.000179866	0.002481602	4.29838158008615E-05	0.000198697	0.00021901	0.001268319	0.00004376	0.00048958	0	0	1.00000901647474E-05	9.55514319547771E-05	0.000447552	0.000138386	0.00018457	0.000352833	0.000470003	0.000153195	0.000244248	0.000771396	0.00017125	0.000404974	0.000169467	0.001377505	0.000465188	0.001067343	0.000391474
A[Del(C):R8]G	0.000024764375	0	1.12703862895333E-05	1.66468030312854E-05	0.000022135	0.00002609	0.00003865	0.00000024	0.00000728125	0.0000305575	0.00000278	0.00000001	1.93417021576793E-06	0.00000573375	0.000112594	1.55593819231795E-05	1.64512668911296E-05	0.00001115	6.39696413199399E-05	0.000004205	0.00004118	0	0	1.36613253616768E-06	8.92803808961119E-06	3.13965282804892E-05	0.000032745625	0.0000411	9.25572856283499E-05	3.5024829185946E-05	0.000012415	0.00001869	3.97892473247188E-05	0	9.69170571496597E-05	5.81136142717289E-06	0.00019302	9.74533050150141E-06	0.00015442	5.38143771112768E-05
A[Del(C):R8]T	0.000120714	0.00000836	5.17689888746851E-05	7.06714344114079E-05	0.000302013	0.00015597	0.00002726	0.00003251	0.00001561125	0.000156468	0.00001417	0.00000469	1.82472474785874E-05	0.00002396890625	0.000366793	2.1617779641222E-05	3.13461225342809E-05	0.00002859	7.60411783892302E-05	0.00001386	0.00016281	0	0	2.84155567522877E-06	2.21920348070522E-05	6.79659605389607E-05	0.000034138125	0.00002794	0.000127163	0.000299073	0.00001566	0.0000765425	7.98694032995849E-05	0	7.09732921106348E-05	5.07556808518406E-05	0.00030011	7.00572319091934E-05	0.000306533	0.000148108
A[Del(C):R(9,)]A	0.000606598	0.00000374	4.7012120587359E-05	9.05944699541697E-05	0.000565378	0.00000414	0.00000818	0.00002756	0.0000525725	0.00030193	0.00018245	0.00000636	2.34130915753431E-05	0.000166865	0.000112248	6.24861383142636E-05	6.13137093917811E-05	0.00006332	0.00156122	0.00000594	0.00026145	0	0	7.65034220253898E-06	0.000225184	0.000514779	0.000311998	0.00031583	0.000173397	0.001117896	0.00006944	0.00015976	0.000320418	0.00010008	0.000140609	0.000162812	0.000409415	4.15852743160068E-05	0.000381876	0.000520508
