Type	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17	ID18	ID19	ID20	ID21	ID22	ID23	ID24	ID25
DEL:C:1:0	0.000159889	0.004824116	0.124727109	0.007249717	0.022202108	0.030506799	0.000466561	0.039827558	0.33493988	0.025105414	0.001576565	0.052787741	0.065548371	0.012016009	0.026527369	0	0.006117599	0.006012048	0.054089076	0.006578444	0.00138887	0.002569923	0.05169788	0.02271784	0.03316423
DEL:C:1:1	0.000773523	0.0000221	0.20887617	0.002734869	0.028547215	0.005491903	1E-18	0.023915938	0.099994226	0.02930632	0.000550318	0.014674665	0.017536463	0.001946232	0.121009787	0	0.003667555	0.002004016	0.015008861	0.003268685	0.004836623	0.001730933	0.1061941	0.0076713	0.01537897
DEL:C:1:2	3.31E-18	0.00000311	0.176324218	0.002041063	0.026596927	0.008033994	0.008561945	0.003330554	0.002690655	0.018804056	0.000357338	0.000561932	0.005120219	0.000683696	0.147828864	0	0.001220327	0.002004016	0.001849447	0.002094676	0.001284341	0.000798746	0.05287559	0.00051143	0.01384408
DEL:C:1:3	0.001907613	0.002472076	0.064042764	0.001112283	0.014159122	0.001102379	0.042360147	0.005403153	0.010625416	0.01650356	9.08E-18	0.000995577	0.005350516	0.000487468	0.136006058	0	0.0000000226	0.004008032	0.006563183	0.002189543	0.002792894	0.001532915	0.03862287	0.00155911	0.00689178
DEL:C:1:4	0.00070599	0.003856976	0.043989808	0.001075684	0.002873422	0.00247817	0.114891908	0.001275709	0.012496902	0.002930632	9.08E-18	0.00224005	0.004346005	0.002071921	0.084197696	0	0.0000000194	1E-18	0.008206888	0.000481952	0.005253476	0.002421533	0.01125206	0.0015892	0.00438559
DEL:C:1:5+	0.003370115	0.014615424	0.022417486	0.002246178	0.002602449	0.001322073	0.25176314	0.000933729	0.0000448	8.42E-18	0.000156465	0.029410808	0.000843056	0.002370276	0.018458293	0	0.001220933	0.002004016	0.000336114	0.00000000224	0.014248202	0.005329239	0.00573968	0.00216127	0.00642889
DEL:T:1:0	0.001311605	0.007905966	0.03759923	0.006635052	0.101481148	0.004284162	0.00266749	0.034243687	0.105105373	0.028306105	0.000944206	0.045135118	0.053698762	0.018309803	0.023951637	0	0.006088347	0.08617269	0.018543991	0.004058988	0.062891728	0.00318728	0.21323872	0.00332893	0.26254261
DEL:T:1:1	3.31E-18	3.95E-18	0.013309824	0.001622466	0.10609961	0.000677688	0.007732725	0.010452076	0.044293641	8.42E-18	0.000258505	1.42E-17	0.498224165	0.000852559	0.07996011	0	0.004903196	0.17234538	0.00460977	0.00339319	0.005917236	0.002365559	0.11431327	0.01282081	0.01134398
DEL:T:1:2	0.000936453	0.007036418	0.016501851	0.002633405	0.114128463	0.011659665	0.00025476	0.00899203	0.085861956	0.001510326	0.000516519	0.010969204	0.023777805	0.010856423	0.120410466	0	0.001225482	0.118236947	0.008737993	0.003778359	0.005145233	0.001846387	0.05769072	0.01728524	0.015324
DEL:T:1:3	0.002295855	0.020234743	0.020141477	0.000306038	0.088962207	0.022242391	0.028972742	0.009825045	0.113250663	0.001420306	0.00042568	0.022109366	0.062780952	0.01718395	0.113431215	0	0.00122381	0.23847791	0.022644132	0.005646206	0.0000308	0.000102636	0.03864648	0.00886542	0.01790305
DEL:T:1:4	0.004291422	0.047119925	0.015814364	0.001023202	0.052259532	0.017697141	0.158850552	0.00127378	0.094412737	0.00241052	0.001932451	0.044077964	0.023004382	0.013347903	0.079178832	0	0.00000000134	0.090180723	0.020523528	0.002665711	0.000336067	0.000383304	0.0199045	0.01586529	0.01025024
DEL:T:1:5+	3.31E-18	0.814697227	0.008066314	0.000154442	0.030610523	0.007954345	0.000000192	0.010620342	0.000929835	1.27E-17	0.006539395	0.000348512	0.006079575	0.038616999	0.046903215	0	0.0000000463	0.070140562	0.001898312	0.009773246	0.034237057	0.008725468	0.00484058	0.0027324	0.04611943
INS:C:1:0	3.31E-18	3.95E-18	0.002083092	6.62E-18	0.000542252	0.002086887	0.000672367	0.002764271	5.41E-18	8.42E-18	0.000186238	1.42E-17	0.002850428	0.454386958	6.58E-18	0.353917050691244	0.004878118	1E-18	0.016286282	0.001053993	0.000293515	0.005075683	0.00228553	0.00000005	0.00112228
INS:C:1:1	3.31E-18	0.000227026	0.001578887	0.000272399	0.001242898	0.001773433	0.0000262	0.002169119	0.00000193	0.000345074	0.163482884	0.000167697	0.001652256	0.012777431	6.58E-18	0.144700460829493	0.014767199	0.002004016	0.033050286	0.010880956	0.001473486	0.001550607	0.00057783	0.00118662	0.00494242
INS:C:1:2	3.31E-18	0.0000262	0.001747946	0.0000688	0.003151667	0.000246169	0.0000258	0.001527	0.000352623	0.000272059	0.093738843	0.001596586	0.00082125	0.00065885	6.58E-18	0.0552995391705069	0.029260405	1E-18	0.015408145	0.028439758	0.000154396	0.00175219	0.00147472	0.00148604	0.00230421
INS:C:1:3	0.000845986	0.00043005	0.006177647	0.000512481	0.000602848	0.000232169	0.002407735	0.000116524	5.41E-18	0.002580556	0.03617564	0.000450319	0.000375555	0.001564403	6.58E-18	0.0101382488479263	0.049254522	1E-18	0.007187529	0.203771492	0.000210735	0.014026027	0.00171284	0.00058833	0.01107799
INS:C:1:4	0.001785525	0.002911846	0.007104447	6.62E-18	0.000197582	0.000376592	0.015485431	0.000554177	0.00000216	0.000411089	0.011189789	0.00439393	0.000148578	0.001539502	6.58E-18	0.00460829493087558	0.024538408	1E-18	0.010283472	0.376913489	0.00047283	0.021103546	0.00010835	0.00207201	0.00302963
INS:C:1:5+	0.024296536	0.009017536	0.007351101	0.000249143	0.000433544	0.000247997	0.060343229	0.000489489	0.0000737	0.000851184	0.003412242	0.01705149	0.000706981	0.002292999	6.58E-18	0	0.009790503	1E-18	0.027969581	0.229282853	0.001820848	0.01139551	0.00126133	0.00072066	0.02183345
