indel476.class	indel89.class	indel83.class
C[Ins(T):R2]C	C[Ins(T):R(0,4)]C	INS:T:1:2
T[Ins(C):R0]A	Ins(C):R(0,3)	INS:C:1:0
G[Ins(T):R6]G	G[Ins(T):R(5,7)]G	INS:T:1:5+
Ins(2,4):M	Ins(2,4):R0	INS:repeats:3:0
A[Ins(T):R2]G	A[Ins(T):R(0,4)]G	INS:T:1:2
A[Ins(T):R0]A	A[Ins(T):R(0,4)]A	INS:T:1:0
Ins2:U1:R1	Ins(2,4):R1	INS:repeats:2:0
G[Ins(C):R7]G	Ins(C):R(7,)	INS:C:1:5+
C[Ins(T):R(9,)]C	C[Ins(T):R(8,)]C	INS:T:1:5+
A[Ins(T):R6]A	A[Ins(T):R(5,7)]A	INS:T:1:5+
C[Ins(T):R8]G	C[Ins(T):R(8,)]G	INS:T:1:5+
A[Ins(T):R5]C	A[Ins(T):R(5,7)]C	INS:T:1:5+
G[Ins(T):R(9,)]A	G[Ins(T):R(8,)]A	INS:T:1:5+
A[Ins(T):R8]A	A[Ins(T):R(8,)]A	INS:T:1:5+
A[Ins(T):R1]A	A[Ins(T):R(0,4)]A	INS:T:1:1
A[Ins(T):R6]G	A[Ins(T):R(5,7)]G	INS:T:1:5+
T[Ins(C):R6]T	Ins(C):R(4,6)	INS:C:1:5+
A[Ins(T):R5]G	A[Ins(T):R(5,7)]G	INS:T:1:5+
A[Ins(T):R8]C	A[Ins(T):R(8,)]C	INS:T:1:5+
T[Ins(C):R0]T	Ins(C):R(0,3)	INS:C:1:0
A[Ins(T):R4]A	A[Ins(T):R(0,4)]A	INS:T:1:4
G[Ins(T):R1]A	G[Ins(T):R(0,4)]A	INS:T:1:1
T[Ins(C):R1]T	Ins(C):R(0,3)	INS:C:1:1
Ins4:U2:R(5,9)	Ins(2,):R(5,)	INS:repeats:4:2
Ins4:U4:R(5,9)	Ins(2,):R(5,)	INS:repeats:4:5+
C[Ins(T):R0]C	C[Ins(T):R(0,4)]C	INS:T:1:0
G[Ins(T):R4]A	G[Ins(T):R(0,4)]A	INS:T:1:4
G[Ins(T):R6]A	G[Ins(T):R(5,7)]A	INS:T:1:5+
C[Ins(T):R(9,)]G	C[Ins(T):R(8,)]G	INS:T:1:5+
Ins3:U3:R3	Ins(2,):R(2,4)	INS:repeats:3:3
Ins2:U2:R4	Ins(2,):R(2,4)	INS:repeats:2:4
G[Ins(T):R8]G	G[Ins(T):R(8,)]G	INS:T:1:5+
Ins2:U1:R(5,9)	Ins(2,):R(5,)	INS:repeats:2:3
A[Ins(C):R2]A	Ins(C):R(0,3)	INS:C:1:2
Ins2:U2:R3	Ins(2,):R(2,4)	INS:repeats:2:3
C[Ins(T):R1]G	C[Ins(T):R(0,4)]G	INS:T:1:1
G[Ins(T):R(9,)]G	G[Ins(T):R(8,)]G	INS:T:1:5+
G[Ins(T):R7]A	G[Ins(T):R(5,7)]A	INS:T:1:5+
T[Ins(C):R4]A	Ins(C):R(4,6)	INS:C:1:4
G[Ins(T):R8]A	G[Ins(T):R(8,)]A	INS:T:1:5+
C[Ins(T):R6]G	C[Ins(T):R(5,7)]G	INS:T:1:5+
T[Ins(C):R6]G	Ins(C):R(4,6)	INS:C:1:5+
Ins(5,):U2:R(5,9)	Ins(2,):R(5,)	INS:repeats:5+:1
Ins3:U3:R0	Ins(2,4):R0	INS:repeats:3:0
A[Ins(C):R1]A	Ins(C):R(0,3)	INS:C:1:1
G[Ins(T):R5]A	G[Ins(T):R(5,7)]A	INS:T:1:5+
Del5:U(2,):R1	Del(5,):R1	DEL:repeats:5+:0
C[Del(T):R1]A	C[Del(T):R(1,4)]A	DEL:T:1:0
C[Del(T):R(9,)]C	C[Del(T):R(8,)]C	DEL:T:1:5+
G[Del(T):R(9,)]A	G[Del(T):R(8,)]A	DEL:T:1:5+
G[Del(T):R7]C	G[Del(T):R(5,7)]C	DEL:T:1:5+
C[Del(T):R6]G	C[Del(T):R(5,7)]G	DEL:T:1:5+
A[Del(T):R4]G	A[Del(T):R(1,4)]G	DEL:T:1:3
C[Del(T):R8]G	C[Del(T):R(8,)]G	DEL:T:1:5+
Del4:M2	Del(3,5):M2	DEL:MH:4:2
A[Del(T):R2]A	A[Del(T):R(1,4)]A	DEL:T:1:1
Del(7,):M1	Del(6,):M1	DEL:MH:5+:1
G[Del(T):R(9,)]C	G[Del(T):R(8,)]C	DEL:T:1:5+
Del(7,):M3	Del(6,):M3	DEL:MH:5+:3
Del(7,):M5	Del(6,):M(4,)	DEL:MH:5+:5+
Del7:U(2,):R1	Del(5,):R1	DEL:repeats:5+:0
Del2:U1:R1	Del(2,4):R1	DEL:repeats:2:0
A[Del(T):R(9,)]A	A[Del(T):R(8,)]A	DEL:T:1:5+
Del2:U2:R2	Del(2,8):U(1,2):R(2,4)	DEL:repeats:2:1
A[Del(C):R2]T	[Del(C):R2]T	DEL:C:1:1
T[Del(C):R1]T	[Del(C):R1]T	DEL:C:1:0
Del2:U1:R3	Del(2,8):U(1,2):R(2,4)	DEL:MH:2:1
Del(7,):M4	Del(6,):M(4,)	DEL:MH:5+:4
