indel476.class	indel89.class	indel83.class
G[Del(C):R4]T	[Del(C):R(4,5)]T	DEL:C:1:3
G[Del(C):R3]G	[Del(C):R(1,5)]G	DEL:C:1:2
Ins4:U4:R3	Ins(2,):R(2,4)	INS:repeats:4:3
G[Ins(C):R5]A	Ins(C):R(4,6)	INS:C:1:5+
G[Ins(C):R2]A	Ins(C):R(0,3)	INS:C:1:2
T[Ins(C):R7]G	Ins(C):R(7,)	INS:C:1:5+
G[Ins(T):R5]C	G[Ins(T):R(5,7)]C	INS:T:1:5+
T[Ins(C):R6]A	Ins(C):R(4,6)	INS:C:1:5+
T[Ins(C):R5]A	Ins(C):R(4,6)	INS:C:1:5+
C[Ins(T):R0]G	C[Ins(T):R(0,4)]G	INS:T:1:0
Ins(5,):U(3,):R3	Ins(2,):R(2,4)	INS:repeats:5+:3
T[Ins(C):R(9,)]T	Ins(C):R(7,)	INS:C:1:5+
Ins4:U4:R4	Ins(2,):R(2,4)	INS:repeats:4:4
Ins(5,):U1:R(5,9)	Ins(2,):R(5,)	INS:repeats:5+:1
A[Ins(C):R4]A	Ins(C):R(4,6)	INS:C:1:4
G[Ins(T):R4]C	G[Ins(T):R(0,4)]C	INS:T:1:4
Ins4:U2:R4	Ins(2,):R(2,4)	INS:repeats:4:2
G[Ins(C):R3]A	Ins(C):R(0,3)	INS:C:1:3
G[Ins(C):R6]A	Ins(C):R(4,6)	INS:C:1:5+
G[Del(C):R5]T	[Del(C):R(4,5)]T	DEL:C:1:4
T[Del(C):R7]G	Del(C):R(6,9)	DEL:C:1:5+
G[Del(C):R5]G	[Del(C):R(1,5)]G	DEL:C:1:4
T[Del(C):R5]A	[Del(C):R(4,5)]A	DEL:C:1:4
G[Del(C):R(9,)]T	Del(C):R(6,9)	DEL:C:1:5+
A[Del(C):R7]G	Del(C):R(6,9)	DEL:C:1:5+
A[Ins(C):R(9,)]A	Ins(C):R(7,)	INS:C:1:5+
Ins2:U1:R4	Ins(2,):R(2,4)	INS:repeats:2:2
T[Ins(C):R2]T	Ins(C):R(0,3)	INS:C:1:2
G[Ins(C):R1]T	Ins(C):R(0,3)	INS:C:1:1
G[Ins(C):R3]T	Ins(C):R(0,3)	INS:C:1:3
G[Ins(T):R2]C	G[Ins(T):R(0,4)]C	INS:T:1:2
G[Del(C):R6]T	Del(C):R(6,9)	DEL:C:1:5+
T[Ins(C):R3]A	Ins(C):R(0,3)	INS:C:1:3
A[Del(C):R2]G	[Del(C):R(1,5)]G	DEL:C:1:1
C[Ins(T):R0]A	C[Ins(T):R(0,4)]A	INS:T:1:0
A[Ins(C):R3]A	Ins(C):R(0,3)	INS:C:1:3
A[Ins(C):R2]G	Ins(C):R(0,3)	INS:C:1:2
G[Ins(C):R2]G	Ins(C):R(0,3)	INS:C:1:2
G[Ins(T):R3]G	G[Ins(T):R(0,4)]G	INS:T:1:3
G[Ins(C):R5]G	Ins(C):R(4,6)	INS:C:1:5+
G[Ins(C):R4]T	Ins(C):R(4,6)	INS:C:1:4
T[Ins(C):R4]G	Ins(C):R(4,6)	INS:C:1:4
T[Del(C):R4]G	[Del(C):R(1,5)]G	DEL:C:1:3
T[Del(C):R6]G	Del(C):R(6,9)	DEL:C:1:5+
G[Del(C):R6]A	Del(C):R(6,9)	DEL:C:1:5+
A[Del(C):R5]T	[Del(C):R(4,5)]T	DEL:C:1:4
T[Del(C):R8]A	Del(C):R(6,9)	DEL:C:1:5+
A[Del(C):R5]G	[Del(C):R(1,5)]G	DEL:C:1:4
Ins(5,):U1:R2	Ins(2,):R(2,4)	INS:repeats:5+:0
T[Ins(C):R2]G	Ins(C):R(0,3)	INS:C:1:2
Ins3:U1:R0	Ins(2,4):R0	INS:repeats:3:0
Ins4:U4:R2	Ins(2,):R(2,4)	INS:repeats:4:2
T[Ins(C):R5]G	Ins(C):R(4,6)	INS:C:1:5+
A[Ins(C):R5]G	Ins(C):R(4,6)	INS:C:1:5+
A[Del(C):R6]G	Del(C):R(6,9)	DEL:C:1:5+
Del4:U2:R3	Del(2,8):U(1,2):R(2,4)	DEL:MH:4:2
A[Ins(C):R4]T	Ins(C):R(4,6)	INS:C:1:4
G[Ins(C):R(9,)]T	Ins(C):R(7,)	INS:C:1:5+
A[Ins(C):R7]T	Ins(C):R(7,)	INS:C:1:5+
A[Ins(C):R5]T	Ins(C):R(4,6)	INS:C:1:5+
G[Ins(C):R4]A	Ins(C):R(4,6)	INS:C:1:4
Ins3:U1:R2	Ins(2,):R(2,4)	INS:repeats:3:0
T[Ins(C):R3]G	Ins(C):R(0,3)	INS:C:1:3
Ins3:U1:R3	Ins(2,):R(2,4)	INS:repeats:3:1
A[Ins(C):R4]G	Ins(C):R(4,6)	INS:C:1:4
T[Del(C):R8]G	Del(C):R(6,9)	DEL:C:1:5+
T[Del(C):R7]T	Del(C):R(6,9)	DEL:C:1:5+
G[Del(C):R6]G	Del(C):R(6,9)	DEL:C:1:5+
T[Del(C):R(9,)]A	Del(C):R(6,9)	DEL:C:1:5+
G[Del(C):R7]T	Del(C):R(6,9)	DEL:C:1:5+
A[Ins(C):R7]G	Ins(C):R(7,)	INS:C:1:5+
T[Ins(C):R1]G	Ins(C):R(0,3)	INS:C:1:1
A[Del(C):R7]T	Del(C):R(6,9)	DEL:C:1:5+
Ins4:U2:R3	Ins(2,):R(2,4)	INS:repeats:4:1
G[Ins(C):R7]T	Ins(C):R(7,)	INS:C:1:5+
A[Ins(C):R3]T	Ins(C):R(0,3)	INS:C:1:3
A[Del(C):R(9,)]G	Del(C):R(6,9)	DEL:C:1:5+
G[Ins(C):R8]G	Ins(C):R(7,)	INS:C:1:5+
T[Ins(C):R(9,)]G	Ins(C):R(7,)	INS:C:1:5+
Ins4:U2:R2	Ins(2,):R(2,4)	INS:repeats:4:1
Ins4:U2:R0	Ins(2,4):R0	INS:repeats:4:0
Ins(5,):U2:R3	Ins(2,):R(2,4)	INS:repeats:5+:1
Ins(5,):U2:R4	Ins(2,):R(2,4)	INS:repeats:5+:1
Ins(5,):U2:R2	Ins(2,):R(2,4)	INS:repeats:5+:0
A[Ins(C):R(9,)]G	Ins(C):R(7,)	INS:C:1:5+
A[Ins(C):R(9,)]T	Ins(C):R(7,)	INS:C:1:5+
G[Del(C):R(9,)]G	Del(C):R(6,9)	DEL:C:1:5+
A[Del(C):R8]T	Del(C):R(6,9)	DEL:C:1:5+
T[Del(C):R(9,)]G	Del(C):R(6,9)	DEL:C:1:5+
T[Del(C):R8]T	Del(C):R(6,9)	DEL:C:1:5+
G[Del(C):R7]G	Del(C):R(6,9)	DEL:C:1:5+
G[Del(C):R8]G	Del(C):R(6,9)	DEL:C:1:5+
A[Del(C):R(9,)]T	Del(C):R(6,9)	DEL:C:1:5+
Ins3:U1:R1	Ins(2,4):R1	INS:repeats:3:0
Ins4:U1:R2	Ins(2,):R(2,4)	INS:repeats:4:0
Ins4:U1:R1	Ins(2,4):R1	INS:repeats:4:0
Ins4:U1:R4	Ins(2,):R(2,4)	INS:repeats:4:1
Ins4:U1:R0	Ins(2,4):R0	INS:repeats:4:0
Complex(0,1)	Complex	unmapped
Complex(2,5)	Complex	unmapped
Complex(6,10)	Complex	unmapped
Complex(11,20)	Complex	unmapped
Complex(21,)	Complex	unmapped
