rowname	InsDel1a	InsDel1b	InsDel1c	InsDel_P	InsDel1d	InsDel2a	InsDel2b	InsDel2c	InsDel3a	InsDel3b	InsDel4	InsDel5a	InsDel5b	InsDel6	InsDel7	InsDel8	InsDel9	InsDel10	InsDel11	InsDel12	InsDel13	InsDel14	InsDel17	InsDel18	InsDel19a	InsDel19b	InsDel19c	InsDel23	InsDel_A_alpha	InsDel_A_beta	InsDel_B	InsDel_C	InsDel_D	InsDel_E	InsDel_F	InsDel_G	InsDel_H	InsDel_I	InsDel_J	InsDel_K_alpha	InsDel_K_beta	InsDel_L	InsDel_M	InsDel_N	InsDel_O	InsDel15	InsDel16
"A[Del(T):R(1,4)]A"	0.008577123	0.015684152	0.004839842	0.009499387	0.011654643	0.005356617	0.006891215	0.002292945	0.030000242	0.018149111	0.006489015	0.060316729	0.030066527	0.007898099	0.003186284	0.005723613	0.041475174	0.015058802	0.000712545	0.005554067	0.248356813	0.012954542	0.006913924	0.324868191	0.015533047	0.010280298	0.023168607	0.126077146	0.004866767	0.011284198	0.028504103	0.232958622	0.013010852	0.00596692	0.002963024	0.004391387	0.028126825	0.063567838	0.002065779	0.048167074	0.080039932	0.004321908	0.02903817	0.002065779	0.001195389	0.015357192	0
"A[Del(T):R(1,4)]C"	0.003972961	0.012820474	0.003648674	0.004505513	0.002316077	0.001821668	0.005352542	0.002315005	0.015288973	0.003872912	0.002474245	0.048132728	0.023004437	0.003775137	0.000927192	0.001789777	0.019150851	0.0095692	0.000235176	0.004510991	0.007746642	0.004171486	0.00314823	0.207335189	0.00519354	0.002684994	0.003066449	0.010018351	0.002710666	0.003918986	0.023026109	0.001400522	0.005290014	0.002256836	0.000655691	0.006160813	0.012852487	0.013916345	0.000661255	0.007854654	0.059119253	0.005594308	0.004778137	0.000661255	0.000433662	0.042232278	0
"A[Del(T):R(1,4)]G"	0.003879757	0.005263356	0.000953844	0.003894531	0.004736496	0.001448929	0.00476649	0.00097196	0.013758243	0.01210061	0.00267461	0.04367983	0.021073139	0.00449004	0.001084972	0.001754025	0.024917421	0.00667347	0.000231933	0.006853779	0.009032606	0.003542059	0.001566732	0.109590845	0.005889363	0.004259238	0.001973135	0.040556431	0.002865073	0.00409492	0.022542136	0.005880201	0.002881957	0.002032553	0.002171744	0.000988795	0.005801862	0.033432787	0.000753914	0.005536039	0.036186862	0.001928284	0.004743791	0.000753914	0.000176221	0.039215686	0
"C[Del(T):R(1,4)]A"	0.003249902	0.000756256	0.000902095	0.004951647	0.003464215	0.001972455	0.006971798	0.001302671	0.029114152	0.025396322	0.002064355	0.028111382	0.023248697	0.005374204	0.001332762	0.00684117	0.03377641	0.008649784	0.000482201	0.007810067	0.06157037	0.009874223	0.004723031	0.00150567	0.008153249	0.004765363	0.004678585	0.074178487	0.005892974	0.006187913	0.02015875	0.06232515	0.006639098	0.003192191	0.000527583	0.008628961	0.011366336	0.029335217	0.000986316	0.044731727	0.009571828	0.008235955	0.004670618	0.000986316	0.000252435	0.019059372	0
"C[Del(T):R(1,4)]C"	0.003841602	0.000851301	0.002175164	0.0039049	0.003226971	0.002422961	0.007294204	0.002168201	0.016628465	0.013095186	0.003312988	0.031599521	0.019891284	0.003499326	0.00188398	0.007393508	0.027796146	0.003157479	0.000231205	0.005577511	0.006629622	0.005155703	0.002005507	0.001493877	0.009653431	0.006688538	0.008986848	0.009019408	0.009426897	0.008366304	0.023974633	0.010970501	0.004722893	0.009647189	0.001027453	0.007019919	0.007471402	0.013361256	0.001378919	0.018919794	0.007590655	0.006384046	0.014011853	0.001378919	0.000222411	0.059097765	0
"C[Del(T):R(1,4)]G"	0.003589439	0.000114155	0.001170887	0.004739952	0.008314953	0.001381409	0.005333275	0.000821177	0.021332016	0.026095282	0.002207527	0.03004378	0.025613568	0.005056908	0.001292647	0.006713896	0.037094776	0.006670432	0.000479553	0.004419158	0.006322581	0.004163884	0.003068549	0.000498637	0.007146903	0.00514856	0.004057899	0.02555161	0.010429524	0.003961849	0.023564808	0.002473132	0.002148366	0.00471239	0.000801495	0.005582008	0.00461134	0.002185034	0.000841934	0.010380468	0.003587649	0.006735216	0.001687455	0.000841934	0.000239344	0.062251474	0
"G[Del(T):R(1,4)]A"	0.002422669	0.003385648	0.001526871	0.004795386	0.002174416	0.00280328	0.009590257	0.0054222	0.010001877	0.007921751	0.002377594	0.020290522	0.013404482	0.004440526	0.000601739	0.002662397	0.023945361	0.007662817	0.00023875	0.008091699	0.118629398	0.006658438	0.003780803	0.004354359	0.004603073	0.002933648	0.004038712	0.069913029	0.002735488	0.003625013	0.0146231	0.068610261	0.004627357	0.002649714	0.000373572	0.002882317	0.006124474	0.009751913	0.000830593	0.024825765	0.016766257	0.00516755	0.008959442	0.000830593	0.000148648	0.017139723	0
"G[Del(T):R(1,4)]C"	0.001725545	0.002839399	0.001080242	0.003476482	0.003321411	0.002052992	0.008183827	0.006208843	0.00807426	0.00368773	0.000973471	0.022109124	0.010226323	0.004031003	0.000503286	0.004318298	0.018338872	0.005384698	9.27E-07	0.007774126	0.005943342	0.003133101	0.000754204	0.001835126	0.002899075	0.002036107	0.001661258	0.007357284	0.003417174	0.004674874	0.015250937	0.00680571	0.002286324	0.001551487	0.000374308	0.00612544	0.005141309	0.014446204	0.000838094	0.006896239	0.009225852	0.003339262	0.001008491	0.000838094	0.00021661	0.041409571	0
"G[Del(T):R(1,4)]G"	0.002751168	0.001303348	0.001038096	0.003500769	0.006772679	0.001983591	0.00512144	0.0054776	0.011151821	0.010252428	0.001035549	0.020057614	0.011917215	0.005219022	0.000709529	0.004558756	0.027678237	0.00396943	0.000237625	0.001780068	0.006523007	0.00347866	0.001958125	0.001583462	0.005610099	0.00339913	0.001421268	0.027753499	0.004717719	0.003450743	0.01671168	0.006131115	0.00320996	0.002461508	0.000458023	0.00385696	0.007168361	0.002443655	0.001031126	0.00548148	0.006641685	0.002085759	0.005320213	0.001031126	0.000193924	0.048676813	0
"A[Del(T):R(5,7)]A"	0.006450831	0.044153788	0.019128383	0.043650198	0.003013718	0.022980767	0.150866566	0.018047544	0.014031646	0.004208693	0.006609274	0.015712484	0.008463355	0.005221972	0.037103795	0.002513973	0.023716804	0.012388127	0.001997376	0.004611984	0.021507069	0.015788915	0.00111778	0.052877167	0.001580772	0.001207082	0.001508364	0.005261719	0.002670463	0.003909824	0.00568507	0.028704191	0.010460159	0.0026404	0.002982092	0.001696554	0.010846639	0.002179988	0.029399593	0.110896763	0.154395938	0.007314724	0.003089686	0.029399593	0.002424717	0.010695187	0
