Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP111038	3419	1.0	241.74	7.07%	41.728	2.462%	0.0154	1.0
SP110849	1608	0.999	178.505	11.101%	31.341	4.124%	0.03358	0.999
SP111164	1921	1.0	175.675	9.145%	30.316	3.435%	0.02141	1.0
SP111057	1297	1.0	154.904	11.943%	26.963	4.171%	0.03549	1.0
SP111119	3850	1.0	347.269	9.02%	85.361	3.986%	0.01801	1.0
SP111095	2348	1.0	184.951	7.877%	30.069	2.681%	0.01915	1.0
SP111064	2004	0.999	225.292	11.242%	40.913	4.18%	0.02869	0.999
CPCT02030245T	772	0.986	155.17	20.1%	30.667	17.674%	0.05523	0.982
CPCT02030257T	2862	0.999	282.671	9.877%	52.118	3.971%	0.02019	0.999
CPCT02070015T	3374	1.0	279.431	8.282%	46.746	2.907%	0.01893	1.0
CPCT02040043T	1113	0.998	145.546	13.077%	22.263	5.764%	0.03064	0.998
CPCT02100032T	1178	0.999	164.823	13.992%	27.907	5.472%	0.03938	0.999
CPCT02160007T	967	0.992	219.977	22.748%	38.07	12.954%	0.06815	0.99
CPCT02030286T	2085	1.0	148.971	7.145%	23.548	2.65%	0.01697	1.0
CPCT02100140T	3549	1.0	296.339	8.35%	50.392	2.559%	0.02358	1.0
CPCT02100141T	3214	1.0	251.301	7.819%	46.17	3.041%	0.01316	1.0
CPCT02330072TII	3408	1.0	261.629	7.677%	41.681	2.873%	0.01512	1.0
CPCT02330132T	3272	0.999	406.927	12.437%	64.783	4.342%	0.02797	0.999
CPCT02130030T	1438	0.999	167.152	11.624%	27.61	4.126%	0.0381	0.999
CPCT02060183T	3552	1.0	277.578	7.815%	45.827	2.95%	0.01419	1.0
CPCT02130033T	1791	0.999	181.55	10.137%	29.924	3.822%	0.02615	0.999
CPCT02300031T	1794	0.999	182.76	10.187%	31.256	4.096%	0.02426	0.999
