cluster_id	size	medoid_column	min_within_similarity	median_similarity_to_medoid	min_similarity_to_medoid	mean_within_distance
1	6	hartwig_colon.3	0.957396648486416	0.985768385076095	0.972587277175103	0.0224002010045259
2	23	hartwig_all.2	0.962856443406462	0.996153823004021	0.983334801143869	0.0112709757724009
3	28	ph_msi.1	0.971430470198997	0.996232944259402	0.985622999882616	0.00849591849141098
4	8	hartwig_all.4	0.979381270962076	0.992604818074803	0.988504611517826	0.0099105315067972
5	8	ph_lung.3	0.950900336563338	0.983088136365617	0.96372917860686	0.0245975683572835
6	6	hartwig_all.6	0.958988579834611	0.993967464668038	0.969362555633318	0.0190687914285057
7	6	hartwig_all.7	0.978786152896958	0.989903721478531	0.986022211038468	0.0127677004281015
8	4	ph_other.3	0.996879564913962	0.999425998681086	0.997354438407419	0.00178465408560541
9	7	hartwig_all.9	0.950975755068095	0.987303905439685	0.961918945855868	0.0242745424060561
10	14	pcawg_all.12	0.967879733361944	0.992147571901889	0.983074962434556	0.0125633830095059
11	12	hartwig_bladder.6	0.96695904927305	0.988077646009232	0.978201802637267	0.0168391949377515
12	6	pcawg_kidney.2	0.985360098967421	0.998428761580382	0.990187239611746	0.00532066374883449
13	14	hartwig_breast.13	0.979990664858209	0.992963762746732	0.986057480818456	0.0107183143235242
14	4	hartwig_colon.7	0.97801709871615	0.997350803981161	0.982667587490304	0.0118306690821354
15	31	hartwig_ovary.1	0.955645758411584	0.994791229860979	0.968873926625256	0.0132037181324033
16	5	hartwig_all.19	0.956554923197103	0.990897549708301	0.961755423859117	0.0267629985981885
17	8	hartwig_all.20	0.990672054084754	0.996409478637742	0.996033584101262	0.00532949409979726
18	8	ph_cns.6	0.978647764858631	0.992392728438993	0.987730228617284	0.0114396681298508
19	16	ph_cns.3	0.957925984087329	0.994104658099352	0.967536788605907	0.0137318811251265
20	27	hartwig_all.24	0.971863185390232	0.995907690918741	0.983747678688136	0.00773810780011006
21	10	pcawg_msi.9	0.950152200967663	0.989195225556419	0.967982900690821	0.0215285814846179
22	6	hartwig_all.28	0.967171804527026	0.998599966937701	0.970120390048911	0.0166014992197771
23	7	ph_other.4	0.953388152042815	0.986719144801122	0.962948040266867	0.0228261680640612
24	3	hartwig_all.31	0.963372165066939	0.985367863121742	0.977870967935162	0.0244630012920522
25	12	pcawg_all.1	0.953013168396597	0.987062645982426	0.964523837866841	0.0257269063415616
26	4	hartwig_bladder.1	0.963733394093462	0.988944728188978	0.967966312789604	0.0247864549294252
27	6	ph_other.1	0.97084220343733	0.983480303892715	0.978716163426031	0.0201266942000045
28	6	ph_msi.6	0.973046062272397	0.989240740928888	0.979782214610496	0.0148077706239262
29	4	ph_lung.5	0.962867702132757	0.988568295691482	0.965218773157568	0.0249295938901449
30	10	hartwig_softtissue.1	0.976329557770441	0.990696348483398	0.977975097875651	0.0137489377115972
31	9	hartwig_lung.11	0.96756956766471	0.985031595742664	0.97718859096037	0.0170166648787224
32	3	ph_breast.2	0.979612437280311	0.996191253752045	0.988405172789331	0.0119303787261043
33	4	hartwig_prostate.7	0.966691948485764	0.979032703171259	0.966691948485764	0.0275217840254987
34	5	ph_ovary.8	0.959872102023203	0.976586710288635	0.966275518323818	0.027342433024064
35	7	pcawg_all.5	0.952142144641048	0.981720947333394	0.971338695285669	0.0241006783224403
36	5	pcawg_all.2	0.960364280307867	0.986097967548165	0.96725377301578	0.0244918750889998
37	5	ph_cns.1	0.964885610486852	0.984815651487913	0.98026662358191	0.0177797072336727
38	4	ph_msi.11	0.998566444901861	0.999375172643124	0.999061453249314	0.000840378631659922
39	7	hartwig_stomach.1	0.969188790754597	0.991506430991831	0.983049212764318	0.0144963904112425
40	8	ph_all.6	0.95985109682675	0.982944298852511	0.977330481196553	0.0218614406182982
41	10	ph_lymphoid.5	0.964083708701521	0.98517918530471	0.972574827200289	0.0215322946535858
42	6	hartwig_lung.7	0.985512919700359	0.992054152624509	0.990379400341614	0.00776346874099927
43	6	hartwig_prostate.4	0.953731534210892	0.978290053063188	0.966154220351612	0.0294565432457524
44	4	ph_skin.4	0.996957649441586	0.999016338314376	0.997804760478067	0.00214636421298423
45	3	ph_skin.9	0.970767405303954	0.986683030376073	0.980821546822107	0.0205760058326221
46	4	pcawg_all.6	0.971700519369172	0.992067398391619	0.986323646388991	0.0139125101973209
47	6	pcawg_msi.3	0.975914082516593	0.995053560584866	0.989703092692352	0.00932187280709592
48	5	ph_uterus.2	0.975525007131691	0.992977043273812	0.977853567769994	0.0151779965285339
49	5	pcawg_msi.5	0.999865992697736	0.99999481613093	0.999914079550674	5.05612268833833e-05
50	4	ph_skin.2	0.995573471509779	0.998298693433024	0.997227911162122	0.00266402223133744
51	4	pcawg_all.20	0.959544411258077	0.99036237737632	0.986425263265046	0.0188837658182457
52	3	pcawg_all.21	0.972654125282288	0.997995315405583	0.976830507791309	0.0175066838402732
53	3	pcawg_breast.6	0.982658844851848	0.984882884549316	0.983852048570745	0.0162020740093635
54	6	ph_msi.4	0.956641291684143	0.989160039602475	0.979428739873089	0.0201863189329589
55	3	pcawg_all.29	0.973400507988081	0.984544479523566	0.97776912165287	0.0214286302784945
56	3	pcawg_prostate.4	0.998938316055185	0.999740685683184	0.999306657666417	0.000671446865071442
57	4	pcawg_liver.1	0.963660689257434	0.986284064614183	0.976095189203175	0.0225885572759141
58	4	ph_liver.4	0.980509477096697	0.992208019673799	0.987144080949499	0.0130206952227095
59	6	pcawg_breast.1	0.976876505127217	0.995808395020447	0.983598242273382	0.0111422907040371
60	3	ph_biliary.5	0.980301135119973	0.992311464356503	0.988050808666644	0.0131121972856267
61	3	pcawg_liver.4	0.981853090750506	0.999268257272959	0.984246513188874	0.0115440462625537
62	4	pcawg_breast.4	0.955276486080033	0.971195853760457	0.962886083200188	0.0349520753729071
63	6	ph_esophagus.8	0.952505311208827	0.973786827256624	0.968967882087364	0.0301779813213872
64	3	ph_colon.20	0.971427633992552	0.979020198803508	0.97749366105843	0.0240195020485031
65	4	pcawg_colon.3	0.983751137904428	0.99382785145167	0.990178451289842	0.00903522267228613
66	6	pcawg_pancreas.1	0.95468014034759	0.983384885468819	0.975179010034208	0.02325489178186
67	3	pcawg_head.3	0.958453268810852	0.991694984964452	0.963140065247566	0.0289038936590436
68	3	ph_lymphoid.1	0.959755970323203	0.991409597214328	0.96561706444169	0.0277391226735931
69	4	ph_lymphoid.3	0.950366817655686	0.976788601328767	0.952424501740064	0.0320911031978756
70	4	pcawg_ovary.1	0.96556074224896	0.987660174955853	0.966746403272827	0.023414920955825
71	3	pcawg_prostate.2	0.975052959980575	0.995418024184465	0.977417446586559	0.0173705230828005
72	3	ph_softtissue.4	0.97332556115835	0.990235563125177	0.977193449030894	0.0197484755618598
