column_name	original_column	file	file_stem	source	tissue_last	tissue_full	column_index	column_sum	raw_cluster_id	cluster_id	is_retained	is_medoid
hartwig_all.1	hdp.1	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	1	1	1	1	TRUE	FALSE
hartwig_all.2	hdp.2	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	2	1	2	2	TRUE	TRUE
hartwig_all.3	hdp.3	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	3	1	3	3	TRUE	FALSE
hartwig_all.4	hdp.4	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	4	1	4	4	TRUE	TRUE
hartwig_all.5	hdp.5	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	5	1	5	5	TRUE	FALSE
hartwig_all.6	hdp.6	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	6	1	6	6	TRUE	TRUE
hartwig_all.7	hdp.7	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	7	1	7	7	TRUE	TRUE
hartwig_all.8	hdp.8	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	8	1	8	8	TRUE	FALSE
hartwig_all.9	hdp.9	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	9	1	9	9	TRUE	TRUE
hartwig_all.10	hdp.10	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	10	1	10	10	TRUE	FALSE
hartwig_all.11	hdp.11	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	11	1	11	11	TRUE	FALSE
hartwig_all.12	hdp.12	Manuscript_data/Mo_CAP9_analysis/Signatures/Koh89/CAP9.mSigHdp.Hartwig.Koh89.All.txt	CAP9.mSigHdp.Hartwig.Koh89.All	hartwig	all	All	12	1	12	12	TRUE	FALSE
