cluster_id	size	medoid_column	medoid_index	min_within_similarity	mean_within_distance
1	6	hartwig_colon.3	96	0.957396648486416	0.0224002010045259
2	23	hartwig_all.2	2	0.962856443406462	0.0112709757724009
3	28	ph_msi.1	580	0.971430470198997	0.00849591849141098
4	8	hartwig_all.4	4	0.979381270962076	0.0099105315067972
5	8	ph_lung.3	560	0.950900336563338	0.0245975683572835
6	6	hartwig_all.6	6	0.958988579834611	0.0190687914285057
7	6	hartwig_all.7	7	0.978786152896958	0.0127677004281015
8	4	ph_other.3	606	0.996879564913962	0.00178465408560541
9	7	hartwig_all.9	9	0.950975755068095	0.0242745424060561
10	14	pcawg_all.12	255	0.967879733361944	0.0125633830095059
11	12	hartwig_bladder.6	45	0.96695904927305	0.0168391949377515
12	6	pcawg_kidney.2	319	0.985360098967421	0.00532066374883449
13	14	hartwig_breast.13	75	0.979990664858209	0.0107183143235242
14	4	hartwig_colon.7	100	0.97801709871615	0.0118306690821354
15	31	hartwig_ovary.1	188	0.955645758411584	0.0132037181324033
16	5	hartwig_all.19	19	0.956554923197103	0.0267629985981885
17	8	hartwig_all.20	20	0.990672054084754	0.00532949409979726
18	8	ph_cns.6	493	0.978647764858631	0.0114396681298508
19	16	ph_cns.3	490	0.957925984087329	0.0137318811251265
20	27	hartwig_all.24	24	0.971863185390232	0.00773810780011006
21	10	pcawg_msi.9	346	0.950152200967663	0.0215285814846179
22	6	hartwig_all.28	28	0.967171804527026	0.0166014992197771
23	7	ph_other.4	607	0.953388152042815	0.0228261680640612
24	3	hartwig_all.31	31	0.963372165066939	0.0244630012920522
25	12	pcawg_all.1	244	0.953013168396597	0.0257269063415616
26	4	hartwig_bladder.1	40	0.963733394093462	0.0247864549294252
27	6	ph_other.1	604	0.97084220343733	0.0201266942000045
28	6	ph_msi.6	585	0.973046062272397	0.0148077706239262
29	4	ph_lung.5	562	0.962867702132757	0.0249295938901449
30	10	hartwig_softtissue.1	53	0.976329557770441	0.0137489377115972
31	9	hartwig_lung.11	148	0.96756956766471	0.0170166648787224
32	3	ph_breast.2	468	0.979612437280311	0.0119303787261043
33	4	hartwig_prostate.7	207	0.966691948485764	0.0275217840254987
34	5	ph_ovary.8	624	0.959872102023203	0.027342433024064
35	7	pcawg_all.5	248	0.952142144641048	0.0241006783224403
36	5	pcawg_all.2	245	0.960364280307867	0.0244918750889998
37	5	ph_cns.1	488	0.964885610486852	0.0177797072336727
38	4	ph_msi.11	590	0.998566444901861	0.000840378631659922
39	7	hartwig_stomach.1	230	0.969188790754597	0.0144963904112425
40	8	ph_all.6	408	0.95985109682675	0.0218614406182982
41	10	ph_lymphoid.5	578	0.964083708701521	0.0215322946535858
42	6	hartwig_lung.7	144	0.985512919700359	0.00776346874099927
43	6	hartwig_prostate.4	204	0.953731534210892	0.0294565432457524
44	4	ph_skin.4	657	0.996957649441586	0.00214636421298423
45	3	ph_skin.9	662	0.970767405303954	0.0205760058326221
46	4	pcawg_all.6	249	0.971700519369172	0.0139125101973209
47	6	pcawg_msi.3	340	0.975914082516593	0.00932187280709592
48	5	ph_uterus.2	682	0.975525007131691	0.0151779965285339
49	5	pcawg_msi.5	342	0.999865992697736	5.05612268833833e-05
50	4	ph_skin.2	655	0.995573471509779	0.00266402223133744
51	4	pcawg_all.20	263	0.959544411258077	0.0188837658182457
52	3	pcawg_all.21	264	0.972654125282288	0.0175066838402732
53	3	pcawg_breast.6	291	0.982658844851848	0.0162020740093635
54	6	ph_msi.4	583	0.956641291684143	0.0201863189329589
55	3	pcawg_all.29	272	0.973400507988081	0.0214286302784945
56	3	pcawg_prostate.4	366	0.998938316055185	0.000671446865071442
57	4	pcawg_liver.1	323	0.963660689257434	0.0225885572759141
58	4	ph_liver.4	551	0.980509477096697	0.0130206952227095
59	6	pcawg_breast.1	286	0.976876505127217	0.0111422907040371
60	3	ph_biliary.5	442	0.980301135119973	0.0131121972856267
61	3	pcawg_liver.4	326	0.981853090750506	0.0115440462625537
62	4	pcawg_breast.4	289	0.955276486080033	0.0349520753729071
63	6	ph_esophagus.8	526	0.952505311208827	0.0301779813213872
64	3	ph_colon.20	517	0.971427633992552	0.0240195020485031
65	4	pcawg_colon.3	300	0.983751137904428	0.00903522267228613
66	6	pcawg_pancreas.1	355	0.95468014034759	0.02325489178186
67	3	pcawg_head.3	315	0.958453268810852	0.0289038936590436
68	3	ph_lymphoid.1	574	0.959755970323203	0.0277391226735931
69	4	ph_lymphoid.3	576	0.950366817655686	0.0320911031978756
70	4	pcawg_ovary.1	350	0.96556074224896	0.023414920955825
71	3	pcawg_prostate.2	364	0.975052959980575	0.0173705230828005
72	3	ph_softtissue.4	460	0.97332556115835	0.0197484755618598
