Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
SP124389	20	161	24	24	1	28	0	3	49	7	8	32	10	0	14	16	15	7	4	0
SP124362	4	393	69	55	113	38	2	4	27	18	64	49	32	15	63	47	24	0	9	0
SP124394	9	176	29	125	14	60	0	10	44	9	12	4	0	40	12	33	21	2	5	0
SP124334	16	173	67	64	0	99	4	0	7	10	13	15	8	2	26	23	8	12	0	1
SP124339	2	0	15	26	9	10	1	0	0	12	6	0	14	2	4	9	1	11	7	0
SP124454	23	99	60	56	13	49	0	4	33	5	33	11	5	4	0	14	5	7	39	0
SP124380	17	266	25	51	0	64	0	4	18	6	0	16	20	13	31	131	57	10	13	4
SP124273	22	9	206	14	4	38	9	0	36	4	1	0	28	0	12	2	10	10	84	2
SP124357	36	10	39	24	8	31	4	0	5	8	9	19	20	4	25	37	9	9	16	0
SP124399	15	261	96	155	119	85	5	0	47	5	0	30	40	35	3	52	46	0	0	0
SP124311	9	320	53	211	27	42	0	4	45	31	43	2	10	22	50	82	53	0	11	0
SP124355	9	6	53	11	9	23	0	2	0	2	39	0	12	2	11	20	3	15	6	0
SP124434	26	196	38	53	49	62	0	6	32	11	20	30	21	42	0	22	27	4	0	3
SP124428	23	489	145	183	115	207	19	13	59	18	79	14	40	200	0	13	61	0	40	0
SP124449	48	191	123	58	89	53	23	3	21	5	0	15	20	0	38	47	23	0	24	0
SP124298	18	534	92	420	247	102	20	12	93	21	85	40	1	96	82	63	102	0	79	0
SP124431	8	169	33	163	38	86	4	4	22	6	0	0	1	28	11	66	27	6	21	3
SP124396	96	117	110	52	33	36	0	0	40	26	14	3	18	18	29	17	12	21	24	3
SP124409	16	356	91	55	129	65	0	6	83	15	71	68	0	18	72	53	46	10	0	0
SP124341	27	10	57	1	8	73	0	0	49	4	8	0	7	8	3	14	10	2	82	0
SP124353	2	2	21	18	0	42	0	2	6	2	6	10	10	2	0	0	5	11	0	1
SP124278	30	5	133	13	0	18	0	2	18	10	8	13	31	12	1	21	0	7	18	0
SP124376	24	111	40	75	0	40	0	5	29	17	34	0	15	49	21	17	3	12	29	0
SP124346	23	41	185	9	0	79	0	0	19	21	16	25	52	6	26	27	3	7	4	2
SP124439	28	495	17	117	211	81	12	19	34	6	0	72	17	10	0	40	59	4	0	0
SP124351	7	6	26	24	0	16	3	0	5	4	2	18	5	4	0	11	1	2	1	0
SP124406	81	155	6	74	1	82	1	4	46	74	17	10	0	29	14	4	24	106	0	0
SP124323	20	9	64	17	0	18	0	0	16	1	3	0	7	10	1	13	0	12	30	0
SP124391	8	12	62	21	1	33	0	6	10	8	23	23	20	10	46	6	3	5	25	0
SP124423	0	27	9	7	0	7	0	0	10	3	0	0	5	1	2	7	0	0	0	1
SP124382	25	1130	24	730	135	428	6	0	175	52	11	109	5	122	104	0	78	19	0	0
SP124415	23	618	49	84	611	175	18	38	87	1	0	214	0	15	0	37	264	0	0	0
SP124436	33	710	179	276	189	199	3	8	90	49	105	68	4	11	119	85	49	18	89	0
SP124460	49	349	85	48	91	69	5	5	37	19	46	48	30	24	50	26	37	6	0	0
SP124425	5	123	13	74	18	16	0	3	22	3	51	13	3	16	10	30	7	0	8	0
SP124456	31	81	9	149	7	9	0	5	16	1	31	1	0	37	0	20	14	24	9	0
SP124367	20	242	42	107	28	86	0	5	20	17	86	19	0	16	17	19	22	9	0	1
SP124281	9	6	62	5	0	5	3	3	11	8	0	9	6	4	12	10	8	1	20	0
SP124377	4	138	27	146	7	68	0	4	19	15	0	5	2	63	31	7	0	10	11	1
SP124412	9	179	32	113	0	25	5	2	15	12	0	18	3	3	0	36	2	13	0	0
SP124333	9	61	37	61	0	54	5	0	31	9	18	15	6	12	25	20	11	2	10	0
SP124359	30	2	115	12	0	59	1	2	8	10	33	7	24	6	19	23	14	8	44	0
SP124286	18	2	29	9	0	19	0	0	0	4	0	0	2	2	0	18	2	5	1	0
SP124329	0	79	3	33	1	17	0	0	7	7	17	16	5	18	2	11	0	2	0	0
SP124326	21	70	81	77	7	38	0	1	20	13	46	3	15	11	30	0	10	7	48	0
SP124458	30	269	27	274	37	107	0	9	39	20	36	40	1	97	14	85	32	11	0	0
SP124401	64	1008	109	330	226	203	0	22	81	26	65	104	14	111	108	66	105	9	65	5
SP124264	17	11	97	1	13	193	9	0	65	11	11	21	1	3	5	76	7	8	0	0
SP124384	15830	202	2947	38	1039	190	0	0	212	99	56	0	268	52	0	21	0	138	405	503
SP124403	3	26	0	36	0	0	0	0	3	1	31	6	1	9	31	0	4	2	2	0
SP124462	41	225	73	179	35	91	0	9	53	29	5	0	7	34	69	57	27	19	11	0
SP124271	46	25	276	43	0	125	1	5	34	11	79	44	23	12	23	113	13	4	6	1
SP124336	3	8	164	8	0	37	3	1	26	9	30	20	46	1	28	4	6	18	42	0
SP124452	18	167	35	193	65	79	0	8	6	10	0	9	6	24	15	0	1	9	4	0
SP124386	22	229	59	155	62	16	19	0	45	12	0	49	16	98	21	0	25	23	21	0
SP124441	109	7	83	18	0	111	0	2	20	9	5	20	4	16	7	31	8	49	40	0
SP124418	9	219	18	84	99	16	0	5	45	8	33	18	6	8	36	13	3	1	7	0
SP124291	20	1	97	31	0	29	1	0	18	8	0	11	11	12	12	17	3	27	0	3
SP124319	8	307	15	80	39	13	0	0	23	7	60	23	5	25	8	26	9	9	0	0
SP124305	2	63	80	54	0	13	0	2	36	17	0	34	28	12	24	44	0	9	37	0
SP124447	64	842	49	894	587	383	6	23	110	59	12	115	10	411	189	7	131	0	0	0
SP124344	8	1	40	1	0	45	0	4	7	5	29	13	7	9	11	13	8	11	13	0
SP124369	24	220	33	125	86	43	4	8	48	20	0	48	23	17	61	93	33	6	11	0
SP124348	1	2	34	10	0	34	0	0	0	0	8	17	10	0	0	0	2	0	95	0
SP124295	99	21	147	7	6	102	0	1	18	9	5	0	6	3	63	25	2	17	49	0
SP124444	30	48	122	38	0	5	4	7	5	1	0	10	37	12	25	22	7	13	0	3
SP124365	26	179	46	114	42	93	0	3	47	19	30	38	8	11	3	28	18	19	14	2
SP124420	23	114	63	91	0	44	7	3	20	11	44	42	14	65	36	23	2	13	4	0
SP124364	115	194	124	77	0	46	1	0	17	447	13	28	0	24	21	28	14	636	0	0
SP124307	32	257	50	60	0	40	0	2	18	27	0	63	5	74	39	40	13	24	0	1
SP82445	5	699	35	53	341	212	0	8	53	10	0	136	2	0	65	0	119	0	0	0
SP83242	24	142	39	62	3	74	1	4	31	18	0	7	6	0	40	25	21	8	1	9
SP103894	36	318	25	216	56	104	0	4	35	3403	48	0	1	51	48	19	13	343	4	8
SP83382	17	118	33	105	0	34	0	0	18	22	66	2	4	71	60	23	10	21	8	0
SP82451	29	95	101	44	8	74	0	5	33	34	54	7	13	18	21	29	6	30	44	27
SP104330	0	6	3	38	0	0	0	1	5	3	9	0	2	0	4	2	2	6	0	0
SP83312	25	144	10	56	5	35	0	0	13	9	48	26	11	32	0	39	0	0	7	24
SP82614	23	135	10	105	29	40	6	3	0	7	15	28	5	32	35	41	12	8	0	9
SP82431	45	649	6	415	256	128	0	9	75	31	51	56	0	44	104	100	92	0	0	0
SP82459	4	112	36	33	44	59	0	0	27	5	3	18	6	9	34	30	1	0	5	18
SP113197	0	5	27	2	8	36	0	2	8	5	0	0	18	4	3	21	0	10	22	7
SP82532	5	297	67	107	98	143	0	4	47	8	53	15	14	13	26	0	45	13	47	4
SP82636	54	13	80	11	31	46	0	0	25	13	3	8	15	7	13	18	0	4	48	5
SP82796	16	104	50	12	22	54	8	0	18	3	7	0	13	3	39	18	16	5	6	22
SP83482	39	92	27	25	10	64	0	3	22	6	18	10	8	1	9	12	24	14	18	18
SP104530	80	120	403	114	73	152	0	11	36	13	42	5	33	22	33	12	23	13	98	1
SP82429	13	49	35	41	18	21	0	9	25	7	25	8	15	9	22	22	8	1	20	5
SP82644	17	435	63	135	30	67	0	8	45	11	30	63	2	102	96	19	2	17	0	0
SP82988	33	125	48	24	13	32	0	1	31	8	0	32	15	5	50	0	12	7	40	3
SP82461	6	145	59	170	28	73	7	3	26	16	9	22	15	60	18	25	15	16	17	12
SP82900	19	175	0	147	147	104	4	0	69	11	54	10	1	39	25	27	36	0	72	9
SP82399	11	163	68	159	9	94	0	8	35	12	0	35	0	24	26	71	41	1	37	11
SP82756	3	33	13	8	0	0	0	0	12	11	62	0	0	8	11	0	10	9	36	10
SP82836	14	56	98	28	1	40	2	0	21	8	12	15	10	0	26	33	5	1	56	0
SP82417	0	360	26	73	13	70	0	4	49	11	0	13	7	4	61	79	0	1	3	15
SP82471	7	12	183	15	10	32	0	6	24	13	7	0	9	1	6	11	2	11	111	5
SP82435	20	7	67	16	0	5	0	2	9	2	0	23	22	5	24	1	0	9	19	18
SP104056	25	763	40	403	241	182	6	0	101	46	140	57	12	134	180	48	86	0	0	0
SP83083	15	181	31	78	51	70	0	3	29	3	0	24	22	20	20	38	3	5	0	1
SP82433	26	66	52	22	14	22	2	0	19	6	21	14	11	10	18	36	11	5	25	19
SP82780	19	67	49	52	4	60	7	0	22	5	0	37	9	18	13	7	10	0	5	6
SP83019	17	223	37	58	16	44	5	2	33	11	25	26	7	10	40	31	8	3	1	22
SP83099	9	49	28	28	0	26	0	0	3	5	0	2	4	5	5	3	4	7	43	24
SP83146	13	492	34	348	139	131	12	0	86	24	27	44	0	102	160	8	51	9	0	20
SP103866	30	207	44	60	6	96	2	3	28	24	0	22	1	16	59	32	37	4	0	2
SP83844	23	150	24	123	0	47	0	5	14	11	0	22	3	42	35	11	5	0	11	7
SP83027	20	6	60	27	0	4	0	1	11	4	13	7	9	2	21	0	0	20	25	0
CPCT02060044T	69	133	33	52	88	80	133	53	34	14	0	27	7	20	22	63	45	6	27	0
CPCT02030247T	22	66	40	49	14	40	28	35	9	10	0	8	36	38	0	17	17	13	0	8
CPCT02050043T	18	22	88	21	18	4	13	26	2	1	0	17	18	5	22	14	4	0	2	7
CPCT02020342T	20	161	38	24	54	0	74	59	16	1	51	33	15	15	28	22	9	0	27	0
CPCT02010371T	18	103	28	87	0	42	46	73	17	10	24	33	15	20	27	1	9	11	48	8
CPCT02030256T	15	50	18	0	0	17	8	21	14	15	31	17	0	4	21	18	9	6	0	0
CPCT02050045T	34	154	73	14	46	0	122	77	35	6	42	13	49	19	31	42	36	14	16	8
CPCT02050047T	8	11	239	26	6	16	12	40	4	14	16	58	38	12	21	28	22	28	0	0
CPCT02010393T	63	256	54	10	132	117	172	83	19	9	0	99	121	10	6	31	38	16	0	9
CPCT02020358T	23	52	30	29	0	2	25	19	11	15	11	19	17	4	9	12	4	18	11	0
CPCT02090002T	0	180	17	76	1	63	27	108	22	6	0	29	14	169	26	0	41	20	19	1
CPCT02010403T	1	4	8	18	14	10	4	35	3	0	0	0	0	3	4	11	3	15	10	5
CPCT02030272T	38	86	51	45	0	4	51	84	18	13	72	0	14	4	42	9	22	20	31	12
CPCT02020373T	38	51	82	61	0	12	30	50	19	13	102	13	42	19	26	11	9	8	0	4
CPCT02050052T	53	57	10	42	61	33	44	37	12	78	7	11	48	11	4	8	0	112	0	9
CPCT02030270T	9	0	22	29	7	15	12	64	4	8	0	13	47	4	19	20	8	4	0	9
CPCT02050056T	29	141	32	61	20	5	44	88	13	0	46	31	13	21	0	60	16	14	0	2
CPCT02050055T	168	79	72	35	31	61	46	51	47	25	35	0	46	26	51	37	24	17	11	11
CPCT02030279T	24	14	43	11	52	11	0	31	14	12	4	0	19	12	30	9	0	5	35	4
CPCT02020320T	40	166	64	47	0	3	97	48	43	8	23	24	53	16	4	57	14	11	87	6
CPCT02060037T	4	5	12	3	8	4	15	14	6	1	20	0	1	4	19	2	2	3	0	5
CPCT02100033T	6	76	18	32	13	2	10	15	14	4	20	12	12	8	12	23	1	0	0	0
CPCT02010436T	20	146	21	79	35	39	85	55	0	13	30	33	12	16	2	14	18	15	14	4
CPCT02010439T	14	89	17	35	0	4	22	24	11	4	16	23	35	13	39	20	6	10	19	0
CPCT02060043T	56	24	178	29	6	4	70	4	10	25	8	5	17	17	16	21	7	44	38	11
CPCT02030284T	27	176	79	19	21	39	45	47	16	16	26	20	63	33	39	20	10	10	0	0
CPCT02020410T	15	184	31	54	4	12	3	38	29	3	42	35	19	18	23	40	8	1	0	0
CPCT02020408T	46	114	25	46	2	33	61	45	4	17	39	22	6	24	40	30	20	19	0	3
CPCT02030291T	20	450	29	68	70	44	190	97	45	17	58	67	49	24	29	11	26	0	8	6
CPCT02050079T	0	0	15	1	13	0	12	48	5	4	31	7	2	7	6	14	1	9	1	1
CPCT02050073T	3	22	36	21	39	28	16	27	5	14	0	37	45	15	15	19	9	7	20	1
CPCT02220001T	0	2	6	39	16	2	6	100	13	5	20	8	4	10	19	0	3	18	0	9
CPCT02010440T	24	43	50	42	0	6	17	44	14	7	24	10	12	14	28	13	12	16	17	1
CPCT02011020T	44	241	34	157	79	72	125	26	19	56	87	52	17	129	0	0	41	80	0	0
