Samples	ID83A	ID83B	ID83C	ID83D
SP97749	1.91E+00	1.36E+00	3.99E-01	1.28E+00
SP49235	2.01E+00	1.48E+00	7.55E-01	1.39E+00
SP50177	2.16E+00	1.56E+00	5.97E-01	1.38E+00
SP97775	3.16E+00	2.21E+00	1.04E+00	2.41E+00
SP97685	2.91E+00	1.19E+00	6.82E-01	2.54E+00
SP97747	2.65E+00	1.72E+00	6.99E-01	1.86E+00
SP97771	2.80E+00	1.76E+00	7.90E-01	1.93E+00
SP97681	2.24E+00	1.66E+00	1.20E+00	1.24E+00
SP98082	2.48E+00	1.67E+00	8.81E-01	1.93E+00
SP49334	2.34E+00	1.71E+00	6.12E-01	1.51E+00
SP49124	4.55E+00	1.84E+00	1.29E+00	4.39E+00
SP115501	1.97E+00	1.88E+00	9.28E-01	1.38E+00
SP98305	2.91E+00	2.65E+00	1.26E+00	2.06E+00
SP49247	2.81E+00	2.35E+00	1.28E+00	1.53E+00
SP49328	2.35E+00	1.81E+00	8.52E-01	1.61E+00
SP98092	2.41E+00	1.80E+00	8.38E-01	1.89E+00
SP120755	1.16E+00	5.00E-01	3.17E-01	9.78E-01
SP49417	2.52E+00	1.67E+00	9.60E-01	2.01E+00
SP49175	2.20E+00	2.00E+00	6.94E-01	8.80E-01
SP49223	1.30E+00	1.18E+00	4.98E-01	1.14E+00
SP49187	1.51E+00	1.23E+00	7.69E-01	6.78E-01
SP49157	1.88E+00	1.80E+00	9.39E-01	6.47E-01
SP49379	2.44E+00	1.82E+00	7.89E-01	1.35E+00
SP49541	2.98E+00	2.21E+00	1.20E+00	2.19E+00
SP98164	2.44E+00	2.22E+00	1.08E+00	1.02E+00
SP49481	1.54E+00	0.00E+00	4.76E-01	1.47E+00
SP98078	3.00E+00	1.92E+00	8.78E-01	2.28E+00
SP106677	2.17E+00	1.81E+00	8.05E-01	1.55E+00
SP106743	1.78E+00	1.21E+00	5.34E-01	1.33E+00
SP98359	2.40E+00	1.76E+00	1.17E+00	1.91E+00
SP98192	1.76E+00	1.28E+00	5.57E-01	1.12E+00
SP98053	2.41E+00	2.04E+00	9.89E-01	1.54E+00
SP106631	1.40E+00	1.19E+00	7.04E-01	1.01E+00
SP49551	1.82E+00	1.56E+00	7.42E-01	7.56E-01
SP49651	2.44E+00	1.87E+00	6.40E-01	2.75E+00
SP98265	3.43E+00	2.30E+00	9.49E-01	2.56E+00
SP98297	2.23E+00	1.70E+00	1.02E+00	1.09E+00
SP98060	7.45E-01	0.00E+00	2.27E-01	7.32E-01
SP98289	3.23E+00	1.78E+00	8.25E-01	2.30E+00
SP115498	2.45E+00	2.21E+00	1.23E+00	1.00E+00
SP98096	2.21E+00	2.08E+00	1.05E+00	1.23E+00
SP49114	3.62E+00	2.07E+00	1.16E+00	3.00E+00
SP98090	4.13E+00	3.99E+00	1.72E+00	0.00E+00
SP49286	2.69E+00	1.81E+00	7.89E-01	1.73E+00
SP49469	3.01E+00	1.77E+00	1.21E+00	2.34E+00
SP49205	1.52E+00	1.38E+00	7.72E-01	1.45E+00
SP98327	2.07E+00	1.66E+00	7.61E-01	1.39E+00
SP49449	1.31E+00	1.06E+00	6.07E-01	8.60E-01
SP49391	1.66E+00	1.27E+00	5.43E-01	1.34E+00
SP49531	3.03E+00	2.72E+00	1.40E+00	1.74E+00
SP49322	2.27E+00	1.92E+00	1.06E+00	1.51E+00
SP49433	1.91E+00	1.68E+00	6.73E-01	1.07E+00
SP109384	1.84E+00	1.23E+00	5.98E-01	1.62E+00
SP98065	2.37E+00	1.70E+00	1.14E+00	1.98E+00
SP49591	1.81E+00	1.42E+00	8.43E-01	1.37E+00
SP49385	2.90E+00	1.52E+00	7.83E-01	2.29E+00
SP98313	2.07E+00	1.68E+00	7.17E-01	1.36E+00
SP49119	2.65E+00	1.99E+00	9.01E-01	1.34E+00
SP109301	2.23E+00	2.06E+00	1.11E+00	0.00E+00
SP115830	2.33E+00	2.07E+00	9.06E-01	1.50E+00
SP49229	1.16E+00	1.21E+00	7.24E-01	1.06E+00
SP98853	3.08E+00	2.25E+00	1.05E+00	2.07E+00
SP98855	2.31E+00	1.59E+00	5.79E-01	1.59E+00
SP98859	1.84E+00	1.36E+00	6.40E-01	1.57E+00
SP98865	1.91E+00	1.41E+00	6.20E-01	1.31E+00
SP98879	2.59E+00	1.50E+00	8.17E-01	2.10E+00
SP98871	1.85E+00	1.48E+00	5.89E-01	1.17E+00
SP98867	3.40E+00	2.35E+00	1.03E+00	2.32E+00
SP98861	2.96E+00	1.59E+00	1.10E+00	2.08E+00
SP98877	1.86E+00	1.50E+00	8.67E-01	1.22E+00
SP98889	2.80E+00	2.29E+00	9.26E-01	2.25E+00
SP98887	2.96E+00	2.34E+00	1.14E+00	1.53E+00
SP98875	2.72E+00	1.92E+00	8.55E-01	1.60E+00
SP98851	1.02E+00	8.21E-01	4.64E-01	9.13E-01
SP98833	1.87E+00	9.96E-01	6.37E-01	1.55E+00
SP98873	2.49E+00	1.92E+00	8.06E-01	1.74E+00
SP98883	2.83E+00	2.00E+00	8.94E-01	1.64E+00
SP98849	1.79E+00	1.07E+00	4.54E-01	1.43E+00
SP98869	2.05E+00	1.81E+00	8.75E-01	1.41E+00
SP98893	2.72E+00	2.22E+00	1.15E+00	1.44E+00
SP98847	1.84E+00	1.62E+00	7.40E-01	9.95E-01
SP98881	3.20E+00	1.91E+00	1.13E+00	2.60E+00
SP98841	1.74E+00	1.46E+00	7.26E-01	8.87E-01
SP98845	3.52E+00	0.00E+00	3.36E+00	5.11E-01
SP98839	2.41E+00	1.47E+00	7.79E-01	2.05E+00
SP98843	1.58E+00	1.45E+00	6.74E-01	5.62E-01
SP98863	1.43E+00	1.03E+00	4.23E-01	9.39E-01
SP98891	2.48E+00	1.55E+00	9.79E-01	1.62E+00
SP98885	2.68E+00	1.80E+00	8.36E-01	1.79E+00
SP107047	2.36E+00	2.01E+00	1.07E+00	1.52E+00
SP107050	1.88E+00	1.88E+00	7.24E-01	1.00E-02
SP99261	2.44E+00	1.68E+00	8.00E-01	1.82E+00
SP107052	1.75E+00	1.63E+00	6.44E-01	8.53E-01
SP99269	1.89E+00	1.60E+00	6.14E-01	9.09E-01
SP99271	9.80E-01	9.98E-01	4.46E-01	0.00E+00
SP107056	2.72E+00	2.21E+00	1.16E+00	1.06E+00
SP107060	2.26E+00	1.86E+00	9.71E-01	1.66E+00
SP99279	2.25E+00	1.83E+00	8.18E-01	1.16E+00
SP107063	1.96E+00	1.29E+00	6.10E-01	1.19E+00
SP107068	1.74E+00	1.77E+00	8.93E-01	0.00E+00
SP107071	2.54E+00	1.97E+00	9.79E-01	1.74E+00
SP107073	4.78E-01	3.77E-01	2.06E-01	3.29E-01
SP98896	2.75E+00	2.62E+00	1.05E+00	1.54E+00
SP99003	2.83E+00	2.40E+00	1.08E+00	1.98E+00
SP107076	5.03E+00	2.04E+00	1.66E+00	4.76E+00
SP107078	2.02E+00	1.27E+00	6.18E-01	1.36E+00
SP107080	2.97E+00	1.58E+00	1.06E+00	2.66E+00
SP98898	2.46E+00	2.14E+00	7.00E-01	1.40E+00
SP107084	2.02E+00	1.61E+00	8.22E-01	1.60E+00
SP107088	1.52E+00	1.11E+00	6.89E-01	1.17E+00
SP107091	2.21E+00	1.94E+00	1.10E+00	1.52E+00
SP107094	1.07E+00	9.30E-01	5.07E-01	4.40E-01
SP112224	2.41E+00	1.59E+00	8.61E-01	1.90E+00
SP107097	2.33E+00	1.66E+00	7.13E-01	1.43E+00
SP107101	3.15E+00	2.48E+00	1.40E+00	1.59E+00
SP98900	2.22E+00	1.77E+00	7.27E-01	1.09E+00
SP107104	1.64E+00	1.11E+00	6.63E-01	1.20E+00
SP107109	1.72E+00	1.31E+00	6.35E-01	1.20E+00
SP107111	2.15E+00	2.11E+00	8.83E-01	5.65E-01
SP107115	3.72E-01	2.30E-01	2.09E-01	2.53E-01
SP98902	3.01E+00	1.82E+00	1.18E+00	2.64E+00
SP107119	2.38E+00	2.11E+00	9.96E-01	9.81E-01
SP98904	1.15E+00	9.07E-01	6.04E-01	2.69E-01
SP98909	2.29E+00	1.91E+00	8.87E-01	9.09E-01
SP107121	3.02E+00	2.26E+00	1.14E+00	1.67E+00
SP107123	2.62E+00	1.79E+00	7.01E-01	1.83E+00
SP98907	2.42E+00	2.05E+00	1.08E+00	1.32E+00
SP107132	7.16E-01	6.21E-01	3.71E-01	3.47E-01
SP107136	3.25E+00	1.92E+00	9.10E-01	2.64E+00
SP107141	1.44E+00	1.04E+00	6.38E-01	1.12E+00
SP98913	2.99E+00	1.90E+00	8.40E-01	2.09E+00
SP107146	2.13E+00	1.68E+00	7.96E-01	1.59E+00
SP107150	1.68E+00	1.46E+00	6.93E-01	1.04E+00
SP98915	2.01E+00	1.65E+00	5.91E-01	9.30E-01
SP107152	2.27E+00	1.89E+00	7.73E-01	1.08E+00
SP107155	1.58E+00	1.48E+00	6.83E-01	5.15E-01
SP112125	1.34E+00	1.19E+00	5.97E-01	4.61E-01
SP98921	1.88E+00	1.23E+00	6.24E-01	1.40E+00
SP112130	1.84E+00	1.61E+00	7.57E-01	8.61E-01
SP112133	3.26E+00	1.89E+00	8.50E-01	2.15E+00
SP98925	1.78E+00	1.25E+00	6.72E-01	1.45E+00
SP112138	1.87E+00	1.53E+00	1.15E+00	1.30E+00
SP112141	3.16E+00	1.82E+00	1.11E+00	2.59E+00
SP98927	2.26E+00	1.61E+00	9.71E-01	1.50E+00
SP112147	2.16E+00	1.67E+00	7.94E-01	1.14E+00
SP112152	2.10E+00	1.72E+00	9.59E-01	1.45E+00
SP112156	1.33E+00	1.28E+00	6.17E-01	0.00E+00
SP98933	1.62E+00	1.64E+00	8.24E-01	3.01E-01
SP112160	2.25E+00	1.71E+00	8.48E-01	1.42E+00
SP98937	6.86E-01	7.04E-01	2.39E-01	4.00E-02
SP112165	2.22E+00	1.70E+00	6.47E-01	1.37E+00
SP112168	2.39E+00	2.04E+00	8.81E-01	9.39E-01
SP98941	2.47E+00	2.15E+00	9.10E-01	8.20E-01
SP112170	2.30E+00	2.11E+00	1.11E+00	9.42E-01
SP112174	2.07E+00	1.15E+00	6.25E-01	1.70E+00
SP98945	1.93E+00	1.16E+00	6.28E-01	1.51E+00
SP112178	3.23E+00	2.57E+00	1.20E+00	2.54E+00
SP112180	2.70E+00	1.81E+00	8.96E-01	1.92E+00
SP98949	2.53E+00	2.41E+00	1.16E+00	8.83E-01
