Samples	ID83A	ID83B	ID83C	ID83D
SP99101	40	410	36	43
SP106998	577	189	36	0
SP99105	177	104	20	24
SP99109	311	419	48	44
SP50113	786	237	90	42
SP50115	297	107	18	39
SP50117	275	201	42	77
SP107004	420	165	32	81
SP99117	349	184	49	0
SP99121	502	238	38	0
SP107007	527	197	43	49
SP99125	381	70	30	14
SP99129	323	264	30	141
SP99133	352	69	27	30
SP50119	326	126	74	90
SP99137	585	153	50	43
SP50121	244	80	5	0
SP50123	394	335	99	26
SP99141	239	240	96	36
SP50125	361	146	37	65
SP99145	113	254	68	11
SP99149	380	147	52	25
SP50129	346	196	36	3
SP99153	259	2	9	0
SP99157	232	164	47	51
SP99161	219	140	28	79
SP99165	300	121	49	38
SP50131	439	443	192	255
SP50133	211	128	16	6
SP99169	105	42	14	3
SP50135	261	87	36	74
SP50137	48	158	19	50
SP99173	378	141	15	38
SP99177	349	204	47	0
SP99181	292	99	15	1
SP50139	161	63	10	37
SP107010	348	167	44	72
SP99189	179	43	15	2
SP50141	22	0	0	8
SP99193	251	137	14	0
SP50145	295	79	25	25
SP50147	640	114	43	8
SP107012	0	2361	27412	0
SP50149	335	193	66	107
SP107017	187	153	30	62
SP107019	393	206	42	20
SP107023	322	95	23	18
SP50151	288	78	28	16
SP50153	550	198	50	14
SP99197	417	243	75	985
SP50155	764	159	60	0
SP99201	128	167	29	42
SP50157	332	89	20	70
SP99205	168	85	19	49
SP50159	366	200	44	123
SP50161	473	97	30	134
SP107025	388	40	25	161
SP107028	129	0	5	0
SP50163	362	125	30	19
SP99217	120	98	20	38
SP50165	460	79	49	23
SP107030	326	107	34	0
SP50167	389	98	33	96
SP99229	137	290	29	63
SP99233	219	130	26	80
SP107032	63	8	0	22
SP50169	630	117	32	0
SP50171	493	193	35	0
SP50173	243	77	18	9
SP50175	53	8	1	4
SP107034	273	38	10	0
SP50179	336	160	17	0
SP99237	214	101	57	74
SP107037	537	105	34	60
SP107041	179	165	23	19
SP50181	389	91	23	0
SP99249	226	155	67	33
SP99253	380	207	69	23
SP50183	533	137	40	0
SP99257	516	269	113	162
SP107044	182	33	12	14
SP50185	238	166	23	93
CPCT02020315T	382	218	94	117
CPCT02020321T	0	6	3	62
CPCT02020330T	328	270	95	84
CPCT02010372T	0	449	161	449
CPCT02020326T	256	320	57	155
CPCT02020403T	407	142	51	128
CPCT02040063T	825	227	204	67
CPCT02060054T	753	232	90	219
CPCT02060053T	34	270	20	48
CPCT02020886T	267	267	194	257
CPCT02130167T	274	202	94	64
CPCT02080186T	333	308	103	108
CPCT02130172T	76	292	39	274
CPCT02020413TII	590	2	19	725
CPCT02130180T	443	201	70	171
CPCT02130057T	414	190	89	123
CPCT02130186T	363	488	128	65
CPCT02130184T	585	327	92	156
CPCT02020690T	477	190	56	196
CPCT02080215T	142	354	47	201
CPCT02050360T	178	312	106	327
CPCT02130096T	457	270	84	261
CPCT02020759T	439	352	124	177
CPCT02130127T	269	198	70	152
CPCT02060242T	402	461	79	146
CPCT02050386T	258	206	74	174
CPCT02290055T	32	325	19	144
CPCT02130048T	155	281	46	160
CPCT02130155T	169	202	28	173
CPCT02130156T	318	263	77	178
CPCT02130157T	0	593	84	620
CPCT02130158T	48	378	34	505
CPCT02020852T	255	347	121	254
CPCT02020839T	89	10	9	69
CPCT02130159T	121	294	24	438
CPCT02020861T	334	282	65	228
CPCT02060276T	264	218	62	103
CPCT02350014T	153	536	55	225
CPCT02030315T	128	140	109	799
CPCT02090015T	578	156	145	0
CPCT02020533T	66	369	155	147
CPCT02020546T	77	91	13	89
CPCT02050224T	594	424	51	140
CPCT02180031T	501	236	55	280
CPCT02080057T	14	297	121	81
CPCT02020421T	324	210	76	216
CPCT02080054T	364	267	56	260
CPCT02020413T	1092	14	31	805
CPCT02020448T	68	23	3	153
CPCT02190014T	312	119	48	78
CPCT02080101T	122	180	30	209
CPCT02030336T	451	161	217	175
CPCT02050295T	267	320	45	143
