MutationType	ID1	ID2	ID3	ID5	ID6	ID8	ID9	ID11	ID19	ID23
1:Del:C:0	0.00015989	0.00482412	0.12472711	0.02220211	0.03050680	0.03982756	0.33493988	0.00157657	0.05408908	0.05169788
1:Del:C:1	0.00077352	0.00002210	0.20887617	0.02854722	0.00549190	0.02391594	0.09999423	0.00055032	0.01500886	0.10619410
1:Del:C:2	0.00000000	0.00000311	0.17632422	0.02659693	0.00803399	0.00333055	0.00269066	0.00035734	0.00184945	0.05287559
1:Del:C:3	0.00190761	0.00247208	0.06404276	0.01415912	0.00110238	0.00540315	0.01062542	0.00000000	0.00656318	0.03862287
1:Del:C:4	0.00070599	0.00385698	0.04398981	0.00287342	0.00247817	0.00127571	0.01249690	0.00000000	0.00820689	0.01125206
1:Del:C:5	0.00337011	0.01461542	0.02241749	0.00260245	0.00132207	0.00093373	0.00004480	0.00015647	0.00033611	0.00573968
1:Del:T:0	0.00131160	0.00790597	0.03759923	0.10148115	0.00428416	0.03424369	0.10510537	0.00094421	0.01854399	0.21323872
1:Del:T:1	0.00000000	0.00000000	0.01330982	0.10609961	0.00067769	0.01045208	0.04429364	0.00025851	0.00460977	0.11431327
1:Del:T:2	0.00093645	0.00703642	0.01650185	0.11412846	0.01165966	0.00899203	0.08586196	0.00051652	0.00873799	0.05769072
1:Del:T:3	0.00229585	0.02023474	0.02014148	0.08896221	0.02224239	0.00982504	0.11325066	0.00042568	0.02264413	0.03864648
1:Del:T:4	0.00429142	0.04711993	0.01581436	0.05225953	0.01769714	0.00127378	0.09441274	0.00193245	0.02052353	0.01990450
1:Del:T:5	0.00000000	0.81469723	0.00806631	0.03061052	0.00795434	0.01062034	0.00092983	0.00653939	0.00189831	0.00484058
1:Ins:C:0	0.00000000	0.00000000	0.00208309	0.00054225	0.00208689	0.00276427	0.00000000	0.00018624	0.01628628	0.00228553
1:Ins:C:1	0.00000000	0.00022703	0.00157889	0.00124290	0.00177343	0.00216912	0.00000193	0.16348288	0.03305029	0.00057783
1:Ins:C:2	0.00000000	0.00002620	0.00174795	0.00315167	0.00024617	0.00152700	0.00035262	0.09373884	0.01540814	0.00147472
1:Ins:C:3	0.00084599	0.00043005	0.00617765	0.00060285	0.00023217	0.00011652	0.00000000	0.03617564	0.00718753	0.00171284
1:Ins:C:4	0.00178553	0.00291185	0.00710445	0.00019758	0.00037659	0.00055418	0.00000216	0.01118979	0.01028347	0.00010835
1:Ins:C:5	0.02429654	0.00901754	0.00735110	0.00043354	0.00024800	0.00048949	0.00007370	0.00341224	0.02796958	0.00126133
1:Ins:T:0	0.00228382	0.00132856	0.01872237	0.00636196	0.00639625	0.00450798	0.01261448	0.00040694	0.01808925	0.00623642
1:Ins:T:1	0.00004030	0.00000000	0.04311903	0.01346270	0.00104119	0.00486870	0.01038527	0.31427728	0.02808965	0.01262155
1:Ins:T:2	0.00019286	0.00064703	0.04015704	0.02972114	0.00073885	0.00142964	0.00231466	0.16180782	0.01156301	0.01057210
1:Ins:T:3	0.00424327	0.00108288	0.02512543	0.01884025	0.00093064	0.00108729	0.00160089	0.10772533	0.00679258	0.00581943
1:Ins:T:4	0.01664913	0.00348746	0.00656331	0.01126875	0.00134985	0.00082262	0.00158536	0.04903068	0.00670159	0.00330097
1:Ins:T:5	0.89090647	0.00313258	0.02618124	0.00143921	0.01439004	0.02016125	0.00577248	0.02362904	0.01073388	0.00027934
2:Del:R:0	0.00068605	0.00016381	0.00689755	0.02805441	0.00178365	0.00876922	0.01317475	0.00000000	0.00238233	0.02385067
2:Del:R:1	0.00121997	0.00356888	0.00847465	0.02456273	0.00245435	0.01030715	0.00319854	0.00136310	0.00151209	0.05613034
2:Del:R:2	0.00047275	0.00184957	0.01180064	0.00456262	0.00208860	0.00053203	0.00118970	0.00015073	0.00476235	0.02322644
2:Del:R:3	0.00042672	0.00073904	0.00667112	0.00039592	0.00052575	0.00002710	0.00009590	0.00000000	0.00052995	0.00668162
2:Del:R:4	0.00005460	0.00088193	0.00282253	0.00086756	0.00023253	0.00027403	0.00000000	0.00000913	0.00004580	0.00180121
2:Del:R:5	0.00000000	0.00000000	0.00010124	0.02142678	0.00021568	0.00083308	0.00000000	0.00452771	0.00000684	0.00049256
3:Del:R:0	0.00012804	0.00001250	0.00058912	0.01713637	0.00105105	0.01096410	0.00285810	0.00018944	0.00086808	0.00495202
3:Del:R:1	0.00501109	0.00500326	0.00037239	0.00590979	0.00541365	0.00134887	0.00430191	0.00039086	0.00500577	0.00300516
3:Del:R:2	0.00076938	0.00228989	0.00009630	0.00084271	0.00053605	0.00037657	0.00127572	0.00017042	0.00133307	0.00049782
3:Del:R:3	0.00037126	0.00040259	0.00002450	0.00062115	0.00004700	0.00025351	0.00030211	0.00012758	0.00003850	0.00010400
3:Del:R:4	0.00000000	0.00000000	0.00000382	0.00586708	0.00007310	0.00000268	0.00000000	0.00120211	0.00003810	0.00005494
3:Del:R:5	0.00000000	0.00000000	0.00000038	0.00837891	0.00015062	0.00009100	0.00000000	0.00174236	0.00011808	0.00004982
4:Del:R:0	0.00009970	0.00001210	0.00017765	0.01079126	0.00231510	0.00669131	0.00143277	0.00000000	0.00219796	0.00285339
4:Del:R:1	0.00090050	0.00211579	0.00063457	0.00284357	0.00280673	0.00162295	0.00459422	0.00035550	0.00007090	0.00219556
4:Del:R:2	0.00000323	0.00054329	0.00011680	0.00016464	0.00047449	0.00027262	0.00089602	0.00000000	0.00040269	0.00016080
4:Del:R:3	0.00000000	0.00000727	0.00000000	0.00387781	0.00029134	0.00002880	0.00002380	0.00031214	0.00005990	0.00011157
4:Del:R:4	0.00000000	0.00000000	0.00000000	0.00455725	0.00011058	0.00009730	0.00000000	0.00068737	0.00019431	0.00002620
4:Del:R:5	0.00002890	0.00021041	0.00000283	0.00158444	0.00005680	0.00000634	0.00001370	0.00015760	0.00015798	0.00001370
5:Del:R:0	0.00000835	0.00003850	0.00177678	0.01844795	0.01933329	0.23797886	0.00077205	0.00128145	0.00426298	0.01685377
5:Del:R:1	0.00019068	0.00297751	0.00007410	0.00041034	0.00750183	0.00057226	0.00047955	0.00047463	0.00177092	0.00003437
5:Del:R:2	0.00012636	0.00039753	0.00000278	0.00047093	0.00037052	0.00051684	0.00026497	0.00000000	0.00101898	0.00001160
5:Del:R:3	0.00001890	0.00015815	0.00000000	0.00025717	0.00016818	0.00000816	0.00000612	0.00000000	0.00012637	0.00000767
5:Del:R:4	0.00000311	0.00008470	0.00004370	0.00009730	0.00005320	0.00011290	0.00000725	0.00000000	0.00000224	0.00003031
5:Del:R:5	0.00003130	0.00002120	0.00000382	0.00058502	0.00001150	0.00004430	0.00002990	0.00000008	0.00000224	0.00000160
2:Ins:R:0	0.00040204	0.00033185	0.00263595	0.00634945	0.00199839	0.00191671	0.00116234	0.00019047	0.07827026	0.00376734
2:Ins:R:1	0.00000788	0.00027166	0.00224268	0.01838764	0.00020853	0.00166182	0.00210019	0.00000000	0.02359708	0.00326139
2:Ins:R:2	0.00022135	0.00103534	0.00095560	0.00720795	0.00079041	0.00030459	0.00076094	0.00024788	0.00363960	0.00154666
2:Ins:R:3	0.00051427	0.00038133	0.00089724	0.00117229	0.00049907	0.00017758	0.00035163	0.00037236	0.00118317	0.00024006
2:Ins:R:4	0.00291310	0.00197742	0.00025309	0.00006880	0.00018947	0.00001660	0.00003070	0.00044238	0.00380259	0.00022169
2:Ins:R:5	0.01812158	0.01363338	0.00000667	0.00099412	0.00074864	0.00176438	0.00000000	0.00028880	0.03327522	0.00000259
3:Ins:R:0	0.00000031	0.00005780	0.00009600	0.00379248	0.00121919	0.00066786	0.00025457	0.00000000	0.05448195	0.00077334
3:Ins:R:1	0.00025469	0.00122705	0.00028614	0.00612276	0.00028861	0.00067172	0.00082336	0.00020708	0.00510145	0.00152975
3:Ins:R:2	0.00004410	0.00021007	0.00009750	0.00114347	0.00074653	0.00013577	0.00011826	0.00022153	0.00126260	0.00004958
3:Ins:R:3	0.00016670	0.00000302	0.00001360	0.00001020	0.00024974	0.00003790	0.00000518	0.00002180	0.00056696	0.00004653
3:Ins:R:4	0.00008890	0.00014181	0.00000156	0.00001180	0.00015595	0.00012204	0.00001610	0.00000000	0.00020118	0.00001575
3:Ins:R:5	0.00124870	0.00186471	0.00000000	0.00010257	0.00001980	0.00003660	0.00000000	0.00009010	0.00101487	0.00001267
4:Ins:R:0	0.00000000	0.00001680	0.00000000	0.00243919	0.00146792	0.00077776	0.00016439	0.00015962	0.04975165	0.00052016
4:Ins:R:1	0.00074438	0.00120373	0.00017598	0.00361230	0.00047628	0.00110390	0.00071557	0.00037764	0.00147968	0.00136458
4:Ins:R:2	0.00007550	0.00001220	0.00002740	0.00037646	0.00052866	0.00007990	0.00004240	0.00000000	0.00101738	0.00039980
4:Ins:R:3	0.00015754	0.00013417	0.00004770	0.00000187	0.00033482	0.00000858	0.00002150	0.00000000	0.00030994	0.00000479
4:Ins:R:4	0.00031965	0.00024939	0.00000418	0.00000641	0.00005600	0.00020551	0.00000000	0.00000000	0.00152857	0.00003082
4:Ins:R:5	0.00100132	0.00219354	0.00003290	0.00063598	0.00010686	0.00088523	0.00000218	0.00000000	0.00000012	0.00000719
5:Ins:R:0	0.00000000	0.00000000	0.00008830	0.00475007	0.00871678	0.00031833	0.00016585	0.00066606	0.33665180	0.00072143
5:Ins:R:1	0.00144313	0.00013566	0.00065622	0.00479343	0.00540564	0.00976111	0.00125400	0.00115191	0.00843231	0.00229238
5:Ins:R:2	0.00025483	0.00000553	0.00000551	0.00029880	0.00132184	0.00010115	0.00010285	0.00036601	0.00024644	0.00021296
5:Ins:R:3	0.00023709	0.00009770	0.00003320	0.00016555	0.00002880	0.00007090	0.00008020	0.00000083	0.00173759	0.00000302
5:Ins:R:4	0.00026187	0.00000215	0.00000787	0.00012671	0.00004830	0.00000674	0.00005050	0.00000225	0.00016509	0.00005035
5:Ins:R:5	0.00011983	0.00011563	0.00000348	0.00062634	0.00006170	0.00019055	0.00000989	0.00000184	0.00000224	0.00000260
2:Del:M:1	0.00119782	0.00017555	0.00693076	0.02868795	0.00063287	0.00491367	0.00390097	0.00038206	0.00236192	0.03953384
3:Del:M:1	0.00008190	0.00000055	0.00034461	0.01315715	0.00099010	0.00929034	0.00301133	0.00020044	0.00014290	0.00210806
3:Del:M:2	0.00147959	0.00294406	0.00030285	0.00900421	0.00443363	0.00430269	0.00154330	0.00030174	0.00118844	0.00445127
4:Del:M:1	0.00008380	0.00014700	0.00007350	0.00873220	0.00274539	0.00580955	0.00192772	0.00000000	0.00123037	0.00334573
4:Del:M:2	0.00014548	0.00055061	0.00034022	0.00604719	0.00868271	0.00159159	0.00329745	0.00000000	0.00011789	0.00271152
