MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	1.49E-05	1.56E-05	3.56E-05	1.13E-04
1:Del:C:1	4.22E-06	1.29E-05	3.75E-05	1.12E-04
1:Del:C:2	8.61E-06	8.32E-06	5.04E-05	9.26E-05
1:Del:C:3	1.40E-05	3.89E-06	9.75E-05	4.88E-05
1:Del:C:4	1.67E-05	4.82E-06	2.07E-04	3.78E-05
1:Del:C:5	7.08E-05	3.09E-05	3.61E-04	4.11E-05
1:Del:T:0	9.29E-06	1.16E-05	3.12E-05	5.56E-05
1:Del:T:1	3.33E-06	6.53E-06	2.78E-05	5.48E-05
1:Del:T:2	5.05E-05	1.62E-04	2.67E-04	7.66E-05
1:Del:T:3	1.61E-04	3.66E-04	8.17E-04	7.60E-05
1:Del:T:4	2.84E-04	4.25E-04	1.59E-03	1.16E-04
1:Del:T:5	5.32E-04	8.33E-04	6.51E-03	5.13E-04
1:Ins:C:0	5.92E-06	5.62E-05	8.05E-05	6.96E-05
1:Ins:C:1	1.39E-06	9.45E-06	1.97E-05	2.14E-05
1:Ins:C:2	8.54E-07	3.97E-06	1.01E-05	1.55E-05
1:Ins:C:3	2.07E-06	8.00E-06	1.35E-05	1.70E-05
1:Ins:C:4	1.17E-05	3.29E-04	4.50E-04	1.86E-05
1:Ins:C:5	2.79E-05	6.07E-04	1.08E-03	2.57E-05
1:Ins:T:0	5.10E-06	1.74E-05	7.66E-05	3.49E-05
1:Ins:T:1	0.00E+00	1.44E-05	1.51E-05	4.77E-05
1:Ins:T:2	6.85E-06	3.13E-05	3.39E-05	5.87E-05
1:Ins:T:3	8.93E-06	5.76E-05	5.88E-05	3.72E-05
1:Ins:T:4	0.00E+00	9.98E-05	2.48E-04	2.74E-05
1:Ins:T:5	5.69E-04	1.88E-03	4.53E-03	5.16E-04
2:Del:R:0	1.34E-05	7.91E-06	3.06E-05	2.47E-05
2:Del:R:1	8.10E-06	4.16E-06	2.43E-05	4.07E-05
2:Del:R:2	4.95E-06	1.80E-06	1.83E-05	2.43E-05
2:Del:R:3	3.29E-05	4.82E-06	1.21E-04	1.91E-05
2:Del:R:4	1.30E-05	4.50E-06	5.23E-05	1.11E-05
