Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
SP109953	45	221	11	38	25	1	5	9	9	4	11	15
SP107650	44	179	4	10	27	0	23	24	6	24	7	3
SP13206	143	77	25	18	30	0	5	19	16	7	9	9
SP13078	62	146	20	48	39	0	47	22	19	0	6	11
SP107607	36	98	18	28	6	0	54	17	40	0	7	11
SP109941	38	74	7	15	28	2	3	16	12	6	9	0
SP109801	144	119	33	2	16	0	0	29	15	16	9	12
SP13072	9	78	11	43	55	0	28	18	19	29	0	21
SP107595	112	232	0	51	52	3	10	29	197	1	8	17
SP107640	45	157	17	4	22	0	45	5	4	0	1	1
SP13084	47	201	5	16	49	0	20	26	28	19	5	1
SP107603	24	100	8	11	31	0	40	15	10	21	5	13
SP109957	28	130	3	82	47	7	88	32	12	48	7	62
SP114020	105	220	0	58	71	6	36	29	22	68	9	28
SP96540	38	76	8	64	18	0	17	4	0	1	0	2
SP114032	14	135	16	72	26	4	11	10	4	0	2	15
SP107624	15	53	8	10	32	1	10	14	18	3	1	0
SP107575	72	66	0	31	51	0	24	25	9	24	0	12
SP13242	36	89	6	41	13	1	22	30	12	14	2	4
SP114016	17	159	3	3	30	0	46	12	14	12	1	15
CPCT02070011T	42	444	28	178	46	76	67	1112	179	251	9	52
CPCT02020317T	7	34	33	31	24	56	33	34	10	36	8	1
CPCT02010352T	0	8	13	8	19	30	8	7	0	0	5	10
CPCT02010362T	6	1	17	31	7	22	16	2	15	15	6	4
CPCT02010366T	0	0	2	0	7	20	7	3	3	0	5	4
CPCT02010383T	4	0	21	7	11	69	12	20	0	0	3	0
CPCT02050049T	7	25	19	19	40	36	47	2	14	0	6	7
CPCT02020350T	0	28	24	48	74	30	21	10	28	11	3	5
CPCT02060023T	38	249	46	34	243	23	14	46	107	48	18	41
CPCT02080030T	56	164	1946	0	126	243	47	18	82	93	51	47
CPCT02060010T	196	75	158	75	110	37	86	53	73	104	26	42
CPCT02040037T	103	228	8	47	67	112	10	0	14	54	1519	4
CPCT02070018T	37	134	19	4	274	38	34	50	90	18	9	30
CPCT02080041T	13	21	87	0	495	41	51	52	94	36	5	16
CPCT02070029T	403	43	17	56	64	17	70	122	63	69	25	6
CPCT02060033T	96	103	36	37	53	93	60	74	44	67	38	49
CPCT02020399T	738	447	68	165	172	56	289	33	24	10	71	0
CPCT02140024T	3809	822	40	1219	0	71	0	85	53	0	1	0
