	SP90989	SP117290	SP116797	SP84743	SP84982	SP9816	SP124439	SP107363	SP97194	SP5559	SP28659	SP107439	SP102581	SP23925	SP2293	SP53810	SP52667	SP79243	SP116578	SP121761	SP80754	SP96116	SP102133	SP30113	SP67609	SP116276	SP50097	SP116919	SP114898	SP81312	SP92364	SP125584	SP22031	SP26649	SP8831	SP99013	SP107784	SP94741	SP90629	SP94933	SP2155	SP85818	SP1305	SP56553	SP62616	SP107371	SP29559	SP84384	SP57189	SP48189	SP102973	SP69077	SP112907	SP27825	SP55235	SP80615	SP125778	SP80217	SP21017	SP111114	SP54113	SP25494	SP103894	SP82103	SP56704	SP53618	SP116715	SP124369	SP102045	SP79427	SP111031	SP18787	SP31126	SP93540	SP90125	SP94348	SP79998	SP111175	SP107012	SP112290	SP93227	SP77956	SP21400	SP116520	SP112985	SP49229	SP114980	SP96118	SP110847	SP99325	SP114916	SP99329	SP99197	SP59368	SP101740	SP69898	SP17172	SP81137	SP17905	SP89909	SP31030	SP111119	SP102143	SP33688	SP110851	SP102897	SP123846	SP86775	SP114968	SP57629	SP16886	SP19295	SP63546	SP116819	SP102035	SP114973	SP125746	SP125732	SP114917	SP114937	SP114944	SP112777	SP124384	SP114903	SP975	SP105018	SP135287	SP90209	SP59803	SP94332	SP92659	SP112947	SP116545	SP23502	SP25350	SP49114	SP116365	SP123975	SP98953	SP5052	SP23775	SP59448	SP116676	SP111170	SP116589	SP101670	SP103080	SP107076	SP110242	SP125752	SP84392	SP96126	SP95126	SP24135	SP1365	SP57735	SP102957	SP3631	SP18310	SP112817	DRUP01010025T	CPCT02050439T	CPCT02340026T	CPCT02340014T	DRUP01330020T	CPCT02070336T	CPCT02050424T	CPCT02340081T	CPCT02020865T	DRUP01030028T	CPCT02020597TII	DRUP01340014T	WIDE01010510T	CPCT02100089T	CPCT02080153T	CPCT02020815T	CPCT02120078T	CPCT02450014T	CPCT02020413T	CPCT02070357T	CPCT02070053T	CPCT02010605T	CPCT02100101T	CPCT02040317T	CPCT02030278T	CPCT02250003T	DRUP01030015T	CPCT02050117T	CPCT02070466TII	WIDE01010470T	CPCT02210064T	CPCT02010648T	DRUP01050003T	CPCT02100090T	CPCT02050149T	DRUP01020002T	CPCT02030351T	CPCT02020476T	DRUP01010142T	WIDE01010075T	CPCT02130170T	WIDE01010028T	CPCT02080273T	CPCT02220047T	CPCT02100092T	CPCT02140107T	CPCT02050436T	CPCT02080045T	CPCT02070436T	CPCT02010408T	CPCT02060033T	CPCT02010523T	CPCT02020436T	DRUP01010022T	CPCT02040329T	CPCT02050104T	CPCT02010772T	CPCT02070465T	CPCT02030430T	CPCT02030516T	CPCT02030421T	CPCT02220023T	CPCT02010579T	CPCT02340022T	CPCT02160003T	CPCT02030447T	CPCT02060013T	CPCT02020561T	DRUP01230001T	CPCT02130140T	DRUP01340003T	CPCT02050349T	WIDE01010372T	CPCT02080157T	CPCT02440020T	CPCT02360007T	CPCT02060224T	CPCT02020413TII	CPCT02220069T	CPCT02050385T	CPCT02050211T	WIDE01010208T	WIDE01010040T	CPCT02340010T	CPCT02010867T	CPCT02310017T	CPCT02120032T	CPCT02340030T	CPCT02030532T	CPCT02150052T	DRUP01070080T	CPCT02100141T	CPCT02130144T	CPCT02130131T	CPCT02220045T	CPCT02160058T	CPCT02210016T	CPCT02040280TII	CPCT02130146T	WIDE01010134T	CPCT02010635T	WIDE01010556T	CPCT02370010T	CPCT02380029T	CPCT02380026T	CPCT02070024T	CPCT02060054T	CPCT02050370T	CPCT02010373T	WIDE01010071T	CPCT02130184T	CPCT02070373T	CPCT02140057T	CPCT02070069TII	CPCT02010786T	CPCT02011068T	CPCT02120021T	CPCT02180025T	CPCT02080110T	CPCT02180009T	CPCT02090032T	CPCT02160021T	DRUP01030018T	CPCT02160034T	CPCT02450007T	DRUP01010078T	CPCT02340110T	CPCT02070043T	CPCT02180033T	CPCT02060264T	CPCT02070192T	CPCT02060265T	CPCT02070058T	CPCT02060140T	CPCT02040114T	WIDE01010026T	CPCT02100044T	CPCT02060225T	DRUP01070015T	CPCT02040299T	CPCT02080078T	CPCT02030451T	CPCT02050390T	CPCT02190055T	CPCT02011010T	CPCT02070244T	CPCT02070353T	CPCT02060291T	CPCT02020789T	CPCT02070131T	CPCT02070450T	CPCT02070145T	DRUP01040016T	CPCT02110059T	WIDE01010539T	CPCT02010486T	WIDE01010016T	CPCT02080120T	CPCT02310006T	CPCT02050170T	CPCT02010530T	DRUP01050017T	CPCT02040113T	CPCT02240008T	CPCT02060246T	CPCT02010715T	CPCT02010662T	CPCT02140012T	CPCT02090019T	CPCT02080294T	DRUP01070038T	WIDE01010565T	WIDE01010404T	DRUP01070009T	CPCT02050192T	CPCT02010505T	CPCT02050089T	WIDE01010228T	DRUP01010106T	CPCT02020599T	CPCT02180068T	CPCT02020428T	CPCT02390002T	DRUP01340015T	CPCT02010794T	CPCT02370012T
C[Del(T):R1]A	1	0	0	8	5	6	11	0	13	7	9	5	0	1	0	39	5	0	5	3	0	1	4	27	7	0	5	0	4	3	11	0	1	3	4	6	0	6	6	7	4	0	6	21	3	1	1	11	38	1	33	4	3	1	22	10	10	0	11	5	34	13	8	1	10	21	2	8	5	0	4	1	4	5	2	6	0	9	9	7	6	1	2	1	1	2	2	1	1	19	4	0	11	3	7	2	6	6	4	2	0	2	3	2	1	9	1	1	5	14	3	4	4	1	0	2	3	3	5	2	2	2	8	4	6	7	4	8	2	4	3	2	0	3	0	7	3	3	0	5	3	3	5	1	1	4	3	13	8	1	11	3	5	7	3	15	47	1	4	4	18	2	1	5	28	15	44	0	11	1	3	2	2	4	1	47	2	14	11	4	1	0	5	17	5	19	2	2	5	1	4	1	5	1	1	5	6	5	6	2	6	5	13	3	2	7	8	3	5	2	4	5	5	6	19	9	14	3	8	1	1	47	4	0	5	5	10	1	17	17	5	17	6	11	1	14	3	7	6	6	21	0	6	0	70	6	7	7	6	14	19	5	3	1	1	2	22	46	16	2	0	5	6	20	2	4	13	10	61	0	7	7	16	4	8	4	5	7	2	8	2	1	27	2	0	56	7	6	9	2	9	13	3	1	3	5	0	3	9	8	6	5	4	9	6	5	1	14	5	4	3	6	11	1	6	0	2	2	2	5	16	15	25	7	2	1	12	4	8	2	9	7	2	3	1	0	3	5	29	2	7	1	22	1	16	10
C[Del(T):R1]C	9	1	0	9	18	4	0	0	11	2	4	1	0	1	2	15	2	0	1	4	0	1	6	10	8	0	9	0	1	3	15	0	0	4	5	3	0	13	7	13	0	0	7	6	3	2	8	33	9	2	6	6	3	2	10	11	4	0	16	15	10	17	9	2	8	4	6	2	8	0	5	2	9	8	1	10	0	14	2	9	15	1	4	0	0	1	4	0	3	32	2	0	11	4	4	3	10	7	4	8	0	9	3	0	2	8	1	1	7	6	0	2	0	0	5	3	15	8	2	8	7	7	8	1	3	11	12	10	1	0	0	1	0	30	2	8	2	2	0	1	7	5	2	5	1	6	4	10	28	2	18	3	3	13	1	7	3	2	14	1	47	3	3	4	81	13	12	0	10	0	2	1	3	2	2	21	2	18	19	12	2	5	4	8	2	5	0	2	2	7	5	2	11	2	1	4	7	2	17	5	4	8	53	6	1	5	5	8	3	1	0	3	0	12	10	26	1	7	7	3	2	15	2	5	7	7	5	0	28	30	3	13	12	21	0	17	3	15	2	3	34	2	6	5	21	6	11	2	16	13	32	6	2	1	5	9	83	14	15	4	1	10	2	28	6	12	4	6	13	1	7	6	13	1	43	2	3	3	2	6	2	5	74	3	2	20	6	8	10	2	16	5	5	1	6	4	6	4	28	4	0	3	8	5	10	8	3	6	4	15	3	4	33	1	14	2	15	0	4	9	16	20	10	2	6	0	9	2	3	0	12	5	0	1	1	4	1	4	14	2	1	1	6	0	3	8
C[Del(T):R1]G	4	1	0	6	9	4	1	0	23	3	8	1	1	3	0	26	7	0	8	3	0	0	4	26	3	0	16	0	2	2	9	0	0	4	1	5	5	6	4	10	2	0	10	17	2	2	9	13	25	1	12	4	3	4	23	6	2	0	4	5	26	11	9	1	12	11	4	5	5	0	2	4	13	6	1	7	0	12	6	12	3	2	1	3	0	5	5	0	0	18	2	1	8	3	2	0	3	2	0	1	1	3	3	0	5	8	0	1	3	14	1	3	3	0	2	6	4	4	2	10	10	1	8	2	4	6	1	4	4	1	1	5	0	6	3	7	6	0	6	3	6	3	2	5	0	4	8	13	11	4	8	0	3	13	3	10	19	1	12	1	19	4	5	4	33	19	9	1	11	3	1	1	4	0	4	40	3	14	27	9	0	2	3	11	4	10	1	4	8	2	2	5	2	2	3	2	12	7	6	3	2	0	6	3	5	8	9	8	5	3	3	5	5	5	9	7	2	4	4	3	4	39	2	3	4	6	4	3	14	10	4	9	9	11	1	11	1	8	3	5	4	1	9	1	51	8	10	0	5	5	11	4	2	1	5	4	28	25	8	6	5	4	6	15	5	2	15	3	29	0	7	13	10	2	10	4	4	3	3	2	3	6	16	2	5	35	5	6	2	3	6	9	3	1	2	3	0	10	6	5	1	6	16	7	7	7	1	6	0	7	7	5	13	3	2	1	3	0	0	5	11	4	12	3	11	1	5	0	2	1	7	1	7	3	2	3	4	1	17	4	3	2	15	1	5	9
C[Del(T):R2]A	2	1	0	10	13	1	22	0	12	3	3	1	0	1	0	71	8	0	2	1	0	0	0	32	1	0	6	0	4	0	20	0	0	1	2	1	1	6	2	6	0	0	1	22	3	2	4	16	27	0	16	0	5	0	25	10	2	0	15	3	21	11	21	1	14	17	1	7	3	0	3	0	7	8	0	2	0	9	9	4	16	0	0	1	0	1	3	1	2	21	0	1	9	1	1	1	3	0	16	1	1	1	1	1	2	7	1	0	6	10	0	4	1	0	2	3	5	4	0	5	4	0	18	3	5	4	7	7	2	0	4	1	0	2	1	9	0	1	1	1	4	0	4	6	1	1	9	7	19	1	16	2	2	5	2	12	9	0	11	8	22	0	1	2	31	12	108	0	8	0	3	1	1	0	1	49	3	4	11	1	2	2	1	11	1	1	2	1	8	4	2	3	0	0	2	2	7	3	7	8	2	0	11	3	0	2	13	7	4	1	3	0	0	12	12	6	14	3	5	2	0	43	2	1	3	1	3	2	46	14	2	16	8	11	6	14	0	9	3	5	15	0	3	0	108	2	2	13	3	13	31	3	4	0	5	2	16	45	6	2	1	2	1	7	3	4	5	26	35	8	6	7	10	5	6	2	4	5	0	7	4	3	24	3	2	80	5	4	5	0	13	4	2	1	2	3	0	3	11	6	1	4	7	9	5	6	0	19	14	3	0	1	11	2	3	0	1	4	0	4	17	11	11	1	6	2	10	1	2	0	3	1	2	5	0	0	4	3	20	1	2	1	14	1	13	6
C[Del(T):R2]C	7	1	0	1	10	2	3	0	11	2	8	0	0	0	0	42	9	0	4	2	0	1	2	19	0	0	7	0	2	2	17	0	0	0	3	2	0	8	2	6	1	0	5	17	4	1	3	20	18	0	4	2	1	2	19	9	3	0	11	2	25	8	5	1	15	16	0	3	3	0	1	1	13	5	2	3	0	2	15	2	33	0	2	0	0	1	2	2	0	41	2	1	10	2	5	2	3	0	24	5	1	2	1	1	2	16	1	0	5	5	2	3	2	1	2	2	5	5	2	4	4	2	10	1	1	7	6	12	4	1	1	3	0	2	0	8	1	2	4	2	5	1	3	2	1	0	5	9	33	2	13	0	1	4	3	7	6	2	12	0	25	2	1	6	56	18	22	0	9	1	1	4	0	1	1	39	4	9	18	4	3	1	1	6	2	4	3	0	1	11	4	1	3	2	0	1	3	0	8	0	0	1	21	1	0	3	8	7	5	0	1	1	2	9	13	4	2	3	3	0	2	35	2	5	4	2	3	1	32	16	6	9	8	10	2	19	1	13	2	4	14	1	5	0	50	2	4	1	17	6	24	1	1	1	4	0	21	34	10	4	3	3	1	18	3	2	5	4	20	2	6	10	14	2	18	1	0	4	2	0	0	3	26	0	1	52	3	5	12	0	11	5	1	0	3	0	2	6	3	11	3	4	5	5	6	4	1	1	6	9	5	3	17	1	3	0	2	3	0	2	11	17	8	4	6	0	1	3	4	2	6	5	1	0	2	0	4	0	9	1	2	1	7	1	5	4
C[Del(T):R2]G	11	1	0	4	9	1	2	0	11	2	4	0	0	1	2	74	7	0	5	0	1	0	2	37	0	0	2	0	2	1	16	0	0	0	2	1	0	4	1	1	1	0	2	26	2	1	3	15	31	0	7	1	0	0	30	2	2	0	5	6	31	7	3	0	17	22	2	4	0	0	1	0	4	11	1	4	0	6	7	5	36	0	3	2	0	2	2	1	0	25	0	1	6	0	3	0	2	1	10	1	0	4	1	0	5	10	0	0	1	6	0	1	1	0	1	3	3	1	0	3	3	0	3	2	3	7	11	10	3	2	2	3	0	3	0	9	0	1	7	1	5	0	5	3	1	1	5	13	22	0	22	0	4	6	1	7	9	1	16	4	20	0	1	5	22	5	5	0	10	1	0	0	1	0	1	64	1	1	10	4	0	0	0	16	1	3	0	3	2	3	1	1	1	0	0	0	2	3	8	2	2	2	7	1	1	2	8	7	1	0	0	0	1	6	16	8	0	1	0	0	2	49	0	0	5	3	1	2	9	14	5	23	5	9	2	8	1	11	2	3	12	3	4	2	91	3	1	0	3	9	17	2	3	0	4	1	20	40	7	5	1	2	1	21	6	2	8	3	46	0	3	1	17	2	10	1	2	2	1	3	3	2	17	2	0	76	2	5	8	1	7	11	2	1	4	4	0	2	8	4	1	1	6	6	10	6	0	4	0	3	3	1	10	1	3	0	2	2	0	1	9	8	17	3	4	0	2	0	3	0	5	8	0	1	1	0	2	0	30	2	3	1	14	1	6	4
C[Del(T):R3]A	11	2	0	13	15	1	6	0	22	2	6	1	1	1	1	22	6	0	5	2	3	0	3	10	1	0	5	0	2	1	28	0	0	2	3	0	0	10	3	9	6	0	4	9	4	1	6	14	19	0	8	5	3	3	13	9	5	0	28	3	11	2	10	2	4	9	3	6	3	0	2	1	2	20	1	3	0	6	16	4	75	1	5	3	0	2	2	3	1	73	3	3	6	1	3	2	14	4	42	3	0	6	3	0	3	13	0	0	6	6	2	3	2	0	2	1	7	1	2	2	2	1	8	2	3	8	12	15	3	0	1	0	0	13	0	8	0	1	1	3	2	3	3	2	2	7	10	7	25	2	26	1	1	5	4	10	5	1	28	16	33	1	3	4	40	14	35	1	5	0	2	1	2	1	2	29	2	11	9	11	3	2	4	10	6	3	2	3	2	17	3	3	6	1	1	3	1	6	14	3	1	2	21	4	1	2	3	6	9	1	1	1	3	6	6	11	0	3	7	3	3	24	1	4	4	4	3	2	24	19	4	6	9	10	1	24	0	11	1	0	22	1	4	3	34	3	3	7	3	17	53	3	1	0	8	2	24	17	7	3	2	5	8	28	6	7	5	11	21	2	4	2	8	3	19	1	3	3	3	5	3	6	36	2	2	35	4	4	3	0	16	6	1	1	9	6	2	1	19	5	2	2	10	6	2	7	2	6	5	7	3	3	20	0	1	0	3	1	0	5	13	18	8	4	3	0	9	2	1	0	7	4	0	0	0	0	6	2	14	1	8	0	12	1	6	6
C[Del(T):R3]C	6	0	0	2	17	2	2	0	18	1	4	2	0	5	1	10	1	0	1	2	0	1	4	5	2	1	5	0	1	3	22	0	2	3	3	1	0	7	4	10	2	0	3	13	2	3	4	32	7	0	9	1	2	1	7	9	3	0	27	2	7	2	4	2	1	5	3	0	5	0	2	3	5	12	0	9	0	3	15	6	53	0	5	1	0	1	2	3	2	36	0	3	4	4	2	0	5	2	32	6	0	3	3	2	3	15	0	0	2	4	1	1	0	1	1	2	15	5	0	2	2	0	11	2	3	8	12	25	3	3	1	0	0	3	2	8	0	1	1	3	7	2	2	2	4	4	10	2	30	0	20	4	2	3	3	1	8	0	35	8	33	6	1	8	94	18	5	0	13	2	3	1	1	1	2	18	1	31	9	13	2	3	2	6	2	1	1	1	6	7	1	2	3	1	2	1	2	2	8	9	2	4	23	1	1	2	6	5	5	2	3	1	1	9	4	15	0	1	2	1	0	10	1	5	4	0	4	4	12	24	7	5	8	11	6	15	0	6	5	1	26	1	3	1	21	4	5	0	7	6	37	2	2	0	2	0	32	16	5	1	2	6	3	29	2	6	5	3	19	1	2	5	7	3	25	2	6	3	1	6	2	3	53	0	0	14	5	3	11	0	9	7	1	0	3	2	2	6	25	3	4	2	1	7	5	7	3	5	1	9	2	4	48	0	3	1	0	1	2	2	12	10	5	3	3	2	0	2	5	1	7	5	1	0	0	0	2	3	3	3	8	0	7	2	2	6
C[Del(T):R3]G	7	0	0	6	11	0	2	1	12	0	3	0	0	1	0	27	6	0	1	2	0	1	5	18	6	0	8	0	4	1	25	0	0	0	3	1	0	9	6	6	1	0	5	9	8	2	4	13	14	0	5	4	1	0	17	8	6	0	14	7	26	4	3	1	11	13	3	2	6	0	5	1	5	14	1	7	0	12	8	3	44	1	3	1	0	0	2	2	0	33	2	0	6	1	4	1	3	2	16	5	0	4	2	0	1	15	1	0	5	5	1	2	2	0	0	2	4	2	2	2	2	1	9	8	0	11	7	22	1	1	1	0	0	3	0	8	0	0	0	8	4	5	4	1	2	2	3	8	20	1	12	0	3	6	2	10	6	1	12	4	24	1	0	0	18	16	10	0	8	0	0	1	3	0	3	56	1	2	5	8	0	1	6	5	5	3	3	0	2	5	1	3	5	2	1	4	6	5	9	5	4	2	8	3	4	5	2	6	11	1	0	1	2	5	10	6	0	8	4	0	4	28	2	0	8	2	5	0	11	16	0	9	4	7	1	8	1	10	1	2	14	0	2	0	45	2	4	3	5	21	44	2	2	1	9	5	17	23	7	3	1	2	8	17	2	6	7	2	20	1	3	7	12	1	18	3	7	9	1	7	1	3	31	1	0	39	3	5	8	3	10	7	3	1	11	0	0	1	13	5	5	2	7	9	3	3	0	4	1	7	3	2	18	0	3	0	3	2	1	0	9	5	12	1	5	2	0	2	5	0	1	9	1	0	1	0	4	2	9	0	4	0	9	1	4	3
C[Del(T):R4]A	100	1	0	7	109	2	21	1	12	1	9	1	0	2	0	28	3	0	1	6	0	5	8	8	5	0	5	0	1	11	139	0	1	2	4	0	1	100	5	41	0	0	3	8	3	0	2	173	23	0	4	5	2	0	12	31	9	0	169	7	21	8	4	3	3	7	2	10	2	0	3	1	4	122	2	66	0	10	35	5	606	1	3	2	1	1	1	21	2	215	1	0	8	7	4	1	43	2	70	24	1	9	2	2	4	27	0	0	7	9	3	7	4	0	0	1	66	23	0	2	2	1	42	1	5	13	130	304	0	2	5	0	0	8	1	6	0	1	1	4	3	5	13	4	4	5	1	8	228	0	176	1	6	1	2	7	5	1	234	16	246	5	2	5	209	10	46	0	9	1	1	1	0	0	2	29	3	98	1	11	1	1	8	10	1	0	0	0	2	40	5	0	14	1	1	1	0	4	71	49	7	3	85	1	1	3	8	2	13	0	2	0	0	67	8	14	6	2	6	1	0	23	1	6	9	0	7	1	42	116	5	11	4	41	2	74	0	1	4	5	148	1	5	1	38	3	10	9	15	13	290	2	3	0	14	1	250	26	25	3	0	6	7	163	6	21	3	10	20	3	4	4	17	2	174	2	8	5	2	13	4	2	266	6	3	40	1	4	16	1	62	10	2	1	9	4	3	2	96	11	0	4	7	3	7	6	2	14	9	32	3	4	203	1	4	1	0	0	1	14	13	69	9	3	5	0	2	7	1	1	27	0	1	3	0	0	8	6	10	0	9	0	8	0	14	4
C[Del(T):R4]C	125	1	0	1	133	3	0	1	19	1	5	1	0	2	0	16	4	0	0	0	1	2	11	7	3	0	2	0	1	12	167	0	0	0	4	2	0	101	4	55	1	0	3	8	2	0	3	211	12	1	11	2	1	1	11	23	2	0	211	8	12	8	5	0	4	7	7	2	4	0	3	3	6	170	0	79	0	6	54	1	329	0	6	0	0	3	4	35	2	244	1	4	10	1	3	0	66	3	66	42	0	3	3	0	2	30	1	0	2	5	4	2	2	0	2	5	61	31	1	0	0	0	45	1	2	11	132	214	0	0	2	0	0	6	3	3	2	2	3	1	1	1	6	4	2	1	6	2	291	0	249	1	3	0	4	9	5	1	274	14	314	5	1	8	369	3	12	0	13	2	1	0	1	1	2	21	1	66	5	9	1	1	0	10	1	2	2	0	5	31	9	2	8	0	0	1	5	4	84	55	4	3	82	2	0	1	4	3	2	0	1	0	1	86	2	7	4	8	11	0	2	20	3	12	7	0	1	0	26	131	7	8	4	40	1	71	2	4	0	0	184	1	0	2	30	8	20	1	8	9	367	6	5	1	4	4	263	12	28	1	0	7	4	177	4	25	5	4	16	0	3	5	16	2	173	1	3	4	4	4	1	0	355	5	4	33	2	3	23	1	76	6	2	1	3	2	2	3	84	4	0	1	5	4	6	4	3	0	2	36	3	2	291	2	3	0	3	3	0	22	6	76	8	5	2	1	4	1	3	1	31	3	0	1	1	0	3	4	7	2	10	0	6	1	4	4
C[Del(T):R4]G	75	0	0	5	96	3	0	0	10	1	2	0	0	0	0	27	8	0	1	2	1	1	8	18	4	0	6	0	3	4	100	0	2	0	4	0	1	73	5	30	4	0	3	10	4	2	1	144	27	0	8	6	2	1	16	16	3	0	163	4	20	7	0	2	16	11	5	3	11	0	4	0	2	128	2	74	0	13	39	3	297	0	6	2	0	1	2	25	3	194	0	0	9	4	9	1	37	1	30	29	1	10	6	1	1	13	0	0	3	9	2	1	2	0	7	2	61	16	1	1	2	0	22	5	2	21	104	148	0	6	1	3	0	8	3	4	0	2	3	13	2	3	4	4	4	5	10	4	203	1	181	5	2	5	1	12	5	0	210	8	230	10	3	3	155	12	4	0	10	3	0	2	3	0	2	59	3	41	4	17	2	0	9	16	3	0	1	1	2	11	3	1	8	4	0	1	1	3	62	59	5	3	36	2	2	2	2	3	9	0	2	1	0	57	10	8	0	8	6	6	1	37	2	1	4	4	3	3	26	102	3	16	7	29	0	50	1	3	2	2	131	1	2	1	60	7	6	3	5	20	306	3	7	2	15	4	184	34	15	5	0	2	9	113	4	19	3	2	31	5	7	6	26	4	150	4	1	8	2	4	1	5	287	1	3	49	2	1	16	1	60	4	4	1	10	1	0	7	72	16	2	3	9	8	2	3	0	1	4	32	6	2	235	2	3	0	3	0	1	6	11	62	20	5	2	0	0	4	3	0	25	2	1	1	1	1	0	2	18	2	7	1	17	3	3	7
C[Del(T):R5]A	222	2	0	8	223	1	6	1	6	1	2	0	0	1	1	9	2	0	1	2	1	1	8	9	2	0	3	0	1	30	288	0	2	0	1	1	1	206	3	97	4	0	3	4	4	1	1	391	11	0	4	1	2	0	10	27	2	0	388	6	5	3	6	1	4	4	6	1	5	0	2	3	0	391	2	159	0	13	109	2	768	1	21	0	0	0	1	119	3	525	2	1	3	4	3	0	95	4	83	90	2	6	3	0	7	29	0	0	3	6	12	9	0	0	0	1	170	40	2	0	0	0	90	1	2	8	299	527	0	2	4	0	0	8	0	5	0	3	2	1	1	1	5	8	0	2	3	2	527	2	452	3	1	2	4	8	5	1	587	20	606	3	1	9	443	9	13	0	4	2	1	1	1	0	1	25	1	119	3	8	1	2	4	8	2	1	2	0	3	82	7	1	14	1	0	0	0	3	154	105	3	3	177	3	3	2	6	2	8	0	2	0	3	192	11	2	3	0	17	1	3	18	2	8	3	1	3	2	70	247	9	7	2	87	2	139	0	2	6	3	351	0	2	1	22	5	34	3	21	13	778	7	6	0	4	6	669	19	21	2	2	6	2	352	2	58	4	5	10	1	3	0	8	0	378	1	3	2	0	6	1	1	696	7	1	28	0	1	40	1	142	0	1	0	1	1	9	3	217	5	3	1	6	7	1	5	0	8	4	63	2	2	566	1	4	1	3	1	0	54	1	152	12	0	0	0	3	8	4	0	49	1	1	0	1	1	14	5	9	2	8	0	18	3	3	8
C[Del(T):R5]C	263	1	0	5	304	0	1	1	5	0	1	0	0	1	0	6	2	0	1	1	1	4	19	6	1	0	4	0	2	22	359	0	3	0	0	1	1	242	0	141	2	0	1	10	1	2	3	502	14	1	2	0	2	0	5	21	2	0	521	9	4	8	3	0	1	9	6	1	3	0	5	2	0	400	1	214	0	10	116	3	433	1	20	1	0	1	0	105	1	539	3	1	6	2	2	2	125	2	52	74	4	6	0	3	6	49	0	0	4	8	3	2	0	0	1	0	178	78	3	0	0	0	110	1	0	6	342	341	0	0	3	0	0	8	1	2	2	5	2	2	4	7	7	6	1	0	3	1	594	2	521	4	3	0	2	8	2	3	637	12	709	5	1	1	1140	2	10	0	4	1	1	0	2	1	0	8	2	140	4	7	1	0	9	7	1	0	0	1	4	59	1	1	7	1	0	2	0	6	200	162	1	1	196	0	0	3	3	2	5	2	0	2	1	205	4	1	3	2	19	0	1	13	1	6	5	2	0	1	57	276	1	5	4	91	1	160	0	2	2	2	464	1	2	3	13	7	54	2	17	7	826	1	0	0	1	2	633	14	40	4	2	6	4	428	1	78	4	2	17	1	1	1	4	1	423	2	3	4	1	2	1	3	764	5	0	16	0	4	48	0	188	4	0	0	0	3	2	2	236	4	2	0	3	3	3	5	0	0	0	89	3	1	641	3	7	1	3	1	0	44	3	203	12	3	3	0	3	0	1	0	82	4	0	0	0	0	6	1	8	0	15	0	9	0	2	5
C[Del(T):R5]G	175	1	0	5	172	2	0	0	6	0	0	0	0	1	0	8	6	0	2	0	2	1	13	15	2	0	2	0	1	5	218	0	1	0	1	0	1	180	1	96	3	0	2	11	1	1	2	303	14	0	3	2	2	2	8	18	1	0	358	3	5	2	4	2	9	9	6	1	2	0	6	1	1	312	2	159	0	7	85	3	296	0	2	0	0	0	0	67	3	394	1	1	1	2	2	1	86	2	27	70	0	7	1	0	6	33	0	0	3	4	0	1	1	1	1	0	143	45	1	2	2	0	64	1	0	5	250	254	0	0	1	0	0	2	2	1	0	2	0	5	2	0	2	4	3	3	3	3	428	0	421	5	3	0	0	8	3	0	584	5	516	4	0	1	360	3	2	0	4	1	1	0	2	1	0	30	0	97	2	4	0	0	5	6	1	0	2	0	0	10	5	0	5	2	0	1	1	8	141	81	1	2	137	1	2	1	5	3	3	1	0	0	0	158	6	6	2	1	17	1	5	22	4	2	3	2	0	2	35	194	1	7	2	57	0	93	0	2	0	3	302	1	0	2	20	6	12	2	5	10	648	1	2	0	3	4	527	16	27	1	1	5	5	306	1	49	2	1	19	0	2	0	7	0	308	3	1	5	2	2	1	1	640	10	3	25	2	4	32	1	120	5	0	1	2	3	1	2	144	8	1	0	0	3	1	5	0	0	3	64	6	4	536	0	3	0	3	1	1	30	2	164	5	2	2	0	4	2	6	0	53	1	0	2	0	2	7	1	5	2	7	0	8	1	2	3
C[Del(T):R6]A	450	2	0	12	473	1	4	0	3	1	4	0	0	1	0	9	0	0	0	0	1	2	30	7	0	0	2	0	2	101	505	0	17	2	1	0	1	399	6	211	1	0	3	5	2	0	0	750	13	0	2	4	1	1	4	75	0	0	732	14	10	3	3	2	5	3	11	4	3	0	14	3	3	752	0	338	0	18	175	0	1314	1	66	0	0	0	1	185	12	883	1	1	5	3	0	5	250	6	217	123	2	34	1	0	8	71	0	0	2	5	22	22	0	0	1	1	341	73	1	5	5	2	172	2	2	7	601	1142	0	1	9	0	0	14	1	0	0	10	1	2	4	13	4	7	0	4	5	4	1011	2	901	11	2	1	3	10	3	1	1195	20	1193	2	0	4	871	2	8	0	1	1	0	0	2	0	1	17	6	315	3	7	1	6	12	5	0	0	1	1	0	262	16	0	42	1	0	2	1	8	323	173	2	3	399	0	0	5	7	1	0	0	0	1	2	385	3	10	2	2	28	0	2	8	3	36	8	1	3	4	111	438	4	5	3	162	1	264	1	1	1	5	717	3	1	1	13	12	45	2	38	13	1122	14	6	0	3	1	1307	12	34	3	1	13	0	614	1	138	2	2	7	1	1	3	3	0	740	4	2	2	0	5	0	5	1351	15	1	18	0	3	86	0	283	3	1	0	2	1	3	2	420	4	3	1	4	2	2	3	4	0	2	126	1	0	1104	5	10	0	3	0	0	82	6	341	5	2	4	0	8	2	0	0	126	1	1	2	1	0	24	7	4	1	22	1	5	1	4	5
