	SP90989	SP117290	SP116797	SP84743	SP84982	SP9816	SP124439	SP107363	SP97194	SP5559	SP28659	SP107439	SP102581	SP23925	SP2293	SP53810	SP52667	SP79243	SP116578	SP121761	SP80754	SP96116	SP102133	SP30113	SP67609	SP116276	SP50097	SP116919	SP114898	SP81312	SP92364	SP125584	SP22031	SP26649	SP8831	SP99013	SP107784	SP94741	SP90629	SP94933	SP2155	SP85818	SP1305	SP56553	SP62616	SP107371	SP29559	SP84384	SP57189	SP48189	SP102973	SP69077	SP112907	SP27825	SP55235	SP80615	SP125778	SP80217	SP21017	SP111114	SP54113	SP25494	SP103894	SP82103	SP56704	SP53618	SP116715	SP124369	SP102045	SP79427	SP111031	SP18787	SP31126	SP93540	SP90125	SP94348	SP79998	SP111175	SP107012	SP112290	SP93227	SP77956	SP21400	SP116520	SP112985	SP49229	SP114980	SP96118	SP110847	SP99325	SP114916	SP99329	SP99197	SP59368	SP101740	SP69898	SP17172	SP81137	SP17905	SP89909	SP31030	SP111119	SP102143	SP33688	SP110851	SP102897	SP123846	SP86775	SP114968	SP57629	SP16886	SP19295	SP63546	SP116819	SP102035	SP114973	SP125746	SP125732	SP114917	SP114937	SP114944	SP112777	SP124384	SP114903	SP975	SP105018	SP135287	SP90209	SP59803	SP94332	SP92659	SP112947	SP116545	SP23502	SP25350	SP49114	SP116365	SP123975	SP98953	SP5052	SP23775	SP59448	SP116676	SP111170	SP116589	SP101670	SP103080	SP107076	SP110242	SP125752	SP84392	SP96126	SP95126	SP24135	SP1365	SP57735	SP102957	SP3631	SP18310	SP112817	DRUP01010025T	CPCT02050439T	CPCT02340026T	CPCT02340014T	DRUP01330020T	CPCT02070336T	CPCT02050424T	CPCT02340081T	CPCT02020865T	DRUP01030028T	CPCT02020597TII	DRUP01340014T	WIDE01010510T	CPCT02100089T	CPCT02080153T	CPCT02020815T	CPCT02120078T	CPCT02450014T	CPCT02020413T	CPCT02070357T	CPCT02070053T	CPCT02010605T	CPCT02100101T	CPCT02040317T	CPCT02030278T	CPCT02250003T	DRUP01030015T	CPCT02050117T	CPCT02070466TII	WIDE01010470T	CPCT02210064T	CPCT02010648T	DRUP01050003T	CPCT02100090T	CPCT02050149T	DRUP01020002T	CPCT02030351T	CPCT02020476T	DRUP01010142T	WIDE01010075T	CPCT02130170T	WIDE01010028T	CPCT02080273T	CPCT02220047T	CPCT02100092T	CPCT02140107T	CPCT02050436T	CPCT02080045T	CPCT02070436T	CPCT02010408T	CPCT02060033T	CPCT02010523T	CPCT02020436T	DRUP01010022T	CPCT02040329T	CPCT02050104T	CPCT02010772T	CPCT02070465T	CPCT02030430T	CPCT02030516T	CPCT02030421T	CPCT02220023T	CPCT02010579T	CPCT02340022T	CPCT02160003T	CPCT02030447T	CPCT02060013T	CPCT02020561T	DRUP01230001T	CPCT02130140T	DRUP01340003T	CPCT02050349T	WIDE01010372T	CPCT02080157T	CPCT02440020T	CPCT02360007T	CPCT02060224T	CPCT02020413TII	CPCT02220069T	CPCT02050385T	CPCT02050211T	WIDE01010208T	WIDE01010040T	CPCT02340010T	CPCT02010867T	CPCT02310017T	CPCT02120032T	CPCT02340030T	CPCT02030532T	CPCT02150052T	DRUP01070080T	CPCT02100141T	CPCT02130144T	CPCT02130131T	CPCT02220045T	CPCT02160058T	CPCT02210016T	CPCT02040280TII	CPCT02130146T	WIDE01010134T	CPCT02010635T	WIDE01010556T	CPCT02370010T	CPCT02380029T	CPCT02380026T	CPCT02070024T	CPCT02060054T	CPCT02050370T	CPCT02010373T	WIDE01010071T	CPCT02130184T	CPCT02070373T	CPCT02140057T	CPCT02070069TII	CPCT02010786T	CPCT02011068T	CPCT02120021T	CPCT02180025T	CPCT02080110T	CPCT02180009T	CPCT02090032T	CPCT02160021T	DRUP01030018T	CPCT02160034T	CPCT02450007T	DRUP01010078T	CPCT02340110T	CPCT02070043T	CPCT02180033T	CPCT02060264T	CPCT02070192T	CPCT02060265T	CPCT02070058T	CPCT02060140T	CPCT02040114T	WIDE01010026T	CPCT02100044T	CPCT02060225T	DRUP01070015T	CPCT02040299T	CPCT02080078T	CPCT02030451T	CPCT02050390T	CPCT02190055T	CPCT02011010T	CPCT02070244T	CPCT02070353T	CPCT02060291T	CPCT02020789T	CPCT02070131T	CPCT02070450T	CPCT02070145T	DRUP01040016T	CPCT02110059T	WIDE01010539T	CPCT02010486T	WIDE01010016T	CPCT02080120T	CPCT02310006T	CPCT02050170T	CPCT02010530T	DRUP01050017T	CPCT02040113T	CPCT02240008T	CPCT02060246T	CPCT02010715T	CPCT02010662T	CPCT02140012T	CPCT02090019T	CPCT02080294T	DRUP01070038T	WIDE01010565T	WIDE01010404T	DRUP01070009T	CPCT02050192T	CPCT02010505T	CPCT02050089T	WIDE01010228T	DRUP01010106T	CPCT02020599T	CPCT02180068T	CPCT02020428T	CPCT02390002T	DRUP01340015T	CPCT02010794T	CPCT02370012T
A[Del(C):R1]A	34	4	0	11	30	5	11	3	17	9	10	13	0	2	2	210	32	0	9	10	4	3	8	58	8	0	6	0	3	12	29	0	3	5	3	2	4	35	12	31	3	0	22	46	9	4	11	109	83	3	10	11	4	8	87	28	10	0	69	9	108	21	16	5	31	72	11	5	13	0	11	8	16	48	1	32	0	13	22	13	25	3	13	5	0	1	3	12	8	93	4	3	12	8	8	8	21	6	39	11	3	10	4	4	5	19	1	1	14	23	14	5	6	0	4	5	25	3	3	11	11	57	22	10	7	19	33	30	8	3	9	4	2	9	5	15	5	3	6	11	10	14	11	10	5	8	19	19	81	2	61	3	12	11	5	25	10	6	82	8	169	5	3	15	235	16	32	4	13	3	5	2	3	3	6	225	18	151	19	25	2	4	27	49	9	9	2	2	2	30	16	3	30	7	6	9	7	9	51	23	11	9	186	5	7	8	11	15	16	2	7	12	5	73	39	30	3	4	43	9	9	159	13	19	14	6	15	7	118	120	15	74	15	67	5	62	1	10	9	5	160	3	6	8	307	13	20	9	24	42	158	15	14	6	22	5	363	180	40	10	3	13	14	150	3	46	7	16	143	5	6	8	65	4	128	5	10	15	3	17	19	5	339	12	11	222	13	14	32	3	69	20	6	2	13	4	9	15	83	31	3	2	13	9	8	8	15	13	5	26	6	7	164	5	13	2	8	4	3	56	46	140	63	3	11	5	8	7	3	5	55	10	2	1	1	1	15	13	71	8	16	1	44	8	21	16
A[Del(C):R1]G	13	0	0	2	6	0	1	0	1	0	3	0	0	1	1	24	5	0	0	2	0	0	2	9	1	0	3	0	0	2	11	0	2	0	2	1	0	9	0	1	0	0	3	3	0	0	1	31	11	1	2	0	1	1	6	4	1	0	12	0	9	1	4	0	4	9	0	0	1	0	0	0	4	9	1	11	0	1	1	3	5	0	2	1	0	0	1	3	1	24	1	0	1	0	2	0	2	1	2	3	0	1	1	0	2	1	0	0	0	1	1	0	1	0	1	1	4	2	1	0	0	0	5	0	1	1	5	4	2	1	0	0	0	1	0	1	0	0	1	1	4	0	1	0	1	3	2	1	5	0	9	0	1	2	2	2	1	0	20	0	18	0	0	3	24	1	6	0	2	2	0	0	1	1	0	19	0	15	1	5	1	1	1	7	1	2	1	0	0	0	3	0	1	2	0	0	2	1	3	0	0	1	10	2	0	1	3	2	5	1	2	0	0	5	3	3	0	1	2	0	0	11	1	0	1	0	5	0	16	11	3	12	2	9	0	5	0	1	0	4	10	0	0	1	24	0	3	3	3	0	21	3	2	0	1	2	20	23	5	0	0	1	3	24	2	0	0	2	15	0	1	4	5	2	12	1	0	0	1	0	5	0	28	0	0	22	1	1	2	2	4	0	0	0	3	2	0	1	6	1	0	1	3	6	1	1	0	7	1	3	0	2	12	1	2	0	1	1	1	1	7	6	8	2	2	0	1	0	1	1	3	0	0	0	0	1	1	0	7	1	0	0	9	2	2	2
A[Del(C):R1]T	7	2	0	4	13	7	5	1	17	6	15	9	1	2	1	48	20	0	3	9	3	3	11	27	12	0	6	0	3	7	8	0	2	7	9	3	4	4	18	9	9	0	15	21	15	6	7	8	32	1	6	10	4	3	32	73	12	0	14	17	23	29	12	4	13	16	17	10	13	0	4	2	16	5	8	3	0	17	6	6	38	1	10	10	0	4	6	2	7	20	5	11	11	10	12	7	15	7	139	5	3	12	10	1	7	16	1	1	21	14	20	12	11	0	4	4	9	5	5	11	11	1	15	4	6	43	5	11	5	8	15	2	2	18	7	7	2	4	5	17	12	11	19	7	7	16	15	7	25	1	9	2	13	7	8	9	9	3	5	4	17	7	3	6	27	18	40	2	13	0	2	1	7	0	0	68	15	9	11	43	2	5	12	9	7	11	4	3	1	56	8	7	23	5	2	5	9	11	10	3	8	13	15	10	7	6	5	15	33	2	5	2	2	8	8	22	5	11	15	8	9	38	3	3	23	4	4	5	37	26	6	16	14	10	4	14	1	9	6	6	16	4	7	2	89	10	8	12	18	40	23	8	12	2	25	6	35	38	26	3	2	10	22	15	9	4	6	18	29	3	2	11	40	5	14	4	13	25	4	15	10	6	22	11	7	55	12	4	10	4	13	16	2	1	14	9	3	12	15	17	2	5	19	11	7	7	8	7	10	5	9	10	18	4	5	3	2	1	1	4	25	18	18	9	7	1	5	8	11	4	11	4	2	2	1	2	6	6	27	6	21	1	13	3	26	23
A[Del(C):R2]A	4	3	0	5	7	0	3	2	20	1	4	0	0	2	2	154	28	0	4	3	2	4	3	85	3	0	13	0	5	21	8	0	6	0	1	2	1	5	3	4	2	0	3	63	2	1	4	23	103	0	10	2	1	3	69	39	2	0	11	4	89	9	8	1	58	64	6	1	5	0	4	3	9	5	0	5	0	1	15	21	36	0	22	2	0	5	2	2	1	30	0	0	8	3	2	3	4	1	92	1	2	3	2	1	2	10	0	0	6	14	20	13	1	0	3	2	4	2	0	6	6	2	10	6	0	7	8	14	3	4	6	1	0	4	3	7	0	0	4	1	6	3	2	3	2	1	5	15	27	1	9	1	3	6	1	35	9	2	4	2	29	2	1	3	60	14	13	0	15	2	4	1	2	1	2	184	17	28	11	4	0	4	5	55	0	5	0	0	11	50	6	0	3	3	1	1	3	8	9	5	4	5	40	2	1	4	28	6	5	1	2	8	2	12	51	15	1	5	10	2	0	144	2	30	5	0	4	2	27	24	3	49	6	12	6	13	0	6	5	2	35	1	9	3	273	2	3	2	10	14	34	5	1	1	2	6	61	171	11	4	3	4	4	31	4	13	21	3	151	3	7	9	38	4	22	1	2	4	1	2	5	3	61	1	4	223	2	11	11	2	14	20	0	1	7	2	1	4	22	11	0	5	5	8	8	8	2	3	3	7	5	2	27	2	4	2	1	2	0	11	21	26	60	3	2	2	4	4	3	4	14	4	1	0	1	2	4	2	65	3	1	1	74	2	10	6
A[Del(C):R2]G	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	1	0	0	0	0	0	0	12	0	0	2	0	0	1	2	0	0	0	1	0	0	1	0	1	0	0	0	12	1	0	0	2	13	1	0	0	0	0	12	3	0	0	0	1	18	1	1	0	4	9	0	0	1	0	3	1	2	3	0	0	0	0	1	1	3	0	0	0	0	1	0	2	0	3	2	1	1	0	0	0	1	0	2	1	0	1	0	0	2	2	1	0	2	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	1	2	1	0	1	0	0	1	0	6	2	2	0	0	1	0	0	0	3	1	1	0	2	0	0	1	0	0	0	29	0	3	4	0	0	0	0	15	0	1	1	0	3	0	0	0	0	0	0	0	2	0	3	1	0	0	2	1	0	0	0	1	0	1	0	0	0	1	11	1	0	0	0	0	0	25	0	1	0	0	0	0	3	1	0	12	2	3	0	4	1	2	0	0	0	0	0	0	37	0	1	1	0	0	1	0	1	1	3	1	4	16	2	1	0	0	0	5	2	0	7	0	22	0	2	0	2	0	3	1	1	1	0	0	0	0	1	0	0	40	1	0	0	0	1	3	1	0	3	0	0	0	1	1	0	0	1	0	2	5	2	0	0	2	0	0	2	0	0	0	1	0	0	3	2	2	14	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0	14	0	0	0
A[Del(C):R2]T	4	3	0	4	5	3	3	0	15	3	6	0	0	5	3	68	10	0	3	5	1	0	1	46	3	0	15	0	6	2	5	0	2	4	3	2	2	11	5	11	3	0	6	28	6	3	4	24	61	1	6	4	1	5	26	17	6	0	15	4	43	17	4	1	29	24	2	5	4	0	4	0	8	12	4	6	0	3	5	7	22	2	6	4	0	1	1	0	1	24	0	2	6	3	5	0	6	1	33	5	0	7	5	1	2	13	1	0	3	7	4	2	3	1	2	1	5	1	0	3	3	3	5	6	3	14	1	13	7	0	1	1	0	9	5	12	1	0	3	7	7	4	1	3	1	2	8	5	12	2	15	5	3	7	3	16	4	2	12	0	20	1	1	11	35	27	16	0	11	1	1	2	4	0	1	71	17	41	10	13	0	2	4	25	4	6	4	0	2	7	4	1	10	7	3	4	7	8	6	3	6	3	17	3	1	3	9	8	7	4	2	0	1	10	30	11	0	7	10	3	6	74	1	5	14	2	4	1	15	12	10	22	7	5	3	19	0	11	2	6	8	0	7	3	118	6	2	7	6	19	23	2	3	3	12	3	37	60	15	1	5	4	6	17	3	4	7	10	60	2	2	8	19	1	19	1	8	5	1	13	1	3	25	4	5	96	8	5	6	5	8	10	1	2	7	1	2	7	7	13	1	3	11	7	7	6	4	6	3	5	1	3	30	1	3	0	4	1	0	2	18	12	30	4	7	3	1	2	7	0	4	6	5	2	0	0	1	3	38	2	8	0	28	1	11	13
A[Del(C):R3]A	9	0	0	1	19	1	1	0	7	0	4	0	0	4	0	86	15	0	2	3	1	0	1	40	3	0	14	0	3	6	5	0	0	0	3	0	2	12	0	7	4	0	4	25	2	1	1	31	84	1	9	1	1	0	43	14	0	0	31	2	58	5	1	2	28	29	1	0	3	0	1	3	7	19	0	11	0	4	22	16	41	2	2	0	0	1	4	6	2	51	1	1	4	3	1	0	0	0	49	5	1	0	3	2	2	9	1	0	6	6	10	3	2	1	0	3	16	2	1	2	1	1	7	3	1	7	12	17	4	0	1	1	0	4	1	7	0	1	4	0	4	1	4	1	0	3	3	8	55	1	32	1	1	2	1	15	10	0	37	5	35	1	0	2	52	10	7	1	6	1	0	0	0	0	0	105	5	16	12	0	0	2	3	39	2	3	4	1	4	17	2	0	2	3	1	0	2	4	22	4	3	2	36	1	2	3	16	4	5	0	2	2	1	11	21	5	0	3	5	1	1	112	3	5	3	0	4	1	24	22	1	32	5	8	1	28	0	2	3	6	32	1	3	2	141	0	8	2	5	13	32	2	2	1	6	2	57	107	13	5	1	4	3	17	1	10	6	1	89	0	4	9	15	1	28	0	2	10	2	7	1	2	56	2	3	106	1	5	9	0	18	4	1	3	4	1	2	2	25	5	5	0	4	5	2	6	1	1	0	7	2	4	38	0	2	1	1	0	0	11	17	14	41	2	0	0	1	1	7	0	8	3	0	0	0	0	1	2	32	2	3	0	41	1	3	5
A[Del(C):R3]G	3	0	0	1	3	0	0	0	2	0	0	0	0	0	0	9	3	0	0	0	0	1	0	7	0	0	1	0	0	0	3	0	0	0	0	0	0	7	0	2	0	0	0	7	0	1	2	10	7	0	4	1	1	0	12	1	0	0	9	0	12	0	1	0	3	7	1	1	0	0	0	1	1	9	0	9	0	1	8	1	9	0	0	0	0	0	0	0	0	17	1	0	1	1	0	0	2	0	2	2	1	0	1	0	0	3	0	0	0	1	0	0	1	0	0	0	6	1	1	1	1	0	2	0	0	1	4	3	0	0	0	0	0	0	0	2	1	0	0	1	0	1	0	0	0	1	0	1	13	0	5	0	1	1	0	3	0	0	3	0	10	0	0	1	13	3	1	0	1	0	0	0	0	0	0	15	0	5	0	0	0	0	0	7	1	1	1	0	3	1	0	1	2	0	0	0	2	0	9	1	0	1	7	0	0	1	3	1	1	0	0	0	0	2	2	0	0	0	0	1	0	10	1	0	0	0	2	0	5	5	1	6	2	5	0	2	0	1	0	0	7	0	0	1	23	2	0	0	1	2	6	0	0	1	0	0	12	14	1	0	0	0	1	8	1	2	1	1	15	0	0	1	1	1	8	1	0	0	0	0	0	1	14	0	0	20	0	0	3	0	7	3	0	0	2	1	0	1	0	3	0	2	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	4	0	6	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	4	1	0	1	7	0	0	1
A[Del(C):R3]T	11	3	0	2	11	1	4	0	14	3	12	0	0	0	0	37	7	0	3	0	0	1	2	26	2	0	7	0	5	4	15	0	0	5	2	3	0	6	3	3	4	0	1	18	1	1	2	22	31	1	2	2	4	3	29	10	2	0	14	2	28	3	3	0	13	12	0	1	3	0	2	1	3	13	3	8	0	1	11	8	27	0	5	2	0	1	0	0	1	31	0	0	2	0	2	0	9	0	14	2	0	2	0	2	2	12	1	0	3	4	2	1	0	0	2	0	4	1	0	3	5	1	7	6	0	7	13	9	1	2	3	0	0	5	1	6	1	0	2	1	2	2	3	1	0	3	5	5	33	1	29	0	0	1	3	7	7	0	27	1	22	0	2	1	27	9	2	0	4	2	1	0	0	0	1	40	2	19	5	3	0	0	3	18	1	3	1	0	2	8	1	0	2	2	1	2	1	2	11	1	1	1	13	0	1	1	8	3	5	3	1	1	1	14	8	4	0	1	4	3	2	32	0	7	2	0	1	0	15	15	1	20	3	7	1	16	0	2	0	3	19	1	1	0	72	5	1	0	2	8	31	2	1	1	1	0	38	45	3	1	2	1	3	15	1	7	3	0	39	2	2	3	8	2	19	1	0	3	1	5	2	1	37	2	1	38	3	2	8	2	13	6	1	2	2	2	3	4	18	3	3	0	6	4	3	5	2	2	0	4	2	1	21	0	1	0	1	1	1	3	8	13	23	2	6	1	2	3	1	0	7	4	1	0	0	0	0	1	13	3	2	1	14	1	5	2
A[Del(C):R4]A	26	1	0	6	49	1	0	0	1	1	2	0	0	2	1	29	7	0	0	0	0	0	3	20	1	0	9	0	2	3	45	0	4	1	1	1	1	36	1	22	1	0	1	15	1	3	1	96	33	0	7	1	1	0	15	9	1	0	81	0	33	10	1	1	20	11	3	2	2	0	5	1	1	76	1	53	0	4	21	6	91	0	3	0	0	1	0	4	1	118	1	0	4	1	0	0	18	1	22	15	1	3	1	0	1	8	0	0	2	3	1	1	1	0	0	0	37	5	1	2	1	0	31	4	1	4	43	48	1	1	1	0	0	3	2	3	0	1	1	1	1	4	2	2	0	0	5	8	110	0	82	2	0	4	0	12	4	0	101	3	80	1	0	5	95	5	6	1	6	0	1	0	1	1	2	40	1	27	3	2	0	3	3	14	2	0	2	0	2	17	3	2	3	1	1	3	1	4	32	22	4	0	52	1	0	0	16	0	5	0	0	3	1	28	17	6	0	3	8	0	0	33	3	5	1	4	3	2	29	53	6	20	1	17	0	37	1	2	1	3	78	0	0	0	54	8	12	0	9	3	127	1	5	1	1	2	125	47	9	2	0	2	5	50	0	15	7	3	36	0	2	2	12	2	77	1	1	2	2	1	0	2	129	3	1	40	1	2	8	1	28	9	0	1	5	0	3	0	50	7	0	1	3	6	2	2	1	1	3	9	1	2	102	0	4	0	2	1	0	10	13	31	10	0	1	0	0	0	0	1	11	4	1	0	0	0	5	2	17	3	5	1	22	2	0	1
