	Lung::WIDE01010075T	Other::CPCT02020815T	Biliary::DRUP01010095T	Colon::CPCT02160034T	Lymphoid::CPCT02120032T	Breast::CPCT02020597TII	Ovary::CPCT02030278T	Skin::CPCT02050424T	Uterus::DRUP01340014T	Bladder::CPCT02070336T	Head::DRUP01030028T	Head::CPCT02070053T	Lung::CPCT02050439T	Ovary::CPCT02220006T	Colon::CPCT02340022T	CNS::CPCT02100089T	Other::CPCT02050348T	Colon::CPCT02010590T	Kidney::CPCT02020865T	WES::TCGA-EW-A2FV-01A-11D-A17D-09	Liver::CPCT02020413T	Other::CPCT02250003T	Skin::CPCT02340081T	Colon::CPCT02340014T	Breast::CPCT02190019T	Other::DRUP01030015T	Colon::CPCT02030357T	Breast::CPCT02050117T	Breast::CPCT02080153T	CNS::CPCT02100101T	Colon::CPCT02050057T	Stomach::CPCT02450014T	CNS::DRUP01050003T	Other::WIDE01010510T	Skin::CPCT02050376T	Colon::WIDE01010470T	Pancreas::DRUP01070119T	Bone.SoftTissue::CPCT02070357T	Lung::CPCT02390002T	Lung::CPCT02140057T	Skin::CPCT02050149T	Colon::DRUP01230004T	CNS::CPCT02060264T	Colon::CPCT02100131T	Bone.SoftTissue::CPCT02010648T
39	0	7	0	10	1	2	1	6	0	0	1	3	0	1	16	1	0	95	1	0	0	0	1	623	6	2	19	0	0	4	13	22	29	0	0	45	0	0	3	9	0	20	0	3	0
40	43	174	10	22	43	14	15	133	94	29	8	7	17	12	70	4	4	45	32	0	34	206	5	190	50	9	299	12	3	86	14	1336	334	10	19	112	34	13	55	38	6	261	3	20	13
41	132	94	12	31	155	10	1	14	17	6	6	2	14	7	56	2	1	10	9	0	4	41	3	12	7	6	1352	5	6	232	15	39268	924	6	11	131	41	9	15	25	19	907	1	15	3
42	167	6	21	33	136	6	2	13	4	3	4	2	41	3	40	2	1	24	4	0	1	0	1	5	1	5	1518	3	3	533	44	7775	930	14	8	81	110	12	1	3	8	1325	1	35	1
43	45	46	12	42	29	11	5	164	3	23	13	8	36	7	90	7	7	46	44	0	12	122	2	146	13	6	404	6	5	95	23	1998	805	10	8	292	40	17	12	10	4	361	7	23	4
44	14	22	6	8	15	4	2	74	2	7	0	2	21	7	23	0	2	11	14	0	7	9	1	15	8	3	143	2	4	21	6	4211	490	2	0	86	7	4	6	3	3	102	1	9	1
45	46	303	4	18	39	7	3	39	4	12	3	0	19	8	71	1	1	10	27	0	13	31	2	18	5	4	268	2	1	26	7	806	627	3	1	139	18	6	69	57	2	216	2	6	0
46	12	49	2	10	11	7	2	40	1	13	6	1	4	6	102	0	5	7	16	0	11	86	0	5	15	4	122	6	0	21	4	791	735	0	3	245	5	5	15	14	5	82	0	11	0
47	22	34	5	15	17	8	5	161	11	8	4	0	8	6	106	1	4	9	9	0	6	9	1	5	14	5	208	1	9	37	7	2001	1011	3	3	239	10	9	5	11	4	120	0	11	6
48	33	343	2	8	14	7	4	23	3	16	4	0	8	8	48	2	5	3	11	0	5	39	0	3	15	5	294	1	2	34	5	688	659	6	4	146	18	5	72	66	3	173	1	8	2
49	7	24	3	4	4	6	4	22	26	5	10	3	7	19	11	2	2	21	13	0	4	52	0	9	6	79	66	3	3	9	4	509	69	8	2	17	9	4	12	9	1	42	5	3	1
50	10	27	2	3	2	2	2	28	1	3	1	0	6	20	9	0	1	7	4	0	5	6	1	6	4	95	50	2	1	5	1	822	86	1	3	13	4	4	0	3	2	31	1	5	2
51	32	289	5	8	8	7	4	8	1	6	2	0	14	23	20	1	0	16	9	0	3	15	2	10	5	128	262	0	0	50	8	830	235	4	3	36	16	4	69	43	3	190	0	12	3
52	161	22	33	89	181	17	2	21	2	13	17	5	224	12	735	3	1	57	5	0	7	0	2	16	9	14	2193	7	9	447	87	10070	10891	18	4	1752	105	17	7	12	7	1477	6	71	2
53	140	21	46	72	198	21	7	43	3	8	15	13	350	17	511	3	3	54	1	0	3	5	2	26	10	13	1336	3	14	404	85	6590	6888	26	6	1134	73	20	13	12	7	1082	7	70	0
54	171	78	55	78	222	23	6	21	5	11	10	7	304	29	236	3	10	60	3	0	10	6	0	17	11	20	2013	7	13	502	73	8824	6933	30	10	679	126	24	23	16	10	1563	5	55	0
55	80	9	12	57	70	10	2	11	3	5	5	5	73	7	517	5	5	29	1	0	2	4	1	9	6	11	894	7	2	170	41	5975	3869	8	5	913	63	15	2	6	2	590	1	34	1
56	78	20	16	38	112	13	2	26	2	4	5	6	151	6	409	2	1	27	2	0	3	2	0	10	3	8	755	5	10	208	44	6297	3728	15	4	629	47	7	7	6	2	586	1	32	0
57	110	30	18	42	110	7	4	14	4	6	6	3	137	6	182	3	2	22	1	0	1	4	2	15	5	7	999	0	2	225	57	5698	2871	13	6	345	50	11	13	5	3	751	0	39	1
58	79	9	18	50	78	10	3	7	2	1	4	6	61	13	332	1	2	38	2	0	3	3	2	15	7	11	1058	3	6	304	29	3197	4001	8	2	763	42	10	8	5	4	635	3	32	1
59	84	14	20	50	81	11	7	30	1	2	8	1	106	6	387	2	1	30	0	0	1	6	1	10	4	9	1050	4	2	448	44	2639	4173	13	6	749	45	8	4	5	6	607	2	42	0
60	172	36	28	48	121	7	1	12	1	7	9	10	118	12	165	0	1	41	3	0	6	0	1	7	7	9	2037	2	4	777	65	4410	4299	16	6	411	114	16	6	7	5	1256	2	43	1
61	248	18	84	146	243	30	17	27	9	12	14	23	415	27	646	5	6	128	5	0	8	6	3	27	16	34	2410	10	21	1324	144	11761	10053	34	19	1007	175	36	9	25	17	1746	7	128	1
62	214	13	83	99	205	22	16	22	7	13	14	18	334	23	660	11	4	80	3	0	6	11	4	28	16	31	1858	6	18	1047	145	10856	9907	39	22	1147	164	30	10	21	18	1415	4	113	6
63	193	16	68	112	159	22	12	19	3	6	17	22	292	21	246	8	2	83	5	0	6	7	2	21	10	24	1875	5	16	1061	114	9239	7074	24	8	477	160	16	10	20	14	1521	6	89	0
64	174	13	38	80	131	14	9	11	3	8	15	13	219	13	316	5	3	62	0	0	8	9	2	21	9	22	1438	5	13	796	114	6694	6077	25	6	420	137	25	3	5	6	1076	1	65	1
65	156	11	50	73	127	14	8	11	4	4	17	15	217	10	440	3	8	71	2	0	4	14	3	12	7	21	1314	4	16	970	91	7707	9194	20	11	600	126	20	4	9	11	1031	6	77	6
66	202	15	66	97	159	18	12	11	8	9	11	12	193	11	170	3	6	53	1	0	2	4	3	12	6	17	1485	10	10	1138	93	8233	6815	29	13	268	164	18	4	14	6	1328	7	75	6
67	118	11	36	70	132	19	7	5	5	11	11	14	126	11	238	4	3	57	3	0	2	9	1	18	4	8	1300	3	8	792	78	3215	3873	21	12	404	95	17	3	12	7	923	7	60	3
68	112	7	38	52	125	14	3	15	3	2	11	11	141	13	319	5	2	67	0	0	3	8	1	14	11	18	1157	3	4	791	74	3343	4748	17	9	461	91	13	5	8	7	866	5	65	5
69	150	6	36	58	94	12	4	7	6	6	11	7	151	15	138	2	1	62	3	0	7	4	1	17	5	13	1528	7	10	933	68	3605	3736	14	11	221	129	15	5	9	4	1154	2	57	1
70	52	58	10	34	19	28	33	79	6	227	101	18	10	24	18	37	6	27	52	0	140	297	7	56	36	19	1113	9	12	27	16	251	43	11	9	50	19	54	18	27	5	1001	9	18	11
71	19	41	11	38	7	49	75	175	6	761	39	27	16	8	33	8	17	26	74	1	183	235	46	34	52	15	158	10	29	13	14	49	23	9	10	13	9	109	27	44	10	123	17	15	37
72	106	223	16	52	44	43	18	49	11	131	464	22	18	20	24	167	8	53	40	0	48	80	2	30	54	18	1956	19	19	63	38	295	78	17	10	52	79	29	76	49	11	1563	26	46	6
73	1262	64	5	139	360	11	18	29	7	27	45	21	14	3	45	54	8	50	12	0	21	14	2	9	15	8	48976	10	8	454	29	8010	231	12	9	164	459	29	22	31	7	44374	21	40	8
74	75	27	29	37	15	58	20	35	6	54	40	7	26	16	14	178	9	37	21	0	23	68	2	20	31	9	630	19	11	13	32	86	30	17	9	30	20	32	12	23	5	506	61	29	12
75	47	10	14	28	19	26	6	15	6	11	11	6	8	8	9	98	6	23	10	0	3	8	3	10	8	11	1109	4	5	33	23	218	41	9	2	17	17	21	3	6	2	1132	35	16	13
76	33	64	22	60	30	19	25	238	36	19	9	3	23	17	385	11	9	88	21	0	9	178	9	105	99	20	995	12	27	179	37	2050	734	18	23	544	113	35	20	36	20	921	9	27	7
77	116	60	22	71	38	46	29	336	12	49	28	21	24	18	438	22	21	62	18	0	21	41	123	81	86	25	747	22	71	182	57	1966	534	18	51	572	119	59	32	57	13	754	28	41	31
78	15	39	6	21	15	4	6	91	8	24	7	3	6	5	34	4	4	25	35	0	19	1096	4	12	33	9	143	7	19	38	12	371	103	4	6	44	24	8	13	17	4	137	5	23	3
79	6	16	8	26	4	14	14	98	2	12	7	1	8	4	21	3	5	26	20	0	16	22	5	21	10	10	64	23	8	10	11	50	24	4	8	29	7	8	6	18	7	50	5	20	8
80	93	46	6	32	36	17	11	73	1	16	14	4	7	11	58	3	5	41	33	0	15	368	4	12	20	6	920	11	10	169	25	5234	611	13	7	159	77	13	27	15	17	691	2	29	4
81	402	16	27	109	202	24	16	44	3	11	21	16	53	17	198	7	8	96	7	0	6	24	3	19	15	26	5148	3	10	1602	99	45970	13808	18	58	429	152	30	6	22	50	3994	10	100	5
82	43	76	9	36	17	30	21	57	7	238	348	18	21	19	20	63	5	35	47	0	119	258	8	20	41	17	1027	8	11	34	20	218	74	14	10	29	39	70	19	38	2	885	17	14	12
83	30	25	13	17	7	29	22	29	7	130	34	8	9	9	10	85	9	26	20	0	40	116	5	9	24	10	489	8	12	21	21	102	46	8	2	20	15	25	7	12	7	419	29	38	9
84	25	7	13	18	8	29	11	14	2	33	26	5	11	12	11	77	6	8	17	0	20	32	2	8	9	4	212	3	7	5	9	45	25	5	2	14	12	9	9	9	3	175	37	13	4
85	18	23	11	19	8	41	108	139	10	669	27	31	16	17	21	4	14	24	53	2	155	206	14	25	39	8	605	6	12	21	11	51	32	5	10	16	24	82	14	39	9	477	12	10	17
86	7	18	7	10	4	25	266	89	3	431	27	13	7	6	6	3	14	15	38	2	101	217	7	10	9	10	83	4	12	5	13	19	13	13	3	15	6	87	21	44	2	57	1	8	15
87	9	8	1	10	2	7	184	46	0	201	10	6	6	2	3	2	5	6	15	1	46	119	2	12	3	8	99	4	1	4	9	16	14	8	3	2	8	65	15	43	3	94	3	10	11
88	12	18	8	11	14	25	223	99	3	131	14	9	9	7	14	5	4	23	13	0	34	95	4	14	8	6	200	5	10	8	12	70	23	8	1	17	10	74	12	42	11	182	9	14	56
89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
