MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	8.19E-05	1.04E-03	5.69E-04	2.29E-03	1.51E-03	2.97E-03	1.08E-03	2.75E-04	6.46E-03	3.94E-04
1:Del:C:1	2.62E-05	3.94E-04	7.14E-04	1.10E-03	7.82E-04	7.95E-04	6.26E-04	1.35E-04	1.69E-03	1.62E-04
1:Del:C:2	4.68E-05	1.25E-04	5.54E-04	7.87E-04	3.30E-04	4.22E-04	6.14E-05	1.36E-04	5.30E-04	1.99E-04
1:Del:C:3	3.88E-05	1.92E-04	2.72E-04	3.79E-04	3.16E-04	3.14E-04	2.71E-04	1.50E-04	6.00E-04	2.69E-04
1:Del:C:4	4.74E-05	1.68E-04	2.37E-04	1.96E-04	3.16E-04	2.98E-04	1.30E-04	1.03E-04	5.65E-04	2.32E-04
1:Del:C:5	9.96E-05	2.28E-04	1.87E-04	1.02E-04	2.26E-04	4.46E-04	3.13E-04	1.49E-09	7.22E-04	2.80E-04
1:Del:T:0	5.23E-05	3.25E-04	2.33E-04	1.21E-03	9.08E-04	6.16E-04	8.27E-04	1.13E-03	1.43E-03	2.43E-04
1:Del:T:1	6.01E-05	1.37E-04	2.77E-04	1.16E-03	5.94E-04	4.18E-04	6.71E-04	1.03E-03	1.29E-03	1.88E-04
1:Del:T:2	6.20E-05	3.59E-04	2.53E-04	1.00E-03	4.94E-04	4.63E-04	4.50E-04	1.04E-03	1.49E-03	2.47E-04
1:Del:T:3	8.98E-05	4.12E-04	2.82E-04	9.34E-04	4.35E-04	4.91E-04	1.26E-04	1.49E-03	4.59E-04	3.30E-04
1:Del:T:4	1.12E-04	3.12E-04	1.87E-04	3.71E-04	4.64E-04	5.32E-04	1.81E-04	8.64E-04	9.73E-04	2.32E-04
1:Del:T:5	1.10E-03	1.25E-03	1.23E-03	7.78E-04	2.82E-03	2.00E-03	8.54E-04	6.51E-04	4.29E-03	1.60E-03
1:Ins:C:0	6.00E-05	7.23E-04	2.39E-04	1.32E-03	1.75E-04	3.64E-03	1.73E-03	3.63E-04	6.48E-03	1.04E-04
1:Ins:C:1	2.22E-05	1.77E-04	8.33E-05	2.62E-04	1.80E-04	4.94E-04	3.32E-04	1.26E-04	9.39E-04	1.08E-04
1:Ins:C:2	1.39E-05	1.07E-04	7.28E-05	1.86E-04	1.95E-04	1.79E-04	2.42E-04	5.30E-05	2.98E-04	5.58E-05
1:Ins:C:3	2.33E-05	9.16E-05	1.08E-04	1.26E-04	1.87E-04	6.38E-05	2.70E-04	0.00E+00	3.39E-04	8.47E-05
1:Ins:C:4	5.72E-05	1.69E-04	9.92E-05	4.54E-05	5.01E-05	1.53E-04	1.74E-04	4.39E-05	3.94E-04	8.05E-05
1:Ins:C:5	9.40E-05	3.75E-04	1.15E-04	3.93E-04	4.50E-04	6.53E-04	3.92E-04	1.02E-04	1.49E-03	2.18E-04
1:Ins:T:0	4.46E-05	4.00E-04	1.71E-04	2.97E-04	4.23E-04	9.44E-04	5.42E-04	0.00E+00	1.64E-03	2.58E-04
1:Ins:T:1	1.95E-05	4.35E-05	3.25E-04	3.28E-04	2.60E-03	3.46E-04	6.98E-04	1.91E-04	5.11E-04	3.45E-04
1:Ins:T:2	5.03E-05	2.43E-04	2.44E-04	3.42E-04	9.89E-04	2.36E-04	4.62E-04	1.75E-09	4.40E-04	2.23E-04
1:Ins:T:3	3.72E-05	2.17E-04	2.00E-04	2.54E-04	5.28E-04	2.36E-04	2.46E-04	8.15E-05	5.28E-04	1.70E-04
